sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
A4-A4b-A4c,867878,0.4318239866344014,0.04098263404523927,0.0,0.005999701433801993,0.2896504520540791,-0.1921445797917552,-0.00025332625969252265,0.04058954081570201,-0.00010637278832375495,5.528192730034031e-05,-0.006006695792554175,0.00010781479921911268,-0.00014770836728194138,-0.0,0.0,0.0,0.0,0.0
A3-A3at,867888,-0.49004694830133877,0.09056516182839523,-1.9549840744925915e-16,-0.053082919170177524,-0.0001494171221748252,0.00018486034290633748,-0.13966834368039444,4.371099958884762e-05,0.00660212002994346,0.04332725237904558,0.0007349612638329806,0.01686820702851482,8.167867062106383e-05,-0.0,0.0,0.0,0.0,0.0
A1/A1h,867896,-0.004877547743561494,-0.6114536505852534,0.5,-0.04618064112099022,-0.01283068032699086,0.0025471104867926322,-0.00022262043231032136,0.0023331064191836007,-0.0002524825778402541,7.701809196574441e-05,-0.000200259904477527,-0.00018170406198255449,-0.00015683010047468966,-0.0,0.0,0.0,0.0,0.0
A4,868430,0.4479313321381588,0.054537476249615364,2.5344424775993594e-16,0.002589244281781107,0.2068761571341449,0.2060116148539253,7.044057401296135e-05,-0.09258383541784249,-0.00010078076938320319,-4.6047456052202805e-05,0.019152971515199315,-0.0006664179610983876,-0.0009967135641923278,-0.0,0.0,0.0,0.0,0.0
A13,868443,-0.004877547743561521,-0.611453650585254,-0.4999999999999998,-0.046180641120990164,-0.012830680326990695,0.0025471104867928634,-0.00022262043231031827,0.0023331064191835634,-0.00025248257784022955,7.70180919657148e-05,-0.00020025990447753407,-0.00018170406198263588,-0.00015683010047469446,-0.0,0.0,0.0,0.0,0.0
A3-A3s-A3q-A3r,868014,-0.4893268092104629,0.08997288811044384,-3.162907032186711e-18,-0.051853024631992116,-0.0001431992965313092,0.00017326868384241336,-0.13476041421344906,1.642330784821346e-05,0.0033342224959510393,-0.06802046727772151,0.0003871232615500392,0.01879942493912551,-0.0001119252171556289,-0.0,0.0,0.0,0.0,0.0
A3/A3bi,868016,-0.4869903995464121,0.08790502180750125,1.335215113064076e-16,-0.046444580666439646,-0.00010683683198075704,1.9387537919439253e-05,0.10969953804917,3.714268144031455e-05,0.12624546782399199,-0.005803105466993443,-0.0005220653892601028,-0.013887191313260909,1.9938999926125086e-05,-0.0,0.0,0.0,0.0,0.0
A4-A4.3-A4a-A4e,868127,0.4923672374742076,0.08992172761149837,6.958033636817683e-17,-0.005698955601872867,-0.08719268365254763,-0.02191259553381266,-1.0586947863331625e-05,-0.03172762843180219,-0.00012597575623317687,0.00015033448312739997,-0.013814359383712132,0.00010436378258379343,-0.04150857187871496,-0.0,0.0,0.0,0.0,0.0
A4-A4a-A4.3-A4s-A4e,868128,0.4708837686603217,0.07493702169735324,-1.0629131850619081e-16,-0.004026710641416348,-0.11949993375085713,-0.11436396037627297,3.149933834011144e-05,-0.15696244736732748,-0.00010256300592527573,2.031247533182368e-05,-0.010383745375298575,0.0004196323233847053,0.01738627942840718,-0.0,0.0,0.0,0.0,0.0
A4-A4.3-A4e,868129,0.49241903799657327,0.08952590261420813,-1.814539770054064e-16,-0.005100312481463089,-0.030891328558863004,0.08011008424835518,7.331551648791748e-07,0.04398902454116914,-2.656833663891048e-05,0.00015257989593466298,-0.04061372760732787,0.0012953062533366342,0.013617394163319137,-0.0,0.0,0.0,0.0,0.0
