sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
A4-A4b-A4c,867878,0.37852012921403855,-0.006952920026315802,1.0365080589115978e-16,0.3625475329545946,0.0031739687581983245,-0.005844085615611816,0.28159653941787455,0.0019186800158401299,0.0005308992791793987,0.00015645936015828025,0.0077853022748561075,0.0006845802119220773,0.00159656209656561,-0.0,0.0,0.0,0.0,0.0
A3-A3at,867888,-0.4511314264087993,0.07291680270550091,-2.2865931441492156e-17,-0.00114958375465089,-0.2557345361157268,-0.06131051383383955,7.240789282918665e-05,-0.0007498175983343469,0.14325967910353518,-0.06727811298653429,-0.003861097539346902,-0.01183037523525018,0.000271649943719748,-0.0,0.0,0.0,0.0,0.0
A1/A1h,867896,-0.001749780131903248,-0.5995186369897981,-0.49999999999999906,-0.053390862647506004,0.004690314410883822,-0.020162285361673152,-0.002783387777100112,-0.006257564070837677,0.0011620191751832536,0.0020384002416963536,-0.003005355404205645,0.0012850387677402805,-0.0002675538023989835,-0.0,0.0,0.0,0.0,0.0
A4,868430,0.3839469696146559,-0.0018394591393778473,2.3480741841420906e-16,0.36191229225993354,0.003304711839403878,-0.008413748231557942,-0.25677443158732854,0.06430536159494918,0.000643198903472954,-0.002416861536112488,0.040790497071333705,0.0013151713662565136,-0.0012539759096705557,-0.0,0.0,0.0,0.0,0.0
A13,868443,-0.001749780131903286,-0.5995186369897973,0.4999999999999996,-0.05339086264750636,0.004690314410883927,-0.020162285361673103,-0.0027833877771000306,-0.006257564070837648,0.001162019175183279,0.002038400241696372,-0.003005355404205675,0.0012850387677403063,-0.00026755380239898516,-0.0,0.0,0.0,0.0,0.0
A3-A3s-A3q-A3r,868014,-0.4435500739033089,0.0662023089815345,-8.527179678480315e-17,-0.000310781227861238,-0.23540462718830024,-0.023611064478284705,6.946256031324573e-05,0.002047121082085227,-0.21651412028892672,-0.051844273767643896,-0.003854650195714922,-0.027147612849520355,-0.0001820590367916196,-0.0,0.0,0.0,0.0,0.0
A3/A3bi,868016,-0.48102115908324666,0.09619750939770413,-7.60863999401507e-17,-0.0046507695504097455,-0.040159629955898606,-0.09267852104471844,-2.364053582794216e-05,-0.0011602149271073524,-0.022720727798260735,0.16445381503889878,0.01169825031299606,0.0014030969842311583,0.00034963795774547947,-0.0,0.0,0.0,0.0,0.0
A4-A4.3-A4a-A4e,868127,0.49122843723937615,0.1037892613696225,-4.4970645197066805e-17,-0.09504549555227663,-0.00040490615230321926,-0.0005650127668827406,0.015003340146953174,0.07706794885433269,0.0011563891258566364,0.0054866943883672996,-0.05712344164313101,-3.837847352927123e-05,-0.0234682579326822,-0.0,0.0,0.0,0.0,0.0
A4-A4a-A4.3-A4s-A4e,868128,0.4622239359488541,0.08831750132382622,-3.274237517920559e-16,-0.1686754868236313,-0.0014141198473400416,0.004439279674380387,0.03192950251256576,0.20915924949488,0.0017451322425776933,0.0021070778157863653,-0.019938520851869198,-0.0003138398953418552,0.016285223367850217,-0.0,0.0,0.0,0.0,0.0
A4-A4.3-A4e,868129,0.48932753051157446,0.0972283729502926,-2.0741227579617192e-17,0.0011983635763816644,0.0006172584930766422,-0.004793532580161082,-0.06597341967784497,-0.08701755307250612,-0.00015173325170617438,0.008344680399264382,-0.11074910279514051,-0.002356620582798655,0.014668685300566763,-0.0,0.0,0.0,0.0,0.0
