sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
A4-A4b-A4c,867878,-0.383441414964235,-0.03935197064293701,0.03228595013584932,-0.00019632242774956393,2.9057006250698137e-06,0.0014600279599824414,-1.5900496970908716e-06,-1.7848808848048343e-05,0.0002592957785564676,4.883027845250509e-05,-1.0300171515578236e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4,868430,-0.36094393033494127,-0.03064863088591931,0.008088169673942996,-0.0002393025272484073,-9.696675316402e-06,0.004628918443917464,4.78981693013804e-06,4.032448859771267e-05,-0.0003152852855049168,-0.000381910789186793,1.543803328851445e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4.3-A4a-A4e,868127,-0.37700991949303314,-0.037515883250703666,-0.007600087380108103,6.668667471043186e-05,1.3929716133101872e-06,0.0013970459726039724,-2.611455282544843e-06,-0.00010683772840055638,0.003019012811881849,0.0015869038426644568,0.0005313427087397717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4a-A4.3-A4s-A4e,868128,-0.3835282426949199,-0.040148436837153745,-0.012609216915781962,0.00020035308240448196,9.203477182584635e-06,0.013851485171196583,8.05574309157145e-07,4.8992859008819786e-05,-0.001480698135062584,-0.0003924673894667106,-3.0618729613620494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4.3-A4e,868129,-0.37397266715915256,-0.03619065518009457,-0.003528551975722967,-1.3762126208611534e-05,-2.9800008176588304e-06,-0.005091079369931662,1.443829263471069e-06,8.532422087842033e-05,-0.0027081324633943652,0.0013886929951975168,0.00021131547718965856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4.3-A4e-A4o,868130,-0.3752056512395658,-0.03671281640486995,-0.004509603088336598,4.749697616782072e-06,-2.65099693556313e-06,-0.007008251752854854,2.2952178486266943e-07,2.044675351252598e-05,-0.000619854684362269,0.0003073887288967724,-0.000987777658971298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4/A4.3-A4e-A4o-A4bg,868131,-0.3758734725472778,-0.03698862884520633,-0.004939449036613972,1.415668830361692e-05,-2.4519598543634456e-06,-0.007896369673989122,1.713703094818092e-07,1.490371697328447e-05,-0.00032480159860138303,-0.0015951479814999392,0.0009167597118492557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4/A4.3-A4a-A4e-A4o-A4bg,868171,-0.3767727287228529,-0.037423725235859906,-0.00725832344155505,5.626667135242286e-05,3.915901514639738e-07,-0.0015825845045826284,-2.3887449370262597e-06,-7.888739828598731e-05,0.0021449551883216352,-0.000967030878604901,-0.0006450797870163913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3-A3at,867888,0.4037474625014044,-0.015583792638428894,-3.3342272316401085e-05,-0.004665281622987579,0.0019091435140085968,-1.8532345934655066e-06,-0.0024955460765368593,-0.0021524468836303396,-6.771195411903788e-05,-1.91807282146052e-06,7.746911239630584e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3-A3s-A3q-A3r,868014,0.4187970209612651,-0.018262802908804148,-5.4670853606493036e-05,-0.0038902789763751253,0.02213729252384148,-3.192612672148278e-07,0.00047561691284938484,0.0005121524734604086,1.876809112857232e-05,1.0769948185491269e-06,-1.9809539291817225e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
