sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
A4-A4b-A4c,867878,-0.3910231715511591,-0.03969175484406462,-0.0002652490147873062,0.04568106634327143,4.893357964182268e-06,0.0019271693291164557,2.2923295392365337e-06,-0.000126503849038029,0.000311005333441476,0.0001542432655970265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4,868430,-0.3607141391782373,-0.028880953231586903,0.0005212070958842916,0.011622777912050877,-0.00016786246312437133,0.005402904738625216,-2.4506086126869117e-05,0.0005443535044529433,-0.000857563675117596,-0.0006826121364560013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4.3-A4a-A4e,868127,-0.3841120239857038,-0.03869105948083639,7.508356599877224e-05,-0.01066501084922697,1.8535109364000635e-05,0.004037791309139558,-1.9092728718130805e-06,-7.277326324777655e-06,0.00217316282192724,0.0026685076622505743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4a-A4.3-A4s-A4e,868128,-0.39273296938477764,-0.042057826676014015,-0.00011712787798010437,-0.017098631683198223,0.0001026799752507815,0.018090147084687275,-5.606945732648355e-06,4.8997996356375814e-05,-0.0017893181560432038,-0.0011138213675503741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4.3-A4e,868129,-0.3806981325648726,-0.037202249010682295,0.00015009375664021217,-0.0057998698841180895,-2.7923728360352222e-05,-0.008167273475725061,3.0820162452600436e-06,-4.077264691316356e-05,-0.00289419137606554,0.0023489271462824634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4.3-A4e-A4o,868130,-0.38298018158809555,-0.03813079827856511,0.00010873047300988155,-0.007385871813374235,-1.537015483408615e-05,-0.011731530074561137,7.4958040740956584e-06,-0.00012235066884783285,-0.0012030925457760916,-0.0009926455148986562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4/A4.3-A4e-A4o-A4bg,868131,-0.381367289722969,-0.03747851138222302,0.00013818787055662693,-0.006316411426811514,-2.4157366110020663e-05,-0.009252555320054145,4.479451441372701e-06,-6.905010420857598e-05,0.0009291634009329706,-0.0021223808627051227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4/A4.3-A4a-A4e-A4o-A4bg,868171,-0.3833666756282703,-0.03839698969862082,9.51121684223976e-05,-0.009813956371025218,6.1829919661045906e-06,-0.0007323496517778194,9.606383842671915e-07,-5.242835514351451e-05,0.003254453574371666,-0.00029950013013432526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3-A3at,867888,0.4031908601579193,-0.01504757018860312,0.00591916661347765,5.824374596947134e-05,0.002079762975241335,-1.9327078998575358e-05,-0.01208261197346626,0.004004711696920977,2.65202511589146e-05,1.512362006263705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3-A3s-A3q-A3r,868014,0.45035080777921693,-0.023028919922646284,0.050885020020766066,-5.409800302695657e-05,-0.021037524082718192,4.4547119781591235e-06,0.0011736358555149685,-0.0018971268853085854,5.210909094448507e-06,3.1767692445480274e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3/A3bi,868016,0.3870578557777054,-0.012359520258171304,0.007073304617958882,8.394553323045913e-05,-0.002391958011291342,-6.39273266652198e-06,0.0054911388807554916,-0.007836151062721475,-0.00011934483260290604,-6.18401336557599e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3ac-A3,868221,0.4275175690267472,-0.01903809933424982,0.016841259892944296,5.7764437480992436e-05,0.037482343018101015,1.018208961004713e-05,0.0029989554391699736,-0.001764603291958793,1.1040290712787484e-05,6.222445432948978e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
