sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76
B6/B19i-B6b-B19af-B6a-B6e-B6g,868864,0.2890215281255857,-0.29290098649701574,-0.5007188367027353,-0.2963721269527415,-0.13226441882491755,-0.01619549181186037,-0.06407740987358662,-0.0142688944847609,0.19176783309548956,0.1718897369166736,0.014317737211434976,4.591038983471228e-18,-1.0215868471322583e-16,-0.0002204209138671435,0.001377992360214317,0.00025901602595808257,-0.00044009251462517234,-0.0008681207119063803,-0.0008821219887143676,-0.024220670460726717,0.0773626019078988,0.014509097474114885,0.08640509403838836,0.01898989826443586,0.0020760586950521313,-0.0005517167154833699,0.00021997448907714394,0.009151775163007792,-0.001822465030209412,-0.0031960823416300656,-0.012761777674526026,0.003115091399888835,0.011000145196474702,-0.0038276695326481852,-0.00937170418983778,0.07225958405429153,0.025477953834151197,-0.0019499927464740657,0.001981531427487153,0.0031273513259777617,-0.0023772108073069134,-0.0005900693254847705,0.0001112363562912288,1.0427702052517128e-15,0.0013183917531585045,-0.0006335616819185296,0.002001792766100465,-0.0002094514121944828,0.0016083074995074454,0.0003196891139747011,-2.227736831061026e-05,2.1847092688541547e-05,-1.1876938033458737e-05,-5.189272658071223e-09,-7.550719655818776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B6/B6e/B19af-B6b-B19i-B6a-B6g-B19ag,868865,0.29326474689755133,-0.3027088401562109,-0.5235276141697023,-0.3031717546970022,-0.13298846970784475,-0.01528670992787633,-0.0550654919002056,-0.010092666867980276,0.10158791938788662,-0.00875118951880971,-0.008818519431229192,-6.350914700283146e-17,3.958978778483402e-17,-0.003517568355688535,0.006085802552810367,0.0011678146647391106,-0.0032442026823561814,-0.013293469392366343,0.001521735994581513,-0.008707676344206577,0.09059185532597241,0.027344384734082346,0.15434517074662332,0.010331990964817015,-7.847980043143616e-05,7.988933832050813e-05,-7.421358661796567e-05,-0.004406594896270477,0.001215043354383291,0.002170131585220112,0.009894580198209978,-0.0025231010546841104,-0.009145490136763114,0.003234351487961026,0.008374845107901319,-0.06497773331725477,-0.023092040901268342,0.0017896722370739973,-0.0018356913785376049,-0.0029212928722018986,0.002220701828175103,0.0005536915215473454,-0.0001045076901909304,-6.428075516603379e-16,-0.0012422998458843434,0.0005972399091250506,-0.0018903862601341193,0.00019818665237176253,-0.0015238552202060758,-0.0003030280027838789,2.112030965746243e-05,-2.0733879987749793e-05,1.1275342204495632e-05,4.929662453037882e-09,7.175394727628518e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1fu-B1fv,868866,-0.3402531534974822,0.060985157940816485,0.001016080491436414,-0.013736198008211927,-0.009151805582693752,-0.11785832494878007,0.04668934491018515,0.01354483659892096,-0.0011410269230770639,0.001934758961797417,-0.003637395789413381,5.1225229801221996e-17,-1.1711479939513604e-16,0.0020865554363735397,0.0003414437404090054,0.05942401193187686,0.0034440868042194457,0.0017414954189480002,-0.017677481242267607,-9.219656724412392e-05,-0.00025651355430034265,-0.012900851929967493,0.003174450694373868,-0.0040831388347872975,0.015801350763129537,0.010452997828959892,-0.05781008690941291,-0.02765592279953144,0.008111045418671492,0.013983735911924663,0.0476384524524261,0.07925306123692269,0.030225437811081408,-0.041988592545331785,-0.007705235858979256,0.011976421104964602,-0.029530193037520112,-0.026192452467631973,-0.0013595337297585622,-0.008439129169562689,0.00930389825183497,0.005337513497692876,-4.7546579614198964e-05,2.694379215867972e-15,-0.006787877563308962,-0.010494351489377813,-0.003799981960175232,0.000497038432866937,0.000688872882176906,-0.000720825298153442,-0.0012436286880407902,-4.84524316349403e-06,1.9791968184169678e-05,-1.6655770097857155e-07,-0.0014103992296862753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1do-B1-B1fw-B1ei,868868,0.1605320837891285,-0.4445280144840897,0.3316101096728853,-0.044769909928841355,-0.03381575274591307,-0.016134004168894857,-0.017309660356533457,-0.28380633967752616,-0.016907024893962664,0.02090390019125413,-0.12183792320658023,-7.216286970612223e-17,3.49759291382674e-17,0.029099689348369477,0.11593854625473922,0.0003914836694921745,-0.001654948887343847,-0.005105561090270984,0.002325216045467417,0.010700493861241027,0.0017152926707248068,0.009191731275397493,0.007391382734641343,-0.034285881345657195,-0.011742569591444697,-0.0005473950664109121,0.009687960732524906,-0.023178317084128028,-0.02328340202286382,-0.02683068731242797,0.006798566597474229,0.00014203420491488798,0.002515236245228228,-0.0017228168446342727,-0.002009961712689102,0.0008399569166042338,0.0012622549063184294,-0.00020619431594306404,-0.0003994204784316948,-0.0013004247579287336,0.0009952161294336532,-0.0009351430692733629,0.001547777350227339,5.163280752815877e-16,-0.004648060983056553,-0.00024151675600948318,0.014301182577823465,-0.0008940441228858335,0.016448361196656523,0.00786990391022636,0.0028224169542329577,0.0018915542394170736,0.0001541516402893229,-8.014394928841443e-07,-0.0011206025020347363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5dr-B1fx-B5ds-B5cp,868869,0.5572675415686245,0.2984971480332023,0.06522723676152788,-0.16592879913060898,0.20742425106103962,0.018320245605015488,0.051496631189847014,0.00040360653511128605,-0.001910617293597952,0.0006297720736074266,0.014156872508285569,1.9507064352244429e-16,9.302166992410712e-18,0.00564841004043537,0.001446923744952235,-0.0004913682737387236,0.001731426699350094,-0.0242347292057361,-0.009905401860033759,-0.07428397636936503,-0.034293960970884996,0.010005101501229973,0.008135447313799922,-0.012026593948301923,-0.004202263764309201,0.00046961231399872774,-0.00044094618191716227,-0.006056109580995292,-0.09232355479328726,0.0901508044214431,-0.019969961647265912,0.001805710327212952,0.002650533289956325,4.6133549715441326e-05,-0.009164835286131856,-0.0014165337610106022,7.16064422502846e-05,4.487930517626849e-05,-0.0017620195281954363,1.528801638280722e-05,-8.697233650450509e-06,-0.00028911802524982013,0.011235933415102192,-1.9328500217680844e-15,0.0019373789280297854,-0.00019921908660080201,-0.0018843385817266796,1.4060010865878844e-06,-1.0619077867999366e-05,-9.518900589298202e-05,-6.618097345460498e-05,-2.920736336358269e-05,-7.844134653311792e-06,8.867333154465161e-09,-5.878653661804223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1do-B1-B1fw-B1ei-B1ej,868870,0.17963993845136217,-0.4530030001209824,0.32880892313501126,-0.04310425322193149,-0.03339532136279254,-0.021744194545915436,-0.015646954385523066,-0.2913164068853302,-0.01948233688687598,0.02023601379684373,-0.11204974501915578,2.213092368220862e-16,-3.287243701099834e-18,0.027414531031137276,0.11631863947425272,0.00037439417492885564,-0.0007709832054671771,-0.003745479270894079,0.0016449287874547654,0.008912669216285826,0.0018735663806577225,0.00629502217223843,0.00606938379591341,-0.03348276567737921,-0.014254941355547404,0.00014954230544197058,0.004299185620778047,-0.01794628745188104,-0.025246232086145275,-0.026529357148609607,0.01723536447736259,-0.0028517240138702226,-0.011551845793510433,0.005489662280748975,-0.012615278005670801,0.008045089492932107,0.002060253710821788,-0.0014155189287072135,-0.002312387692161435,0.0010873930215541967,-0.0008160077593204603,0.003500239285459059,-0.0018121721886560278,-7.06074404256535e-16,0.00395507128891437,0.0018371718801892644,-0.019299314579236358,0.001435596521679314,-0.022883348236539768,-0.010328050396061576,-0.0036527906198391374,-0.001795229743089378,-0.00013759469025450858,6.408243969261738e-07,0.0008086141002306163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B7-B7d,868872,0.2657107766835896,-0.22007545623047706,-0.23735515462490941,0.41447935803108266,0.411499618420423,-0.17465000215801457,-0.20866087377224227,-0.02481594733910786,0.19675307378025994,-0.0590270452018964,-0.01993464161601571,-4.437365618811651e-17,1.1738916180222102e-16,-0.005252845815396228,0.00697088086695651,0.0011133110442661147,-0.0025421385459782073,-0.010236255009416996,0.001718847089797409,0.011572070832961839,0.0010153680793418879,0.003351544813673829,0.005914963177860351,-0.0080340022279072,-0.0009218525089608453,0.0002384354466685287,-8.673728715598277e-05,-0.003186769904183787,0.00046503181707909105,0.000789593675156869,0.0021742752216959483,-0.00042062256795117497,-0.0012108790077734097,0.0003548571682942353,0.0001489637162529033,-0.00035213360006927576,0.0002591391673215716,-7.27561015562157e-05,0.00012127458240795114,0.00027034995422253,-0.00020594671538364293,-6.0601735404990517e-05,1.1964965340103517e-05,-0.04448227758861345,0.00015837134743811499,-7.729288684544466e-05,0.00026135080125353296,-2.9561518984727898e-05,0.00023988115724534354,4.852910717555598e-05,-3.40909371886786e-06,3.500452778663447e-06,-1.9310993212118425e-06,-8.706480630599998e-10,-1.2881979063464368e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B14b-B1x-B1bh-B1be-B1g-B6n,868873,-0.26568958009103827,0.02890192078297487,-0.0089679475856126,0.017051621675071366,0.01259937788857247,0.1776396140273197,-0.07889666883280252,-0.019700315752353936,-0.0008555961590894371,-0.0006899799151864537,-0.007188366828717754,-3.963877405364483e-17,-2.483095815116068e-16,-0.01460638941490889,0.0009322962525041715,0.018560813701755018,-0.22696466647939087,0.011233794671599429,-0.061039339670946616,0.026918782968069876,0.008149008969158315,0.21343137809182897,-0.043939290986297716,0.03236267224200929,0.0050880916878455066,0.01901775071229729,0.015471490927022095,0.013546062372186115,-0.004070047455223703,-0.005924991637448918,-0.0075571878113888,-0.008097560996610992,-7.518962074732094e-05,-0.0006076777381581248,-0.0016073490949430698,0.002913402903598384,-0.008661374659082705,-0.013652980232760646,-0.0004188944858975807,-0.0026200833695051652,0.0015972603685235948,-0.000464541158786195,0.00025885953142425417,1.1121169351499135e-15,-0.005144654560011904,-0.0021462432678624683,-0.0017531237094205645,0.0006681763553963816,0.000965369732039989,-0.0006697882189873642,0.0006174169946498704,-0.0009180255356134653,-3.285351295662146e-05,1.3160748462951522e-08,-0.0010735601702079479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1/B1do,868874,-0.30275185075031635,-0.09461964131899453,0.19593500714415563,-0.06271986994641326,-0.038187412205332935,-0.12464849537341127,0.017425332236620086,-0.05111580543593041,0.03376761721981739,-0.021298518599386876,0.03070989952498394,-1.5234517756850307e-17,-3.8061896199392e-17,-0.02484558347991203,-0.06134424851654294,0.02824240525382328,-0.0024623981520783085,-0.014257374901652003,-0.00011765179828500188,0.018956557291731013,0.0013705814528295502,0.0016697902690960445,0.015003818153556383,-0.018356664443176584,0.01197772754116422,0.0063815662021455615,-0.02706512397728572,-0.02151233561776534,0.020826587283069065,0.025144421253363677,0.016494309664533812,-0.004794353631127912,-0.018466069196688147,0.008386379313920757,0.0016050529432311935,-0.0009643561784778921,0.0005884278861557325,0.0013310086434025839,0.0011721438894178558,0.002339811331085328,-0.0017955588040862488,-0.0024740473547245276,9.959943964864055e-05,9.006560367446912e-16,0.002280108445338834,-0.0017351611150504447,0.0037012062815131833,-0.00046170210742497086,0.0035439098164802515,0.0007994818493545383,0.00010343717578951494,-0.00029191676925022204,-4.283806226932529e-05,8.888907713053126e-08,0.0002397447461536041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1do/B1ec-B5aj-B1,868875,0.2560068068670068,-0.5281529004085208,0.362149880995829,-0.034467626637485,-0.03580060061669522,0.012913422858035244,-0.0162681871857455,0.18320278008493118,0.048679284426599696,-0.02299940868289819,0.04484695684173024,8.430501670614827e-18,-1.3644601548696665e-16,0.01066806084676771,0.08902989600474044,0.0010914757634285577,0.004104864171346822,0.004679703251804101,-0.00246267329602935,-0.005087270771618473,-0.0008160754153055031,-0.00982228709498838,-0.0032566202541020346,0.013686641109857602,-0.004015081646854157,-0.00014063529115036403,-0.005967680219923573,0.0347890794968958,-0.01019366421138806,-0.009138152531972199,-0.022072008888413826,0.008821668070734591,0.04396887920753887,-0.023545798960889222,0.013704184211758612,-0.01695062920886581,0.009553536326751759,-0.0012925157441393117,0.0030840083808307975,0.007505006471161461,-0.005716267858909951,-0.0008754858853301131,-0.0008308608623613811,1.2904840616803512e-16,0.006194152005625409,-0.0015107928020661892,-0.0026320149483717034,-0.00015345681595088658,-0.002203617899032915,-0.002136735923096308,-0.0011141233157711296,-0.0005888181523455753,-8.380702174132596e-05,2.232443408596108e-07,0.00010072574736966177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
