sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76
B6/B19i-B6b-B19af-B6a-B6e-B6g,868864,-0.2755794366470177,-0.003081474661376243,0.002230409304499789,-0.0054605063881984555,-0.052638666970295955,0.0011516652587836,-0.000438530269960137,-0.0020307297555992483,-0.0014841239088155922,-0.0063698380962679295,-0.00504071032060114,-0.0007519073940096911,0.0020756047314747436,0.0028730837165397835,-0.00019944244257404304,0.0006569696917080551,0.0027727993160909354,0.0002491737264382399,-0.010213223872120489,-0.00014160475350770475,-7.815471565946197e-05,-0.00023586884772354864,0.00038682983894967936,0.0005983170722438847,0.00015003465989859853,0.0007507484725328044,-0.00044951813208258916,0.00025419087486161144,-0.00013164386047759751,0.0008859092596134015,0.0007436210243103209,0.009438728729765722,-0.0004247920560829776,-0.0005462302135899174,-0.00026553939561263875,0.0017123944735399606,-0.0008199713608202749,0.0012415399686647112,0.0010281039446600373,-0.00019859254463202287,-3.6488220939036686e-05,-0.0007808152038479097,-0.00031440569105456017,0.0007746878161276332,-0.0008157279625226806,-0.00013766973542405283,-2.5358344156303818e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B6/B6e/B19af-B6b-B19i-B6a-B6g-B19ag,868865,-0.2681001573434046,-0.0025240781575355674,0.002187266615359372,-0.0051361602453944884,-0.047081635123008066,0.001859920215324858,0.0003002783718128024,-0.0010157111593251669,0.0006972682820908571,0.004284247665690896,0.004169224377848291,0.0008486735944478426,-0.00200283234528246,-0.002949287429541428,-9.565786949108058e-05,-0.00013701897765777077,-0.00022701847885507926,0.0012956306301833544,-0.013620609984792633,-0.00021247780368695968,-0.00033093692184796005,-0.0016953665017800192,-0.0005890396441147834,-0.0004137228921619558,-9.67649605559373e-05,0.00010310019391360863,-0.0006663718377850568,-0.000660660073617823,5.049191437517493e-05,-0.00035074361344289656,-0.00039745122617900017,0.007149941003868165,0.0006121015470884841,0.0009675002096994197,0.00038962863307195786,-0.0022709392218457757,0.0010493396789544892,-0.0015611223761122263,-0.0011777110351985707,0.00024949325463477056,4.460791394620909e-05,0.0008473086960550525,0.00032538276161615646,-0.0009486376418346707,0.0009430366209010426,0.00016171054343859065,2.890116245974051e-05,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B6e-B6o-B6p-B19i-B6,868895,-0.28414285504897424,-0.0016397856478893207,0.002054289541982153,-0.0069409162734299324,-0.07117540847208875,-0.000818963250169592,-0.0013774611393098618,-0.0030033940750857566,-0.002454427848973583,-0.008945767842163365,-0.006181583570835296,-0.00037390901819499815,0.0009281162754356934,0.0009457774391860827,0.0003635663079355092,-0.00022490465773177074,-0.0014248797195648589,-0.0021416466181610923,0.031170464296406655,0.000517876740678053,0.0011083600723355096,0.00482756958176075,0.0008083768445670116,0.0003728989206399282,7.079051846029865e-05,6.36486235716234e-05,0.00010404936739691831,0.00016218732377534312,-1.5669249187444566e-05,8.115906383405505e-05,5.552149130152097e-05,0.000645781747329511,2.0077335231390544e-05,5.036010696605001e-05,2.8881799430933e-05,-0.0001924197903358713,9.279715905485387e-05,-0.00014690014559583985,-0.0001241054681487947,2.844650781815869e-05,6.220143582575785e-06,0.00011143691387912133,4.1476574174853314e-05,-0.00013885940699977597,0.00014040906857204637,2.480389450470974e-05,4.4835388943074325e-06,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B19i/B6g-B6-B6a-B6i-B6b-B19af-B6h-B19as-B6c,868661,-0.2780035023996293,-0.0010811666823619193,0.0021752866858344108,-0.007007781566746787,-0.07164256419831636,-0.000291019988449584,-0.0015304116101971033,-0.0029343816447012436,-0.002643420038701836,-0.009827965531398681,-0.006869277248937501,-0.0003727426506031622,0.0009177861467260189,0.0006933459806964964,0.00037922939739381655,-7.896204865650186e-05,-0.0004623473636533546,-0.0007060496435390567,-0.014674007358639161,-0.0003093675264181604,-0.0007404090831778336,-0.002848056527943832,-0.0002519704322095071,-0.0003417814842065327,-2.2316981095515092e-05,-0.0009183870588534844,0.0011019210578449422,0.0005470284907138006,5.026931957690785e-05,-0.0003451758081856467,-0.00022354055504986953,-0.012826586562521523,-0.00016472667456721333,-0.00034586784253752464,-0.00010115131127901792,0.00044424274836337156,-0.0001820661952782546,0.00025425215730909447,0.00011924947214440286,-4.167695677097011e-05,-5.893320704593901e-06,-5.3002032755828566e-05,-1.105469605806404e-05,0.00012279340336963828,-8.855158434028635e-05,-1.6495803092251382e-05,-2.2514044592176023e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B6e,869002,-0.24011502169040333,-0.00377658724651835,0.0023028162476718627,-0.001961982402024391,-0.005126420159722645,0.005660352934397074,0.0031057524200204857,0.002476678367687276,0.0061299559990297976,0.02743438741485874,0.022396160282086172,0.0031672224451946393,-0.0076139103706183466,-0.010578126015891372,-0.00032307453114878757,-0.0008131063310260716,-0.002774355618396497,0.0024143109258833095,0.00466092295896962,0.00011535007524914937,0.0005785349290385733,0.0020776474423253133,-0.0004966198816124852,-0.0005917865911493002,-0.00019667451071517846,5.0094149217520615e-05,-0.0007646300633474072,-0.0009379022351374885,0.000108529860179222,-0.0007218130284338136,-0.0006540478993643475,-0.0023908952950102026,0.00026863963861936587,0.0002589177613321616,6.0188064883756246e-05,-0.00026887132005260633,0.00010780633168299969,-9.765980847817421e-05,-1.1578498405780365e-05,-2.834420614327223e-05,-1.2283398319388709e-05,-0.00015403865353590265,-4.541186931680137e-05,0.000309938660512077,-0.0003099457278946398,-5.9570771545291056e-05,-1.0426197180774107e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1fu-B1fv,868866,0.04499196850878809,-0.007915099832947496,-0.000318022105660953,0.003762622165661502,0.00018216789369952067,0.00018380287800655667,-0.007469219932083977,-0.005975363297866748,-0.00119202827889252,0.0010043151949750762,-0.00241599427723502,0.005141525158238743,0.00019593804073673768,-0.0026833598539535014,-0.0009961499731912253,0.0010151705533371059,-6.127681432202703e-06,-0.0022504267304400325,2.4236133882004783e-05,-0.009020716634344561,-0.001963734430117815,-0.000527340290906432,0.018390596853590246,-0.022936020849709447,-0.0016982175253280587,0.003559243514460265,-0.0036976113680713242,-0.006129640354748954,-0.0011648438001795789,-0.0013572594052123767,0.00012069008889180956,9.241477031979603e-05,-0.0006766385616323992,-0.0004577149594732355,-0.00011106042176257301,0.00045125214248693986,-0.00021627768061872177,0.00019848280443173082,-8.592056349930617e-05,6.463302412758971e-05,-1.1569997573184638e-06,-3.414468391926312e-05,3.281877785681235e-05,0.00011326044381403977,-1.5657682140965007e-05,-6.296878425412713e-06,-3.5407966639763113e-06,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1do-B1-B1fw-B1ei,868868,0.04763595601232733,-0.010618711986921874,-0.005367070072837939,0.02867409521152885,-0.0034946266812487703,-0.0001607337008036235,0.0075896924000170545,0.004881540455368869,0.002379849133869084,0.0012013578432805217,-0.002425495750320381,-0.0008666683911609943,0.00038110566247926927,-0.0016002792833746924,0.0009045032896381682,-0.008086277930023054,0.0018491081975598707,0.00101051168398063,4.287904785398089e-05,0.0005731804182749694,0.0004514216073577977,-0.00020565837997052174,-0.0003759598752830286,0.0002695865906723656,-0.001260819143877992,0.0029274825810924584,0.001074322069729548,0.0007001606504889747,-7.5809862513771255e-06,0.00021234206986259574,0.0003707621733541588,-4.4718430784703436e-05,-0.0012621034144504905,0.000225971211984146,6.19850122872296e-05,-0.0009096783931447935,-0.0014180068930352264,0.00038836932616009634,-2.6390388229238054e-05,4.523790303714112e-05,0.0032468245420864384,-0.00013506432262646909,9.283023016668481e-05,0.00015541992936149863,-6.127716700793469e-05,-1.3507785568240195e-05,-7.92442120156018e-06,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1do-B1-B1fw-B1ei-B1ej,868870,0.046238054091088054,-0.01042134891887835,-0.004667004581914747,0.02695068925568225,-0.0032357665910501365,-0.0001277083739518156,0.007068544671559833,0.004496378217153724,0.002424008982449126,0.0012622811378315746,-0.002695994599377816,-0.0008064284665227181,0.00038367384400937596,-0.00181951924428187,0.0009268431136023668,-0.006519938559730808,0.001329305141340275,0.0010833564787174216,2.7966291184798027e-05,0.000865213803122791,0.0005450320584354803,-0.00019914703772285183,-0.0005417850091670147,0.00029409011996967005,-0.0012496545906321263,0.0027480238036184084,0.0007066692446898199,0.00010742250931721202,-0.0005365917119661179,0.0014668248225721506,0.0009071573863408269,-0.0001193971535486545,-0.0006413779377684772,1.1174683134543967e-05,4.5048718306122116e-05,-0.0009562745016848119,-0.0013586302393986847,0.0003207708314194608,-1.7937166230436715e-05,2.021088577439455e-05,-0.0016533905881870464,5.993790462685352e-05,-4.366562095819018e-05,-6.154343321900062e-05,3.998263134697368e-05,1.1691645024449435e-05,1.1289156196153701e-05,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B14b-B1x-B1bh-B1be-B1g-B6n,868873,0.04989223747729403,-0.013399298222671743,-0.004291547074378704,-0.011663116290758875,0.00047454448661375236,0.00015429340995949756,-0.00022506611367330222,-0.0003102378973477422,0.0004264413561212169,-0.003507091794712018,0.006683166127405368,-0.0011498771696307093,0.003914273207584859,-0.0006572841589604124,0.01573748197796972,0.0011079671915681156,0.0021841924955683673,0.0013086219216856003,0.00012287776371222396,0.0001126228760017325,-0.0015106626249389318,-0.00019942947577507008,0.0014396737278214104,0.001192875019843863,0.013697579808029322,0.0027996617244481045,0.00935728238467502,-0.0033955654076063737,-0.011185687063109592,-0.0024131541120362247,-0.004861764270155978,0.0002675230417166681,0.0014081436852996549,0.0009883132332742066,0.00014368600150221414,5.880593345597833e-05,-0.00017238576194558768,-0.0003839725532930079,0.0002478882652656943,-0.0007739014716315506,1.8071558070825708e-06,9.121467697675125e-05,-0.00018520826393057606,-0.00010497765230915048,-9.704683849916751e-05,-9.996786508603328e-06,1.262919020631411e-05,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1/B1do,868874,0.03618519150655991,-0.008889285731259251,0.0005914948132775132,0.013413428563611034,-0.001204954211258483,0.00012508088720636343,0.002559905838615332,0.0011735525993836673,0.0025973863474067996,0.0017102712067019778,-0.00463818009132484,-8.132168688826e-05,0.00042034603661085903,-0.0034256321190060703,0.001225755337884223,-0.0010219601179827405,-0.000661391099517035,0.0016049350981897897,-2.0268536582816004e-05,0.001948634308168473,0.0010091920241743478,-0.0002808504600395846,-0.0008564190162120678,0.0004849963960529633,-0.00133893319501618,0.0022703185921783605,-0.0002521702311825616,-0.0010122512251066291,-0.0013587755214555725,0.004197307427033766,0.0027157890006713134,-0.00025484101251321004,0.00175533288388532,-0.0011141726075692376,-0.00014193290243365883,0.0009535953036298861,0.0007575663627523556,-0.0001126150602170264,-0.0005384778478769301,0.00010263591255487349,-0.0008879366052930151,-9.979687800382015e-06,3.097761762260525e-05,0.000146980770585891,-8.353493136700013e-06,-1.3326038979529683e-05,-1.2992415819628345e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
