sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
D1-D4-D1hg-D4c-D1ju,872515,-0.07809891262150981,0.012888977013738616,-0.03812928025730553,-0.04418331493243426,0.08765910083051497,-0.00967577262773233,-0.0029821317270887853,0.00024515772313372594,0.0013863490870911746,-0.0002085644721833802,-0.0010308370993620988,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c,872095,-0.010800176144034153,-0.0517727172782195,-0.011807131359000585,-0.015547270071754125,0.00016233898571806803,-0.010688062072926744,-0.012810415187875374,0.010757368103727459,0.008445479295873208,0.0011168250091540808,-0.002892532310844157,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D1k-D2,872097,-0.06891926233818708,-0.01458780512994147,-0.03567527892176877,0.012654033514671263,-0.009033643182446134,-0.004441183050792431,0.00598942768416688,-0.0001922537616962327,0.010228725929904418,0.019752550851933087,0.00898024916683241,0.0,0.0,0.0,0.0,0.0,0.0
D1/D2-D4-D4c-D1c,872101,-0.0523344591118389,-0.027979548014011143,-0.03156974788205524,0.003057318704424085,-0.01332154330577384,0.002780971475322236,-0.0023757609209646667,0.0011293672549493375,-0.008082792613042443,0.0020573002758520675,-0.0004159053588333974,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1c,872110,0.23219753052069442,-0.2214628262711268,0.03886822671674078,0.03498990913906004,-0.01698525296876595,-0.01213320220601291,-0.01454002703765916,-8.881730214743606e-05,-0.004967147565868166,0.0005442974604647024,0.0011791781796027874,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D17d-D17j,872623,-0.04224033740198617,-0.02573606885417524,0.01989137900705005,0.0073662024509751015,0.0025649325106353593,0.0003237488732739873,0.03831052240113611,0.006593331222424694,-0.0072317017392521535,0.00579572525338519,-0.01088154530861466,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1hg-D1c-D2,872625,-0.07879614226616459,-0.00651628285360384,-0.04111724072308393,0.00016611118511836094,0.013506474612406946,-0.021033762971553998,-0.025687357034489624,-0.008852109159870138,-0.017938969651375553,-0.0016804862458441483,0.004035772909191671,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D6,872144,0.01725200281030165,-0.028446421432348046,-0.014261666594476136,-0.022895001682964936,-0.01626985449743387,-0.051111493836882405,0.006986844279141698,0.031134432156524162,-6.587416278811754e-05,-0.004538872458903171,0.001177881777979881,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D6-D1bb-D4,872711,0.22293654478341815,0.3516878804965495,-0.0491471671843468,0.02840386698357153,-0.009377471444712968,-0.0145749287872473,-0.0014000768856124283,-0.0015155517717316321,-0.001214518947564635,0.0005861676812157379,-0.0006883674260271093,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as,872742,0.32679704667911513,-0.06838547194733145,0.0042984371536150595,-0.05484920965291874,0.02182220722632687,0.035440101841890496,0.007564879751062846,-0.006387935632568848,0.003679254062239823,-2.5111380964925683e-05,0.0006802810250773258,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4-D4c-D2-D1c-D1h,872265,-0.06224579089723687,-0.017222774508404516,-0.033889245626243646,0.00688573060266772,-0.00870480865505086,0.00983260965563317,0.02995610001852755,-0.004192272777999117,0.0027048771077423568,-0.01551521318666278,0.010694043690219037,0.0,0.0,0.0,0.0,0.0,0.0
D1/D17d-D4-D1r-D17e-D17j-D17c-D17l,872299,-0.06994417244363293,0.11361006836441984,0.2232518015176413,-0.025415110280503635,-0.0017113114736076053,0.011266806930101488,-0.008274447333669336,0.006474921586685884,-0.0023604033497741763,-0.0009295148889117954,0.0021605799350337676,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D2-D17d,872304,-0.05487548815274563,-0.023028895525283956,-0.01292263936931868,-0.000670342164870423,-0.018812211766991032,0.0005019230295320988,0.008883872735768003,-0.020540297708834084,-0.01362089313720489,0.0006560256844490916,-0.004264514837126938,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D5,872327,-0.10614591370281518,0.03579946454602159,-0.05458390430193559,-0.05239978870649005,-0.03417793082353411,0.05927547845012375,-0.011808768634862434,0.009203498586561614,-0.0023935791991509183,0.0015208871821173692,0.0005873008223149574,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D1ip,872334,-0.0691471005648225,-0.013052360841888884,-0.03779999851104579,-0.005529668176248701,-0.024806382118249152,-0.0036231131641374465,-0.017244831344087164,-0.008795289834838427,0.017393647372382248,-0.007332103611578763,-0.00926233342013067,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D17d-D1r-D17c-D17e,872392,-0.061565268654307656,-0.0026937640278473763,0.06668872118277669,0.0051569148914041565,-0.0033563146042883906,-0.028958227847123257,0.005176147076358309,-0.025420137364378995,0.010949647562368861,0.0007449632452529025,0.0009823233509275242,0.0,0.0,0.0,0.0,0.0,0.0
