sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
D1-D4-D1hg-D4c-D1ju,872515,-0.10202599543459848,0.0015182815207994077,-0.09464092332451596,-0.11214801228199994,0.13115464342944388,-0.08333637246272903,0.013608427551943546,-0.0008824363440987551,-0.0004367812737907026,0.0027819155635671836,-0.0024745645815251777,-0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c,872095,-0.013930178222057004,-0.09786574114690356,0.007802235719944516,0.01360977661855176,0.0343391544666434,-0.019618284728903545,-0.042690242557908015,0.030761494127767436,-0.001485569062548781,0.018514296619562384,-0.0008733708591123217,-0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D1k-D2,872097,-0.10861424491480164,-0.059588634492845856,-0.03767866629152089,0.012160083040761629,-0.050287173846949314,0.006562489568236136,0.021290117187053533,-0.021067639268005072,0.03911514865912412,0.038525834313815,-0.0034646170287883017,-0.0,0.0,0.0,0.0,0.0,0.0
D1/D2-D4-D4c-D1c,872101,-0.07920193406632237,-0.0829281790357447,-0.02580620312717673,0.012376799775035979,-0.006917514423769507,0.02767673157628826,0.0003597763227543233,0.006783869290318929,0.0029563774116365066,-0.01096524453603578,0.01233391289524842,-0.0,0.0,0.0,0.0,0.0,0.0
D1-D1c,872110,0.36056709063623177,-0.2287028360700778,0.15813904917946447,0.014205703167654151,-0.034352507400284886,-0.023214963481480562,0.01403574761297219,-0.0025389151751592843,0.002758906228156451,-0.006116140503365335,0.0005169919804409794,-0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D17d-D17j,872623,-0.07840661527340088,0.007855550828317216,0.08373017982122016,0.003045302817690521,0.027680875074975724,-0.00047306769818087144,-0.05076725745373446,-0.04814417565317953,0.009685122424193929,-0.015762210645157728,-0.007015020237212158,-0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1hg-D1c-D2,872625,-0.12066567049501332,-0.05135466119432976,-0.05015940148225924,-0.018220181221919207,-0.01777593429474051,-0.054289804329622056,0.06826475819393632,-0.0031819806823692237,0.001285771219240644,-0.017344475791730204,0.005030787625036446,-0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D6,872144,-0.009609593628681593,-0.03404771055551817,-0.0520419010482243,0.06435755251279959,-0.019697092306379255,-0.07199752329487409,-0.061630167793569876,0.0027555681199288753,0.0009815109017162695,-0.007068873042569659,0.005302263204667966,-0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D6-D1bb-D4,872711,0.21133985101286593,0.333492995640275,-0.22576115660682247,0.09649696098516064,-0.028847306571149676,-0.01224451066799072,0.004327670673095611,-0.003508250078676128,0.0005077104478039751,-0.002274548432829867,7.728751137037856e-06,-0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as,872742,0.49988353114020545,-0.00302406695325956,-0.04145660933552661,-0.10542879270063059,0.010514810269057958,0.024322122432381882,-8.932469748432868e-05,-0.0006032214933472329,-0.0023671769444168233,0.00489764159043411,-0.0009613912497003782,-0.0,0.0,0.0,0.0,0.0,0.0
D1/D4-D4c-D2-D1c-D1h,872265,-0.10200018835887166,-0.06193189015750802,-0.03959296281899395,0.0020732818124349762,-0.031369041208159656,0.024429920863562417,0.007767222273954221,-0.028627066753476874,-0.0508340420057312,0.018180538520252126,-0.005775539540337986,-0.0,0.0,0.0,0.0,0.0,0.0
D1/D17d-D4-D1r-D17e-D17j-D17c-D17l,872299,-0.03621339959257186,0.3355053121538939,0.24560136450495193,-0.048325604228370934,0.021667160788354553,0.026684357068144402,0.008810701589568315,0.0008107186344361126,0.004088139641040485,-0.002518906212078211,-0.0011344165054048934,-0.0,0.0,0.0,0.0,0.0,0.0
