sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
D1-D4-D1hg-D4c-D1ju,872515,-0.14753409618315108,0.17689932626256105,-0.12427670607717892,0.0901204021083293,0.06067066353165376,0.0044080842405984115,0.0017476844004516412,-0.010066557554115875,-0.0019169791312052672,-0.0005506156481136647,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c,872095,-0.06679067030294855,0.04800968135962192,-0.018621526746719554,0.026813263938009622,-0.02321729453438009,-0.009789688828963531,0.032537955540033296,-0.018118465637801517,0.00016928008790259363,-0.00035021614808132464,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D1k-D2,872097,-0.09674816459958908,0.05536921515388833,0.010586054310281028,0.0013791043520199073,-0.010896846722031693,-0.002091076069326259,0.0013509473894692979,0.04154404753509429,0.031667163324068395,-0.0014321218911146354,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D2-D4-D4c-D1c,872101,-0.09052229008705878,0.0378383171954827,0.022131181896232997,-0.00752938939422913,0.008156941552927075,0.005137509167398778,0.0032315798974129296,-0.0073792795250938025,-0.015309728797561512,-0.01723537651165963,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1c,872110,-0.014782483809409785,-0.15592327318105928,-0.15671040756941712,0.0037344792740358957,-0.00996083907792525,-0.009075367335817628,-0.014262761170483909,-0.008866850628345949,0.013052708550663612,0.0031864715313549715,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D17d-D17j,872623,0.2755718205400936,0.13599068137061576,0.08303621467775094,0.026316947130956378,0.01435405321991991,-0.05901218574687454,0.037650909259902096,0.004383577488073552,-0.001370512522084466,-0.00035808326564673213,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1hg-D1c-D2,872625,-0.12917561180819107,0.10770017387472111,-0.031504017851307554,0.030108979430041018,0.05874996966868955,0.003619090894420133,-0.022467509574034192,0.014988833035545681,-0.006323044577119661,-0.0011503046682233226,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D6,872144,-0.11140777224419082,0.027914532069859437,0.0651960985693292,0.021706631102539047,0.019096731696796578,0.006660941224556782,-0.00211525569041743,-0.028076456412143676,0.026686844907574305,0.003447223120843901,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D6-D1bb-D4,872711,-0.3054051476566703,-0.35240790722054377,0.1830633940590095,0.05386241863022041,0.021061804157403302,0.002706233243600667,-9.723202041491788e-05,-0.0030551320024437894,-0.0005696532720102839,-0.00029423545997968065,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as,872742,-0.0812440138530782,-0.2514556358337475,-0.13072156817450517,0.07697204158387942,-0.043330147211492746,0.0028147491288837176,0.020996870099510026,0.014316369420108385,-0.012160877451532017,-0.002807208332061021,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4-D4c-D2-D1c-D1h,872265,-0.09689669533954903,0.047662483103108666,0.020373539151502463,-0.0051801732604149775,-0.008212471624331622,-0.0016486026609498186,-0.0011157710738625625,0.004411382922477018,-0.018113480643773404,0.024300685367790335,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D17d-D4-D1r-D17e-D17j-D17c-D17l,872299,0.8857407995296742,-0.14252989540511934,-0.011713555723326064,-0.022948403437074848,0.01728595122718289,-0.007640120967500104,-0.003594182003528213,-0.00186728696851118,0.000681942869978171,2.748628850514994e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D2-D17d,872304,0.030958078398517427,0.06937759621258589,0.07884826637416886,-0.010620384647124056,0.00811066242886855,0.012199842293886194,-0.02054350434346504,0.01533579610555038,-0.015465804728322752,-0.0023916747365708125,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D5,872327,-0.1547658840639419,0.10625253398820882,0.0026883280997010203,-0.11309284279242787,-0.04088286183710855,0.02918118098926098,0.04818690541101119,-0.0007608653025601062,-0.00013086736782596625,-0.0007928742125980456,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D1ip,872334,-0.1355362734075532,0.09516960555635738,0.012459862389762471,-0.02292541197733833,-0.07863538631590332,-0.04745659904232598,-0.05303107884023394,-0.00929869221708082,-0.00211898691615455,-0.003501250316553005,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D17d-D1r-D17c-D17e,872392,0.3373906139566679,0.10258319478552,0.041873172669540513,0.04858426503232062,-0.03891536983448595,0.06850336768037296,-0.018400826328163325,-0.004943628954704907,0.00207297446573656,0.00013148363276859168,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4f-D1c,872429,-0.0988522090696203,-0.1084506292920624,-0.046708330054823215,-0.1973019270737434,0.04656443967421826,0.001482641788778912,-0.01007473095318759,-0.0025467913040449477,-0.0008509787983314395,-0.00022938875065696814,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.6712852101907187,0.19462455271032425,0.06356850265325213,0.041662347337712805,0.012661611422263222,0.0065435130273480985,0.005358066242178187,0.0021703374691385805,0.0016041383272155773,0.0005217206198484734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
