ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
868131	A	A4/A4.3	None	18	24	A4/A4.3-A4e-A4o-A4bg	29206/62749-43731-38165-1265442	0.621[0.121]/0.170[0.108]-0.111[0.053]-0.060[0.048]-0.039[0.030]
868171	A	A4	None	17	39	A4/A4.3-A4a-A4e-A4o-A4bg	29206-62749-40166-43731-38165-1265442	0.618[0.090]-0.136[0.074]-0.111[0.057]-0.075[0.057]-0.035[0.013]-0.025[0.010]
868319	A	A3	None	14	69	A3-A3bi-A3au-A3av-A3cy-A3aw	22385-22403-50832-35893-34696-50831	0.739[0.016]-0.087[0.008]-0.052[0.008]-0.050[0.010]-0.037[0.018]-0.036[0.007]
868128	A	A4	None	9	15	A4-A4a-A4.3-A4s-A4e	29206-40166-62749-43731-45238	0.566[0.047]-0.165[0.067]-0.132[0.090]-0.071[0.037]-0.066[0.030]
868130	A	A4	None	8	10	A4-A4.3-A4e-A4o	29206-62749-43731-38165	0.665[0.031]-0.173[0.023]-0.143[0.017]-0.018[0.006]
868129	A	A4	None	7	7	A4-A4.3-A4e	29206-62749-43731	0.687[0.082]-0.183[0.073]-0.130[0.063]
868342	A	A3	None	7	10	A3-A3bi-A3cy-A3au	22385-22403-34696-50832	0.840[0.027]-0.073[0.012]-0.052[0.029]-0.035[0.016]
868255	A	A3	None	6	73	A3-A3at-A3bi	22385-43946-22403	0.929[0.010]-0.046[0.007]-0.024[0.006]
868443	A	A13	None	3	23	A13	8181	1.000[0.000]
868016	A	A3	None	3	9	A3/A3bi	22385-22403	0.688[0.114]-0.312[0.114]
868127	A	A4	None	3	3	A4-A4.3-A4a-A4e	29206-62749-40166-43731	0.615[0.046]-0.196[0.110]-0.138[0.015]-0.051[0.056]
868014	A	A3	None	2	45	A3-A3s-A3q-A3r	22385-63388-22438-22472	0.880[0.085]-0.051[0.035]-0.042[0.026]-0.027[0.023]
867878	A	A4	None	1	59	A4-A4b-A4c	29206-37645-37646	0.676[nan]-0.267[nan]-0.057[nan]
867888	A	A3	None	1	3	A3-A3at	22385-43946	0.932[nan]-0.068[nan]
867896	A	A1	None	1	21	A1/A1h	883-2111	0.600[nan]-0.400[nan]
868430	A	A4	None	1	154	A4	29206	1.000[nan]
868221	A	A3ac	None	1	1	A3ac-A3	364589-22385	0.600[nan]-0.400[nan]
868318	A	A3	None	1	1	A3-A3bi-A3au-A3av-A3aw	22385-22403-35893-50832-50831	0.698[nan]-0.127[nan]-0.068[nan]-0.068[nan]-0.039[nan]
868870	B	B1do	None	29	33	B1do-B1-B1fw-B1ei-B1ej	29481-4946-44224-1390227-2768937	0.776[0.049]-0.099[0.023]-0.061[0.020]-0.041[0.016]-0.023[0.012]
868869	B	B5	None	23	26	B5-B5dr-B1fx-B5ds-B5cp	29665-1402208-1402209-2151311-45548	0.758[0.024]-0.089[0.020]-0.056[0.012]-0.049[0.011]-0.048[0.016]
868931	B	B1	None	23	106	B1	4946	1.000[0.000]
868866	B	B1	None	12	13	B1-B1fu-B1fv	4946-1913651-89812	0.837[0.053]-0.090[0.053]-0.073[0.019]
868764	B	B1	None	11	67	B1-B1by-B1bw-B14h-B1x-B1dm-B1au	4946-29424-29621-1390055-53205-1390058-29806	0.746[0.047]-0.068[0.019]-0.050[0.013]-0.046[0.018]-0.032[0.011]-0.029[0.014]-0.028[0.011]
868865	B	B6/B6e/B19af	None	9	9	B6/B6e/B19af-B6b-B19i-B6a-B6g-B19ag	62764/1390003/1389998-1389997-1389996-1389999-1390002-2768885	0.201[0.021]/0.198[0.031]/0.193[0.021]-0.140[0.033]-0.113[0.030]-0.061[0.017]-0.058[0.004]-0.036[0.008]
868918	B	B1/B19	None	8	41	B1/B19		0.663[0.248]/0.337[0.248]
