sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
A4-A4ct-A4cs-A4q,1437265,-0.3918369172899612,-0.08845829616199288,0.30755908648327857,0.03619611224051066,-8.358429115713254e-07,0.0047750250380198716,4.8949920479508325e-05,7.10673036280887e-05,-3.25104422229071e-05,-0.0,0.0,0.0,0.0
A4-A4j,1437377,-0.41554875743498915,-0.2136100670793755,-0.08165340727907239,-0.033682851228348513,-0.09065684963024023,-0.0053249790142408165,-3.61676350285184e-05,-6.784350436445455e-05,3.481296097490437e-05,-0.0,0.0,0.0,0.0
A4-A4a-A4ah,1437416,-0.4344017342040967,-0.012017229190866317,-0.09975074172850165,0.1339703638856154,3.073459225555914e-07,0.010952220804949887,0.0002506460401844172,0.00038264134360372406,-0.00018183657988731002,-0.0,0.0,0.0,0.0
A13-A1pt,1437467,0.5526667051263486,0.002407867508634595,-0.00479461554796396,-0.0006562906681060422,-2.692652557328029e-07,0.0016287178020143072,0.011659311068419921,-0.023723025768289507,-0.004941977269439163,-0.0,0.0,0.0,0.0
A13-A1pu,1437471,0.5529535624904568,0.002425869932005079,-0.004852560378619303,-0.0006728385852670202,-2.940305834521746e-07,0.002283961069611148,-0.005467675306364576,0.009485704198826836,-0.005676328994141723,-0.0,0.0,0.0,0.0
A13-A1py,1437472,0.5527510153867746,0.0024131858458739373,-0.004811791976542226,-0.0006612433625779925,-2.770427189087299e-07,0.0018830790234941157,0.013405013033508505,0.005048301338090518,0.018718007472147472,-0.0,0.0,0.0,0.0
A13-A1pu-A1pv,1437474,0.5525396231947483,0.0023998665223392726,-0.004768807286073466,-0.0006488745203622935,-2.5778807136784367e-07,0.001256302811696854,-0.030940241412328266,-0.0035355892587729874,0.0030289875734209977,-0.0,0.0,0.0,0.0
A13/A4,1437533,0.1678298245680466,-0.009436221547711347,0.023719435995547992,0.0040927311158986835,2.464165436228556e-06,-0.014255829718328636,-0.00038122192441625974,-0.0005133602576155974,0.00022733699413156355,-0.0,0.0,0.0,0.0
A4-A4.3-A4a-A4e,1437125,-0.4315519065430994,0.1425340180280688,-0.01967498299655155,-0.09478527369052932,1.9737148970421758e-07,0.04950098846373532,-0.0002914076593404111,-0.00030526455899443085,0.00011962342147790179,-0.0,0.0,0.0,0.0
A4-A4a-A4.3-A4s-A4e,1437126,-0.4174441552784243,0.21543050584263163,-0.03509792793065422,0.11277415934842287,-1.1391883459664557e-06,-0.013883960658111281,-0.0001570366023972375,-0.00026172903313874716,0.000128780591251939,-0.0,0.0,0.0,0.0
A4,1437649,-0.41554957250539915,-0.213607210058223,-0.08165099384262284,-0.033681332653673984,0.09065724378121667,-0.005324818482896035,-3.6152855680067216e-05,-6.782615972632063e-05,3.480587764930806e-05,-0.0,0.0,0.0,0.0
A13,1437661,0.5528145724632088,0.0024171360901995855,-0.004824507810933776,-0.0006648974834136741,-2.8275231830246017e-07,0.0020685456652749026,0.011570226738854116,0.013032908272197125,-0.011265947129009178,-0.0,0.0,0.0,0.0
A4/A4.3-A4e-A4a-A4o-A4bg,1437180,-0.4252222599736142,0.16710057426841718,0.01060181429870903,-0.12157976439817016,-7.1236171165275775e-09,-0.03555925280522076,0.0003757565941231586,0.0004540160845527693,-0.00019375447636914902,-0.0,0.0,0.0,0.0
proportion_explained,0,0.8755225962306846,0.060992120934451326,0.037818456578909594,0.01824479780551587,0.00516796417182327,0.0013605889375016972,0.0004518477154647746,0.00027082497349424124,0.00017080265215464716,0.0,0.0,0.0,0.0
