sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
A4-A4ct-A4cs-A4q,1437265,-0.1741935063173143,-0.0008680236562829966,0.03402627881296328,-0.004667426328494191,-0.009741492481546219,-3.566206246722464e-05,0.0006423597027948977,-2.2759815089818575e-06,-0.0,0.0,0.0,0.0,0.0
A4-A4j,1437377,-0.16396263596358307,-7.022883709822255e-06,0.012962427995992202,0.0036263046345089514,0.019672101042476946,-5.636181862337408e-05,0.001221795189661613,-4.173654181063973e-06,-0.0,0.0,0.0,0.0,0.0
A4-A4a-A4ah,1437416,-0.17289011658587333,0.0006713259977115377,-0.005243706477920149,0.020385378425974883,-0.003988530939206076,-2.3700779364048826e-05,-0.004436833764333411,1.079122343268113e-05,-0.0,0.0,0.0,0.0,0.0
A13/A4,1437533,0.05722926338187241,-0.0018589987543480805,0.0018774373298197865,0.00010624597806963372,-0.0009714726810034133,0.002332387663978374,0.00045404272557750806,-0.000170368890946687,-0.0,0.0,0.0,0.0,0.0
A4-A4.3-A4a-A4e,1437125,-0.17460240939214977,0.001044527043574487,-0.013292789065012224,-0.01020242205868724,0.0001923708364422845,-1.242554671430532e-05,-0.003303786773874608,-7.87470813760206e-05,-0.0,0.0,0.0,0.0,0.0
A4-A4a-A4.3-A4s-A4e,1437126,-0.18343516098600468,0.0012666056301818402,-0.02144513883096701,0.003568238645492357,-0.00418574735399524,-1.2479685849946432e-06,0.006637207617051468,-3.438821488588828e-06,-0.0,0.0,0.0,0.0,0.0
A4,1437649,-0.15167551973640025,0.0006064919874902587,0.005482122229417297,0.00036481993143251825,-0.0024299140599559977,-0.0001097331954804508,0.001389443538221281,6.985683357486761e-05,-0.0,0.0,0.0,0.0,0.0
A4/A4.3-A4e-A4a-A4o-A4bg,1437180,-0.17405003951252634,0.0009874630857598888,-0.01208904209477732,-0.013011529598900718,0.0013532241346300617,-6.019730654067693e-06,-0.0023867501194233874,7.738293323955196e-05,-0.0,0.0,0.0,0.0,0.0
A13-A1pt,1437467,0.2058023694482881,-0.008649934429363909,-0.0005116717310368868,-4.101423047839966e-05,-0.0001310510352774631,-0.013843131649539911,1.043373981899966e-05,-8.141277973628502e-07,-0.0,0.0,0.0,0.0,0.0
A13-A1pu,1437471,0.23533451846728923,0.01781647467427453,6.718868929974874e-05,-2.6933067291657287e-05,1.9853633339653327e-05,0.0011287463873427617,-4.658262766310196e-05,8.38324259933307e-06,-0.0,0.0,0.0,0.0,0.0
A13-A1py,1437472,0.23529085963157945,-0.03881768524936176,-0.0016726690698506531,-2.990308091301068e-05,0.00013065880719796347,0.0046908261111363115,-1.929549114257654e-05,2.3847047922738894e-07,-0.0,0.0,0.0,0.0,0.0
A13-A1pu-A1pv,1437474,0.2608644122675783,0.03136042097128726,0.00043466112456299987,-1.1441071636398595e-06,4.757283280171184e-05,0.0019398960423775067,1.5547601243499976e-05,-4.9951023072959675e-06,-0.0,0.0,0.0,0.0,0.0
A13,1437661,0.20028796529724435,-0.0035516444172131937,-0.0005950989124889855,-7.061514354752696e-05,3.242726409574329e-05,0.003996426546597858,-0.00017758133792497252,9.816095653119825e-05,-0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.9859958764344522,0.006103685851245745,0.004567978795560989,0.0015486445686099671,0.0011015612500098048,0.0005046776500376301,0.0001774577900620409,1.1766002160672249e-07,0.0,0.0,0.0,0.0,0.0
