sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87
B1-B1as-B1ci,1438218,-0.01139319049671451,0.00200596877556861,0.0025250818183393223,-0.001522887072307088,-0.0014494755495875926,0.0022390275771341918,-0.00026256225971383706,0.0022875036653326334,-0.002033241270699247,0.0028115945196783556,-0.0005345158215801612,-0.0017072481874346622,0.0015032101553935759,0.00111780766472392,0.0012194413153057931,4.580799829136566e-05,-0.0006741540004122114,-0.0001455252040567232,0.00011102196050712344,0.00025173594867251956,0.0005096222809525819,0.00013659884070437204,0.000166586618983838,0.0001893983995607884,-0.0007403182651816614,-0.0017780877399570948,0.00015495979931110876,8.144282812458621e-05,0.00012976960431405153,-0.00017241132373921068,0.0002667767223355762,0.0003563049179031792,-0.0008750235776313012,0.00039487853859579165,8.080263923530337e-05,-9.073741829196371e-05,-0.00014984158039490155,0.00013981867323009393,2.8321774498174482e-05,-1.938124752487153e-05,4.679971882781155e-05,0.0007302183587705606,0.00029459149859756235,-0.0003507797761702065,6.391011674533115e-05,-6.381809176359479e-05,1.182894352932894e-07,-1.5054178079497876e-05,9.27386043744664e-06,8.869477484512084e-06,2.9477547001071945e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1g-B1by-B1bw-B1dm-B1au-B1bz-B1s-B14h,1438237,-0.0366982488751259,-0.0039362265467871105,-0.006713886074548303,-0.016264511879490448,-0.01646843445948306,0.006282490558941993,-0.0033273256750221813,-0.023416365973024243,0.007681384314456127,-0.0018485848156432503,0.0009783834402725454,0.020352491139003392,-0.00358821956434855,0.002146505666434225,-0.011042498317057428,-0.0003627774193217388,0.0002831105187601288,-0.007208262497663891,0.002852469813254875,-0.0018830922297570106,-0.004860997993656879,-0.00019014679472720964,-1.1110169530439417e-05,0.0001655264327076178,0.0008977111878930735,-0.000989723754056809,-0.0010645527839005312,0.0002406981930514183,-0.0006274968701118181,-0.0005451377179472703,-0.00026293905509559547,-0.00014890722414032326,0.00038701911269626297,-0.0005852452747248825,5.244415079215759e-05,-8.828187035610714e-05,0.00036957531113489804,2.6114301803454225e-05,0.00017764845846388313,-4.596065253556141e-05,9.787978721185913e-06,9.604063986188273e-05,-4.925823121829101e-05,-3.507420893842797e-05,4.601945842922636e-05,-6.55087393174412e-05,-9.831186161450929e-08,2.0958853371013507e-05,2.270374889934101e-05,-1.726148429908515e-05,7.304249837853493e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1br-B5dx-B5eb-B1gs-B1dq-B1g,1438246,-0.029920724875739765,-0.0061657800205508545,-0.006186073362676337,-0.01726677607401236,-0.015819436174906634,-0.00015326115570762927,-0.0007858841569683203,-0.01030732651987198,-0.005289140601194943,0.0006826853018018525,0.006470732373429262,0.0033260123643747822,0.011944474708023576,-0.0008667328060509652,0.0058973922521373635,-2.2365205173968046e-05,-0.0046089522991769345,0.001714087047371921,-0.0024676280659435674,0.00071941780929863,0.003049057525460145,0.002040595478599622,-0.0017310085456862833,0.006781498713983712,0.00522916131921969,-0.0003060415924322678,0.0008200894039847585,0.0005936408716433086,0.003914906228778389,0.0007323170859274693,-0.0019172155073992234,-0.0008224311185695094,0.0006197219017686448,0.0004914966518579108,0.0005199858812506031,2.8992142592249673e-05,-4.43423348517918e-05,0.00019650685257190708,-4.445026131563148e-05,-0.000173455749288198,-0.00017971624474269195,4.499206684896974e-05,-0.00011762869004509045,-0.00010542245980830547,0.00011876697894891298,-0.00013167623063065016,3.0586147416334783e-07,-2.4137311742087137e-05,9.410303267786598e-06,2.69924606314429e-05,-7.621130363158326e-07,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1co-B1ai-B1x-B14d-B1t-B1az-B14c,1438247,-0.029656946613131174,0.008341806105717164,-0.017476679903467237,0.011182383865889772,0.004494548054749248,-0.008270241827086874,0.0007148652610766246,0.0017429880422253185,-0.0011919562134204706,-0.001247602039611125,0.0015107636576567553,-0.0021375710362186886,0.0014272112007797345,-0.0016283228886882736,0.0019344762944182245,-0.00018203948344697508,0.001855827482741311,0.0006463092818211429,0.003976946812981556,-0.0023395262017615317,-0.0033031856330606813,-0.0054797872159305675,-0.0034776630863466904,0.0001475431571264054,-0.0007885306891474603,0.0005084025704435478,-0.0004683343979804416,-8.598365870368159e-05,0.00016028794324031174,0.00032892390924944435,-0.0003743779019718782,-0.0012404981531789012,-0.0007314447768380665,0.0015365805157495414,-0.0012714802170566712,-0.00041465761517398654,1.708579067176707e-05,4.7554531152277874e-05,-0.0003579135149101922,-0.0001278309793907669,0.0003180171070058001,-0.00030797134018114826,-0.0004189922775366761,-0.00014638453042810492,-0.00020101337578161928,7.616544752025558e-05,3.731689703196131e-07,-1.1809776280113102e-05,3.833789945482622e-05,2.1281011176039927e-05,-2.579638204280676e-06,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1ai-B1x-B1az-B14d-B1co-B1t,1438250,-0.020235440883077903,0.004815048157930279,-0.006147779712920172,0.003876818526878966,0.000987194485869913,-0.001619423156512338,1.1742886402111772e-05,0.001891792522331694,-0.0018578251646092611,-0.0036743614097730555,0.0008300693962146006,-0.0022539042646227622,0.0011888085366532064,0.0007289934531932976,0.0017481210046116089,-0.0001060840231560799,0.0005809218247691224,0.0001886067186881603,0.00233211509784224,-0.0012029764914110472,-0.0018766133147101961,-0.007504856870410165,-0.005608459506362695,0.0017274995331097538,-3.558904886161979e-07,0.0006987887263899509,0.0006613436045879732,-0.00019330594851663335,-0.0015164864086336224,-7.898652131047318e-05,-0.0007381865484305742,0.00145188945052847,0.0012317280543606391,0.00021067899149122412,-0.0007134322298604219,-2.8843183942543683e-05,-0.00021011101130557155,-0.0006940235366242218,0.0003558903437199472,0.00031298738381887027,-0.0002607811407598318,-0.00012272536342625352,0.0010603925994788705,0.00020872412577857473,0.0001713833002618758,-3.056114436755378e-06,2.0347445231206646e-07,-0.00013736063005011833,-1.3772094540248212e-05,5.3962330670542756e-05,2.8116587867267105e-06,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1co-B14d-B1t-B1ai-B1x,1438259,-0.01959545820745116,0.005035973251381114,-0.007157245009832798,0.0047000228864991596,0.0015147996791492096,-0.0032617163889248606,0.0003101376635261554,0.002218077888739365,-0.0015917142364319918,0.000617917843107573,0.0007879226936749214,-0.0022664000569593947,0.0012145254251257542,0.0018574971999849525,0.002159271684861925,-2.1309655261188173e-05,-0.001136599459481807,-0.004339938046606771,0.0008980086488361487,0.0010637543807577828,0.0003897400789974357,-0.002061007596932556,-0.0009569102091311723,0.0010823870880642486,-0.0007748577624076375,0.001330093248970531,-0.002258991144682747,-6.979754307023025e-05,-0.0021700018488095218,-0.0006924803255844266,-0.00023891712784634107,0.0017781675788363291,2.241574219936086e-05,0.002686851120995555,0.0002698609552752236,-0.0001511971012555153,-0.0019631335056574145,0.0006293409608127108,-0.0008863475907028641,-0.0002923623645387365,0.0006783836044978956,-0.0007485176412466081,-0.0006452305804356079,-0.00033721238434942494,-7.470073411828659e-05,-6.234499390211078e-05,2.306073062194352e-07,7.586798988569979e-05,2.5738869165760618e-05,-2.456202622809434e-05,-1.5667600491061385e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1by-B1bw-B1dm-B1au-B14b,1438261,-0.015194649844264128,0.002685746999907042,0.0021170796034247316,-0.001483534944037063,-0.0018861098227859086,0.003936515819186836,-0.0010035065347280088,-0.0018834657358054625,0.004306545088158587,0.0011882121920153191,-0.0011722124374127772,0.0034041950061939204,-0.00229403586323993,0.0005460784607164386,-0.000490193252906093,0.0001590645991256111,-0.0007040749996973787,-0.0015167531036522801,0.0008106810560484809,-0.00028939693843896096,-0.0002000553458145343,-4.080524851180627e-05,1.112329632479774e-05,0.0004719999434774327,0.00028969305504460347,9.791908999930604e-05,0.00043618052959679273,8.468015977872361e-05,0.0005960948897006262,-0.00032335743983966103,0.001005458864548668,-0.000240354551216446,-0.0008270976150656706,8.047705416053882e-05,2.6263723404847066e-06,-0.0002114667016599396,-2.9193743427780796e-05,-0.0007109595125974745,0.00034764988822898483,0.0005471402961422558,0.00024244287906030414,0.00024322079659162688,0.00036848071160257593,0.0004216220698593887,-0.0005806685536368744,0.0009489581994130241,1.1474622799056407e-06,0.0005479819637811218,-0.00026669117665401894,-0.00018057120284501436,1.3088168516286065e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1gy,1438266,-0.019014512149799455,0.002734981219486512,0.0009726819106388773,-0.0011234765459181254,-0.0015641118499329619,0.005268749492882304,-0.0007032718098504291,0.0010777427035221058,-0.001435355322128349,0.0018654742786876303,-0.002304349450838319,-0.0008349520485154349,0.0011159722507873705,0.0009785500964397658,0.0013554164516430278,0.00014910845742819104,-0.0036917973967627044,-0.00033144059616052764,-0.004635896945296739,-0.002404610875311165,-0.00010685581628245784,0.0017229587516970368,-0.006617832657549075,-0.010400854341629453,0.008143982860910115,0.0008772475149809225,4.1691939752842775e-05,0.00021887633260629698,0.00038180620158025623,-0.0002017019687290961,-0.00034753029333728667,0.0003939912471950055,-0.00034240804754115823,0.00040882178888722537,-0.00013344194611230093,-0.00039769319733373156,-0.0003343373741570568,0.0002941155591902846,-0.00030627783917910114,-1.3676770146968941e-05,1.8313230566857252e-05,7.383612279892589e-06,-5.812663340383472e-05,-1.7623906618029545e-05,-3.3920920491886754e-05,1.4821892528774472e-05,1.0810844132739678e-07,9.450947134639399e-06,1.3586393757655555e-05,-6.201115403582668e-06,-7.159745157650638e-07,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1by-B1bw-B1dm-B14h,1438277,-0.016375908653468847,0.0029156987484411415,0.0019268479101530423,-0.0013674110615047581,-0.0019199344381144526,0.004325929433573505,-0.0011756026593938847,-0.002792046980949851,0.005979998459966473,0.0005920993951572321,-0.001333682485078288,0.004347535924817674,-0.003222347969695275,0.0001393733217381145,-0.0005837258040204068,0.00020271243523338332,-0.0005131035415325076,-0.000523974317239081,0.00021231668145858524,0.00024391092594118393,0.0008139779380937675,-0.00013395781715839944,1.181284645738362e-05,0.0001517095507821999,0.0001704284845885464,-9.524450658183712e-05,0.0006768828441907098,4.177994935478125e-05,0.0004929911608723622,-0.0003495113730307225,0.0018150519254755137,-0.00044022548141716463,-0.0012657331764293564,0.000631229324309573,-0.0004267156526211888,0.0001895135784430982,0.0010909886986103286,-0.0005857907456564596,-0.0011943729945302652,-0.0005679846723474053,-0.00010757294031148919,-0.0009540202712564867,0.0008092345035847868,-0.0002490436739424746,0.0008630084763998041,-0.0005854932441414679,-1.7655058010939557e-06,6.925230222092895e-05,-0.00010569230859821318,-4.5336577833808045e-05,2.5337844277367397e-06,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1bw,1438278,-0.009769937164541567,0.0018441801933891716,0.002862104334162792,-0.00161292131645679,-0.0014241005026765328,0.0015794818430320402,-0.0001902800520233756,0.002529988889966121,-0.0021576183607217004,0.0029878250966435286,-0.00017559125213348952,-0.00187739207782649,0.0015715917749950718,0.0011193816192372752,0.001172715108170811,2.383825763341748e-05,-6.724354280859228e-05,-9.656053157073086e-05,0.0009592290266623498,0.0006816897104175556,0.000561883647987662,-0.00012871833681212666,0.0010860623962817724,0.000331852890786471,0.00012468545352467225,0.0007156091005634347,-0.00019641020760801888,2.462812339825e-06,4.8165479729583095e-05,-0.00018076899063138596,0.0005009446969346735,0.0004079861757086901,-0.001109572007482375,0.00036916219871954107,0.00015642976693778108,-5.271110588321187e-06,-0.00014100841629891605,5.3848672215289126e-05,9.940176262436831e-05,-2.939404085202024e-05,5.88248042745683e-05,0.0005069448175517139,2.5527832230250244e-05,0.0008333744941871194,0.00024349476487620808,-0.00023463725007245344,3.363913379934494e-07,2.6146223822390365e-06,0.00010433564082091899,4.462436586391012e-05,-0.00013875715371892172,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
