sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
C3-C3fc-C21-C3cl-C3an-C3b,1441313,-0.19842884277594403,0.008303523416021986,-0.10509133493358128,0.29752723672998393,2.311986353887158e-07,0.020296436763829487,-9.218536638662877e-05,0.013708178194743681,-0.018651560381917558,0.017562213916096046,5.863928495389607e-16,0.009265548705135304,0.00794873934572316,-0.0,0.0,0.0,0.0
C3-C21-C3hj-C3b,1443967,-0.26489975981251074,0.01593542538685302,0.03926221222113058,-0.03324579017304139,4.761584833492889e-08,0.04466616014456691,0.0020584314330925864,-0.013476495269306037,-0.01573842381119396,-0.01271713323257118,2.7155542169798134e-16,0.024629425239120147,-0.010674324867538868,-0.0,0.0,0.0,0.0
C3adm-C3adn,1442015,0.5420097274787304,0.5975380705893297,-0.0325963671367037,-0.011738994924167455,-7.366637927525472e-08,-0.00020672742735119374,-0.00025041622570166796,-0.00016756291824582587,0.00027989896601843446,-0.000577594354856355,-0.047066793998090106,-0.0001924294225355957,-0.00018198226731001784,-0.0,0.0,0.0,0.0
C1/C1c-C1al-C1b,1438946,0.6338254143759565,-0.36258308521862376,0.16857072208028118,0.03532810199705944,-0.1575396313444144,0.0004251837091168442,-0.004352821244708117,0.00020925629973063552,-0.0003569031313154177,0.0007389159339506877,3.3504008184475153e-16,0.0002469005436590676,0.00023297148321610992,-0.0,0.0,0.0,0.0
C3,1442047,-0.2546183734234686,0.014871446159011668,0.04560040442928341,-0.10382979725246197,-3.412189627858457e-07,0.0745544586804338,-0.004943729273754805,-0.03338615654953596,0.019517900721969406,0.04424508995646079,4.057870522843784e-16,-0.0006302635518104287,0.011765304849784356,-0.0,0.0,0.0,0.0
C1/C1b,1438517,0.6338256623768375,-0.36258374144506855,0.16856699825609225,0.035326235184107165,0.15754064242291294,0.000425374298096491,-0.004353135250721091,0.00020929593917318442,-0.0003569642250272502,0.0007390390181295633,2.7878825912923536e-17,0.0002469363095665537,0.00023300439290721862,-0.0,0.0,0.0,0.0
C3-C21-C3xx-C3cl-C3xw,1441591,-0.2643442389004662,0.015873319105199384,0.03881544432256163,-0.034815481234060794,1.4541130303591786e-08,0.04901958205488558,0.0009009666959857485,0.026216596842179446,0.008580572980725737,0.02565881159566644,-3.9544326098377737e-17,0.011907216685722678,-0.007824992923093632,-0.0,0.0,0.0,0.0
C3-C3hj-C21-C3an,1441113,-0.2646250294648849,0.01590480011912229,0.038841099165064064,-0.03286487870744189,4.6349945081589364e-08,0.029569252923573205,0.0013101778806909718,-0.018537953930406626,-0.04997301745502666,0.00327216627784395,-4.580577753730196e-16,-0.0165236485615681,-0.00326938457475925,-0.0,0.0,0.0,0.0
C3-C3xs-C21-C3yu-C3zt,1441116,-0.25650599407224645,0.015018730798212481,0.031850086183459435,-0.035060812862232386,3.369103047183803e-08,-0.12418321506848622,-0.0029792783387291525,0.00813250010468917,0.018673318799476764,0.013409558479858925,5.732073518927161e-16,0.023164117175634626,-0.006779776601689776,-0.0,0.0,0.0,0.0
C3-C3hj-C21-C3xs,1441118,-0.2622656599656101,0.015676024632575652,0.04342617027900697,-0.060326011433568125,-2.588653365010446e-08,-0.014514691584460913,-0.0005503504517911375,0.0072503720535604,-0.04618345378133459,-0.04618844349217703,1.0502261606776725e-15,0.0038035073506266013,0.004417652243625574,-0.0,0.0,0.0,0.0
C3-C3xs-C21-C3yu-C3zt-C3an,1441120,-0.26015405605831265,0.015404373903177431,0.031935697893723955,-0.021357766369084957,9.760410018542182e-08,-0.10180133319095896,-0.0015205353556597273,-0.006028356559358776,-0.01439282849721421,0.025766917373830373,-2.806619742060333e-16,-0.01653608744540844,0.014085804086656077,-0.0,0.0,0.0,0.0
C3/C21-C3b,1438597,-0.26392577020731495,0.015783351027715404,0.026547561016493446,0.018644567925106614,2.494022407499814e-07,0.018950326155188404,0.005986242833524035,-0.01036758931592403,0.0473582056379126,-0.04916889842180159,3.84270985600938e-16,0.0028425160981594938,0.019592464091225947,-0.0,0.0,0.0,0.0
C1/C42.2/C3,1439628,0.26570699320474717,-0.33035858306220306,-0.24225330510047294,-0.06871440181156506,-6.67915404925579e-07,-0.00238999640015496,0.11481336408983524,0.000457600314240938,-0.00042814013747489315,0.0007234574095384355,2.95818734394033e-16,1.728478153358321e-05,-1.4751334078724847e-05,-0.0,0.0,0.0,0.0
C3-C21-C3b-C3an,1439637,-0.25762612971506177,0.015009797709831461,0.0007239612148235853,0.10127356345920191,4.4569023934062274e-07,-0.016954147923800345,0.007880069351751673,-0.05623325673966194,0.028247617241157714,-0.01283532056376029,-5.257695508065583e-16,-0.01912422222364778,-0.020981387978412716,-0.0,0.0,0.0,0.0
C3/C1-C42.2-C3gl-C3gm-C1dl,1439648,0.19205784018611188,-0.3029376321211866,-0.25389793869792815,-0.058935306666337485,-1.0739212823362853e-06,0.0006409293492420549,-0.11526305150206313,-0.0017628108143731035,0.002599855018884533,-0.005198510353989894,-8.215113936199226e-17,-0.0014931834891796331,-0.001377409917890997,-0.0,0.0,0.0,0.0
C3/C21-C3xx-C3cl-C3de-C3xw,1440694,-0.2620415107052925,0.015606108410701602,0.032294955943468595,-0.015471468937328684,7.910327253533354e-08,0.021709134943629825,0.0016066669503344933,0.08394394526674019,0.020544023088341468,-0.004852675187359673,-9.227950796581458e-17,-0.021431188772471927,-0.006989947761052566,-0.0,0.0,0.0,0.0
C3adm-C3adn-C3ado-C3adp,1441787,0.5420097274787304,0.5975380705893297,-0.03259636713670393,-0.0117389949241677,-7.366637824750623e-08,-0.0002067274273510986,-0.0002504162257023955,-0.00016756291824646726,0.0002798989660188012,-0.0005775943548555766,0.04706679399809039,-0.0001924294225367485,-0.00018198226731054053,-0.0,0.0,0.0,0.0
proportion_explained,0,0.5705932214645681,0.3034321260367932,0.05281323467269044,0.03337469582221462,0.012759605766617839,0.009861298922242735,0.006850218504783111,0.0033391068054920577,0.002495059244271251,0.0022387295726072915,0.0011388959616968897,0.0007114469664820958,0.00039236025954028777,0.0,0.0,0.0,0.0
