sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
C3-C3fc-C21-C3cl-C3an-C3b,1441313,-0.18820838113611155,-0.008283627267488346,0.11854181324270235,0.3174325180774953,-0.13168346856612076,-0.02603757409930207,2.3654601603321407e-16,0.03233755671831089,-0.05788452789525874,0.025710478577412973,-6.973440952587399e-16,0.05900693094593519,0.0035570124009549897,-0.0,0.0,0.0,0.0
C3-C21-C3hj-C3b,1443967,-0.27151151599879114,-0.01805410569353254,-0.061074125138408646,-0.0435855787632121,-0.08897304992749114,-0.06989803833968841,3.5012240095377805e-17,-0.0896028165979195,0.028694986121077258,-0.029037640238215787,5.545934153295303e-16,0.020947486121593268,0.007996244604866795,-0.0,0.0,0.0,0.0
C3adm-C3adn,1442015,0.525692219525126,-0.5841263016184532,0.03530497494538876,-0.011774312976774906,0.001956935254856574,-0.0008826552232275918,-1.1750030137184325e-16,-0.004155456836096074,-0.0006003472618169784,-0.005909262061517739,-0.12669559956600637,-0.0018290019537404072,-0.000321613891942175,-0.0,0.0,0.0,0.0
C1/C1c-C1al-C1b,1438946,0.6108595373764414,0.35650277964901317,-0.18829387200517705,0.04918910091868837,-0.005174882991088109,0.0013575593425558456,-0.19368306316936812,0.0032215279103146007,0.007573309707075187,0.01625209964116676,-2.872840175514632e-16,0.002533850349739486,0.00036337881698811814,-0.0,0.0,0.0,0.0
C3,1442047,-0.19992744283355857,-0.009913141583547707,-0.058999031761772264,-0.3024148870125528,-0.09059625739059127,-0.02814611314492142,3.718393911474323e-16,0.13743255431362694,-0.05592251275093368,0.040722376770550406,-1.1595666345691826e-15,0.012034859711853032,0.006577358545746312,-0.0,0.0,0.0,0.0
C1/C1b,1438517,0.6108595373764414,0.3565027796490135,-0.18829387200517714,0.04918910091868825,-0.00517488299108833,0.0013575593425556587,0.19368306316936842,0.0032215279103139393,0.007573309707075314,0.016252099641166744,-6.037119627224452e-16,0.002533850349739459,0.00036337881698812144,-0.0,0.0,0.0,0.0
C3-C21-C3xx-C3cl-C3xw,1441591,-0.26512791167724764,-0.017251202803516396,-0.0480878014450776,-0.03767006313817846,-0.08243112329972303,0.1536256466773003,1.378675827416609e-16,-0.025001270357703734,0.0032924433793558735,0.0031830169919472985,-1.5905875249587386e-16,0.010455620627048346,-0.01900012241167126,-0.0,0.0,0.0,0.0
C3-C3hj-C21-C3an,1441113,-0.2719781468283213,-0.018058173399830183,-0.05097314310450344,-0.008406973282734214,-0.030186041153066428,-0.07857755956399226,3.683275615626491e-17,-0.0845510207249037,-0.07719223460164247,0.049825395235810935,-1.3395130887041169e-15,-0.04250624498678569,-0.007036387272347404,-0.0,0.0,0.0,0.0
C3-C3xs-C21-C3yu-C3zt,1441116,-0.24321987579919585,-0.014809593183566972,-0.028793725160972658,0.0045374424661276756,0.24955409747884288,0.02222959205227288,2.2910998333282816e-16,0.039763686152522446,0.04995556498352431,-0.0316980256557455,7.579993669862617e-16,0.03789078273210944,0.0009426259248113623,-0.0,0.0,0.0,0.0
C3-C3hj-C21-C3xs,1441118,-0.262874790736731,-0.017159686636178458,-0.0699093437822146,-0.07219206202989856,0.10318607814815343,-0.03371901736041131,-1.6293398472419851e-16,-0.14054790824739533,-0.018731226713562518,-0.009555805257329691,3.0679870976525414e-16,0.014572010166060976,0.006577054416374239,-0.0,0.0,0.0,0.0
C3-C3xs-C21-C3yu-C3zt-C3an,1441120,-0.23973055741563812,-0.014313781211362312,-0.000838776128061594,0.0818220186775864,0.24402938243261357,-0.04015709235117639,4.515597044762506e-16,0.06805027030365148,-0.03868666328867881,0.03624937042693614,-1.1148065614456137e-15,-0.01155572375987581,-0.0052113011987246945,-0.0,0.0,0.0,0.0
C3/C21-C3b,1438597,-0.2679740516327555,-0.017575008628514893,-0.0498010266092438,-0.03491987277390692,-0.11244762338370513,-0.058927059544630296,1.3593358716100112e-16,0.0396734344902267,0.08997890960076962,-0.047096309304555,1.0936191943277757e-15,0.02446001613886275,-0.006898222098175174,-0.0,0.0,0.0,0.0
C1/C42.2/C3,1439628,0.23151862760537695,0.3341483843530983,0.2092091116990252,-0.05817267406233169,0.00679815697077103,-0.0015456626923033838,1.9535610425904405e-16,0.008943334227252846,-0.07846645848877999,-0.12987797258633585,2.800245063706104e-15,-0.01471157396246664,-0.0019519618316427981,-0.0,0.0,0.0,0.0
C3-C21-C3b-C3an,1439637,-0.25968205701749114,-0.01656153089840765,0.0011533818215042815,0.13358981929456826,-0.0529826885095753,-0.09157632771600956,1.552149167045903e-16,0.055130762696669444,0.06590815074851052,-0.01843962710815888,4.721314735885005e-16,-0.08137075054337742,0.002762150270608369,-0.0,0.0,0.0,0.0
C3/C1-C42.2-C3gl-C3gm-C1dl,1439648,0.20620797130674592,0.28749154561910184,0.3498570452870746,-0.10115231660710217,0.01369552432524362,-0.005815077130487333,2.933856163959568e-17,-0.039406979532786345,0.07249116890473292,0.08610038174823381,-1.931910774290275e-15,0.0021797268534518967,-0.00018026676659891187,-0.0,0.0,0.0,0.0
C3/C21-C3xx-C3cl-C3de-C3xw,1440694,-0.24059538163941563,-0.014413034727373486,-0.004306584800474071,0.04630305327031243,-0.02152709165288853,0.2575944749746905,2.0273081763833082e-16,-0.00035374558999210957,0.0026164751103693595,0.0032286852401434414,-1.7073014532377279e-16,-0.032812836836410626,0.01178228556568776,-0.0,0.0,0.0,0.0
C3adm-C3adn-C3ado-C3adp,1441787,0.525692219525126,-0.5841263016184532,0.0353049749453887,-0.011774312976774982,0.0019569352548565407,-0.0008826552232275561,3.9901721505921676e-16,-0.004155456836095785,-0.0006003472618174425,-0.005909262061511253,0.12669559956600648,-0.0018290019537404443,-0.00032161389194218976,-0.0,0.0,0.0,0.0
proportion_explained,0,0.48135982787839093,0.2634182295475919,0.06366530534963069,0.057510560231874314,0.04412012328150289,0.02733575820018398,0.017435194377407485,0.015803173088010235,0.009664600131907456,0.00825290582545455,0.007460476481536839,0.0037879297194898845,0.00018591588701869386,0.0,0.0,0.0,0.0
