sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
C3-C3fc-C21-C3cl-C3an-C3b,1441313,0.1998311612162395,0.005315962776929659,-0.1734109813720504,0.005470755694425882,0.20172698877242962,-0.006072427102871397,0.04781901732757468,-0.0022182043671764916,8.182409164973931e-07,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3-C21-C3hj-C3b,1443967,-0.030102010831368504,-0.0352975946701125,0.013962640763537525,0.008879399665948372,-0.03664813178422042,0.0028973721187324874,0.011837744254335529,-7.03595561586753e-05,-7.373710952633608e-05,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3,1442047,-0.03014024420219662,-0.03532607199233738,0.013924392145148207,0.00888536594114634,-0.03668280388206068,0.002886369663924032,0.011770356883668209,-0.00015889003451441294,-7.50478641870796e-05,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3-C21-C3xx-C3cl-C3xw,1441591,0.27435008383168114,0.03109354476408485,-0.22803987369571993,0.009416828902027885,-0.05965372516091603,-0.0033895676739361903,0.02886058803522277,0.001981793520361126,-1.0625983794788753e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3hj-C21-C3an,1441113,-0.01854508973623219,-0.03640302185450301,0.02307260188968279,0.005047961408225992,0.08224135505680714,0.0011539671316628762,-0.024791334227590934,0.016556682247334746,-1.1211100832420435e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3xs-C21-C3yu-C3zt,1441116,0.6295498258215642,0.1471088358234384,0.21553552484261057,0.0018832771527006026,-0.11419860217217477,-0.00021645953995393381,0.02560353901411865,-0.0015343925370419472,3.365309833765746e-07,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3-C3hj-C21-C3xs,1441118,0.004281892696259653,-0.02468497330393737,0.08288488472649215,0.004765254975219639,-0.039718653940850834,0.006423848497756441,-0.01590315673086248,-0.004062370451978554,9.198981776103559e-07,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3-C3xs-C21-C3yu-C3zt-C3an,1441120,0.6159635807816811,0.13882898241731165,0.21855344436220045,0.004974955825849292,0.08959104419247899,-0.001967495900680242,-0.026730172593209173,0.0022031553182485825,-3.8265531949677225e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C21-C3b,1438597,-0.030099291458819476,-0.03533058212165637,0.013921486993420886,0.008876815383557,-0.0366459832933605,0.002903997227013235,0.011822746212836698,-0.00021710075741402111,-7.376136643767216e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C42.2/C3,1439628,-0.3760280136118095,0.2160659189589182,0.0187057625982521,-0.11890269146917556,-0.014053505383869912,-0.1273627338170808,-0.002830330201595256,-0.00038208448651424353,4.9365598188397516e-09,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3-C21-C3b-C3an,1439637,-0.0208586466202107,-0.03968902305144553,0.020077739658936243,0.0024606017365038212,0.09724487856606831,0.0037679331016275365,-0.03440184893872946,-0.013783272641351848,2.6759133475058263e-07,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3/C1-C42.2-C3gl-C3gm-C1dl,1439648,-0.32354096415030126,0.16327784904158568,0.010798938468287634,-0.2585685477565432,-0.003291236959918424,0.08605522364654541,0.003683356998688948,0.000433246120988399,7.424876596322765e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C21-C3xx-C3cl-C3de-C3xw,1440694,0.3277353636269491,0.03250812701052578,-0.3771154559566348,0.005779901954291491,-0.07891333727071645,0.0031467969998457634,-0.04508230128272038,-0.0002802071063844803,3.679514709088557e-07,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3adm-C3adn,1442015,-0.15846333563141624,-0.5062455054327466,0.048616039386591814,0.01336351542687992,-0.01773294621940675,-0.0024121403978347353,0.0025941050581425812,0.00028319421886263094,0.0019026987463223802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3adm-C3adn-C3ado-C3adp,1441787,-0.17544138902455542,-0.5685568580712833,0.05320690612949841,0.013934359758724719,-0.015213162511339704,-0.003119855463890494,0.0013832506795065389,0.0003222222333057336,-0.001680388388230064,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c-C1al-C1b,1438946,-0.5070527527369227,0.31908648359190395,0.023110155036861996,0.19483159096322383,-0.0025780140195732527,0.037559805139615196,-0.00040772061310349737,-0.0005982624047822266,-3.4823701997524916e-07,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C1/C1b,1438517,-0.38144016997054164,0.22824792611332329,0.02219579402288422,0.08890065443699448,-0.015474163989379982,-0.0022546336304789384,0.004772160123723751,0.0015248506842092699,4.346906488105935e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.5410608795318627,0.27173466228964716,0.10577039415562564,0.040490549594071966,0.029924234672724887,0.007990894647766904,0.0028677958087097444,0.0001585408724004589,2.0484271904133113e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
