sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
D1-D4-D4c-D2-D1c-D17d-D1r,1442884,0.04097859441127467,-0.043248176838286,0.008475383991585452,-0.02035162929195489,0.0038601862928993097,0.021314387836340883,-0.00896132583384491,0.004931810018216028,-0.00766770967382961,0.004886939347754169,-0.0035400665278890837,0.011943994204267092,0.005006990015027123,0.0,0.0,0.0,0.0,0.0,0.0
D1c,1443434,-0.9188459513852887,0.004854361924465564,-0.00041196505362455996,0.010844084067941845,-0.00027346210775249544,-0.0014909302672173172,0.00015059647440184088,-0.00034535622111175673,4.80414931608568e-05,0.0003198053044411774,-0.0003167181363744886,0.00026553684796939476,-2.1634599625291728e-05,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D1k-D2,1442416,0.040348652838424676,-0.02089405471443268,-0.02211163521764822,-0.0365008764254501,0.0011388323153020102,0.009944428702935857,0.007729337663963785,-0.004514467829692837,0.012839857863508683,-0.021139080863693066,0.002115481112511376,0.021312584515789802,-0.0018453194970096305,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D2-D4c-D1c,1442420,0.03818732526411198,-0.03407188927906496,-0.03031927254008256,-0.014484151511925551,0.005057498485848628,0.010651304606047842,0.002746214592149432,-0.010079427876620514,-0.00208150529751648,-0.008654017924350405,-0.0039638961865897165,-0.00941034770905088,0.001310514236711235,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D6,1442463,0.04708354527124991,0.050929319301824635,-0.01371941128646985,-0.01278083699776696,0.014558872834618772,-0.014069889556857285,-0.009982737638809849,0.02743565922449324,0.018143867073428428,-0.00830162016919186,-0.01179095131344496,-0.005421626234843292,0.0007020929763335632,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D6-D4c-D4f,1442471,0.07285007192648671,0.12532493421892366,-0.022585772942705414,0.03609484875403104,-0.016681898524178472,-0.030222576039849274,-0.012976944082325957,0.007430228315919515,-0.01281013190186287,-0.012984348445719475,-0.003841348010497688,0.005023900394401506,0.00017231135088110572,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D6-D4c-D4f-D1h,1444023,0.07283502232590597,0.12612116298912518,-0.018494433627566823,0.03051176351111424,-0.01876334311337199,-0.03202846527540352,-0.009096658348154261,-0.0024317246695606193,0.01655517105753551,0.014748687461334637,0.005991324592470388,-0.00044323082318129334,8.983983858151147e-05,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D4f-D1c-D17d,1444025,0.0586152218294389,0.07163347018997106,0.004650871380206736,0.005195235305320778,-0.007689863997315076,0.019358755650596568,-0.0035795200475844456,0.002785588079635004,-0.02036103761435676,0.015311194028392745,-0.007466031162266452,0.005129650477561211,-0.0005875772143691678,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D4f,1442511,0.04267388499765123,0.09388616793158229,-0.013724988462656334,-0.004403493323248685,0.011805894485796196,0.01960947545702257,-0.0017017960588131009,0.0011164575420608662,-0.010422405550812098,-0.0011794341600695698,0.02460701156137398,0.0016630656629140425,-0.0002635232794313817,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1ox,1443023,0.062490073543640536,-0.16240640966022035,-0.05905944384721896,0.05303660069672155,-0.04590989922148221,-0.01811339426890996,0.033994113828511724,0.017996592377720194,-0.005605280805660627,0.000725709593292784,0.004988556031173581,-0.0008235070994069007,0.00014133177586673722,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4-D4c-D2-D1c-D1h,1442603,0.049282044897386294,-0.03117193269350433,-0.02941749518541998,-0.015924353646715433,0.001212896179486946,0.006248992386755981,0.007689656550079318,-0.009027985216715594,0.02737050758269064,0.018338341702199893,0.0037039631075999595,0.004288736577258421,0.00046040494618726415,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D17d,1442640,0.04848087225601741,-0.03882598414230106,-0.009934490012642867,-0.0006600599537176608,0.005640697616818424,0.028220302591807814,-0.007117398927131439,0.013965076083354814,-0.005616845538395144,0.012379770760174148,-0.009842368363050715,0.002186514573669233,-0.0035984999639364027,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1ip,1442671,0.06943689791631892,-0.12733900102130497,-0.029975494499793302,0.060330096542506186,0.020461107672699805,-0.015515963616141083,-0.04177123648365175,-0.023445554683183812,-0.0011621514326015457,-0.0015173672872933587,-0.003516960866040708,0.0003498098462628033,-0.0005763510982847113,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D1ip,1442672,0.04074408384027321,-0.052657624134057716,-0.024765483779930732,0.0015077161282385143,0.018495124386764518,0.01536195766740674,-0.01880977327774995,0.010358393834586475,-0.0021076529535373266,-0.0056136091272375125,0.013139740914428941,-0.013127231803987656,-8.870451799183817e-05,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j,1443229,0.035437697323077,-0.027479437222057073,0.13489299894250073,-0.029154004856376686,-0.004972524372658252,0.015468971142733904,-0.007005396905572228,0.010153329740025406,0.010055614904267058,-0.002981027940896003,0.0013077623698520401,-0.007040205145878305,-0.00032025804705880517,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D17e-D17d-D4c-D1r-D17c-D17j,1442741,0.0654875550241215,-0.01598625258581113,0.17242185951999048,0.04298501035239901,-0.024025426307008116,-0.011502908441224296,0.009142794209568072,-0.011187205709230534,-0.002326490283221683,-0.002523321750910207,0.0008103928873023222,0.0015186431241688135,-0.00010819706348273397,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1hg-D4c-D1c-D5ad-D1ju,1443262,0.036526481343071134,-0.031501891785774956,0.020553242581393655,-0.07069320112792628,0.06577966067746285,-0.05104859684055096,0.022439492517376737,-0.0017493385965795445,-0.012807393419412822,0.006185654485048247,0.0003536756204849427,-0.0001133264289749954,-0.0004001612310698505,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4f-D1c,1442784,0.02351251236254264,0.022869702768268028,-0.04122844677557594,-0.10197971417673876,-0.06148850943036393,-0.0019123237570664823,-0.0009177024350718167,-0.0185362603191163,-0.005684335385738209,-0.00225043902290537,-0.004502839543465307,-0.009550335080029922,-0.00035582409736655067,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1n-D4c,1442802,0.07387541401429518,0.08996353475265452,-0.02524602318434147,0.06642696595354869,0.031794156126433264,0.029726472021572643,0.038028284202660134,-0.014855814094198054,0.0036398798823539186,-0.005751835990370216,-0.0082367280875787,-0.007752625898906875,0.00028256547005236436,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.78719856230152,0.09682454406025001,0.052216629003709276,0.029664623537621098,0.012051797574029563,0.007976332764767904,0.0052422354657633684,0.002657676471213627,0.0023326061542569233,0.001628730291673526,0.001138658177798477,0.0010279089510919132,3.969524630437633e-05,0.0,0.0,0.0,0.0,0.0,0.0
