sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
D1-D4-D4c-D2-D1c-D17d-D1r,1442884,0.02677667383872416,0.08438759599135735,0.06224721872531588,0.03627544871073739,-0.04152019527627533,-0.017449352062451958,-0.013489536520035476,0.004295118103374675,-0.010653177382922787,-0.00020841312185985075,0.002332663188362315,-0.003996051807657362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1c,1443434,-0.872019738254507,-0.009870553144219208,0.005240774634636454,-0.048539395242219535,0.013950784185229284,-0.003301205354473155,0.00021548281268362484,0.0028933535245058593,0.0011812180752892138,-0.0013191636338644138,-0.0020549011914843406,-0.0002315529692347707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D1k-D2,1442416,0.019551039365359422,-0.02945069880783717,0.07548122959593244,0.04840738902621907,-0.02225713896087443,-0.007198287326170606,-0.024047228126198562,-0.03982205395117257,-0.026500898107877587,0.026341407733417675,-0.047316322396616296,0.003498372028807718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D2-D4c-D1c,1442420,0.018578076584373878,-0.045859199109648655,0.07672829539155598,0.01790908721920657,-0.02825638501258623,0.014424317530490383,0.013137111494138919,-0.017573000532160127,-0.004268134525323224,-0.0038135300258311335,0.017675134428045816,-0.009385235251765876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D6,1442463,0.025974527674964464,-0.0710008944114026,-0.05777967467790917,0.013908150811061277,0.023572355714865264,-0.010932906524841688,-0.03818503361075572,-0.05506662678917072,-0.047179930837572374,-0.018328028285079994,0.020605898599641643,-0.0034035778851031913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D6-D4c-D4f,1442471,0.11332190683503728,-0.09841101241100807,-0.13814757177598228,-0.0655255306906087,0.020928381522632454,-0.03409628211224641,0.019311780424448196,0.017576518380237976,-0.0451994218445213,-0.012321990015881319,-0.009735756291909878,0.001861349331198353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D6-D4c-D4f-D1h,1444023,0.11047113959319481,-0.0894713161603022,-0.14178648279900458,-0.06460233156125247,0.03420068479999202,-0.09109809980759696,-0.01836596626987377,-0.005312237209403984,0.033796111543063,0.00791781257870862,0.003384973748517135,0.0002472700244214635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D4f-D1c-D17d,1444025,0.04768954768615313,-0.006422375235659845,-0.08776452944395734,0.025168952691951078,-0.04284734534186007,0.007695460588990972,-0.008460396479613807,0.04486038407345477,0.02022551344347925,-0.025973773856916113,-0.018462385029414604,-0.004944729244400186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D4f,1442511,0.022711503184813128,-0.0785298913281037,-0.07116359424550545,0.026402819891296985,-0.008947107266534426,0.03171768378396248,-0.011648220652803963,0.025158545734761853,0.00971772914952883,0.004389830287176096,-0.0011730693199882298,0.014740497339844573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1ox,1443023,0.11116094841217482,-0.009378401918566561,0.15999033813846858,-0.07229012552383993,0.007908803582905213,-0.010147069675546785,0.08571065871136412,-0.036605858182688,0.015164843068727363,-0.022158790869552948,-0.0033296678957827996,0.007709189163286941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
