sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
D1-D4-D4c-D2-D1c-D17d-D1r,1442884,0.08471164889727907,0.03538381328916739,-0.025077000942631444,-0.01677743836990723,0.033112876606986606,-0.01395510666016946,-0.0028077103217179363,-0.01454077277005253,-0.001381621590588143,0.004478709298871297,0.0014172350962036763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D1k-D2,1442416,-0.0620069188357256,-0.02001737221745845,-0.004662297397179028,0.011403600195137698,0.005164354941347654,-0.009933761579700455,0.014468486665784023,-0.0561003892470145,0.002543328796737571,0.006217244636908878,0.004536648356478012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D2-D4c-D1c,1442420,-0.0681189536472329,-0.005220831751389835,-0.011030735925331419,0.017573231419406983,0.00908872049011572,-0.008372536698370129,-0.007644584086668743,0.023674106436318367,0.024019478286862603,0.009600434479627093,-0.002412410068204893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D6,1442463,-0.07730866225924125,-0.0026391105362654097,-0.0037916824432212555,-0.01843388046902019,-0.015863036970068623,-0.057024153721565767,0.04610630495382603,0.007295130381873575,-0.0017300299609809445,-0.007004799362521276,-0.0006072712596072565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D6-D4c-D4f,1442471,-0.16401891844436167,0.06314294230773684,0.018996520275613785,-0.10694683875544551,-0.02441077693712094,-0.012109568934303408,0.031148590014556533,-0.0065457335066500056,0.018477321824626438,-0.00470021041063797,-0.001178209046141997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D6-D4c-D4f-D1h,1444023,-0.1570570280110496,0.05779046025945514,0.0030267008917867315,-0.078257164140037,-0.04108468763393621,-0.017794056307388856,0.0047178198153297775,0.020421473396790204,-0.022009204629580597,0.008650746053256279,0.002647935938245291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D4f-D1c-D17d,1444025,0.05042756387211408,0.09364639097952412,0.0026434195917416606,-0.060894265060666135,0.0012498994609065975,0.06078866708633839,-0.007120504212847314,-0.008345354179306392,-0.005967971506665042,-0.00346381056244931,0.0005545761327637993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D4f,1442511,-0.07520913546230135,0.0019401646841636486,0.009978744848027655,-0.02592972473737895,-0.005950099868657719,0.05249074101005419,-0.001182595802648568,-0.0017214372413144636,-0.003777505400860839,0.002090631277932331,-0.003997871214193889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1ox,1443023,-0.13325207872693112,0.029688906406788992,-0.042639022812156736,0.031676298133665404,-0.02740141416300812,-0.038365737856586306,-0.07883514333382281,-0.011808894370405556,0.00475794061699575,-0.005006612398473455,-0.0021889487566567477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4-D4c-D2-D1c-D1h,1442603,-0.07522459779914474,-0.004733176952884968,-0.019987772335971613,0.023590136439151026,-0.009610545682064346,-0.0075335567971699545,-0.015280443539037321,0.0046703414710623815,-0.03129548554657427,0.0016057907276063163,0.0014419418585233871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D17d,1442640,0.05007805200270868,0.07481364203958792,-0.028554286629509828,0.009144738885673916,0.01739382892997181,-0.006177491040209077,-0.01478679071688635,0.006120207515957002,0.004371633907758467,-0.012265496756183839,-0.0016021122407838745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1ip,1442671,-0.18794322591139406,0.06478917066951484,-0.09784601468813289,0.09864061359605557,0.0570312825564915,0.0047368448742139855,0.014624853780386369,0.013173201255695174,0.005016874821457131,0.01083798492658969,0.0034050131701927333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D1ip,1442672,-0.11483571819995304,0.01828209760965607,-0.058866773698267254,0.07124603506878652,0.038344939734820664,0.01754329601169001,0.02731981136761497,-0.0006328149245319682,-0.00908955826996897,-0.013358913847687566,-0.004799730619230611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j,1443229,0.5219722244256569,0.014615826044376938,0.025244063673333064,0.006843789824758716,0.006968629072299059,0.000431715203786735,-0.004642484481317818,0.013978714771598963,0.00523282613624395,-0.007786188615834106,0.010802266307759295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D17e-D17d-D4c-D1r-D17c-D17j,1442741,0.6213953652905997,0.04509313104490783,0.014855371327639123,0.015010104077281627,-0.013752295289048295,-0.012075604621081653,0.008683629095128114,-0.004770786637651009,-0.0028571089465309917,0.009714525067446158,-0.009013824504872028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1hg-D4c-D1c-D5ad-D1ju,1443262,0.07735358365857739,-0.2797416361934775,-0.1249993185476771,-0.09319379773469051,0.02489622804444026,0.005303743891910846,-0.007885070996103742,0.004560613586358306,0.0002362883401765637,-0.00048643695323792775,-0.0006820625923602947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4f-D1c,1442784,-0.16999178195515363,0.006150879555327684,0.17414719060707476,-0.060690578648779366,0.04598070008713217,0.010508719020746014,-0.022720284780108513,0.007273565530776241,0.0068034614365305645,0.0023859424825813055,0.00034743655009875204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1n-D4c,1442802,-0.06534488208002719,-0.050188381463070024,-0.03454378451005078,0.07931026348930414,-0.10179403351459498,0.03777073712564463,0.007552674224016002,0.0036522342258853155,0.012340717133297615,0.00043335738098979206,0.0022454170424526963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1c,1443434,-0.05562653681442012,-0.14279691577566134,0.20310667871491253,0.09668487678670372,0.0006354301339869543,-0.006232890007840074,0.008283442354517605,-0.0003534056953915982,-0.005691385448940512,-0.001942897424786369,-0.0009160301506747068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.701275101241637,0.10827683689061857,0.08725586353915837,0.05544456350796512,0.018812349227748444,0.011604695121449534,0.009720462832593743,0.0042427037093176675,0.002340823474804698,0.0007794289186305747,0.0002471715360764428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
