sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38
R297,238927,0.5970864659731391,-0.0042577396240050655,0.2863586451897766,0.028228328738689787,0.4176343322656092,-0.05254443554973753,0.009987312170758463,-0.0063448320524276455,0.018723254094866363,0.0004510480150028527,0.0011870411600570106,-0.008250464413835238,-0.0057741172369858845,-0.0002512357932963714,-0.0018390237201120756,-0.00016035287275124627,-2.8606788160471317e-06,0.0033053768119030804,-4.874888755949605e-05,0.0004744112263964784,-0.0007410214481883692,0.0002942023502076142,0.0001299144071706831,-0.0001434945186341659,-7.977577146604846e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R303,238933,-0.19556185387493397,0.189235013360734,0.002272759218994626,0.03786601873148376,-0.0056992295822191315,-0.0020667463295526317,0.059334078251819064,-0.0005847836723892626,-0.00034260492731191333,0.13109744950185154,0.013279082655073889,-0.0009818664865646719,0.004566970588151769,0.0220000800166712,0.019039777346767758,0.01462508780559317,0.02054941837333992,-0.0009624627199354362,0.006654062773660561,0.0003950469051721169,0.0012879451457416548,0.0006368661023545483,0.004813067080295651,6.053544303824383e-05,0.00024410104557923276,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R308,238938,-0.16355720648661434,-0.0632496299549176,0.002860882370388187,0.15421495074780392,-0.020496349952891523,-0.006750834421393695,0.23180629909633188,-0.00020009719274837463,3.493661551400122e-05,0.14449134062082272,-0.03938512593041031,-0.0010328973808516474,0.004302871379647901,-0.0020713034871627047,-0.013866560006120304,-0.011859352525795676,-0.010294077833793698,0.0015324452648633419,-0.0012466266946294727,-0.0019162441548003413,0.000990529436916686,-0.0010462817693825256,-0.002246932975487445,0.00031973626405543804,-8.290970161489384e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R317,238947,-0.19211235570446603,-0.22685301131365074,-0.011788976692782194,-0.014367092983956536,-0.002106018904348,-0.001818961986569436,-0.013755825705866259,-0.0016265395726551173,-0.0009577200016151532,0.009339805795347614,0.03357864239676241,0.005064418649928148,-0.02999844457854212,-0.004219190750738547,-0.011113707463343288,-0.008632463044233324,0.005969297681411596,0.0028330474856529853,0.0015798451927050946,-0.004310691787274559,0.0033598964844166533,0.004366473443810736,-0.0010332466540283185,-0.0028374305871332263,0.002853591784179566,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R318,238948,-0.15004073813266533,0.09971977041579858,0.0027972563343297333,-0.06319776961965662,0.00916857245162638,0.004355062629188175,0.029449582010413613,0.0036205491901486037,0.0021617712958819824,-0.03839983495084095,-0.07123026377157851,-0.013942639798793734,0.09491957597975932,0.0052188612464789536,-0.006175834822253794,0.011912668737646957,0.008270701935763082,-0.00020007579656528321,-0.00692420446967291,-0.006071724146420935,-0.0026828916682449327,-0.00037516841365993036,-0.0007909849423592033,0.0014719639962065857,9.988853980908857e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R319,238949,-0.1940121584960113,-0.21469172100173997,-0.010917091523371069,0.003803534652189476,-0.004901471310327142,-0.002480431593914374,0.04309833158806639,-0.0006835458479453848,-0.0003067014834395346,-0.02873351460619393,-1.1226434350783028e-05,-0.004338115347682112,0.05042319916097629,-0.05037738329338647,-0.007005721561116491,-0.031166461953196185,-0.002204512396567115,-0.0018988091612678023,0.00971670630701894,0.007716973345906747,-0.00841009112456905,-0.003093551902724716,-6.722747775818811e-05,-0.0006528066851431858,-4.697981729619239e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R320,238950,-0.21207046670830845,0.1418763183871531,-0.0029276744029917336,-0.011009399023239599,-0.0012967327321192906,-0.0008223604837585885,0.004725265636615944,-0.0006287255389773466,-0.0004009424872548349,-0.00039543589618462637,-0.003557770519153364,0.0031356231632267135,-0.02448375119896038,0.035485292895073774,0.022033549670778297,-0.014260672290145583,0.02267974753742904,0.001893568256776339,0.02030664731650471,-0.00731697348630823,-0.008200014690899492,-0.001612940898829806,0.0008236766003368612,-0.005688093179501113,-0.00044778510772942057,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R321,238951,-0.21493366154959115,0.09684493136810338,-0.004274957700459431,0.009843959247717377,-0.00581546608983078,-0.002490015331495596,0.07077024464780572,-0.0005319770140920451,-0.00033795612101460663,-0.046506199092105904,-0.002425690150681663,0.00011419301826838363,0.016708617675546125,-0.04422584211333027,-0.03549190630872315,-0.014166560857358021,-0.023872593953548973,-0.0019026739626004934,0.007590558476909479,0.01786726171063626,-0.0033814300512929906,0.005179005261632629,0.0007085981345017372,-0.0013062575700401944,-1.5325141443051747e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R323,238953,-0.16280582024358478,0.1704746263422082,0.005832999447592159,0.012929342845830265,-6.688659301038625e-05,0.0014425572349645536,0.05218711474430758,0.002222903944066594,0.00125084167742448,-0.02882727266967141,-0.002041598969834748,-0.006288933636290612,0.032666091748850636,-0.06753585542213682,0.03726598703192797,0.01036124323205939,0.011361278999521494,-0.0014283398969146797,-0.010143092935497004,-0.0028412421689721465,0.0013972112530005703,-0.001267764510247479,0.0010855382489729057,-0.0014375560225939694,-0.00012317078985595763,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R324,238954,-0.21974156342136197,-0.046684453153289916,-0.010936045164525877,-0.04794390810607284,0.0006330586452563728,-0.0006957748312477172,-0.006533593154493898,-0.0007092369847726342,-0.00047281851823403046,-0.00834300572324094,0.053008508828876665,-0.0016820193956702998,0.016916783864767217,-0.0009335548661362337,0.004412430974877975,-0.002895881733948016,-0.0013919606385334872,-0.0006695870730298916,0.012012026389744036,-0.0037912215425543946,0.017842023954985763,0.011927389934063016,-0.001979913921762364,-0.004604389959469399,0.00032198763732078076,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
