sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51
R306,238936,-0.10978880408534213,0.3302081448809998,-0.2665981395074557,-0.3047645628816169,-0.09710612768977808,0.04253537451976349,-0.012576554565578347,-0.05458734155639225,-0.051228806190072744,0.09583660139321566,-0.0066842632374089815,-0.003323817718582058,-0.01633084167336782,-0.0010528291488478944,-0.020472940210904608,0.031118881924782585,0.12735297588120748,0.005309336058941272,-0.004919479926098553,0.004892185359071952,-0.011013055767676397,-0.020016879664805868,0.010387751645363767,0.008045338803769468,-0.005770098237982356,-0.0017657016051010252,-0.0027450155822352647,0.0008195348874526251,-0.0016467406742394029,0.0007593999806790905,-0.000277640187374021,-0.002073044030670583,-0.0008687534799173787,0.0017435184868626068,0.0006678348833475712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R412,239012,0.1921298519259173,0.7059096733835891,0.37774347547337334,0.02942769269948974,0.14673017843830488,0.10750807655584066,0.04684500931626523,0.057211907383573325,0.05905390284723101,-0.000820371544811817,0.007906013679356004,0.0021246249686875883,0.00012868275134370535,0.0009029151185056829,0.011358965519333127,-0.0044157040358317416,-0.013015992843005702,0.0056008657836929526,0.0043348098335750694,0.0022894184578259617,0.00204723863653327,0.0017221607476967005,-0.0028314622203828494,0.0002603723723170838,-0.0012603425486859099,0.0019437384714365968,-0.0011058827265572925,-0.0017437858815987427,9.577882923253156e-05,0.0016350001448208105,-0.0002988163140344359,0.0001128536348830886,0.0002943908222505051,-6.389241397229864e-05,2.888241738825533e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_OFAV_001,239028,-0.27150591103593225,0.036327057765699965,-0.15053514709896973,0.16302018407743762,0.15966144241926722,-0.04374774138712052,0.0009197788535207888,0.06433790971728412,-0.03112564260183503,0.05605052253358927,-0.004493160494201633,0.0006965159074370286,0.014001452313960478,0.022190157117754742,0.004263444710819946,-0.05710605883434685,-0.017703004657329345,-0.003394462762283282,-0.02563877959440748,0.005444873433279675,-0.05670787131979787,-0.02784490592382554,0.011059251165155982,0.00374566649342303,0.040680868333726784,0.008420657688228953,-0.013504001332168373,-0.0006030085231797722,-0.007124816129277548,-0.0003020308942914577,0.00014920040344105177,-0.0021052764066587953,-0.0007505402315655582,2.3350420447473734e-05,-0.0055749591205899495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_OFAV_004,239029,-0.2972953645724392,0.005698692599056873,-0.01663713814982051,-0.12780539466021498,-0.04891274151644988,0.033025385249277193,-0.012231871015930203,-0.11390046189375244,0.009696618381824743,0.008176243703007575,-0.0038945349974001614,-0.00036486078066921764,0.028603420735780694,0.03259112349490637,0.003793689755310838,0.04339951733455793,-0.04019586694216324,0.00463653377826729,0.07673405302537627,-0.02352088655280555,0.0586059656079764,-0.03550796397721459,-0.040254975663794615,-0.0003912235469782386,-0.004686004778342514,0.014590964883530157,-0.01457015673167705,-0.0006186668878901119,-0.001090512134567749,0.0003631915537254791,-0.00010195456624549938,0.003834722143467759,0.0006304793803062062,-0.0006947266523739723,-0.004010874987943051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_OFAV_007,239030,-0.31791790516528823,-0.038205464854813055,0.018769782631982677,-0.08567883856785252,-0.02198570022484015,0.01856710642833916,0.009035959873328546,0.011249876387034868,0.009536341023746007,-0.016219918983490064,0.0010434670892748956,-6.941367065679892e-05,-0.019537000625271903,-0.04059848353621965,0.001255096686124384,-0.0039393861196326515,0.00045373773817733605,-5.968074645529218e-05,-0.02755150663370679,0.010632066491872729,0.006437440102801181,-0.006514555190309922,-0.02209735567818548,0.0022206548217355015,-0.028958595340390282,0.02375047694314455,-0.01747814222347034,-0.0006519206753502986,0.009986523097597785,-0.0005445728233944069,0.0004964138380198493,0.010064578514265756,0.0026621008394308054,-0.011056723999667348,-0.006033369118189027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_OFAV_001,239034,-0.3089221459394955,-0.006620013881814902,-0.04032423473547772,-0.12898121112326985,-0.009143497624138188,0.03126369470943789,0.012776716756909307,0.003632976119378876,0.0302362404349113,-0.05662374526624953,0.004449399791200291,0.0005589908288521882,-0.02195837104281681,-0.04344454052101306,0.0019728475217440813,0.03249684557729265,-0.011827764135211227,0.0007245458318415641,0.033277903368666956,-0.01142731765443174,0.00449537151532732,0.01948447712079639,-0.004939728765605517,0.0023130776679633814,0.0341747530090763,0.03231421040079356,0.043147291858866024,0.0009495427202393984,-0.009740727174515436,7.655398459879586e-05,-0.00011696785865085328,-0.008505006231538902,-0.0035435383532737663,0.0026725017271042517,-0.0051228120306843735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37_OFAV_001,239041,-0.3118325466008078,-0.043995325360173275,0.0012428176578403985,0.042839522381522416,0.07652264777469986,-0.019299224286144345,-0.00653502213815006,-0.005253098647276552,0.016319695263806753,-0.03821384933579796,0.004075336898429628,-0.00044212975198407547,-0.026543943022904866,-0.04795643134890717,-0.000525971927091787,0.0481023369518737,-0.025396882569241667,0.00039536383213788294,0.015693339472150427,-0.004676177898454033,0.057115000103047674,-0.018340876387966887,0.016082099425089105,-0.00606905048695564,-0.02655208355244733,-0.021164658126244126,-0.027696212584164145,-0.0019085333947613861,-0.03314268932608543,-0.0029895276612148347,0.0016587133824066348,-0.009153817605311148,-0.0005735138054786801,0.004205358575441044,0.008016912981318472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37_OFAV_002,239042,-0.3147134994611291,-0.07207701129608907,0.0844450868763233,-0.011538387043665744,-0.023832026088910364,-0.0001840527540221446,0.008111088298583372,0.038988799982144745,0.006813962134474623,-0.022378278147115023,0.003003592667183982,-5.1747555562378577e-05,-0.014852458880568145,-0.020431094997255265,-0.0018443012105863834,0.016501720841884348,0.0014613060537352505,-0.00134580141576404,-0.02694647317669982,0.008370181238017412,-0.021771593600120428,-0.022676501379054494,-0.009713965411561179,0.0035240074421837276,0.01913807478185591,0.02696450749945138,0.003526931011625871,-0.00042723261413267385,0.029306799235881028,-0.002837390712187092,0.001274719707973849,-0.0023652011045270918,0.005357342276509974,0.02705922471313421,-0.0018298802726331408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38_OFAV_004,239051,-0.30733666507296076,-0.06486428609181241,0.08009390574102812,0.0003619388120947145,-0.006615260327712798,-0.0057696836128571126,-0.0020556826198179284,0.0051797947243660295,0.005782491820480102,-0.01966094007044926,0.002847321647814604,-0.00024204773045917728,0.038179751539640455,0.09027604540885559,-0.008394536481070396,0.05345389338833984,0.02824467106115267,0.0002103760302109398,-0.02348554218404591,0.00863182968374792,0.007153828299732066,0.022989223516127887,0.08569339802484156,0.008507904213496821,-0.021014337335763144,-0.003923186823254548,-0.027180469599705246,0.00027824404573674667,0.016290068910135003,0.0013842477038419206,-0.0006275003602228859,-0.00020795166330087338,-0.002014759710628884,-0.003071523357453856,0.0019156590630682764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38_OFAV_020a,239052,-0.31201527038417215,-0.05869152723023283,0.04117242744912493,-0.001013636217349975,0.01878869837433723,-0.003941730376701815,0.009505936088564588,0.04667095610130087,0.02231757385633723,-0.05749024018437612,0.006545731723200737,0.0003149970429679836,-0.008789975605223339,-0.003775974357691165,-0.00295446876611779,0.06512472430336341,-0.013334474025339571,-0.00023392386841655457,0.03720938045148909,-0.014215607501727897,0.02075941730988664,-0.01583284079565472,0.08784264406738551,0.008067608005320274,0.021916592133254496,0.006547618064174332,0.013204500432375445,0.000968545493345442,0.004327740040447615,0.0015030872018494312,-0.0008484157527434302,0.00431714250142562,0.001445148656851306,0.00532366129396182,-0.006417294664354623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
