sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51
R306,238936,-0.38340739175885674,-0.2083656445084045,0.3668232513133429,-0.04066795320782287,0.010717870405706426,0.006025244232719199,0.049381775905492614,0.007193365198301764,0.007595655522006046,-0.004153150201170539,0.0007761308117245972,-0.004588299662617305,0.004334210238660805,0.0008461519477670196,4.7870915028651564e-05,0.0006345616050906996,-0.0006787810034075574,0.0013173153576461396,-0.002191874781979056,-0.0008448902509141206,9.964628742973575e-05,6.16465486811319e-05,0.0006675149628027762,0.000698919331556761,-0.000848712887333425,8.57038896385221e-05,-0.0001439930772270088,0.00022915212055117532,-4.8397578333964666e-05,-1.538302251231836e-05,-8.791064780391284e-06,-2.1290051100502694e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_OFAV_007,239030,-0.12216585182474685,0.007059050550788964,0.030358626137954318,0.006405774659617052,-0.009389490349637831,-0.0009857188962025163,-0.003980010624589891,-3.024774414807417e-05,-0.001696367347948568,0.00010133392308271896,4.693086085325798e-05,-0.0032028704275933063,-0.009704565859754885,-0.0024498009179442877,0.00040041224692804827,-0.0003289063716552905,-0.004891777281913546,0.001251080534261935,0.002068638592010135,-0.00849170752952339,-0.008365194043536636,-0.0005766339959379579,0.001699593341803821,0.002523990064365971,-0.002743316577275081,0.005132547253514755,-0.0011830638873660782,-0.0010060162015531227,-2.1120367102265142e-05,0.0005204080651677106,0.0001667162446374839,8.570594117227096e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37_OFAV_001,239041,-0.15093231661129256,-0.01787541582260642,-0.06260699061076817,-0.005535338945771678,-0.013108378284117017,-0.0007916396704352726,-0.009603539260386209,-0.005202143364818775,-0.0026620086459794943,0.0009499424128361866,-2.1390066512189565e-05,-0.010002303084121353,-0.024057280360758576,-0.005332425000126314,-9.319465318926196e-06,0.001799398268702727,0.006324240776196126,1.3732801406608726e-05,-0.0007581077982392864,-0.0006919802171123083,0.0008947318813457041,0.0013068822167187615,0.0011173093013707007,-0.00600801213768342,-0.0006457336535274456,8.005584350909541e-05,0.000655286894807852,0.003995190492365932,-0.001173934138888629,-0.00018453581922685705,3.1547000156729015e-05,-7.971859329646229e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37_OFAV_002,239042,-0.10499319643176518,0.02345629230621798,0.007289006280963663,0.002762683954105477,0.002399785883655334,0.0006514895906513114,0.01723479873331102,0.0015763237231736045,0.003763380057337757,-0.00289882212378912,0.0006094571318094147,-0.0029350529915547438,0.0025215980182353463,0.0025016330690976565,-0.0006944325169129216,0.0008158021904621338,0.006135194500079409,-0.0018844124237281522,0.006255847440902258,0.0025835775716294895,0.00193555870270557,-0.001428058199908966,-0.0006688689236984523,0.006667557583298899,0.0017318168804043453,-0.002571323120858288,-0.0003753977609538824,-0.0016442979956102569,-0.0002830313080526819,0.00037361860537386246,0.0006518323789511057,-0.00025031003363356583,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38_OFAV_004,239051,-0.1107741568928901,0.020194603562265278,-0.01078372954422098,0.0029362521341036022,-0.0022070980566066137,-0.000317126869087687,0.001375512823444745,0.012612862950228858,-0.00562175887841017,0.001169264001404248,-0.00024648203044499593,0.011338697930170902,-0.000901182665339152,-0.00017538058823068323,-6.307353079848939e-05,0.0007550010238302927,0.0013581004968494356,0.001433681422160193,-0.017271063388555854,0.007365854484813902,0.005849634766931556,-0.000904148124041191,-0.006108442485874473,-0.002511178490466102,0.0014537273282652727,0.0052356364343334695,0.00033907286667321935,0.0014395400116060978,0.0001530792334077768,-9.727735144949335e-05,-0.00010267987578870627,1.8226104401559644e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38_OFAV_020a,239052,-0.11702257876066882,0.013658247976446807,-0.011044198758912539,0.0016928540886210956,-0.0003329159048088076,2.0795532265588277e-05,0.008109721252100261,0.0007489055439596141,0.0006867278608912069,-0.0012923159602169802,0.00026724149685456133,-0.0018693457432019762,-0.007807331042140972,-0.0008361947822513836,-0.00030411868305476843,0.0008240632251377157,0.005335486203385951,-0.0006904981817492447,-0.012095089464740083,0.008544396727156841,0.004944392554824891,-0.0029933431155276624,-0.007421818507885307,0.0017688455934475656,0.0009951260456903268,-0.0059232602019152515,-3.9966682162141136e-05,-0.001990264156861045,-0.00021382844598389378,0.0003106165497022717,0.0002471442509196693,-2.939502521349288e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_OFAV_007,239065,-0.1659378817493851,-0.03413116651440242,-0.08560380290365618,-0.010910601914445978,-0.018787252620269777,-0.000576571591438957,-0.013499918273040059,-0.008039158328147921,-0.0014482142467378003,0.0012531555060839434,-3.5943183596606896e-05,-0.006558588313177249,-0.008176485341462838,-0.00026036716000322796,-0.0010639605502054921,0.0034170563042161535,0.017378437458433666,-0.0023669968760678425,0.011532938618626589,0.0028332097601578093,0.00654635978954568,0.0009448594431928846,0.0017268319899746863,0.006043837578890216,0.002858657065036951,0.0023176150261820065,-0.00017914678962487746,7.614538325403655e-05,0.000422319612930122,0.00011564538823302084,9.085729899607853e-06,6.165802633091187e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43_OFAV_011,239071,-0.14393016669559083,-0.012948014939200614,-0.05741513721698148,-0.005789131761093385,-0.014131254146954868,-0.0006625223640822893,-0.010129922067376926,-0.0035199654567444776,-0.002733567957807536,0.0011496156417497181,-8.746403599101493e-05,0.0002031006560879119,-0.004054904424837231,-0.00019983702076890967,-0.0005313920829296305,0.0020928906444794616,0.008187684235343667,0.000500333488577841,0.000743832433400255,0.00011424450195098516,0.0026075491087444082,0.0010116761993918667,-0.000138475546266649,-0.001904619654247288,-0.004109796642963501,-0.0031357257875308537,-0.0008502571616524235,-0.004119165293213887,-0.0013503835587280332,-0.00011930577246377064,-0.00012011111794269404,6.171477208089595e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_OFAV_001,239077,-0.10134851404437593,0.027651286814637833,0.006264384068268585,0.0037282410070871635,-0.001019495125420128,0.00024893034233495614,0.010701006127741865,0.012807829668176183,-0.0022863299892829725,-0.0008371337950100404,0.00025816695046203,0.006008292224958857,0.00515634579843801,0.00279472441808367,-0.0006628158784436976,0.0011468198357432872,0.004645676272589818,-0.00012528719219582116,0.005015830738311585,-0.002009256845127924,-0.0008966264030237478,0.0006805803388972488,-0.0017334167763255449,-0.0037140803814950654,0.0013788316051031315,9.586054048225321e-05,0.0005113219858882766,0.0008474327013394601,0.00019881305177397613,0.0027373311305914183,-0.0004158000957219275,-0.00030840355824282074,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABE_OFAV_003,239085,-0.09961909829408808,0.028582889341598642,0.006282135555575407,0.0031406693834227983,-0.00217394276251355,0.0002813156031822595,0.010268941946139143,0.012626933663474414,-0.0023032151880313847,-0.0007968040874190714,0.0002623806441611011,0.007304713391922528,0.005952032455088892,0.00289935590243355,-0.0005422490032985733,0.0010639816704384848,0.002119219986735791,0.0007374994787950541,0.004356992804997362,-0.0017374732849280566,-0.00029294337904106355,0.0003486174600889556,-0.0021012838471283282,-0.003573584359133752,-0.0013884729180643634,-0.0007600308585177107,0.00016930509999270337,-0.0008775979772387647,0.0012092653188981247,-0.0008743370229179054,0.0006179725267540655,0.0006368526622694289,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
