sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126
R297,238927,-0.1061846862339488,-0.042501826325052575,-0.06230483929592062,0.019770007587757536,-0.015131689320714653,0.0028398562449600765,0.024435817731268333,-0.017725930530760062,-0.06798058651735582,0.007736148265360603,-0.011770271827276827,-0.02989726144247183,0.011256160356929796,-0.009540434032282118,0.017375751587464062,-0.006696381437180512,0.01924676268024669,-0.01343489188343551,-0.0008703178687078545,-0.003373603294452977,0.015102315707469553,0.009658261883721266,-0.010795203010242938,-0.0009078384524693578,-0.007974687580462134,-0.0059260632160392235,-0.003519480872179327,-0.00031302447038154233,0.0046088726691509135,-0.0028317466965633803,-0.0009467333543008388,1.9423147403066126e-05,0.003017846174708925,0.0012557499039178958,-0.0015100983880552302,-0.00015633668174551164,0.0005268997710787983,-0.001638305477774906,0.0007654524070595132,-0.001337336185431419,-0.00048287738023307565,-0.0005280623801849833,0.0007989817313661234,-0.0006463658068337487,0.00018534267742402802,0.0004610524303261473,3.652736106358786e-05,2.0153060150104388e-05,-4.389714909814999e-05,-3.9097755926789604e-05,2.4211260970065e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R301,238931,-0.01725719059361665,0.004592949301699443,0.03208592607338358,0.03795105549925255,0.020380790853359986,-0.012130526148272034,0.007138061469641062,0.0023837915725276634,-0.009394793994355936,0.005792427726456826,-0.0009841052359762183,-0.007232786065964439,0.0005776114457639131,0.0007484106376479823,0.0141177916480072,-0.00954193089213213,-0.005021209773991221,0.0063380832054681846,0.008526256447710384,-0.007150825476751255,-0.0031189859652646403,-0.007231071685156005,0.006110919805452231,-5.037845330071444e-05,0.0039874760237100255,0.0049157143909560625,0.0016120165465818386,0.009416585372343989,0.004532115401842413,-0.0011992594151647084,0.005649698496155829,-0.004301590719512583,-0.002558987593031928,-0.004750980388711767,-0.0004446501377413316,-0.002223777244681451,0.0020117686174439464,0.0013749925126917979,0.0015904295428730932,-0.002487343453790911,0.0027724327390648783,0.0005441383483000787,0.00011813919484696753,0.0008866407099639473,-0.0019239718477378248,0.0025641788101785344,-0.0008316329751823391,0.0014428464510548285,0.00014196347200740798,-0.0005738663372709583,-1.52014713853855e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R302,238932,-0.004657309947051612,0.02720947791019933,0.007808236199900073,0.0002689978145231333,-0.009589562655089354,-0.038183534159939435,-0.004293928598816452,-0.0049324174016476974,-0.008331195333289904,-0.011656658010966684,0.0014794435980985266,-0.012206357056780161,-0.014580118685523724,-0.020034743930100136,0.0016935818514027875,0.019830677970475233,0.003610567927780283,0.0015857000365063325,-0.006163369981818914,-0.0034776550792928094,0.012985733815488591,0.0015799195234781267,0.010372853336206841,-0.006677150643743087,0.00816439012447411,-0.000911549765831332,0.001807761329895955,0.006060891890352291,0.005043366300899526,0.001784635074775088,-0.004543572755983188,0.0070575213843491295,0.0011186769178634652,-0.004960637097390772,-0.0014682434636837656,0.003193393765331706,0.00023607537063865614,-0.0035122751675436465,0.0006802564912676221,0.0005264098810264051,-0.0009840190924805335,0.0006863469998159301,0.0012018971800578572,0.00040609490525998423,-0.00031127696702162275,0.000666161932935708,-0.001125877517929675,0.0007674288313224992,-0.0004255984950007818,-0.000243909409685429,3.576487210798722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R303,238933,-0.024550710342943382,-0.0035136521879983577,0.016258019642966453,0.03782194079730037,0.012951268059474799,-0.015693730386705747,-0.00639104063610718,0.003637679930317455,-0.015369122790726265,-0.0003254394537854996,0.00957843025493528,-6.389726273458536e-05,-0.0037782373047017636,0.002590267259587165,0.002429537353195588,-0.0006053566455758814,0.00699133281752902,0.0011214061167594978,-0.0013512945300270403,-0.0055752698923140775,0.009488744289159655,-0.002641701660909072,0.0030382247711786894,0.0026768388110487906,-0.0030496164213237365,-0.0015060144677816324,-0.0011963973249473922,0.004370185504100083,-0.005100029963454128,0.0071394421268207026,0.0007843615648327965,0.001120546781845623,0.0014813282332049927,-0.0022456740842570844,-7.329579985062533e-05,0.0026500276037151717,0.005522355976047383,-0.001583986786320252,-0.0026208309371234142,0.00013318645419720183,-0.003585071936086207,-0.003065139780206499,0.00012859045493597923,-0.0040141536609453864,0.0015564319462687244,0.001954226035170782,-0.0005929666435668087,0.0006978805883433485,0.00029929750093259685,0.0002124046037526696,-1.2642851114581669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R304,238934,-0.01199562079728134,0.02276132680022845,-0.006736784528938783,-0.003008228468945717,-0.007531686165438973,-0.00687085031591368,-0.0002499659996533638,-0.0032272693095249513,-0.006222043850731424,0.007065169186859826,-0.0012573346777321576,0.015310027382805383,-0.001326972121822754,0.0013419140429115702,0.01147181790159419,-0.008859169165431745,-0.005494795416691127,0.001459989221198972,0.00191903159303441,-0.004346271041734512,0.0034794557063107814,-0.0036699313040061744,0.002384289022738005,-0.0023715224492298712,-0.0003973017627085901,0.000750154958245307,0.0009345613537104695,0.003871317781271673,-0.0012952472390977854,-0.0044868861702024405,-0.0014808877713265618,-0.0009584066524813167,-0.0017917133788617958,-0.00325038550131391,-0.003152983619818748,-0.005826912223886202,0.001933845839922931,0.0027618311579066146,0.001383893271193126,0.0019889760683942815,0.0032578200770990023,-0.003500920283381199,-0.0035179364714151883,0.002977362413214443,0.0005740819616066177,0.0022487340725768946,-0.00020192556735898416,-0.0012086831772217636,0.0011652245169479312,5.729490122574293e-05,7.828213517717271e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R305,238935,-0.04354657850586733,0.01475532745529853,0.009273467010527054,0.00150116059432096,-0.024056244412557833,-0.012978049357842048,-0.02057550456562838,-0.012248291858336138,0.0015408262680146761,0.004743999462770896,0.017976595583083597,0.015450321551925217,0.015911287309001935,-0.0017632704173814984,-0.0057699700907567625,0.0007451671632302303,-0.0036210066093393376,-0.005637681187966996,-0.01589633505143501,-0.005464741686436713,-0.001348739980894939,0.009790281515794745,-0.005428279276125887,-0.0043956233329934214,0.006362893512713415,0.005351654258752494,-0.004074574484388625,-0.004911486634391534,0.006283899088072269,-0.003818413108313136,-0.0007543334168987735,0.002395601105941719,-0.0003592125132824784,0.0013956167076005232,-0.00048575373662736605,0.002430332873932672,0.00502861121051608,0.0029790020192147185,-0.00029251088530374405,-0.001021971849825269,0.002266532209934166,-0.00037248610740652746,0.0010683711017104003,0.0012623782461260136,0.0014347299743524761,-0.0009875400230905046,0.0010352512034260124,-0.0007686404606670438,0.0006118746760952386,0.00041423557711735276,2.000042359130806e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R306,238936,-0.00873334151394067,0.024890682296610712,-0.0035877297462547225,0.0014078059587885336,-0.0031710051095261947,-0.013769319687914425,0.00275787663287365,-0.005624381205650931,-0.004161444276969991,0.0007619215006626737,-0.0010205088289839432,0.012989339867643555,0.002118956780869148,-0.0026102911144425447,0.009875038201586908,-0.0006519451164032145,-0.0038562728945350506,8.605936839738963e-05,-0.0019032638474208192,-0.005682330357353736,-0.002410402187127739,0.004343876723034119,-0.002445675320818673,-0.0008522997578095422,-5.3698809501630414e-05,0.002853875391716441,0.001215919467010146,0.001685790497441899,-7.14048161477426e-05,-0.0014888136592475744,0.0047494573137270854,0.0011194778635251431,-0.005020344167464638,-0.003295702875905752,0.0034965246366811305,0.0027965830333953373,-0.0012433112199453046,-0.004781363917795212,-0.0016111367012368082,0.0028292979451142075,0.00012982860083071164,-0.0007053172044120275,0.0008244927823278351,-9.00791028624056e-05,0.004286649046162574,-0.002063007943841688,-0.0019421575694655974,-8.127390171320731e-05,-0.001146508844393434,-0.00027873965597672125,5.074839979988691e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R308,238938,0.011922780275606858,0.03976127376864363,0.033830762018016,-0.020044906019110104,0.027244563576487364,-0.04640142906237308,0.02812428370952123,-0.01410647140592423,-0.03783186971761119,-0.018665405832620073,-0.04023912260521735,-0.012195886456769542,0.013732501411825124,0.022914656857373053,-0.016458976065450513,-0.00711628710182117,-0.00867511388159799,0.005287639501079053,0.013985194911822499,0.005363360826457421,0.0007610195121343093,-0.001351940721648973,-0.004669699523460506,-0.005307807406750282,-0.002092372543019024,0.007079536187082819,-0.0012690286925875487,0.0041565428853354985,0.0035787816547836445,0.007854479785242369,-0.0029419274912132008,-0.0007901386032032299,-0.004186693443595495,0.002415236573277401,-0.004143049314504893,0.00010314096595377091,-0.0019743458624194143,-0.001888557920414145,-0.0004055288054599599,0.0008872639241922842,0.0006070124089016423,-0.00020435433225660018,0.0013475958324806452,3.3586212030404397e-05,-0.0004455280966071678,-0.00035649611725731793,0.00039389118428743075,-0.0006008757628955869,8.066158788885417e-05,0.00013914809993888298,1.4591616887330983e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R309,238939,0.0071807310374109356,0.030779539874455242,0.014136623006420976,-0.0050509550237048065,0.01522687518610678,-0.0003435902599416284,0.00985225109621946,-0.01911408352509428,0.00568392000440778,-0.00758097264708232,0.00307588147979667,0.011821324203592862,0.007647226276952119,0.0015125934378499774,-0.004035756642043177,-0.008049015127714691,0.0023075587102810782,-0.008085757467297365,-0.0007137001445336164,0.004579235338366364,0.002266696269104673,0.006457726437491378,-0.000990074721964917,-0.00803700780357915,-0.000338983541266144,-0.006862340618700688,0.008104627837732074,0.001123316456294287,0.0042590356951736005,-0.0010576554388483203,-0.0020422770065730757,-0.0011047565328229367,-0.0074591416905724585,0.0020856829277032447,0.0011475133627355816,1.6331756939718018e-05,0.0012590125348162955,-0.002069910643381414,-0.00315706750796998,0.002800071912903928,0.0022397215238536498,-0.003369475722266933,0.0030443841665353643,0.0037839420223800325,-0.001036393675668209,0.0013306735168698818,0.00011370636810803467,-2.7560826395129703e-05,0.0005048427271769114,-0.0002271873087284508,7.509662013556555e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R311,238941,-0.01220067193856386,0.03654224483526265,0.036711822346005334,0.0014110117496883214,-0.008639329869656761,-0.01847275590117055,0.007212843880590979,-0.036647248505215044,-0.026401161781979137,0.025895068996543837,-0.01074346142202625,-0.008185328586490626,0.020755666155908886,-0.007593929551778662,0.012293910532534574,-0.0031344354357498386,-0.0031296051357974724,-0.009343182861389996,-0.012196242222173697,-0.008991194953031356,-0.008266861063986008,-0.0019374617049400453,0.006561178923804885,0.003288350674216007,0.0065586241486991,0.005448576933939883,-0.011830137968971375,-0.009426698225608175,-0.005105687517309818,-0.0006389302353030342,0.0030862629348322908,0.00686841711576241,0.0047039392749480624,-0.002523798143613898,0.002407199760575602,0.0014643949695349273,0.004543825817684552,0.0028803027712910947,-0.0011758597168522787,-0.000545856446778035,0.000879837559251761,-0.0006121580452127192,3.9246216543901405e-05,0.0011540901540842998,0.00021859763484949023,-6.715422054373009e-05,-0.0007423462844063914,-0.0005118130056245595,-0.0003328736122241695,0.00019718133925010394,2.8020158563127522e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
