sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126
R297,238927,-0.09200227603489043,-0.040476276449483,-0.035248785730754045,0.048852917874610935,-0.03204481585910225,-0.020897597286291834,-0.04517106034734106,-0.09856171232456132,0.10343505209847235,-0.0005790614883645272,0.044164578299014115,-0.03832905177175893,-0.08132965800146373,-0.026254546084930278,0.027759122976390715,0.015687201179399802,-0.055981054405425466,-0.018991504878819038,0.0009968249981405872,-0.022960869049387073,-0.04037280364773455,0.0022935941905648685,-0.002999876892153244,0.004670753742162151,-0.00445364688040847,-0.0020073923245798797,-0.01302141133581562,-0.008004227475452394,-0.014373474888259834,0.00014920178439969554,-0.0004376391843107374,0.003262368072817081,0.0038617223331373716,0.00014505914326095739,-0.0058931577646908016,0.0012411580633784525,0.0023573949119022725,-0.0010279441174462943,0.0013561109778987522,-0.0019413587165312892,0.002018945630555455,0.0016576450948986362,-0.0008378925484971095,-0.0017408186105413756,0.00015250207926608631,-0.0019842383402009466,0.0018637593214790057,0.00019309066464019733,-0.0004209066166125675,5.8586979600997004e-05,0.00039916249854006833,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R301,238931,-0.05405555289413423,-0.03553755027686141,-0.09310072168720414,0.0018136346749202433,-0.023620867192129975,-0.02270998753185177,-0.02329710816344169,0.0006505043649749718,-0.006237328629387836,-0.001420984142544797,-0.02017873596546767,-0.0025630580794107185,0.012414603228934487,0.014547972014935517,0.002895910141645518,0.004987951399153537,-0.011782830311609047,0.008317322956081256,-0.016113487880078006,0.01950987386212143,0.005965147211307846,-0.013401288693721073,0.0036424466481140543,0.004561764790396924,0.003175024320878676,-0.008262205802249283,-0.015502167450809358,-0.008246499095361227,-0.015842564411427992,0.0035666977098439707,0.00036007980588656307,0.0018463017872618825,-0.01243122018965621,0.0016405969438126043,-4.206043599913926e-05,-0.00789626346859394,0.004234610844405167,-0.003969485434113352,-0.008934091574970198,-0.006412334103258731,0.008422907899097215,-0.009536258150104811,-0.00512361596803621,0.005740937891391369,0.0018523433301085269,-0.0002631353668697805,0.0006673251904789096,-0.0013958123504180509,-0.001649185866425434,0.002007495386325929,-0.0020464232488796156,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R302,238932,-0.053103638578209746,0.04206650785808817,0.06181884767745556,0.005143565979947872,0.020681755671577467,-0.03413001419752528,-0.08152176044211634,-0.0037426371005682365,0.01676373620057836,-0.0025422363414750616,-0.016078760300931937,-0.04653193115638714,-0.013024741820430815,-0.00381611859373874,0.01982089195430175,-0.016771022115563018,0.03021048969755953,0.007091246600750481,-0.0027804561121526203,-0.013612144519400455,-0.001485212447113072,-0.01142136421661019,0.030482360350636634,-0.020075672203005636,0.0006990954901869625,-8.953035965716015e-05,0.005070476225973603,-0.020204000068281554,-0.023041473889202375,-0.008116430949299014,-0.008330207269304897,-0.0072937835211358765,0.0011998367616169556,-0.010472799135422386,0.005837062571874468,-0.007101638603534408,-0.009968224277579096,-0.009898796948929282,0.001280718340442905,-0.0012326316708488566,0.007248066453625962,-0.00441282896952372,-0.006105348764637208,0.002287074548141251,0.0015787519001195835,0.003587556176626235,0.0012762054940955025,-0.0017393504229306432,0.0010988111577200142,-4.437581183939375e-05,-0.0004694823814559874,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R303,238933,-0.052414109954998844,-0.03396594236789938,-0.09478384070281444,0.004657587527626116,-0.024912157037643077,-0.017981895284430394,-0.03089584348305791,-0.0004866245097955135,-0.002958565778357531,0.004931776297168058,-0.029460091146131236,-0.011578529587616534,0.004925120660410132,0.012410979271161332,0.006421484598217848,-0.0011530620136771961,-0.009082768746927646,0.013943171537473846,-0.012513899044448135,0.013346724559573534,-0.001913975819749202,-0.004109582373971787,0.005117825128278247,0.0024876683367005352,-0.0011930757686981967,0.0019469406793739016,-0.006407323112450344,-0.010692815597210666,-0.013420452211434522,0.014271263441296587,0.0030108487763149503,0.010417941556363176,0.001727967038930642,-0.008284513261120072,-0.007248724505821039,-0.007891746007991498,0.005794625242782694,-0.00033505961938705257,-0.00870638357964609,-0.0017976883876797223,0.00041641226881024485,0.0005254991122949961,0.007719272459376902,-0.0013634577734785841,0.0007563552399465613,0.0024430613683072444,-0.00012809224582321983,-0.0003828365382112122,0.004787049390372262,-0.0013568387512496159,0.000923530972540712,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R304,238934,-0.0842620840539683,0.07148295341253329,-0.0005321931422573807,0.0013836900028383785,-0.03431579255977566,0.012444961946049432,0.034863225792303734,-0.015057717024955218,-0.028511022715692013,0.001900915804015954,-0.00019486914965806968,-0.021831159595980684,-0.013682444599258875,0.016436706433480143,0.027100615558296893,-0.005564927229020957,-0.004991774829804094,-0.0077582808332071805,-0.004085000477394666,0.013524960934446861,0.013232844872171834,0.025166951503007743,0.028581579524645535,-0.003117918994616639,-0.0033560117070421083,-0.013135036298277142,-0.010967307426336443,0.0014615905915189831,0.011389419200183343,-0.009815675580439963,-0.006083909786865176,0.0032849671524497483,0.0072538432368556205,0.008654284198001464,-0.00013613066603703494,0.00472012432413911,0.0012201995147038559,0.0012637080790294047,0.0011254677655515829,-0.007204948477632834,0.0007008108285103579,0.004175638354400602,-0.005774545988540873,0.0010732136132491478,-0.0023786285526543657,0.0059271822545589,-3.313956776463899e-05,0.00215046132184118,0.004217231668096137,-0.0008573207935923729,-0.0013438422854180287,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R305,238935,-0.08046535384525508,0.03154383981635013,0.01880039386003213,-0.009685709482900309,-0.0169015424257019,-0.04035610666750914,0.07793748843848244,-0.008373194900907523,0.005483004320089044,0.006368003149335387,-0.030548075545624852,-0.010109593225378232,0.01041755885972538,-0.005242534097954914,0.03017422074401383,0.0071420856318985,0.000247982296347842,0.0497517840626779,-0.008869562443349596,-0.0014807462114417704,-0.01641032349922732,0.016899772477637943,0.008731528342478662,0.0024769448791270676,-0.018480889870787904,0.00635630413616306,0.030473329379403818,-0.002359463319051526,0.006877901702884572,0.0026239025489419206,0.005727303695340095,-0.002044338758679628,-0.014034365296452862,-0.01041715973049846,0.005955571467080885,0.0034401071608897143,0.0028011605044257907,-0.0060064576950922864,0.003246789538672732,-0.005500819678188682,-0.0009081656503385209,0.008597555436840976,0.003490074471750585,0.0011433865991781998,-0.002529203139847653,0.0017848177289939407,0.00016890697721934583,0.0007185270081198657,0.001250821109352592,3.7041479103239134e-07,-0.0005078889300123599,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R306,238936,-0.08559806715407643,0.07499205095328497,-0.00047133514085944973,0.0025215490215475685,-0.040073852518243615,0.015246998548880142,0.030528899829903217,-0.014992651296669655,-0.03192238703136387,-0.007665579596069748,0.003214158908861392,-0.016964334597216593,-0.020773730275627032,-0.006554376205339566,0.011708695811967347,-0.014877916527217736,-0.015331263341793126,0.008766425272677165,-0.0075751404496919245,0.0007226055359148876,0.0021690965511428316,-0.006542990523699358,0.0076421058871599945,0.008628110261081146,-0.010945338385718338,-0.007740799853300777,0.0072450563429757656,-0.0012351290101778177,-0.003820325578965833,0.0008768336791047727,0.0011630967487566187,-0.005561380552610541,0.004529308876634223,-0.0020277766675218627,7.328141456978173e-05,0.004638951934211362,0.004755402789454413,0.004687858597981135,0.0033520512684968124,-0.0018222421733920203,0.0039476734838571675,0.0018553453731684705,-0.0014432182005937458,-0.001961569463319463,-0.0006161900825257984,0.0011701470517409241,-0.0006206201308404126,-0.0017510714887511616,0.0007990751224398697,0.0020254586114851446,0.0001442155101903256,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R308,238938,-0.05679535853926595,0.017717965864686543,0.04824452035667397,0.06020591261423561,-0.007091878426601933,0.01345708440579675,-0.03480172660897797,-0.10084042295851861,0.002237825793169674,0.05321846712556242,-0.025231528460529756,0.028013196320034985,0.027391238030627787,-0.0012314577151870199,0.0025609062146057546,0.030093207944578683,0.030197454305474807,-0.01995583093616225,0.0034709942358977547,0.003564933025274161,0.014237343984655067,-0.05436227636877816,0.010479598136336303,-0.023034094872239317,0.009588312561567829,0.006236539162059474,-0.024568196781914343,0.011089365649317685,-0.0160167351868912,0.0038943742680298482,-0.008221140826733687,-0.007756890932998489,-0.023880357062709835,0.005254350873552517,0.010808356206874774,0.015107257628282269,0.0038038326469939506,0.011163869746906212,-0.009369530194580835,-0.006490181183504455,0.0009761874004216943,0.0035369304373584075,0.0013919659270881077,0.0011741588271595564,-0.0034761474377340775,0.000239866876422756,-0.0015855360364206868,-0.0009631874544159393,0.0011308890525813637,-0.0007686973908009454,0.00031114979154571676,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R309,238939,-0.08572957729590555,0.06144665167817073,0.00775837750843514,-0.006866673676555948,-0.03544852717165893,-0.00996345537026205,0.05899010220885004,-0.005815987329423115,-0.003913755029071449,0.0018851062102930856,0.00551976542754772,0.013016304591348036,-0.010764340164344135,-0.003456589462987086,-0.00809656964149453,-0.023511793389783705,-0.0016906244943605906,0.019771402108838338,0.012593103433710324,0.008412906914030434,0.009128197948051656,-0.012131413632926878,0.01177253290684817,-0.0017315346797239892,0.001667008085326538,-0.017347036832415414,0.005028696057120605,-0.014165039618777086,0.00790635335781232,-0.005521492201250731,-0.0132336691602843,-0.002566044928451796,0.002062441378071714,-0.00978563591502078,0.02100115729537657,-0.0017779124216486992,0.0033409168872294706,0.015243644687729709,-0.0014374191949931728,0.004978409154089737,0.0014382233760446169,-0.002943159404024425,-0.0026216136505255202,0.000762380786403079,-0.0010716678133859598,-0.0046801445366219255,0.0035433570789402185,0.004465772423205636,-0.001483225400899543,-0.0010408212506657734,0.0008671352168116572,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R311,238941,-0.07834965340329582,0.0574275052201543,0.017280386843782088,-0.00024123038687815253,-0.03707022939297648,-0.013762863724165656,0.050584511797553196,-0.012978887154882926,-0.01696273134348834,0.014596616368062035,-0.00632300725778605,-0.029315834171864525,0.004825580130817433,-0.022812336003978355,0.06107055033831993,0.028510386785416675,-0.039147734878054036,0.011957760401320823,-0.018044450330785503,0.011561466274605574,-0.005659258191932749,-0.04894125001939445,0.017810227776197306,0.00912977041163345,0.006215804968047518,0.011393655483562182,0.0066029006794138655,0.03161888477529364,0.02727327799989096,-0.008567865303857974,-0.006010661850598457,0.005088153652385232,0.01275610296116482,-0.005831362362177544,-0.012730548469796219,-0.0005873649310822941,-0.013825418823469236,9.658510334137814e-06,0.0007942073413917174,0.006062547203548492,0.0011954156579929661,-0.0003367787335714639,0.0026502360860689187,0.002151370908580398,0.0031170503336701997,0.0008035798140112574,-0.0005748195186422673,-0.0004647996220495973,-0.001329073476240529,-0.00014566230735339628,-0.0003279138116946194,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
