sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126
R301,238931,0.00857756199423155,-0.02183041650207557,-0.03234526159515599,0.02652237445785467,-0.014736915471839536,0.004980566547028612,-0.00452530404364818,-0.017349156544385517,0.005902019961491634,0.004332593476115832,-0.002062017343888976,0.0037620560157165194,-0.0015372255785560483,-0.001056357932062506,0.00710690511000803,-0.0012411259443642778,0.0032234777813119377,0.007765039814670573,-0.0019401717875293105,0.000633619554174715,0.00525198829905188,0.0020313800300927718,0.0023736481597875798,-0.001402681658328344,0.0038555590928317117,0.0029087843518998853,-0.0006631748886395408,-0.00023609977883062115,-0.0006024402576956213,-0.0013098259135367718,0.0018202245056220551,-2.5675562644706905e-05,0.0018253785110491651,-0.0012461437375514937,0.0022414329660131807,0.0025656698000357083,0.0013976564877010687,-0.0024087099330255346,0.001431672460969772,-7.772158565118007e-05,0.0018371528644253222,-0.00017447153061856503,0.000424043353073308,0.00039490302441209707,3.302067862367394e-05,-0.00014679744238657976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R303,238933,0.0036064632756415823,-0.025943848934161906,-0.035091201695877094,0.02581213820934234,-0.009318678972900812,0.0035895047413062034,-0.0017223964978631487,-0.014691917106548187,0.01315125559129875,0.001888684534009348,-0.00531738366474812,0.0008847123923410127,-0.005031983378912179,-0.003957918183593241,0.006894831948395705,0.0034959100712376352,0.0031170588325150424,0.0016331368820645595,-0.004568110834731535,0.0007889770442446418,5.708212907295278e-05,-0.004210420270820018,-0.004356081361812307,-0.00046499653728077094,0.004881785935668122,-0.002985016568265798,0.00230288790418975,0.0030114649750438284,0.0034562991028833367,-0.0006384066261143983,-0.0028005264355000226,0.002771645736355515,-0.002255610041497045,-0.00017354273789100194,-0.0009497158807485263,-0.00026749717343912304,0.0015224397502767973,0.002402605969661197,0.0015101190565717363,-0.0007228632553855475,-0.00034873041815779247,-0.0011448768479346632,-2.808020985953332e-06,0.00011797892858711534,-7.527123769641662e-05,5.620098120295754e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R304,238934,-0.01974908850880047,-0.005823565924825425,0.013333142737387829,-0.004520928041588803,0.010231198130064423,0.0004071420934994091,-0.008083286483829484,-0.004679488006050313,0.008039062645732904,-0.005509754349794811,-0.004082017889678031,-0.0035807990353085794,0.004118041554237307,-0.002668636636405966,-0.004987352197040385,-0.0010653699177420857,0.00602622523565458,0.001765642755724044,-0.0014067615536883782,0.004285076602420439,0.0018513684587710161,0.0006378472395495035,0.00048950840843027,-0.0007870597729154328,-0.0018129191419857338,0.006939499897134725,-0.0025226423930098077,-0.0006601547973647547,0.0008749961266176481,0.0032052631733992354,-0.002413076363115927,-0.0022249784336092473,0.0008755243531772458,-0.002854934080752442,-0.002276478691205825,0.0007237751008010423,-0.0018040245036969943,-0.001991457961624776,0.0006019793243052577,0.0009233476903307803,0.0030187206855708986,5.037492473393486e-06,0.0005555363758887361,0.0007205010816257899,-0.0001227041022475411,8.590881098610423e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R305,238935,-0.03008887985962024,-0.01748082755075792,0.011255557666140593,-0.006042403678124624,0.02939775207133775,0.004390765615036276,-0.015053731773310286,-0.004683753794261197,0.00011146471388584782,-0.004911715636307069,-0.003933811025445399,-0.009526915617242825,-0.006673717974917415,-0.006856153649049045,0.0016517597493405669,-0.005258703142172847,0.0013960387340759381,0.0018209504864115762,-0.0071962450102116765,-0.00637597847755436,-0.0019709994629753492,0.0003054612817147181,-0.0015674337271337827,-0.0025091441359027123,-0.003940389432944767,0.0005621896612010359,0.004517563025975968,0.0023017735546195335,-0.00577281125092335,-0.0016654485817941295,-0.0034421514852936426,7.99129945009612e-05,-0.0024141904879742726,-0.0042478341932029,0.002527583352327215,-0.0006594766060539515,-0.0023186648998555132,0.0009410259910823595,-0.0023017754022339027,-0.0011490903397515116,0.001323826497172913,0.000129254688801152,0.0005706047867534453,-8.621254090878626e-05,0.00010055016189926846,0.00011922469944636185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R306,238936,-0.014868616033739375,-0.004121826754918798,0.013508545784494095,-0.0034639119995188428,0.004660323629836341,0.0018049964547040447,-0.004987991599754555,-0.007493096749652152,0.010043053393476215,-0.004765710872407186,-0.004289692199221334,-0.0027148867713779785,0.0038411270747689113,-0.0011860540777681489,-0.0019673969832736853,0.0020121977919575007,0.00029102113485337795,-0.0019122571983921958,-0.0029408076829879675,0.0018443389220280178,0.0008435316742118809,0.0013872107752081698,0.0024548813107650278,0.003561439852527506,-0.0015114781078160618,0.00448817130139082,0.0022026549313109043,0.00244670920240369,-0.0023174457607088293,0.0006118107842672853,0.00017792378767423852,-0.0005402127345159214,-0.0024292419569890947,-0.005151156533842976,0.001207387620246128,0.002771957731439489,0.0025167058065867216,0.0003483692101854916,0.001564566444760077,-0.00037411562168243194,-0.0011719175339587197,-0.000556947716703267,-0.0007161522674893563,-0.0006325215767557336,0.00032951706350422573,0.00011516011860315448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R309,238939,-0.004810326990599997,0.004251492369160764,0.017303282316602355,0.0012962599420267148,-0.007312349852397783,0.005768060380333014,-0.005749309520771397,-0.0017335123422404324,0.003880203403595039,-0.003959941640627568,0.0075819527623081084,-0.004216005770429203,-0.004339784381622309,0.002288238155794076,0.0032990511703395336,-0.0022345621522936797,0.006342428141078268,0.002543270167771785,-0.002739522837955325,-0.0018889851630290381,0.0008251259122628261,-0.0068967160390326345,0.0031685553492050164,0.001693538563647247,-0.0034598883479823287,-0.0023355876322134635,0.002360119581338153,0.0006169760393295207,-0.004088344635088549,0.002516433011545511,0.00040098043593024204,-0.0029502618094972687,-0.0026767485899600613,-0.0023859817035528246,-0.0011527414303737888,-0.0008331156322318813,0.0026301874950964304,0.0002236313353101462,-0.0006609612870825634,-9.652128679844362e-05,0.002271135746834029,-0.000838334714898743,-0.00035768390605234456,0.00029581301256741393,0.00011427755000931315,5.172387987221457e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R311,238941,-0.021650960805108733,-0.012837063404642628,0.011012687898826541,-0.006976194166807336,0.018357756532572017,0.00412811095888331,-0.006647581179205153,-0.010336859078658216,0.010310283998912574,-0.004612736189153624,-0.007117682506474399,-0.007735180813473792,-0.0026627958765431388,-0.010203153004287386,-0.007696717685097205,0.0005667554031889837,0.0011649368182210455,0.0032578008554728236,0.0022033911696827664,-0.004486187480202832,-0.00423440482263129,0.00048668347942042455,0.0021446515152537416,-0.0012847431419662604,-0.0046499866149872756,-0.0005843546613845528,0.0033099513265429526,-0.002014812756378269,-0.0013702532301583766,-0.0019090385884416368,-0.0005989932925813418,0.0016768258397902767,-0.0015000889865424904,-0.0003896389538733542,-0.0027466819431635017,-0.0002298264176239092,-0.0014422212694267724,-0.0001351633128057479,-0.0011674931604629029,-0.0009537360902515833,-0.0005138574679714765,0.0012072355837503613,-9.840428855244987e-07,8.39477690218768e-06,-0.0002406778402378714,7.760158189606385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R313,238943,-0.006058983923892446,-0.0042613211393813235,0.012484908605210787,-0.004835885696856101,-0.003740030478591381,0.012048685675959606,0.0032141009519388937,-0.005877934118727047,0.0042847743490449595,0.003519168097948251,-0.002409306908199808,0.004434172623148271,-0.00010809008273931334,0.0030998976786720833,0.0021374093260009596,-0.005539512587273492,0.0009689345729672961,-0.0019411321490020164,-0.002635268915176423,0.007211572310371667,0.008398574118722359,-0.003727821804863269,-0.007218289393836381,-0.0014232050931966952,-0.0014476014543349873,-0.0017394048116884599,-0.0002791143548235773,-7.449107477779046e-05,0.0031015412717570467,-0.003959654670467445,-0.003764614849755444,-0.00484992751039581,0.004451490493899622,0.0010431337009190575,0.0004683048913021535,-0.0021900092337058296,0.00017023587012389305,-0.0013765328357870157,-0.00040110902988512185,0.0002240866564298499,0.00018166340631616085,0.0006095495312227534,0.0003779204520592184,-0.00020473208001496804,-4.89014890034816e-05,5.709728157810104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R315,238945,-0.003979650199253435,-0.003396076533211972,0.012097802781543278,-0.004271164014511613,-0.005484036333706252,0.015640882296659022,0.006324870603996733,0.003773913674912373,0.0028551552952479475,0.014270856373132712,-0.004430269241598794,0.008020593409293697,0.0009042848390622238,-0.0026182599148012104,-0.0004427611423105033,-0.010928210563253039,0.003198957142361494,-0.003161155216262194,-0.0033116596965626515,0.001936780740057255,0.0034683673235988855,-0.007063653357067253,-0.0072709295581840725,0.0010625239528250308,-0.005256023152753378,0.0029895922255801077,0.00030117666107266753,0.000547697612705012,-0.003655379593118272,-0.0014377996231591085,-0.00012503461448013856,0.0013192945565146865,0.00010690776997488693,0.0019429883610092272,-0.0038357710776156834,0.0003973241173472169,0.0008516964509122,0.0006600209679902774,0.0008716819323119924,0.0015226947501873,-0.00017797602708353872,0.00030682264672228114,-0.0002556097699965078,0.0001363513941554717,1.7721502438535162e-05,0.00010759179894928662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R316,238946,-0.014349935328532768,-0.003774157829764062,0.013119168910428441,-0.003977760991839263,0.004342977312250756,0.0022974582272453884,-0.00212530222991168,-0.001097066469531523,0.004527968462160008,0.002514627682356588,-0.00655730651578544,0.006018988361015961,0.008083475392785004,-0.002965017684149774,-0.0025754339968469776,-0.0038257204360556294,-0.002555157573809408,-4.873935765876977e-05,-0.002252407812238934,0.005000500011887133,0.005225757796339126,0.0008190055438213305,0.0005593189059348353,0.0011342090462567432,-0.0017181578134071885,-0.002120463072854775,0.002571529645517926,-0.0001542003175669047,-0.0013556856580960478,-8.661434567504242e-05,-0.0025378988099086634,-0.0013451045039797728,0.0006850665257042213,-0.0033643643921871524,0.00018222506286367298,-0.0005036070888375379,1.118999435472232e-05,-0.0006209360708387154,0.0016088154778557183,-0.0012466065677856648,-0.001815591808360059,0.0019286603800968132,0.0018265113616119425,-0.00010194099831210146,2.578547344292092e-05,-0.00012119615357738873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
