sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126
R301,238931,-0.011825807403421443,-0.026448714454916533,-0.14867098196902354,-0.0619697244626272,0.03757525762799867,0.034522234512683145,0.002716455820729908,0.009647694823466411,-0.008283467780502412,-0.04304564736249322,0.013955140081819825,0.011731200875261588,0.007595886008429372,-0.027342200310179664,0.00677264955213643,-0.006765602835831729,0.009458295383583044,-0.005315456358251482,0.0018699406725923961,-0.004857987290316429,-0.007809153272986826,-0.010332620194805575,0.003086939928608398,0.00276605323290366,0.0007562314724149018,0.006870610507047261,0.0014879804722769895,-0.02183552060636293,0.011024989760401864,-0.0037983015624225617,-0.00023250516675300538,0.0009187230132844403,0.003539635589616247,0.0038175244505915186,-0.005124528473142792,0.0025063193313460963,-0.0015117057791917778,-0.0008334702715104526,0.0007999934763897672,0.005278133570536673,0.0010291339333507368,-0.0011479224385335513,-0.0004339453954727628,-0.0009994652272065168,0.0007956245267791966,-6.118018382767671e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R303,238933,-0.0109902272009792,-0.02772618781943289,-0.15351734439869405,-0.0617882486095438,0.035211491474074215,0.037140978065967986,0.002806910273131563,0.008349891860203084,-0.009425105830622865,-0.04748348772826482,0.015513917977797734,0.01303284202986791,0.011081207137919779,-0.029954993578175316,0.01034997901897178,-0.00786687711278797,0.006135529897261469,-0.006059119560458828,0.004317821435263552,-0.0034428147047119943,-0.01002352159381556,-0.013476783549069435,-0.003134022543086874,0.003274001942744065,0.0013110480784811226,0.0048479964811264705,0.000437908429419647,-0.02701594857117948,0.009822162932193314,0.0009442562100698714,-0.002138219505084391,-0.00043853800921483054,0.005351241440179276,-0.0014509854599802044,-0.00021804999457534827,-0.004358947972442168,0.004546232391724114,0.00044135697264305904,0.003706304477888483,-0.004772450767929927,0.0005920595856143367,0.0010866213157296439,0.000732937815927536,0.00112312790916011,-0.0005724818423044382,9.342019728063325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R304,238934,0.038297571820322805,-0.02297764227750472,0.041112101027375995,0.023263654422053557,-0.021809776647445524,0.04817593137119164,-0.019738393507515002,-0.017441766564618613,-0.032470766731571274,-0.0038120183856412007,0.012497018764259314,-0.0014357034758957301,0.012927918839916583,-0.012139099270822493,0.007584242856540913,0.013319374800937514,-0.016429976917410206,0.009660052318276999,0.010172222881829654,-0.010411458514961213,0.019225637001970892,0.01305926815646891,-0.016672992598811436,0.019885876756068035,-0.002983911379682291,0.003537532188894625,0.00859904572728514,-0.0051755337710746715,0.010183979052818322,-0.004968333958718233,-0.0042545993137842525,0.0004758702252185074,-0.007310563715387527,-0.005139954338172059,-0.001041344074373892,-0.002628206267219469,-0.00026114044963070586,-0.00142294792305708,-0.0030760925212044506,0.0025752544952282273,-0.00015708409924736414,0.00029480088410886225,0.00037712943900000586,0.0004500821325908332,3.795800726318688e-05,-9.354855506709161e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R305,238935,0.05395262658241977,-0.02968911195385055,0.038262258501383706,0.025674465174988254,-0.0680014461047882,0.0733578924870097,-0.007746729257408342,-0.014021096197628057,-0.011592875011993343,0.0024503360062669618,0.009244933913939556,0.04014336779656971,0.025201753140402627,0.004622942204750856,-0.022139441482367773,0.01661654336541865,-0.023017125474082148,0.00463545254544297,-0.0034283880836145806,-0.0008046386803594585,0.004912673698243387,-0.0015765708169215445,-0.013317431025826993,-0.028395795104475454,0.004071302140689497,6.851656215322505e-06,-0.02751438716341878,-0.00445403884207964,-0.0016660125654757406,-0.005451757298409918,-0.012688818396082486,0.004910128080126596,0.002485865044007857,-0.007358323364593457,-0.005825112871261528,0.0020312646364029664,-0.001313886156293112,-0.004485929691945621,-0.001409637867985254,-0.00036164740956474,-0.00025375115404937897,0.00018685318052307715,-0.0003591736364989621,8.141179487196261e-05,8.207111679476115e-05,1.797806793949635e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R306,238936,0.025444432789212157,-0.023573657226125377,0.04243466265505054,0.014085272789156743,-0.005103325804290147,0.03568306925783021,-0.02004274965192067,-0.013145580308054348,-0.033611990618940685,0.0015625567972576415,0.005314935656759805,0.0022975968017767924,0.006266901413874786,0.0035478870755887193,0.010952275438389312,0.009224718532133143,-0.012623422635043976,0.005018281224233212,0.017130621866537854,-6.173970923086214e-05,0.0030963365152060574,-0.01122455511803054,-0.013091052159087006,-0.013576840385299972,-0.011487403935932148,-0.002419185036471649,0.008443907995534001,0.00233472199818558,0.00817547850797309,-0.0037892241534600545,0.006980497603121393,-0.0030245911310291087,0.0064604212042490726,0.0002849607016656157,-0.0023880118908146506,0.005878805320383814,-0.0010961186551696764,-0.0003731759482455552,0.001744810172296558,-0.003898538066451304,0.0006772816023886329,-0.0018101603976712361,0.00024719491994178763,1.2341276439245553e-05,0.0001357016224706215,6.014109957889032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R309,238939,0.02738534316527061,-0.02519486083238605,0.042478962893250816,0.011064528026767264,-0.02524179032515425,0.047528416920753803,-0.011358442534829098,-0.01063034617768488,-0.015309100713796889,0.019171020510924418,0.0015523939054403078,0.028566203972598885,-0.015180699385219985,0.011390018316344633,0.009210200143862032,0.005391609587146568,-0.010414361969958081,0.01805655973808261,0.017187863935133288,0.003920976874339626,0.0010366288135381448,-0.022535014597261593,0.009998540792164591,0.002777811336867454,-0.006155698878249613,0.0005729531348557174,0.00527993029276363,0.00230352395373161,0.011724827884604182,-0.009027221015704988,0.006870547996563093,-0.0005398369835619703,-0.005745228910947401,0.00696796342516917,-0.0016072295836346703,0.0019129397846869088,-0.002169091981992847,-0.0022177079128890376,-0.0015672396320943129,0.004144569352238539,-0.0007875850716011271,0.0006895171235376975,-0.0010349077129229803,-0.00034520107685166767,0.00015182050981767364,5.3612706781165686e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R311,238941,0.038172834731470776,-0.02376724905459677,0.041897000451278074,0.020308723040030115,-0.027315156717074542,0.04474310984695981,-0.016797578094708283,-0.011526495730215932,-0.03270437630296877,-0.0037618415646114714,0.018883078807853095,0.0032981574376759874,0.031039164721219634,-0.016706984390172253,-0.027796291400154015,0.005256759827454846,-0.029024276972358022,-0.007862800502380463,0.005726370612574254,-0.0067091354606917935,0.01100981128919766,-0.01362473263624918,-0.008250071545675487,-0.022396492321494505,0.0020692921033662152,-0.003483563641161656,0.005441125765103331,0.004392693861239861,-0.004413280455492153,0.008647939005677091,0.0036159925876600844,-0.005078846693421093,0.00031913885587792003,-0.0017355987451325324,0.004204861595089132,-0.0034417937981179323,-0.0025189668537876665,-0.0002721448393839603,0.0005375089942685067,0.0011197856208754106,6.077246269755328e-05,0.0003745142205094373,-0.0006735261223463596,0.0006777494127751917,-0.00027890155702997306,-1.0581027164808231e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R313,238943,0.014927164288243571,-0.02524628598157251,0.023820137798510693,0.023134203962817266,-0.02736368381455003,-0.018008326241774966,-0.027590248799933163,0.009859266896070147,-0.005868213751963917,-0.006072581213433922,-0.008312822457602372,0.008337088508876343,0.016591166398446388,-0.006667384317329736,0.03109984936521134,-0.022035513260949352,0.01592009593661965,0.0074290644322687425,-0.020668725446322814,-0.024435378680989037,0.037337951225728104,0.014708772541969775,-0.010021968354020376,0.013629412103902276,0.007083303909227729,-0.020492301680736423,0.006245695452300649,-0.006704959737776473,0.0028848796630308727,0.005430554854324643,0.006678515950015192,-0.004842574336012811,0.0004401143659959062,0.004327485732114055,-0.0068648631415765896,0.00550215168541699,0.00041651552195614856,0.00019030324222488743,-6.364969152884368e-05,0.0005536613956449418,0.00018227427311371265,-0.0006045193887291391,0.0003972843746464817,4.613381211879023e-05,2.513183165267933e-06,-5.338946615560123e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R315,238945,-0.005345950506168769,-0.028826578723670233,0.008874793132235865,0.01713463782437898,-0.026278350457195267,-0.060809737761770705,-0.03977321629123877,0.04864953347264808,-0.01826245099066821,-0.020700311878678858,0.0022652159118391863,0.030274572811626176,0.024875375901742793,0.011561721948778728,0.025111257205860923,-0.013748651971276296,0.01295581341433013,0.008532163344047723,-0.0034861434996050333,-0.010702713273142263,0.013392755716292417,0.009342168146429347,-0.0004947475727172511,-0.01295248765572804,0.019525203321864488,0.011506245605128688,0.015584926241632005,0.008134261979647409,-0.004402892699446583,-0.005530957117433256,0.002306027085169445,0.003052205796742703,-0.003137910293537543,-0.006318627982662652,0.0017660458870528888,-0.0026626883146113217,-0.003700717840835752,0.0011550392131135865,0.0018911649971083925,-0.00044203570757835015,0.00023408160980993808,0.0006949610149461729,-0.0008145297340877441,-0.00012633962746815987,0.00014092303271662034,7.696778726658243e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R316,238946,0.004846590663385694,-0.021973194996096318,0.0353309583951818,0.010934883082336913,0.0036096085132659847,-0.022965666754074077,-0.02947902663990897,0.014515122291543236,-0.005537060232669076,-0.005947811560676624,-0.0029777739903714055,0.0024124036479411283,0.006157529031898383,-0.003448739160022295,0.011127788479578071,-0.010043745330230959,0.004332582806673038,0.014104461884235173,-0.010466423399079815,0.008248898134245286,0.009664185127027568,-0.01289362243799881,-0.01734255201401822,-0.008349437913170336,0.0015044559310192088,-0.02148849569079298,-0.007054785205849384,0.0046712261325547256,0.0014380961644677962,-0.0030264935246766163,-0.01220351988207788,-0.0014856008425595416,0.0004876958540164949,0.001080426707108651,-0.009142088764789497,-0.008828880537051187,0.0031095346625414208,0.0023696484695976197,-0.0015114384926325876,0.00028773900084823757,0.0009480924445686846,0.0015402361303742745,0.00020734731429751936,-0.0003028739852598056,8.87517916557973e-06,-0.00011547508775542307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
