ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
1437474	A	A13	None	18	151	A13-A1pu-A1pv	8181-3591788-2551016	0.949[0.022]-0.027[0.012]-0.024[0.011]
1437661	A	A13	None	7	52	A13	8181	1.000[0.000]
1437533	A	A13	None	2	18	A13/A4	8181-29206	0.975[0.023]-0.025[0.023]
1437180	A	A4	None	2	53	A4/A4.3-A4e-A4a-A4o-A4bg	29206-43731-40166-62749-38165-1265442	0.638[0.017]-0.119[0.012]-0.088[0.017]-0.064[0.047]-0.055[0.007]-0.037[0.006]
1437265	A	A4	None	1	56	A4-A4ct-A4cs-A4q	29206-45266-136513-29284	0.600[nan]-0.241[nan]-0.131[nan]-0.028[nan]
1437377	A	A4	None	1	8	A4-A4j	29206-38154	0.904[nan]-0.096[nan]
1437416	A	A4	None	1	19	A4-A4a-A4ah	29206-40166-38163	0.528[nan]-0.464[nan]-0.008[nan]
1437467	A	A13	None	1	14	A13-A1pt	8181-54466	0.939[nan]-0.061[nan]
1437471	A	A13	None	1	7	A13-A1pu	8181-3591788	0.995[nan]-0.005[nan]
1437472	A	A13	None	1	9	A13-A1py	8181-1913826	0.963[nan]-0.037[nan]
1437125	A	A4	None	1	6	A4-A4.3-A4a-A4e	29206-43731-40166-62749	0.689[nan]-0.168[nan]-0.077[nan]-0.066[nan]
1437126	A	A4	None	1	18	A4-A4a-A4.3-A4s-A4e	29206-40166-45238-43731-62749	0.574[nan]-0.318[nan]-0.049[nan]-0.048[nan]-0.010[nan]
1437649	A	A4	None	1	174	A4	29206	1.000[nan]
1437918	B	B1	None	22	99	B1-B1x-B14d-B1t-B1ae-B1af-B1az-B1ag	4946-53205-693415-693411-89135-29395-89237-698180	0.599[0.046]-0.085[0.022]-0.068[0.014]-0.064[0.023]-0.053[0.022]-0.051[0.017]-0.041[0.016]-0.039[0.020]
1443964	B	B1	None	21	147	B1-B1x-B14d-B5dc-B1ao-B1dn-B1cn-B14b-B1cm	4946-53205-693411-1389982-89854-29495-1389983-1389979-1389981	0.573[0.037]-0.084[0.027]-0.081[0.032]-0.076[0.020]-0.048[0.011]-0.038[0.015]-0.036[0.009]-0.035[0.013]-0.027[0.011]
1438153	B	B1	None	18	61	B1-B14b-B14d-B1co-B1x-B14c-B1ai-B1az	4946-59288-29495-693411-30454-53205-89233-89135	0.572[0.036]-0.080[0.027]-0.074[0.016]-0.074[0.016]-0.061[0.012]-0.054[0.013]-0.047[0.021]-0.039[0.013]
1438149	B	B1	None	14	43	B1-B14d-B1x-B1co-B5dc-B1ao-B14b-B1dn	4946-693411-1389982-53205-30454-89854-29495-1389979	0.553[0.037]-0.095[0.050]-0.078[0.032]-0.075[0.026]-0.062[0.017]-0.057[0.016]-0.043[0.025]-0.037[0.010]
1438277	B	B1	None	12	14	B1-B1by-B1bw-B1dm-B14h	4946-29424-1390055-29621-1390058	0.795[0.061]-0.087[0.030]-0.046[0.046]-0.040[0.024]-0.032[0.020]
1438329	B	B5aj/B1do	None	11	15	B5aj/B1do-B1-B1er	1390195/29481-4946-1390800	0.577[0.130]/0.342[0.136]-0.059[0.024]-0.022[0.014]
