sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
A4/A4m,1458689,-0.42492383410290535,0.05250113992877497,-0.018496535458259848,0.20946976022158514,1.751952162174211e-16,0.06395201057720687,-0.017569706075028196,0.004304427693711513,-4.0391195816109265e-05,-0.012180931679340987,0.13514543070681137,0.11318205657934606,0.019544576932987365,0.000832590213901181,0.00838312651173551,9.146067144793983e-05,0.005148453584677874,-0.013246658641455005,-3.92006608782897e-07,7.810972624088311e-05,1.1262537578202647e-07,-3.165022207128115e-06,-6.189361131056144e-06,-7.613042730128333e-08,-1.938377102736003e-06,-6.439645440919513e-05,3.9710982102981907e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4a-A4ah,1459214,-0.455363922319663,0.0576247737328604,-0.023032892922621014,-0.008472007507415533,4.488403348717838e-17,0.15218251736123958,-0.07251782307877952,-0.05330053537612573,-0.00398672155179543,-0.01486193772113699,0.01366027466421659,0.022937832335397777,-0.008107571969332025,0.007590911001857678,-0.01636691839397064,-0.018849232407793914,-0.013313750402974143,0.028759395123156405,1.4670384105860476e-06,0.0008246687705738726,-1.4948033937355234e-06,4.122807358146259e-05,7.052875092924629e-05,8.111479910207552e-07,2.0311648966345312e-05,0.0007086768758673519,-2.4119958142773018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13-A1pt,1459265,0.29357115822558255,-0.5836912471131106,-0.02766057270059109,0.0022830908438382274,-5.75422737346287e-17,-0.006213205812708844,-0.010466363527601592,-0.026401233752589365,-0.0014833091851240191,-0.00283003222571642,-0.004364904058563111,0.0034544600263597728,0.00033830884298161686,-0.0003584165453340591,0.0036472187730366688,-0.0005790399885197107,0.0029939362320246916,0.0005987644057068398,6.994019791494882e-07,-0.009041735042798526,-2.6750651968980175e-06,-0.009775600948796865,0.017404742365563657,-0.019077402044586453,-0.0018345906716586017,1.329441693305878e-05,-1.479131754048782e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13-A1pu,1459269,0.29365336291687383,-0.5839161626214392,-0.02771300571533718,0.002290199998265915,-2.6347813434170164e-17,-0.006244294854464121,-0.010590468776272266,-0.02687830536740171,-0.0015161676952313496,-0.0029149613848423236,-0.004519614449081156,0.0036160836586423654,0.0003684677359445674,-0.00039112573885353985,0.00407304193015708,-0.0006907436462247861,0.003728868584090014,0.0007667793073325674,9.099523606165417e-07,-0.01309522446417617,1.9422152265362495e-06,0.007519275521084461,-0.011474848543710952,-0.00021609003088116525,-0.005336463031904489,1.953358618144105e-05,-5.053540842764831e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13-A1py,1459270,0.29360606745729456,-0.5837867673405477,-0.027682864598705764,0.002286115850277655,2.2116235540563122e-16,-0.006226452012352828,-0.01051949501351163,-0.026606359268702147,-0.001497477331172336,-0.0028668519679376785,-0.004432225899820918,0.0035253365257037106,0.0003519149044020681,-0.0003731920216010287,0.003842834244678646,-0.0006328993034719576,0.0033597546716597274,0.0006841515568708366,8.076923460478318e-07,-0.011305224637459801,-2.9423694971223943e-06,-0.010280016942978797,-0.0104641089828628,-0.00022651490182717566,0.017468464439129906,1.6592463591471475e-05,-7.998571105698859e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13-A13o,1459271,0.2935727452712305,-0.5836955896080049,-0.027661585949017325,0.0022832283232849223,-9.324992801667813e-17,-0.006213807694823285,-0.010468775902875505,-0.0264105409759486,-0.0014839517585747192,-0.002831700729292457,-0.004367953061972402,0.0034576662847631205,0.0003389218216388126,-0.0003590821003488307,0.003656009694212862,-0.0005814455370021381,0.0030102161772236923,0.0006025560958448299,7.042049685159143e-07,-0.009141439684724485,-2.7246542492619914e-06,-0.009936308398471446,0.01618969910938513,0.01976271923771989,-0.0018788656071305964,1.3037372472098489e-05,-1.4459898835932388e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13-A1pu-A1pv,1459272,0.29352288250131586,-0.5835592915635205,-0.02762936994452498,0.002278951631520976,-8.094525703398072e-17,-0.006195102565180182,-0.010394125060129667,-0.026123228126580526,-0.001464128839265965,-0.0027802710496826048,-0.004274272854686438,0.0033594352583741017,0.0003203212325526678,-0.0003389824242434124,0.0033903967024949693,-0.0005093216479636042,0.002526007076869604,0.0004901430086117149,5.619489128529306e-07,-0.006197188770187767,8.9726741540025e-06,0.03233833181691376,0.005559256374844783,0.00017911949301919103,0.002848971773232436,9.927322771381219e-06,3.522894034715475e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13/A3,1459287,0.5219210891884187,-0.1457168007486784,-0.17579609761031872,0.0002117400126520022,4.131800262359804e-17,0.0027576974016924284,0.03232922645070092,0.11888043555681886,0.00527849985587682,0.002714177386268731,0.025059555072860625,-0.022849005868123717,-0.003222881973351186,0.007332968072167165,-0.028761525324175786,-0.0008793539345386403,-0.01148408707800198,-0.0023654234735270485,-1.9488932615457235e-06,-0.001126491463789297,7.13303818916431e-08,-5.446231044929061e-06,-3.150861961951423e-06,1.8662918199165213e-08,1.7519792752340238e-06,0.00013710813242440734,7.105120490101117e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4a/A4-A4by,1458786,-0.3771090271321793,0.044120297840865075,0.005406569176147064,-0.2710201242883811,-2.0651800000249905e-16,0.28037467520097414,-0.020153475002842824,0.005095981183030791,0.000540147105608181,0.0005240085662454332,0.01571936856056326,-0.03037587991138297,0.004246807408010996,-0.0088076379752825,0.02215892063556188,0.015327479424045123,0.00934241112643871,0.020953183851716493,2.519130029612594e-06,0.00025195288304061047,1.0966064211900851e-06,-3.10125401933805e-05,-5.9030061454439135e-05,-7.38915678867427e-07,-2.004514643555142e-05,-0.0007319484029655661,5.951719531604136e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3-A3s-A3q-A3r,1458795,0.46160257357998075,0.3935277227551988,-0.022536852376926327,0.001905427158016368,-1.3163127810149224e-16,-0.005151610007166806,-0.008144379243323115,-0.020920615420437494,-0.0979281973190417,0.056998181033019006,0.00652012228424071,-0.0018065241410315782,0.004911048139480978,-0.03744335862562947,-0.02336537942188897,-0.017063667228096057,0.01978578143832462,0.0027187678357286043,-0.05631723920922985,0.0011142491352757508,-8.315811644325289e-06,8.437802566315733e-06,1.0667644494101221e-05,9.386525712067491e-08,1.9222052153260975e-06,-0.00025581874159428695,-1.7549907784920992e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
