sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
A4/A4m,1458689,-0.384545519745177,0.03166221338408774,-0.2839719333029617,-0.06707530180219667,3.136131522521179e-17,0.04585939351400905,0.007473461258301471,-0.04031247346346289,0.00245650423501349,0.0008434300692886935,0.2360523805280459,-0.0008177812727417879,0.00014551321059835709,0.08038822962607095,0.032653099000500514,-0.002611289864806075,0.005129075523827009,0.004880048002977583,-0.019867392062378548,-0.0028812310953957596,0.0010538669127691277,0.0011164906635977659,0.003800884600290542,-6.1007307829035564e-05,2.9608615262889964e-05,2.1763141764617439e-07,0.0020133315087435435,-0.0018429115601237334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4a-A4ah,1459214,-0.43295575272081793,0.03649452892935043,-0.10627948448543437,-0.0018409689602430625,-9.691456154003012e-17,-0.2333251408715288,0.02059164799456026,-0.08424181111560247,-0.0011089986900481867,0.004869756428164487,0.018928810890415062,0.0004968796411061204,-6.394386333319655e-05,-0.0186437068514054,0.017424483797597683,-0.020834628221857904,-0.01661437501749496,-0.013251958759968001,0.05223332022317431,0.01043270076045415,-0.004631960120330309,-0.01542749195083701,-0.05972018634449244,-0.0003473422979836644,-0.0040728568916547706,6.043081402907671e-07,-0.023098534698340365,0.011044534892592063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13-A1pt,1459265,0.31560518192384496,-0.555239553451651,-0.0018436621904427846,0.023345298453887785,3.244224531985654e-17,0.0014817529684847124,0.0025460447559725367,-0.010476462076899852,0.0107981118030995,-0.0018379508088416055,0.0012889984781372977,0.0005749358720276752,-1.6528512655729376e-05,-0.01690346822125784,0.024058910713382873,-0.020570499977479288,0.051727765401372985,-0.00502621691122792,0.001831500473565282,0.004134080830665804,0.012127025015865513,0.09470989523441727,-0.024075831495992718,0.009891317969001537,-0.0002634286929680132,-7.594912623412808e-09,-0.0002649253659354615,-0.0007704384229290991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13-A1pu,1459269,0.317263512189519,-0.5591130162616127,-0.0018965871285741085,0.024087470761563288,-1.2558401096753398e-16,0.0015735063913083697,0.0027096822018039873,-0.011556191516482123,0.012708788972375153,-0.0021760467331632567,0.0015470626980046071,0.000672704421026976,-1.9053881042156374e-05,-0.017925196628612153,0.02521983742423775,-0.01397404566180722,-0.02594387882219925,0.06445125306048134,-0.0035965902586951007,-0.008630129613977253,-0.021297547470103723,-0.011484919578513681,0.0017569190738242657,0.015674440084904352,-0.0003005017504427173,-2.4541937693608968e-08,-0.0009627141051335361,-0.004356025802726987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13-A1py,1459270,0.31589368230828213,-0.5559153590367566,-0.0018532480384220644,0.023480460081976403,1.3738968752419085e-16,0.0014994366223463392,0.0025777303587393103,-0.010703981921271552,0.011313359925155633,-0.001932916528032727,0.001390736311956636,0.0006311908259030204,-1.823197662961923e-05,-0.01890462774511551,0.02693700001291348,-0.0232054266601149,0.053835493826490555,0.004588673776730265,0.0012010306398838955,-0.005771071492284418,-0.03506952110586288,-0.015548942308291236,0.005822065666406525,-0.08037345003798972,-0.0009637355248181442,-6.658086211539957e-09,-0.00020723821869559242,-0.0003714804013376237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13-A13o,1459271,0.3153081514353651,-0.5545438912015168,-0.0018338163885769706,0.0232065109779598,-1.228219825770525e-16,0.0014636443173667462,0.002513604014976568,-0.010244199798974493,0.010273428576116161,-0.0017412190099070494,0.0011846936793361174,0.0005166439449780331,-1.475563259659677e-05,-0.014778821485291693,0.020995640682115867,-0.017539535162605546,0.04671142133181931,-0.012610030720166978,0.0021543683628078097,0.017478895298338945,0.09924266436958111,-0.03956520019818434,0.007183113233475752,0.00515923669142969,-0.0002904152759401898,-9.48405424993704e-09,-0.00033732317951269285,-0.0010604398040957787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13-A1pu-A1pv,1459272,0.3128981946897558,-0.5488999617590317,-0.001753968873831516,0.022080978122908337,-1.1039325095101656e-16,0.0013166768709729382,0.0022502861245770342,-0.008351652561720492,0.005887089161695361,-0.0009278547821410509,0.0002576056678540568,-3.3926097525914916e-05,2.3622056125106567e-06,0.007691848648969528,-0.011743516095127608,0.025095385740004736,-0.1402680623563138,0.06981276488792755,-0.004077690216027832,0.0016738041232199987,0.017225819013893834,0.008511172089216368,-0.0027746041807790935,-0.01078962818342472,-0.00031781377004433116,-1.6922771783192858e-09,-1.923155215551448e-05,0.0005569815343576853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13/A3,1459287,0.5393191731955439,-0.09577431901170103,-0.04788300700206874,0.1832513030485304,5.207767799228956e-17,-0.0005049819965618902,-0.018844935231282302,0.013197197270012192,-0.06747561723295199,0.008827498190981966,-0.008906812848484515,-0.0020251526751779926,-8.603712963912916e-05,0.04861068899371364,-0.06915019729514366,0.023580852645509808,0.013352183603267617,0.0009809948179450036,0.034759737492712356,0.01213069371599476,-0.003878499328494738,0.0006978911594282004,0.006035213353512736,0.0007009699623641957,0.00034577683685376473,1.8350176140634108e-07,-0.0014558761323754037,0.0046206458435400985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4a/A4-A4by,1458786,-0.3956779844664428,0.030561080974054754,0.016589678062547138,0.020237109018732363,-3.537180998002511e-17,-0.35161328767411965,0.017371136741881798,0.02448203739321165,-0.0413779966590804,0.06047630029080119,-0.031348327061035824,0.0008237488553293346,-0.00015088460266445906,-0.001800833538184828,0.014542603138326175,0.02868860725086296,0.015618701195936524,0.01588348383341576,-0.0805082149736112,-0.012030511020057219,0.004903698475934769,0.0005370484814681657,-0.0023502720399695906,-0.0009669347342391389,-0.0034393176568737133,-4.518024167364546e-07,-0.009504245844421067,-0.0033452130781381614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3-A3s-A3q-A3r,1458795,0.40583562912131355,0.38785533417278373,-0.0016811997606830116,0.02933807835172733,-2.7514267761378117e-18,-0.00801127211011859,-0.18289428110254075,-0.012766513180062694,-0.08289815782397823,-0.08321729181858267,0.003187225759178018,0.11069362665434257,0.17937316717500315,-0.016855529197928907,0.023901008620360497,-0.00836433851294159,-0.0053307222671035446,-0.0010123776022200515,-0.009856728242752627,-0.007493141125675244,0.002066073434261675,-0.0004848175601839451,-0.0036773026319651056,-0.00043065551863183046,-0.0008438689807784761,-1.5667122999198244e-07,0.0023460304499117375,0.0005933732387166787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13/A4,1459331,-0.06461289336385806,-0.44861682438344475,-0.09952203212379777,0.1692873513712291,1.1728654601735142e-16,-0.009521518118776625,-0.0075064732399665,0.07166115037597602,-0.03854249230270583,0.025392441366115258,-0.00537144747029523,-0.002367958034210204,0.0003487924297235248,0.05401013820302085,-0.07488955810809254,0.04013604608675262,0.020372202203548212,0.005730369468397002,0.018606221629556087,0.007255438734732419,-0.0026498129213078005,-0.00047994452332301936,0.0002516715467150048,0.0003711233490659736,0.0021303132289226213,-8.568491449542098e-08,0.0031285166720169356,0.003269293822507465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4a-A4.3-A4eq-A4s-A4e-A4o-A4ep,1459346,-0.3542453829467801,0.02357951023952931,0.3893523243381987,0.07013393267464951,-3.146613469260777e-17,-0.0030500819730454377,0.004453784008477325,-0.09589356299577233,0.11482731001775105,-0.15788001957747488,0.03588954801227421,-0.0011527172426343847,0.00015623481686232864,-0.0011446817002706553,-0.0013067588797132704,0.04143507372486658,0.0020936043046211467,-0.0037973502184613333,0.02349577257227862,-0.0033151540729508067,0.0014510081579193989,0.010385429982313532,0.04127253902938139,0.0003271259297342837,0.0011398885035005472,-1.8586098159237398e-07,-0.014285671862282192,0.007683841269834546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4z-A4cx,1459347,0.08428697475616288,-0.019782580100212166,0.15000364598295912,-0.5815076726881789,0.5000000000000006,-0.000878996232050525,-0.035410347975015855,0.019248256753573105,-0.030221408927354865,0.023982812257497713,-0.005707298372284035,-0.0010206632225786298,0.00018653898806794773,0.020003141687474867,-0.02835694906072034,0.006005714902837569,0.006433327539721014,0.0016312265481131455,0.011361651010878368,0.0018783583435768613,-0.0011356442373454657,-7.728467556538253e-05,0.000932013497824701,0.0002833665115194599,0.0007208891037030126,2.172418875556966e-08,-3.184018470342531e-05,0.001151181989393326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
