sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
A4/A4m,1458689,-0.22510691104943584,-0.08644983565521557,0.007309407515518174,0.003681810419972241,0.013029694700981868,-0.0006060776521490861,0.007210171867015266,-0.0029902465875780953,0.005097348012724047,0.0017090537332152813,8.633543638475549e-05,0.002392906459585954,-0.008771772596912766,0.01813265486279352,-0.003206287687232031,0.0008684385694129762,0.0004917901357411297,0.00019366433667749455,-9.898202229551409e-05,-0.000755499567816369,1.6641925431673437e-05,-1.7720417352842965e-06,-9.334804831985803e-06,6.99703689147666e-05,5.7123102592379784e-05,-2.1521964311838635e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4a-A4ah,1459214,-0.2319041298110603,-0.09076735941543194,0.009079682175259294,-0.004667573850125458,-0.007315903598839811,0.00013264213112459294,-0.002695184157168245,0.004112028083318207,0.017535096335362755,0.00022880620914029437,-5.987738941864336e-06,-0.002737336581731405,-0.0006490034393646581,-0.003755504899846141,-0.012006830661105753,0.004824531393785396,-0.00330365789731775,0.001954617084342862,5.433452783060411e-05,0.0015263868805230662,0.00011300817007994987,-2.440055774071278e-06,-4.742493443426163e-06,0.00042937037009358945,-0.00044946337290655404,8.032962557439994e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4a/A4-A4by,1458786,-0.24056235566566245,-0.09589420275148396,0.010090380785578681,-0.013129665176671102,-0.0187299153887858,0.0004824382582456859,-0.004077378171961874,0.008368528548433745,0.027426046181943373,0.00022788807891890904,-1.023842786258791e-06,-0.001220036604682341,-0.0010442793464479233,0.0016575251489426108,0.00807856872603169,-0.003799187576537574,0.00019357711892319454,-0.0010638891299504126,0.0004559928598454333,0.005287043024340761,0.0002501499969079735,-6.113426084463772e-06,-1.8277599876314226e-05,9.644342987405711e-05,0.0010191514629922299,4.752692711238412e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13/A4,1459331,-0.12938053963894897,0.15586079545508627,-0.11129033486829212,-0.021187458580597972,-0.0017931990192320058,-0.001586974453885391,0.0004939510919372363,0.0019509013156982728,-0.0006334148945066033,0.002972429116751136,2.1243075711476164e-05,0.00017113464217996752,0.00020879039733669416,0.00015314847704734415,5.5061235501838456e-05,0.00010923134236949763,4.948974332225941e-07,3.073020129386975e-05,1.3220992518114378e-05,1.6051093402548712e-05,6.160736757990761e-06,1.0369796848530548e-05,3.1737143001124307e-05,-4.686583896738353e-07,-9.61856300829773e-07,3.5540648207874413e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4a-A4.3-A4eq-A4s-A4e-A4o-A4ep,1459346,-0.2524465747671964,-0.10335587229115739,0.012852919767819602,-0.025772918594152823,-0.04261099345326139,0.0011818919394635857,-0.01505782756578033,0.0034274598385927225,-0.0033016415286510536,-0.0012389532434342457,-5.2449495338953827e-05,-0.0006607193131526158,0.001915817053896709,0.0015878272083018892,0.003536674826673553,-0.0011594802780895215,-0.000545767629076622,0.0012178824037959778,-0.00037603500929020905,-0.0040665678770578795,-0.00016640082695920706,3.6386120995316023e-06,1.0039003509155953e-05,0.0004251070067894325,-0.000704232610966711,3.814285740353624e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4.3-A4a-A4e,1458910,-0.23303560241554963,-0.09159900544771554,0.009732314385674547,-0.0060288358922855,-0.011069115065340931,0.00020785781839207032,-0.0060791330289785344,-0.0027447532516480335,-0.010083482946179778,-0.00036210638330175205,-1.72472487509459e-05,-0.0010994713297989196,0.0003522817154823109,-0.0007897819849371166,-0.0019612763535115426,0.0006164123828886923,0.003544715897181081,-0.0030477594191450946,0.00031958302994903297,0.0024153198141317242,2.3998234060458538e-05,3.28390947704144e-07,5.00653393827959e-06,0.0027359691711442108,-0.001233443757885234,0.0004261394080000694,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4a-A4.3-A4s-A4e,1458911,-0.24099415332429072,-0.096426668571942,0.011038042957763106,-0.014303313569785571,-0.025026088536753567,0.0006592708987938585,-0.010217799840613717,0.0016129320567420432,-0.0013657716855390491,-0.0007660019367801314,-3.905178451113851e-05,-0.0017620929655712363,0.0013400235462732548,-0.0008405149530790871,-0.004908458169229337,0.002898150035701162,0.0027627817124320306,-0.001785193535037966,3.295402467560608e-05,-0.00034923662248744056,-5.135411943290238e-05,1.3205936832536654e-06,2.6851793815868937e-06,-0.002753079024365622,0.0005501557708821713,-7.756014971022033e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A4.3-A4e-A4o-A4bg,1458915,-0.23073089709129144,-0.09007899542078919,0.008965652643716545,-0.0030304721272008954,-0.003124809342858613,-7.770623721491037e-05,-0.002184443767247896,-0.006703755613888559,-0.020957197748059337,1.6050874831298763e-08,1.2871193060984184e-05,0.001687032426985359,-0.0004395466073128474,0.001261904002778147,0.0017826980434572405,0.0007263577271591452,0.002723976818664079,-0.0020060528860311897,0.00012119478854799809,0.0005442782073913805,-3.0307453399103573e-05,1.651070943104588e-06,7.616393806895242e-06,-0.0014268379875875359,0.00010796947424446372,0.0003021082241336944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4-A1il,1458963,-0.3045783991184455,-0.1269393156618152,-0.05036856669903497,0.1517576767515451,0.009747235794146537,-3.3861764758341947e-05,-0.005371405416311635,0.00041369646879054655,0.00037210618421639656,-0.00044850386491587004,-2.0416946972067462e-05,-0.0019583110652990374,0.0005837278652650516,-0.0003142244466849376,-0.00014281354653234785,-0.0002980411056427135,6.868647162807804e-05,-1.8924785890321475e-05,-4.7279668696371664e-06,-5.3263624272147866e-05,5.879036709103078e-07,-4.83949690449298e-07,-1.5873421328537198e-06,2.0565743275375988e-06,4.6651176969007605e-06,-1.8129947754858482e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4,1459475,-0.2116733719139854,-0.07876923227999799,0.006659135795602317,0.014995071922041086,0.01920876603676896,-0.0006658428890909607,0.0013483090789900246,-0.002854998972468233,0.005736873412146804,0.0005159398365476136,-6.149213368650826e-06,-0.005839565243499909,-0.0012907240011902751,-0.005323522414746129,-0.001621105111357048,-0.006582087262369684,0.0014822568002724936,-0.0019779843067472954,0.0001354126483016609,-0.00032869569549493876,-0.00020512729182209095,7.720636818796849e-06,3.722563436137636e-05,-0.0009540725954799119,7.142395402697423e-06,8.44011999104717e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
