sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133
B5-B5a-B5b-B5e-B5f-B5d-B5c,1459712,-0.644471789516698,-0.2653030563761538,-0.03562947208395073,0.044254409124192005,-0.026579205724233085,0.11877986587921684,0.0011449480978173133,0.0008614153627545483,0.0007890875032009074,0.000391616636265186,0.0036738356413738853,-0.00601851475067811,-0.0012607935662177349,0.002890321926005075,0.014905400725884692,0.040625637073589765,0.026333488557439822,0.06020802885002502,2.118812182390731e-16,-0.0019353173637767591,-0.0023524121258541916,0.09850526702443332,0.032146600499756255,0.054633140446429765,0.003540216356387685,-0.09510451034747107,0.004006931479897399,0.00034856608880088903,-0.0001599542828571627,-0.000696351715883937,0.001780526769125235,-0.00033394613803362056,0.0009358304242368256,5.150005003651617e-06,-0.0006581905607992282,0.0026685766814153484,0.012006496778765733,-0.0013586203729629572,0.006582072773090351,0.003013198826834568,-0.007899794361934229,-0.0021926919106137316,6.181922707992642e-05,-0.003208325768209014,0.008844750500226406,-0.006740791106322411,-0.005639456259492977,-0.0011840159388894823,-0.001488099851298348,0.014172136232072873,-0.003845531393152774,0.00021329500717175514,-7.152092792050895e-05,-0.000547686188065183,-0.0005605270417876869,-0.000633520725365964,-0.0009450968521358538,-0.021664234116492213,0.011621123546733777,-0.0012371044931642494,-0.003038137355608311,-0.0035262833051903112,0.000652059169850603,-0.0028917593611742115,-0.014517898939718223,2.446341024028101e-06,-0.019541947404903226,0.0024332348316377242,0.007387226204140891,0.03722973764170995,0.011196807698858184,0.0024276680337015706,0.006385013776714831,0.027608707998693666,0.01414504350087415,0.005968148748177334,0.003032813837535034,-0.0032132298487841937,0.0031272678291463145,0.007395553859303129,0.0008182948555215509,0.00037809630919656974,2.2196999090073601e-16,0.0004307532013543614,9.420989194188548e-05,-4.719652501131173e-08,-0.00037733238266517307,1.821348684626155e-05,-5.679325422839298e-05,7.983519660258536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5a-B5b-B5d-B5c,1459713,-0.6531339539667602,-0.27756563555129493,-0.03821709657304155,0.04726381297035258,-0.0191927230643377,0.03471723686605548,-0.013289001530415267,0.0007582727034960005,-0.012741771042787871,0.0009054592933962876,-0.009352408759143213,0.0024026595331032045,0.011745738720976017,-0.004885238080876348,0.014409652202989134,0.004775033536173273,0.016133483557360148,0.002779484185761824,9.301030104497527e-17,-0.0010793431765174966,0.005352310927413893,0.13249252699887235,0.05515426072751115,0.04782212370297973,-0.004637971970730852,-0.032169613839635215,0.0054233663451542,0.0023582327277946037,-0.007106049670591183,0.0006359759501207712,-0.005665814385152469,-0.0004685231257337141,-0.0002361656523816752,-0.0019088693438257859,0.0022508638140810292,-0.0015994286359192512,-0.007818725947305557,0.003142122941605198,-0.029648467450824046,-0.02931490588593488,0.05798652109707789,0.004810961481566673,-0.0001688568748869051,-0.0073321143213824855,-0.01454094360400195,0.0012799025598434813,0.007012372590810172,-0.0016761772086038506,-0.003078791430927936,0.02950173280590341,-0.008464049024575275,0.004612261732200899,0.0013810004420942731,-0.0012841654883272242,0.0013652151638902435,0.0009615006607460891,-0.002047329362168634,-0.03427770091404121,0.013932371527104073,0.002909415039432715,-0.001668324770629601,-9.578690191052105e-05,-0.0006509612079393899,0.0013525005561983757,-0.014210348667492986,2.2957601904916593e-06,-0.008522562056180094,-0.00011720832997914128,-0.0007727708636484954,-0.0008553051614915228,-0.0004799777799662793,-0.0004924281781608713,-0.001005578613790981,-0.006881481986266334,-0.004123591708453101,-0.0016450635875248697,-0.0019655718948571833,0.0006158075725842813,-0.0008593940954742039,-0.0019771383291721,8.139814663687741e-05,4.676240837672291e-05,8.176025292813103e-17,-0.00022619517551620403,-0.00043168243985672046,5.978707280426767e-08,-0.00021191879325744477,2.8197873973531276e-05,2.728754227788349e-05,-1.8994374012180535e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B5de-B1br-B1dr-B1dq-B1ev,1460230,0.26115808970453797,-0.047223136652702405,-0.05101587560923471,-0.051318275976673135,0.002924209730559611,-0.0010895522709195562,0.0067325038694549064,-0.0282157884266724,0.009949480156606816,-0.01747586418022967,-0.007008937625534352,0.02736731601637549,-0.037826007299449536,-0.04326793411838126,0.00689804490164238,0.04198052982027249,-0.17229901749617474,0.011064817133091725,1.8410980591589653e-16,-0.011580609841814516,-0.03327842585018503,-0.0013276432935566292,0.020879573475964922,0.007143511032372695,-0.0236498283625045,-0.00833888848218887,-0.0024200100386815317,-0.008471683039521045,0.14856529313572991,0.09684237712412917,-0.0016342806093298853,-0.012274964914823553,0.04685936769776358,-0.013845269636918863,-0.006386675022574735,0.001380597548469889,0.00870560359525677,0.02074070625764233,-0.04352593778014774,0.05492118732557679,0.014367114857728906,-0.0002189345347018571,0.0008623889327880537,0.0006864563800171911,0.00029374178899610183,-0.0010928109568077873,0.0006263829868055491,-0.005529213572089959,0.008484220898022615,0.003459217826270173,0.010590067805975318,-0.004547718867169896,-0.003887438107621686,0.010564735164735328,-0.012610614897399315,-0.015652523776762163,-0.005121904292153789,-7.560895342389154e-05,-0.00017037460395819538,0.0029549637290835103,0.0017024054810119398,-0.010324876231272347,0.0039030579301296436,0.005940992270008778,-0.0018629343005114134,1.6539119993333516e-07,0.004744216253598326,-0.005931236048518688,-0.00983220487689016,-0.0019161375821634572,0.0028541317335447278,0.005842513584981491,0.015672272829920633,0.0027013807466654484,-0.001622720486978314,0.00010813072053120586,-0.003689035475609776,0.0015591590091651977,-0.003585845670374157,-0.00035317368866866184,-0.0011679890228350049,-0.0007079203562996803,9.673448284513883e-16,0.0002513766246824329,-0.0037245078764950915,5.803408921550982e-07,0.0005194951760409322,-8.401438356368208e-05,-0.00038313837723801913,-0.000703803543892496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1x-B1t-B14b-B1af-B1ag-B1ae-B1bh-B1be,1459733,0.259911589515273,-0.034936506997206684,0.09906443988635742,0.09021899784242313,-1.991565714028616e-05,-0.0002919887017828483,-0.003764507598903653,0.039796451422029554,0.0015452501596437045,0.03916340340153703,0.04024913223408341,-0.026588450199363272,-0.0032177015619879947,-0.12519171496105,-0.02804619904976124,-0.023829269580263362,-0.002998019856982634,0.0042069180977509,-1.1793090287159745e-16,0.029411384319652584,-0.1334111763413558,0.025891860510707784,-0.04643658746176049,-0.0071696111594601285,0.00845204917533656,-0.0005039175483990348,-0.004224819040030056,0.006664018781388701,0.03084152874913203,-0.06818991611688187,-0.055658417638409396,-0.026731887170164528,0.010254257331815366,-0.019835216033424443,0.050385890585743165,0.0012052071453313815,-0.003251360729229727,-0.06731071603960322,0.02996361206366862,0.01751149689267374,0.029232699127794973,0.003329436909840556,-0.0015604808644105936,0.03854187844040421,0.0020555620971059153,-0.007400525374112993,0.007802864241031043,0.043463894215516496,0.0042442929132252335,-0.00014088473496896324,-0.018185422226615636,-0.013463564774610914,0.021140689800599518,-0.009580681280961678,-0.0037449769821544677,0.0013585100800325863,0.0026296662702382278,0.0022951053961264814,0.005557411598880515,0.0006605866970175635,-0.009647753748714861,-0.012736286099133033,0.010321312110596777,0.0019222119479119359,0.0036154319412600514,-6.920420755262799e-07,-0.00256965315814451,-0.003096705205915908,-0.004041995056028631,-0.0018267526178781064,0.0008245021505607236,-0.002050058682009805,-0.0019483689165386447,2.037608953409846e-06,-0.006666439451211546,0.00922037089759537,-0.0024421178139368226,-0.005270415869351858,0.007126267134551565,0.000806414031714232,0.0013210446515590495,0.0004401599545018391,4.134926035869402e-16,0.0016955889082280102,-0.0029774350019017358,4.1251547903899433e-07,-0.00019464522739827669,0.0005493558126309474,4.208047403350441e-05,0.0005955913701328944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1x-B1t-B1az-B14b-B1ae-B1af-B1ag,1459736,0.27222375923727576,-0.04376289702312834,0.08224571700120376,0.07492066500277178,0.0023606766210030436,-0.0003822863168136798,-0.002170935385441462,0.042006118584796734,0.0035599573690525965,0.03816041281233204,0.039232670422823857,-0.04497979054107452,0.014385658433354105,-0.1220389926682622,-0.027312596732575713,-0.023625048869955225,-0.006070685160509891,0.004502785641988798,-3.2178741268495434e-17,0.01956457268175461,-0.1252955645624924,0.03996204078405932,-0.0750915654109618,-0.012833850042534336,-0.0009209667066944339,0.0005330106452840621,-0.0005618751190890987,-0.011985179150447908,0.0037879814096056946,-0.025324466232687613,-0.050464598043126904,-0.018822274966095905,0.020645373133867946,-0.04234126098436171,0.001157913714491242,-0.000574704848585521,-0.005439166030253915,-0.011486182817762104,0.012252992605475245,0.014127783389911778,0.009715038287177001,0.0004612592844668615,0.00044560165077895536,-0.007359398813603483,-0.00012572423138586315,0.0026274339453205863,-0.00405926082995244,-0.023263014496047445,-0.009367162152155207,-0.0009697292092229158,0.0007426422675550314,0.0004060412958609988,0.023058722965852627,0.004587287016901082,-0.01705373083437523,-0.01810617057822437,0.006939828282201155,0.004187890994095191,0.012796114939914784,0.00026811333246333345,0.004300624746355151,0.010886463147177368,-0.01113132405067992,0.015457142689889118,0.004937449747463068,-4.0538585511483083e-07,-0.0024958356814982403,0.014707688631186603,0.005784810832874883,0.0004174932642775315,-0.005423585636214724,0.0064172215772118945,0.003946964246540381,-0.0015521157229790368,0.004458326489654145,-0.0010275536062615154,-0.004502604010571969,-0.003078146478554089,-0.0014994737550144276,2.6009377892283327e-05,-0.00012461274754692583,5.474591544367233e-05,1.9166687212547309e-16,-0.0009635983705712594,0.0017575941295889788,-2.1466581814142528e-07,0.0004861201018907542,-0.000594825262948556,-3.4449715061660445e-05,-0.000366794743635314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B14e-B14c-B1ai-B1x-B1ao-B1j-B1am,1459740,0.227278538536596,-0.008517627476546967,0.1578170162719791,0.15108221735469646,-0.0050419161056127005,-0.0007552677366192678,-0.012526067646961205,0.021143259361318452,-0.01758438695318233,0.028221528858909356,0.005622229272478992,0.1150211022518293,-0.14341663447866818,-0.036783288364886764,-0.04129629480154503,0.015935445374241658,0.04692390162611395,-0.004402720495348185,-1.0589133517197104e-16,-0.027887574991727653,0.19446594161615727,0.012150523102122885,-0.023184085407786232,-0.01123649060390493,0.0019465531977781551,-0.0027604421252965714,-0.008818840715565612,-0.024011149983557165,0.026683347127171294,-0.009776259179161605,0.0051987005143818875,-0.011342648057003862,0.005287095371102861,0.00842639881056271,-0.005360078797521208,-6.397761357527921e-05,0.0014417236892995948,0.02346345521032591,0.011488414710323558,-0.010931694831093741,0.003084898733119288,0.0008901924163867795,-0.00046406652307872493,0.0016775347345118427,-0.0005202646271624752,0.003926702550615862,-0.0018709156667688083,0.015615325813358696,0.006140148005176604,0.0026181987457238524,0.00047691032297313775,-0.008843643147476477,0.001069124269920198,-0.002871643994922376,-0.003686381452800952,-0.0008016486769913125,-0.0017744398206674804,-0.0036917906660732325,-0.00457152276745832,-0.0016791696868312135,0.0061109857638149585,0.006497206120927683,-0.002747975909150397,-0.004036955168486397,-0.001751587844353781,2.664045281573038e-07,0.00607720374676667,0.008693418846942339,0.00033214949852787426,-0.004519325229312811,0.007823488253467271,0.004927390347592594,-0.0005536073892455853,0.0020195734434236357,-9.851062886801641e-05,0.005381647804563023,-0.011457715442946522,-0.004642142101952248,-0.0024883080605223157,0.00015393829292951986,0.00601339414909878,0.0025428190157306273,2.1649855678814136e-15,-0.012378153368640728,0.001879563113202313,8.491852728983851e-08,0.0007625165065947816,-2.853082730652491e-06,6.166587122834401e-05,0.00041814171701173397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B14c-B14e-B1x-B1ai-B1ao-B1j-B1am-B1an,1459741,0.2341701024630321,-0.013227685966597392,0.15572040112238444,0.14946634090253763,-0.005781651652507374,-0.0008514890036287638,-0.013242693208443875,0.024300707584513526,-0.017894775880634994,0.02895261577106993,0.004887793694709894,0.10449053504541274,-0.13168696222308165,-0.03376227436597168,-0.03773647924611444,0.014802984385765503,0.04202420655638414,-0.00398488198897439,8.330973868830823e-17,-0.02338685693888134,0.17324885371991045,0.01232087995796632,-0.024208830305445742,-0.011975065245609658,0.0016069956368868726,-0.003038362675782797,-0.008843760554387703,-0.021411467676300252,0.032780290606846445,-0.023305334780338582,0.01022928760874428,-0.02620771582366512,0.029951622690944868,-0.002329907121156256,0.021931781563681634,0.0005294812474112515,0.00047623900193906457,0.01944038114728902,0.006685540051765098,-0.004364364777660683,0.0037506419600418753,0.0006546562471846216,-0.00035440572359491155,-0.00827099418937901,-0.0012110150719239709,0.004049795359641142,-0.001223187623539611,0.0094780549107341,-0.007094988287786455,-0.005546083577631564,-0.004799160325991167,0.00815666442432792,0.005012152620585841,-0.009069271955956545,0.010359526075747194,0.01551445940367177,-0.011293868823769324,-0.017199284016992424,-0.029598140061326515,-0.005176620438883546,0.02385620499450929,0.028138602302909353,-0.0024466608651407913,-0.003118468470682148,0.02495450748470823,-4.3891907619081744e-06,-0.02603416901814727,-0.01719847507387512,0.004300290949780856,0.004364783848987493,-0.0140523707370972,0.0018723251671183406,0.0075171755499914466,-0.0021070891226411407,0.0004544571162155458,-0.004052007057340311,0.005515704933804943,0.0020767727329741286,0.0010399809419213472,-0.00022423167174442934,-0.004386920915314039,-0.0018304460919614546,-1.0285844276242758e-15,0.007504856087077082,-0.0010634825170455322,-8.202082056630479e-08,-0.0003434444359313088,0.0004015772750488717,-0.00010773200506170041,-0.0003199938052901725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1br-B1g-B1dr-B1dq,1459751,0.27886884714731136,-0.05965764352979602,-0.08743371298874981,-0.09323136887316334,0.008988043382378602,0.0009939489443093277,0.012566047893397178,-0.0025184021058813322,0.017853237550580763,-0.002524718069877855,0.022266871391118374,-0.013515712147471565,-0.04337175106874317,-0.0012390557153803456,0.08604925943352065,-0.05861069015592783,-0.019835500026308517,0.006072784659291517,1.0744919544131146e-16,-0.027951959314813837,-0.015769065137441547,0.003563149770217095,0.003150940616735834,0.002845945284400654,0.002004399717736188,-0.0057252246367593095,-0.009987427807608685,0.003926324892190087,0.12155907022268043,0.09497654365004334,-0.029279698357541552,0.004009214623707512,-0.006547196448255073,0.01578313765995041,0.008914637998886954,0.0007795125251808507,0.004693567237110117,0.020640031803657206,-0.03131363104750812,0.008637254084891448,-0.006391371268837845,-0.0010196320248201053,3.498154514930127e-05,0.010008465578916244,0.001000866413642629,-0.004818847499944819,0.0035547332969165612,0.002062202012967464,0.005041873649265201,-0.0006561420168203976,-0.003064263609171738,0.0005617756141836262,0.002868086084177673,-0.0046573974889601135,0.0018130157827458717,0.00457274521942449,-0.009389068615979856,-0.005335276234649931,-0.015229047756029382,-0.0003250674425594129,-0.010975701980280472,-0.004151455412968818,0.006565292330519158,-0.0025431469483897184,-0.000885663764855572,9.135170716166585e-08,0.0009378146874453978,-0.0034724034085262625,-0.0003767845339634093,-0.0021108438890452266,0.015424445666512594,0.005409679791107419,-0.0012123653453580286,-0.0022899908477577633,0.0016319473180042637,-0.0036798603466209005,0.00013972233899895727,-0.0014684265924057764,0.0013357388670774235,-7.676753355973146e-07,-0.00010810357142653768,1.8308288783940266e-06,-1.0120666706580627e-16,0.002960680793774405,-0.0032752617859451954,4.0366163756601236e-07,0.0017297844058558817,8.674011566444218e-05,0.00014859473694129238,5.606247981387325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B5cc,1459753,0.286402200506688,-0.06893191701682388,-0.11110785182466947,-0.10796706050192718,0.006704887789996618,0.0007278101260022884,0.005064616048019602,-0.0037153176564223237,0.0035738012198095115,-0.006043351397776949,-0.00410768158209684,-0.012514907045878113,0.017586414584782554,0.009517281306222139,-0.003910299755064299,0.0007739677188633698,0.010364901750420073,-0.0007185099855616793,5.423049302118645e-17,-0.10762696527737742,0.008929075315401363,-0.0030587449428742227,0.0036751498254156854,-0.0002676829188589543,0.0027876088423766216,0.0008323185699696544,0.0008368509592168707,0.0009760068106204079,-0.01651742917935166,-0.04641043637420514,0.004221306825095238,-0.007212248563401473,0.01074285588350371,-0.0056752403863384706,-0.012539400851484531,-0.00033852532559312554,0.0004969793640927333,0.00033560810512670486,-0.019273352124145302,0.009623775019483007,-0.0050083101465340256,-0.0010606206152795278,0.0006123909241407567,-0.005808711559168044,0.00010149644483381187,-0.010866447692019084,0.011372005192257813,0.021431353406114316,0.00027498053690633935,0.003007956279156972,0.01068117848127471,0.0070506848619368845,0.00416525399566112,0.0009726810684441762,-0.02228178500156151,0.01742297729494122,-0.004694003960027585,0.0036732138712245563,0.007748312764982802,0.00024020051891813016,-0.0030696691845569697,0.010178955332111037,0.02325518295799904,0.007327409783929265,-0.005115646955070736,1.1337663017390721e-06,0.005275687068741803,-0.005460303807189294,0.016420459107699466,-0.002269448236926262,0.001246423723310816,0.0006845013821942284,0.0020188218084893203,-0.0010355493801245273,3.22456029918644e-05,0.0017998316389113824,0.0034642675252406843,-0.004604582855967349,-0.003933384278352552,-0.0001315523479108745,-0.006494915175954158,0.015564610532430388,1.6364501682962505e-15,-0.00046626417361777205,-0.0014778593256332072,-0.02010486738784628,-7.973928571161655e-05,0.00026519284503797154,8.04599751905171e-05,-0.00020615153027144767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5a-B5b,1460267,-0.6568202580396537,-0.2824248774732782,-0.03976882527844745,0.04936022708383887,-0.023052870131823985,0.06146178543575155,-0.011179491598069899,0.0007389222605722841,-0.01176643330472007,0.000810980959831626,-0.00905485977270269,0.0022485974145318795,0.011558032995764621,-0.004712957234627315,0.012470154643278795,0.00020927490234580817,0.012084714061678646,-0.005106436508358071,-1.2827941953137941e-16,-0.0008441166556509802,0.0069664332013272086,0.05925670789359772,0.015477798573317327,0.05323805732041906,-0.006194200765468087,0.04724946735930219,0.0006741635696928272,0.0012313432052408258,-0.004555624826149259,0.0012674905103279965,-0.006678689725096396,0.00045352666928264433,-0.00236600312540039,-0.001538002889415774,0.003390101719103293,-0.0018495882891062013,-0.009073238517344918,0.004188390035112814,-0.03903123068342141,-0.03826098462327493,0.0723916480462743,0.023527056419340272,-0.000218324362014281,-0.010034220352861277,0.02291980201050212,-0.0010188151367768097,0.006620025409765735,-0.0011031512271211256,-0.0018284004146270876,0.03288274794696712,-0.010884269129396919,0.007582567842132664,0.002607847735953444,-0.0035292684635827728,0.0030900970255583866,0.002068358185548455,-0.0006809083709235982,0.009519472164601554,-0.008984310284069421,0.010753482192501893,0.00301171243168905,0.002764519905414827,-0.0002923381953388469,0.0029823136441915234,0.012522494267102368,-1.6211048115186637e-06,0.020227622307997645,-0.003930164926654175,-0.005563958862200367,-0.013075479369406794,-0.0040654115720069744,-0.0003405981457860208,-0.00021427810114340443,0.0035219737017305303,0.0032009182009253563,-0.00030880327815639523,0.0024109982612811726,-0.0003628772980386942,0.0009483627189913607,0.000431819983989662,-0.000639180896059248,-0.0002820507643878179,6.52002500411082e-17,0.0008344259920440955,0.0005178124197723872,-6.828773476012117e-08,0.0008694614836945022,-7.862688256401715e-05,-0.00011912251143206338,-7.016150907405236e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
