sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133
B5-B5a-B5b-B5e-B5f-B5d-B5c,1459712,-0.6147146910472019,0.06212354613236224,-0.18487223808649197,0.05864408245138858,-0.012010323018000174,0.004546044188471527,0.02121995558525677,0.0020839643574381327,-0.00610389070399608,0.004116125293914238,0.0031947273302799554,-0.006207526313620632,-0.03467266377706377,-0.2842687790276048,-0.00665997121755021,0.06309398180989872,-0.07319879175079395,-0.0287031767551517,0.009932581166613087,0.01717437918975004,0.018374430393193485,-9.538741730376946e-16,-0.0013236046957403708,0.0015061600651775314,-0.002612774826393433,-0.0032423661382506123,0.001999211099105947,0.021191146965799743,0.0012766064573521666,0.026920630023677634,0.004014974849874679,0.01252148518012452,-0.0004995797898627124,-0.00017866234752617134,0.0007299760888724591,0.0008133242294777228,-0.00556879262818559,0.0007509345662661922,-0.003057882575538937,-0.003694889003428904,0.001502641142755202,-0.0007927541106934398,-0.0028208707600919673,-0.0016792246973694224,-0.016566365176947866,-0.008581272060253912,-0.004597965738035427,0.0038267804666094946,-0.007309041104877734,-0.00044125458953715615,-0.007876306710128901,0.0011107046963125494,0.00345192662360113,-0.007283924822485522,0.006468481527045785,-0.0085419125360204,0.00435630670268435,-0.010117499881691748,0.003942864980968781,-0.008442491194312536,-0.02726678256264439,7.430360248540052e-06,0.003914932068193833,0.012996463793225483,-0.0016604768559603151,0.04255307007068524,-0.0021098588723125694,0.05747049518857483,0.010000052380337389,0.0005588658751003662,-0.01663198209375743,0.010927214544375882,0.00484409151280472,-0.0013986197271865042,8.005856180776514e-16,4.3658856887639033e-07,-0.0021523301038348696,0.017482521191623634,0.02218386710034934,0.012330477581585305,-0.0030821235386737427,0.0005923302417867718,-0.0019859694776479925,-0.0006661587846793558,-0.0007895173703234443,-0.004002372000031536,-0.0049352280877526305,0.0015399491183734314,0.0013505877236024168,-0.0009645775905912932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5a-B5b-B5d-B5c,1459713,-0.6352181523533069,0.0703428374106209,-0.21159076541828886,0.07807826600659173,-0.01393432040784134,0.00803614920676507,-0.0028368195306154244,-0.007771634894651008,-0.02153638502187673,0.005862457619764116,-0.011539027274499437,0.011816213820956238,-0.007592115091049434,-0.17999023795931532,-0.00502749541109123,0.04663790975956861,-0.05323981592745369,0.009106724405998468,0.0006506759138001104,-0.03780728187669452,-0.06978078955027901,3.72038387375007e-15,0.0017243661269531361,-0.0020126465785121517,0.008672307020005376,0.00736445751283333,-0.004628435557856208,-0.05185112179375174,-0.0029683507425476104,-0.04272380810127882,-0.0038059402139511474,-0.02401094196997126,0.004432192601202943,-0.0021319783682196202,-0.0006251339074392555,-0.002678197849683131,-0.013420452086784803,-0.0015482890916003241,-0.0026512143459163913,0.0020321741565770134,-0.002979376443221736,0.0022036516208826197,0.011053824704925027,0.0028443716326150043,0.022482909135081715,0.02184521102656212,0.027323376592603702,-0.028716099863991016,-0.07249866059712289,-0.007067543676132766,-0.027990716251559977,0.00125101835337239,0.004622807498493865,-0.0013892855268520096,0.00944764066920088,-0.004700573546455051,0.010752475423419014,-0.008576821804067823,0.002970475061795297,-0.00201525188283931,-0.004974084366941443,1.6139062849675059e-06,0.0005784617288533257,0.0016137503359024436,0.0011041900326784482,0.010614290739348475,-0.0005209928235587632,0.013468512216723223,-0.0191086502204558,-0.0009741244966790542,-0.009336388249335482,0.006136792255472321,0.0022780731780948607,-0.0017649406945128069,-2.3094221498634714e-16,2.3866238576879597e-08,0.003996840275263386,-0.03082272659882145,0.009474676426728466,-0.00020606293153451708,0.002630928290154822,-7.459050093487633e-05,-0.0031517547034593148,-0.00026341679561937235,-0.0010924569066774667,-0.0022131740741347067,0.00538103710561868,-0.003083769239057821,-0.0005064117637404217,0.0010989730102935844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B5de-B1br-B1dr-B1dq-B1ev,1460230,0.18638743486274084,0.10513916438997468,0.011965093441890427,-0.0003856965769865352,0.034506117020388374,-0.009650817226856517,-0.0025143929503840283,-0.007710942820097026,0.035262656753465876,-0.14296095273986345,0.048772386626265,-0.06559004320194138,0.18994802243936038,0.014878721260465876,-0.007298319761573573,0.06412011664584104,-0.054040212141490296,0.07443319666391332,0.2954418187958158,0.1250700919576878,-0.017641374389701314,6.29330333200826e-16,0.04780000298431713,-0.09051543834596791,-0.05408354203851664,0.07291235592566406,0.024263462768715712,0.003534046637311939,-0.024656381976538272,0.0068651052963192745,-0.023111623455509035,-0.030077353803387337,0.01585259882008191,-0.05282210539114606,0.0003803880123593555,-0.015362038547479041,-0.006161623592661324,0.0023720893914953817,-0.028245483871989992,0.052162814135386,0.006775612302669825,0.004816540048664627,0.060268157788190835,0.012009888861791634,-0.0028938135698233646,0.022466082612126282,0.03501298615522742,-0.0001623663742846589,0.015157783056470059,-0.0026162822269350456,0.019766460527664623,0.014476073047682912,-0.014230916275148801,0.003213494440872046,0.009060912051348442,-0.03084774977203273,-0.01592416535351667,0.04148101481133222,0.0004601217988395024,-0.009289987025979676,-0.03812440655468602,9.187563650628211e-06,-0.03010248329961009,-0.00818891218887177,0.023812261934896495,-0.010538080843031723,0.0032575609198295156,0.003263850242492575,0.0017290157602856849,-0.0028091623526208982,-0.010621277701272898,-0.006355280843682649,0.018313412966539218,0.011948867241312718,2.2811177475119555e-15,-9.172508080167706e-07,0.007198232408288881,-0.0014454914791961415,-0.006356500269195299,0.009918431441959103,-0.0047262233738809105,0.001089232630993806,0.0040988301186183984,-0.007832052928402344,0.0012198426061756156,-0.002910174025668791,0.0017443119285181995,0.0013633795729423581,0.0003491456641635195,-0.0009370755722273667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1x-B1t-B14b-B1af-B1ag-B1ae-B1bh-B1be,1459733,0.1904634331849207,-0.2420513104154639,-0.08766946460897015,-0.007156721496040529,-0.012681090807321875,-0.00475316682028818,-0.03027968489213697,0.1996123175233348,-0.06663292301095611,-0.09251979075501827,0.07491733525113976,0.12087069234223356,0.029141554587678604,-0.0033174627760743317,-0.01783223649702533,0.02348871391442612,-0.013946814202659672,0.07356342789161606,-0.0851872453305076,0.075889173702523,-0.0005067094563639477,5.019557749167768e-16,0.08963818878896591,0.08278813613975176,0.07027143494590726,0.07798846876434745,-0.130053368756912,0.019927200615730695,0.00038473678715509186,0.00670243763554128,-0.007977621353891537,-0.010527847103931252,-0.09952191458238682,-0.02251448026280528,0.046191011393551036,-0.006328656069879774,-0.0029465385925275325,0.08346064787500522,-0.0357607290495283,0.029656860537733882,-0.0667953977246543,0.000606709447295203,-0.03295254308254761,-0.004123319434137133,0.004333064929892287,-0.013370089715882216,-0.022405599887049463,0.01180674367001072,-0.0249313251856211,0.0005587439426717538,0.015148449996196672,0.011906579636024284,0.0022113091921796804,0.03529231300218759,0.011735976846027472,0.009657474754824358,-0.015850453072462262,-0.00901456136672033,-0.018330748227706854,-0.0015880349920732542,-0.003214422596252795,7.090407531946676e-07,-0.005297254781714675,-0.00012002564879809103,-0.004149434067293422,-0.008368022208984692,0.0017408037787535453,0.006760464912876596,-0.001322500668788322,-0.0003796427317027363,-0.003986058114248552,-0.004501585667961671,0.005856192924539716,0.0058222759533173435,1.7300391201717062e-16,-8.171590841568276e-07,0.009074487876195563,0.0020953461161429877,-0.002484388506739812,0.0014152373698882881,0.006888214419763741,-0.003608073119940378,0.0036336412022104,0.00429277174855388,-0.007840576478851141,-0.00041587639340070375,0.0022318153431765326,-0.002130586270865011,0.003050238329963907,-7.65983611013378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1x-B1t-B1az-B14b-B1ae-B1af-B1ag,1459736,0.21595548062939016,-0.22329231214293097,-0.10579252028432355,-0.00830269624430877,-0.0006592503067204873,-0.006386078101578957,-0.03696414052058649,0.2387459546314125,-0.08756567976139437,-0.07239139888283037,0.08076111424998604,0.14049572647368935,0.022160648199951886,-0.0030200208689883747,-0.0079217076814354,0.02020017282438761,-0.016294814374950294,0.07245347320021403,-0.06798121320026564,0.07044764213963767,-0.0009512565761842438,2.577967152628197e-16,0.06924735975207426,0.06920328009830974,0.01627578556745289,0.03902423518595428,-0.03667834216083655,0.009103018748991325,-0.0011380115573625224,0.003990879945570831,-0.006616544988724518,-0.008451410951825389,-0.03820262598307914,-0.03696017328676533,0.005101209667449102,-0.002899394213977921,-0.0008225715039678391,0.001083819752747643,-0.004518567138337999,0.022549727446037282,0.013798277816695034,-0.016210009279296406,0.011556077981651798,0.006986771006707777,0.002608193560410738,-0.013569371484740958,0.029398783800078158,-0.014971363365375077,0.026712633675663237,-0.0011934513790746314,-0.026965243926467933,-0.015604283332064359,-0.001965875033346551,-0.005101362032155034,-0.02061890240675264,-0.029411885131192327,-0.005183402650550825,-0.01828329577600968,0.02995053470997037,0.0036302445683058624,0.0082939928369459,-1.7105669271298685e-06,-0.0006067067256889391,0.006315679467620126,0.015789763936986632,0.027167604425666767,-0.009559984216030432,-0.02359058680215999,0.0072889920764045765,0.001999301073508166,-0.005021095695814867,0.00563442748031654,-0.01194146287052032,-0.001709086179443178,-2.0223903509700698e-15,9.096454447961445e-07,-0.003143194013603436,-0.0005499889684527648,0.006880366693045395,-0.013739844819941284,-0.01419807950956411,0.00545358959628649,-0.005786869675184734,-0.009476150019423773,0.004180646006129805,-0.0015226102858974834,-0.00036864642430780827,0.004100676638353359,-0.0066442246652110735,-0.00025092607833172094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B14e-B14c-B1ai-B1x-B1ao-B1j-B1am,1459740,0.18479438178779187,-0.27848463406026946,-0.09485154386002867,0.012576848643777776,0.0020170798760263784,0.008316257265592675,0.04169862394682001,-0.2641600059460712,0.11785349636138731,0.003632873179306114,0.13279601680118097,0.1376944124718581,-0.04840100152503665,0.0033707526221126174,0.004728736025117966,-0.011645875727876011,0.008632062795295459,-0.047746582595029084,0.0508786585726803,-0.05616663619279274,0.0008252353428038367,-7.03853379665908e-17,-0.04563805287484966,0.009253333922886287,-0.013728688068205278,0.05471880072094467,-0.005210879882480292,0.007079880099302018,0.0008592212249046655,0.002543991376816354,-0.0031534595250432376,-0.003845922537281453,-0.006843145783930473,-0.015621286861672341,-0.0022918757852944277,0.001128281314109451,0.0016956841376650831,-0.013609298306750632,0.009850440328326614,-0.009284158574267268,0.010517497325912489,-0.010333810831090874,-0.004332548894814186,0.0029110711406916063,0.00303557444378944,-0.009204643543738407,-0.011531170297300187,-0.002051532177010134,-0.013245968143306185,0.0038196172212704863,0.01922244620858498,0.0059115106023575476,-0.00011714599526982782,-0.0026845182037070667,0.006575134462551398,0.0053786466696774185,0.0033163343258710083,0.010549013684547843,-0.009893729206987726,-0.0019577019513058354,-0.002358128075496838,4.0176791716862006e-07,-0.0028962873021547964,0.010121543956774448,-0.0019109621486455206,-0.0009722323268119522,-0.011278602952079787,-0.005927628401292764,0.00288130057662142,0.0007110798712310427,-0.01686800605751292,-0.004210142304206694,-0.004428683245295707,0.0037469082276802915,-2.0745280677221087e-15,-5.294909512970937e-07,0.010622689902605235,0.0022187061093604226,-0.0006297462047761777,-0.004126367909207161,0.003939048738059323,0.0016481011610252993,-0.013393736300530257,0.009361513357285429,0.010188515648197703,-0.011904235228655954,0.01013629773116632,0.007376567193957192,0.0010238388529630125,-0.0014154203235036441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B14c-B14e-B1x-B1ai-B1ao-B1j-B1am-B1an,1459741,0.17633210806325245,-0.2841612598719097,-0.088694898850534,0.012822207584727532,0.0002996591999334462,0.008266025848857564,0.04199727138777498,-0.2660172698343545,0.12025797002708044,-0.0033897251585884715,0.1294972928403973,0.13447940921759266,-0.050826390636893266,0.0036370153101514713,0.0014381559770501517,-0.011453525654681211,0.009865585299326806,-0.050969293320555234,0.050268384405752195,-0.05947381522473311,0.0010348648512579991,-1.8377507770291295e-16,-0.05416860162664147,0.013480557099977314,-0.006261079436148687,0.07031674846591686,-0.019458796243066484,0.009727831935372886,0.000548391578423625,0.003299855627378009,-0.004049705643665854,-0.004957901870341526,-0.0092232145019752,-0.024686558179092155,0.005956628761640275,0.0018208051042917046,0.002652594514756382,-0.013046586731802503,0.011540083585580299,-0.013349681127946902,0.00856901007203388,-0.021870460604186865,-0.005323122356781891,0.008629734799790928,0.005980781434370634,-0.01713283607486425,-0.01051896894009129,-0.005574493477371685,-0.008085331275234909,0.004015732516640133,0.008927199605550827,0.0029745080397088697,-0.001506724195169704,-0.020895637029903682,0.025770500009638802,0.024210801343337245,-0.008967425247123278,0.007843619703314984,-0.007478348556677771,-0.0010292570241529275,-0.008841043221127139,2.110875729230044e-06,-0.0014211939549395132,-0.024368586426082434,-0.004344196672851789,-0.007829136950380313,-0.002436704246760161,-0.00041451962469474365,-0.0016596016731573874,0.005005042827708766,-0.018931512777888862,-0.0038463502687371975,-0.028757295648684105,-0.02315043508085867,-4.360496522812642e-15,1.2850502903077113e-06,-0.025289274063936322,-0.005249121704991349,0.005917840634863178,0.009789075389599262,-0.006861660122474926,0.017253693559261953,0.023613730701303307,-0.017095358072143275,-0.010146190198624963,0.006353401457694814,-0.006433025026424774,-0.003470008047976932,-0.0029536646338736328,-0.001161094691001901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1br-B1g-B1dr-B1dq,1459751,0.21933707867356872,0.18253942416155514,0.01149935611705185,-0.013678206519812013,0.07939628381506773,-0.016631352007605987,-0.00987543449282106,0.009886867381034132,0.04515429934826896,-0.10331855064590814,0.11857810212670686,-0.09591275831976599,0.26284782103294535,-0.02446722268138421,0.026058403416894194,0.012812428991555285,-0.0166234145590685,0.014989479605389835,0.10371319857798382,-0.02781940083080785,-0.005895062018334846,7.041782538522885e-17,0.053324316206997936,-0.11448270052074795,-0.10045838075007059,0.05829978897506703,-0.022695530096155717,0.011615261858094106,-0.004337840389518434,0.0011026007661834418,0.002587103220217647,0.005126431167661497,0.006042622580875633,-0.003067104868413914,0.00462351741953448,0.0028764086376725398,0.0011499078206331631,0.008745939646345074,0.0014969019204072926,0.0044218320800805495,0.004917172359105348,-0.05514321650605161,-0.004631471499980258,0.0030478718647551383,0.0028766219849345473,0.016050814395055558,-0.025554839433659236,0.03375598699646133,-0.008896489991880759,-0.0036118905273858993,-0.023702053627254985,0.02029125957096678,-7.33206993065581e-05,-0.0036332944828591294,0.006475842871194054,0.005386500225884651,0.0021055080844812383,0.010021689286208465,-0.004850050693266669,-0.0014216763279930667,-0.00906901368043035,2.26039493312965e-06,0.005609803499647116,-0.01583680001734801,0.005016994652950065,0.0026344731504129794,-0.0036110225048302915,-0.005968844730980956,0.004633316221334889,-0.0031387094155499225,1.5413210086821396e-05,0.004041281485844522,0.010661568305162895,0.018747867509550452,1.4078254147419485e-15,-7.383170437341708e-07,0.01140747956646752,-0.0041295591396212595,-0.006996558215576785,0.013241382693883424,-0.01399421071361282,-0.005919331668872129,0.005457236275610942,-0.010465484835856027,0.0037685815047095172,-0.0013305354105713312,-0.0027387482112301966,0.00024864720321094065,-0.0019720700854326543,-0.0003465577783977746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B5cc,1459753,0.24388392114156143,0.2541010171056041,0.00387032188657369,0.019118513460841657,0.20131069385466357,-0.022663404419013974,-0.012623609829670856,-0.005397972997954496,0.008281903740210048,0.038399054095868336,-0.0073456535034593946,0.015478489451925925,-0.04660935994323177,-0.008169573777069094,-0.005124231330656831,-0.027591005926288024,0.008044711943098219,-0.010564711143860593,-0.03216776268646083,0.008692792373630012,0.0002854456322543877,3.067667253155627e-16,-0.006089308104434286,0.03796640659803962,0.04877150204363024,0.041926758666843776,0.044310527650620046,-0.003957956299525274,-0.009393247811232644,0.0003551715917390746,-0.0031900243975026012,-0.0038633246244141385,0.08385232925287864,-0.06503375238048331,0.0496622746621096,-0.00014187470529025134,0.009411582170410623,0.0132152847803436,-0.008429047901442643,0.05453712289061946,-0.027945566375586657,-0.008840838277259117,-0.0446029640640939,-0.02955973700097417,-0.007998316817842415,0.010488193783357854,-0.020367397273625618,-0.0058531681045718535,-0.010963829689255635,-0.002689221509412282,0.006651545972966642,0.0006815812770962793,-0.014295655400426328,0.004214975374490938,-0.0030065390942732467,0.005433918080959979,0.007574156197458298,0.005525438685294114,0.008442412112826803,0.0004955358998885402,0.0006308205158971418,-1.5086796991149884e-07,0.010888161639878201,0.00311136387762408,0.02024802591245261,-0.002721587972929273,0.016138031587633828,0.0014745363357160529,0.0038280126244631474,-0.058473909030398424,-0.004510162782604967,-0.0016488141442251541,-0.0061941071248982175,-0.0010598139622648316,-1.4405553574023421e-15,0.08189864244867757,-0.0034198169929537505,0.0009809318025315395,0.00212214861746862,-0.006522117257968008,0.00010879144788220875,2.951859630909516e-05,-0.0027057994665547216,-0.00011371900519148879,-0.0014557144792138963,0.003925859119543291,-0.0010080163188617448,0.0026073417889590543,0.001442618473610494,-6.599640915424294e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5a-B5b,1460267,-0.6353934623236589,0.07151430049402592,-0.2108304734646773,0.07720327167379108,-0.010877307015444846,0.00750351646038031,0.06617861947177575,0.005071263058638927,-0.015843712072464305,0.0042676209030073735,-0.012400249227751316,0.014416059480842187,0.012199037817080618,-0.00429999233440213,-0.0011896328616963485,0.007730589547998531,-0.027879908500519496,-0.011908723542571829,-0.019414448029786018,-0.020730455574060353,-0.020864521212219947,1.2207699400091726e-15,0.005315595377047244,-0.007321625540528475,-0.005273393601423813,0.021874892351341955,-0.009541181439817173,-0.11660508677512516,-0.007734541709023071,-0.03931734680634777,-0.04618568970864409,0.0008820179629269281,0.011408849700426932,-0.006652971086833655,-0.0005499109547727951,-0.008381083320062243,-0.07309102880776205,-0.010947826128969086,-0.07761059621091622,-0.02377445086846491,0.02092134936288596,-0.003170990266102304,-0.02847562663448235,0.015791024919688125,0.06761502617731051,0.04244463887051529,0.030945145740969807,-0.031244939413161324,-0.061934473330700804,-0.0032309669337809983,-0.017784023128005498,0.00038664349296198644,0.0031254288255353055,-0.002291815387437421,-0.007169331629862318,0.004424280859357054,0.022559925977501453,-0.029726608498272102,0.009650660486699925,-0.010650951621709174,-0.03385260849920531,7.603421677838976e-06,0.002275444525008479,-0.003728316672911246,-0.0031395900568021388,-0.024311770160088602,0.00019891826851824065,-0.03655242360777016,-0.026646698790030714,-0.00241250390749993,0.003485559173834897,-0.0014102313409343266,0.00400211274043702,0.007331434115096065,1.465362956964353e-15,1.3377576218996837e-07,-0.0010176823188534812,-0.000494008175357862,0.007410498920353599,0.0015210233351754454,0.002362323886481264,-0.00255004270017457,-0.002472453826521469,-0.0011084388217800592,-0.004275929613806872,-0.007961993549999994,-0.011224024665740726,0.002654964612203757,0.001195254756428917,-0.0005883634008883322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
