sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133
B5-B5a-B5b-B5e-B5f-B5d-B5c,1459712,-0.062057101131615416,-0.059062723915379346,0.014139713575330542,-0.0002912846515357147,-0.015491584833176825,0.014889968843100993,-0.00028678481039320686,-0.0014996843559157232,0.0013207298461887474,4.010784972164928e-05,-0.0031044803413625153,-0.0011089943828076574,0.0011011728154193632,-0.0005127246333034595,0.0006958075612638535,0.004268503775783674,0.0022844542252992974,-0.00011091940863239855,-9.56381097562933e-06,0.00010519265745822621,0.0022890403613155265,-0.004673788167561454,-0.005179337574354357,0.0010606179936788283,0.002492406656623182,-3.915340688057545e-05,5.3595465204642194e-05,0.00012429626977673256,-0.0006532682150062461,-0.0005140389195197916,0.0054882533836820985,-0.0012378444631267747,-9.153243623056777e-05,0.0001648259864946258,-0.00028335366378466316,0.0005268049671005985,0.0009909352381997846,-0.002271995368780092,-5.547072067465739e-05,0.0005206235613840839,-0.0010075307302405713,0.0038749361650861746,4.894058957404077e-05,-0.0006751778168238407,0.0005096183533082972,-0.0029905873541006592,0.002399407141855435,0.003982042697890699,0.0004769403074859173,5.3926856219160946e-05,-0.0014922518191310362,8.668707803843015e-05,0.0006184977560692403,0.0007382775974421543,7.762204179452256e-05,-0.00012165294045906344,-3.0740375663299676e-05,-1.9945689797338938e-05,0.0003225990326646524,-3.2551078378627726e-05,-4.582232951349478e-05,5.349437300936247e-05,-3.7656523003250176e-07,-1.5427001327712188e-05,2.1029019932328443e-05,6.463144901252054e-06,-1.6544692312273416e-06,-1.3645505715932408e-05,-3.362946736789506e-06,-1.217906167050532e-05,-5.154442960068364e-07,1.4063122878554016e-06,9.114736098813935e-07,-5.588974353084421e-07,1.6932223553658636e-07,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5a-B5b-B5d-B5c,1459713,-0.06796387414463204,-0.06391579086381662,0.015743844268253843,-0.00024925662551063596,-0.020310735081235078,0.020470552243307794,-0.00043949477858124176,-0.0027995268839597605,0.0025412323789162526,0.00028630489019610783,-0.0066915961679020215,-0.002675389258212226,0.0016509064923037806,0.0008994771547318237,-0.00032114865765742043,-0.0022117429999366084,-0.0012008153914380324,0.00012483708293198125,-3.1213295069998256e-06,7.44141548639938e-05,0.0013949668949666425,-0.00174318846339053,-0.0014676554116580726,0.00019219549634376284,0.00017214359144776106,4.714306025436141e-05,-9.858321760944851e-05,0.00013735170787369184,-0.00043990617123860365,-0.0005436883833763878,0.0016946642471491725,-0.000961708747140185,-6.706423606041233e-05,0.003550591178543696,-0.0002406510295945076,0.00011086948313296399,0.0001390391657979595,-0.0001210611240538393,9.998802931109058e-06,-4.336212474444981e-05,0.0003974464826782991,-0.0015328359947148677,0.00013005128770781916,0.0004505185929797876,0.0002915565099375974,-0.0021169304659747912,-0.0004292041712888824,-0.0019268230557829339,-0.0015837245257163577,0.0005666573897593801,-0.00034975976258963336,-6.590885304136768e-05,-0.0008467797690877804,-0.0012643184820334446,-0.00012592776122984973,0.00024978804671472576,7.962824444506904e-05,9.211040587877842e-05,-0.0012626723035305861,0.00014601426598419097,0.0001246591606015158,-0.00021746456211677034,0.0001022414307715708,3.0763965095426884e-05,-8.519511586138946e-06,-9.830553072225776e-06,1.8096416791428946e-05,8.813333140991591e-06,4.3748704716820635e-06,6.454379923242341e-06,1.642041794504954e-06,-5.64387304931851e-07,-3.305602939437672e-07,3.113567445622596e-07,-1.2142648204075422e-07,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5a-B5b,1460267,-0.06772390406650139,-0.06272111327063631,0.014914088293104037,-0.00022332742911347273,-0.019212953786647568,0.019492234758352905,-0.00042752597498717964,-0.0029727451334562224,0.0028501564211716617,0.0004673121947353909,-0.008446380725371416,-0.003503151910030647,0.0016718272556401875,0.0015885919829747937,-0.00027292680845826946,0.0034386751440016426,0.002449080211409867,-0.00015842757734711103,4.2720010145838975e-06,-7.74580289947532e-05,-0.0014456516321503324,0.007305262759882699,0.010463889060974323,-0.0026211435162280996,-0.00837107455542339,0.0007964629340235081,0.008759383957491628,0.00032893267168064235,-0.0005586761037373295,-0.000925544110528826,0.00035783334718682703,-0.0017163050460461936,-9.680894723950757e-05,-0.00011306496239963672,-0.0002373577681009346,0.0005770213634026828,0.0005992538413866932,-0.0008725696043752328,0.00010856887982930195,0.0007248871629096559,-0.0007747575054035818,0.002166399236152483,-0.00018285588488685574,-0.00029636895897799205,-0.0004377667704539874,0.0024413060723659174,-0.00061209267866598,-0.000619702423660293,-0.00018944468318159898,0.00010442124503037111,-0.00017288715057688152,2.892207504952351e-05,-0.00017675011080329722,-0.000650487523404081,0.0001199638555779003,-0.00034699279864699214,-3.546932632958295e-05,-5.5695835711845356e-05,0.0002073550513687399,-2.6383743881693197e-05,3.31511444190861e-05,1.5990881103745616e-05,-7.155288470091421e-05,1.3536213294188954e-05,-3.4551438100641385e-05,-9.030044503121172e-06,-8.461161592287134e-06,1.6482250359904597e-05,2.0806127368608414e-06,1.4733354685201666e-05,-9.325759853941784e-07,-1.2255900887076698e-06,-7.441793456668585e-07,2.1294377902909605e-07,-7.14559963857719e-09,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1/B5de-B5,1460291,-0.01822752261110119,-0.014789832627825213,-0.0014448014051606358,-0.0005868627373931055,0.01020283492450423,0.0020600502232420484,0.0007506959533821367,0.005553929826889867,-0.004948721824618941,-0.0008063900761776682,0.005324493635270522,0.00015391232168098895,-0.0006100797826350478,0.008284005811418037,-0.005987319112468208,-0.0001583889455477039,0.006912267143284571,0.0007636798081709843,0.00020374367519717588,-0.0027725913462136884,-0.01860469528459983,0.007943388729130972,-0.0070402018176413846,-0.00022496130977020184,0.0006335949004075462,-0.0014935827447868507,-0.00151461530113935,-0.0011314485948944902,-0.0011548929995405883,-0.0005147337416325107,0.0006622014361319914,-0.003649545702453342,-0.0005293709151479789,-4.456981101280531e-05,-0.00020166291213276222,-0.000642945577815271,-0.0004037062502857618,-0.0004590927998504343,5.732770374709622e-05,0.00011985886809063134,-0.00015791919133938324,0.0004153832428734693,0.000201817416754481,-0.0002443467000829009,0.0002670433176080691,0.00012550308105733468,0.0002826213011692528,-6.871004368748047e-05,-0.00021820061448513475,6.270537227644523e-06,5.368834114711132e-05,-0.00019692691968731588,7.078578644618782e-05,-0.0001342023967247096,9.671148656729961e-05,-0.0002441000294312074,-2.8767093314150804e-05,3.803970431569894e-05,-2.8433942774331676e-05,3.39079630958557e-05,0.00012965776435362584,-0.00010777085678583616,9.189388027004553e-06,-3.2462314798315796e-06,2.049623111380592e-05,-1.5190851616705077e-05,1.8282893650324865e-05,5.2326081248196376e-05,1.7151438326388624e-06,3.2272925542546445e-05,5.775559737907919e-06,-6.818538177144638e-07,-1.061469199024371e-06,2.709371303670837e-07,4.255362280493325e-08,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5/B5a/B5p/B5ae-B5m,1459789,-0.04845293028110971,-0.046966105843455175,0.009716523854730838,-0.0003850084632648983,-0.002201408032942229,-0.0006113740801321219,0.00015792461164214688,0.002602570079439291,-0.002816892009441408,-0.0008673465394820505,0.008718463880646088,0.0036158999390130168,-0.0010408256986009878,-0.001609187835441963,-0.0002524365953804258,-0.011040289921328859,-0.007022656482778609,0.00046849732747487443,-6.507530566268677e-06,0.00012648539726777805,0.0007173667254152412,0.0012104607668587646,0.002933223413700532,-0.0009449480829351347,-0.00398176192397787,0.000969643995522131,-0.0071391182629231545,0.00023576468502672235,-0.0016656423618231066,0.0004760357550792269,0.006638599582879786,0.0008734729474615428,3.370808507021154e-05,0.002869702860835736,9.873049048107532e-06,-0.0002632603180582283,-0.0002879409678821528,0.0004758187981056083,-4.102920115884189e-05,-0.00034301479228344116,0.00047103310312659677,-0.001582662272137587,7.792254393217148e-05,0.00031269109772606615,0.00013384490342470195,-0.0009684844426607274,-0.0003386309956430231,-0.0012056904064574033,-0.000946537249400079,0.00034932028547923614,-0.00021530178235276744,-4.046311278270936e-05,-0.0008015876197427369,-0.0017180969401578091,-2.0556932306867837e-05,-0.00019840214108041515,6.358459341688463e-06,0.00012021924733037596,-0.0008019769191550139,0.00015163739314469403,8.873855886799796e-05,-0.00028665891881554184,0.00021578153787767508,3.679575741980166e-05,2.0994070391292478e-05,-1.3758309880653258e-05,5.7038649434161794e-05,1.257435412892241e-05,1.3844738476211546e-05,7.941244397934904e-06,8.490405206178786e-06,-1.6596326070242942e-07,3.3990238316281454e-07,2.2482652305350045e-07,-1.8240369027944349e-07,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5a-B5d-B5ae-B5v-B5g,1459791,-0.053567666018107564,-0.05232506298655219,0.012087348219262443,-0.0003565027515711509,-0.009557667545093849,0.008019759053846972,-9.00682426582371e-05,4.8313046452175084e-05,0.00010834787013009987,-0.0001447994376658872,-0.002759813338624357,-0.0014212646162176856,0.000745421358638061,0.0011688666109006438,-0.00034836193227312393,0.0015429456143074899,0.0011624483673908577,-0.00013320594286316486,-1.5411642599409117e-06,-1.743571637035675e-05,0.0007655343301364479,-0.004068738508158108,-0.0057581057337257715,0.0014423083136835553,0.0045018462460498,-0.0003578438317099564,-0.007306409567041041,-0.00027506684842411614,0.0007970789114242983,0.0008337301515001586,-0.005495578183829279,0.0012401949681323803,8.912446566812741e-05,-0.00292551950427367,0.0003114511920981182,-0.0003047937341857714,-0.0006561146403388828,0.0016416373365100525,0.00011375242589799854,-5.324833684658055e-05,0.000344004630286216,-0.0014342613195730517,-6.0950828244734526e-05,0.00022883579114382156,-0.00041711216346853344,0.0026876048130917165,-0.0014690312097038174,-0.0021695486868088466,6.556769901750088e-05,-0.00017764436543505534,0.0011329534607951452,-5.31658023550871e-05,-0.0003396877589038709,-0.0005056194341145519,-2.7783098436706524e-05,-5.006448768496077e-05,-1.3211654699418093e-05,2.024438471601385e-05,0.00033492032511284056,-3.0026478230314565e-05,-6.198531687031847e-05,5.6785311579467304e-05,1.6212342939404992e-05,-1.8128102793616362e-05,2.4307662091786778e-05,2.067153693204572e-06,-1.4301934378783413e-06,-5.98613364993164e-06,-1.6382218567317394e-06,-4.820573511692265e-06,-3.9172592263694993e-07,-1.1974875689478165e-08,-1.459697713059037e-07,2.1730233159452475e-07,-9.456611942148339e-08,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5ay,1460306,-0.03652212594778129,-0.03413779554258747,0.0015922268834024803,-0.0004714113672959779,0.01465479810776317,0.000992910654394039,0.0010378936056759356,0.005548820835307719,-0.0035134168765878467,-0.0008753741458648749,0.0007052091402815833,-0.0001291141235005419,-0.0004576393958739586,-0.0036143997465672203,0.0021023109480295173,0.005741182244859184,-0.00582599634996347,-0.005532804058791676,-9.215247799570615e-05,0.0016867377826519066,-0.0013425320072659812,0.005022992668969331,0.008345811428756272,0.0013289369181282657,0.010616212378648989,-0.0022811112414289473,-0.0007817801649826935,0.0006778844253872994,-0.00013476139969856386,0.00047788194305830944,-0.0006114245678312054,0.004120897328358804,0.0003612509522443078,0.0001475337194205302,0.0003784138762203056,-0.0011198459902870884,-4.28865342095906e-05,-0.0016072990199817224,-0.0006584875488864123,-0.0018279158899689747,0.00010556302505610693,0.0006839936324183794,0.0005814585659653708,-0.0005750483894393823,0.0007950974833841416,-6.79942405373991e-05,0.0007249215750080969,-0.0001553890213373664,-0.0003953288454820953,1.2365775177695257e-05,0.0002557043238579541,-6.725225734693025e-05,-0.00019577579753261458,9.192591726637389e-07,-0.00045314394360565166,0.0005335368778288923,-0.00017945668630165308,0.00027360556060576467,6.532284138150674e-05,7.55003640077409e-05,-0.00019764647897012037,-1.0653482909809038e-06,-2.979872950635479e-05,1.1572229595360006e-05,5.0715179848222596e-05,8.915684909223118e-05,1.956684508649422e-06,-8.335066717196387e-05,-1.2570441086636201e-05,-6.350683738043455e-05,1.7996398405475064e-06,5.722761678922385e-07,-1.4418737576165497e-07,7.075509036834823e-08,-2.7760907800361344e-07,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5a-B5bm-B5bl,1459797,-0.05774549488656226,-0.05178745923303278,0.009893422272609953,-0.00027644570854023175,-0.0034154581082527793,0.0009477092913287786,0.00010008275191758665,0.002584219492178539,-0.003619920504763349,-0.0011832876375499361,0.01758947530629073,0.007976292846126276,-0.001995069241669643,-0.005061329968941415,0.00018132767446282438,-0.023658244045120704,-0.015274268438324079,0.0011627916452461712,-1.041937365553537e-05,0.00027124374723522075,0.0013236965658997347,-0.001579740358431588,-0.002622925624297731,0.000745697631632117,0.003326555047196318,-0.0010358414148210315,0.011262413019409067,-8.70007778557823e-05,0.0012613019383550085,-0.0009747356625568941,-0.0029306585043828476,-0.0009667921597090051,-3.445491208288672e-05,-0.004728064564988525,0.00011104148224941166,-8.264242778094638e-05,-0.00028066254111656843,0.001290575386198499,0.0002550176858395866,0.0004465996883361044,0.00012686178445205773,-0.000234944301311057,0.00024265638024838449,0.0001328663468505142,0.000378332725591079,-0.0016150741843347543,5.212113401841543e-05,-0.0007736519556637502,-0.0007795342525597011,0.00026820749009830825,-0.00015108217956560276,-3.997214039477496e-05,-0.0005946479645714645,-0.0013755030630537418,2.125509762996197e-05,-0.0003668813188127217,-7.645636631704513e-05,5.539163966816718e-05,0.0008781035540856916,-6.273689249116596e-05,-0.00015107353497967676,0.00010441384213319253,6.462557931110778e-05,-3.500022639949484e-05,5.363838496780023e-05,1.809283418548419e-05,6.957448677947318e-06,-2.1902734750936893e-05,-2.55716701032882e-06,-1.8548102696232885e-05,1.5661746094070877e-06,1.4800885275001857e-06,9.739536998230835e-07,-3.3010105801014205e-07,3.606052742272323e-08,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5,1460315,-0.03242080605252037,-0.03684739858120391,0.007922039624583124,-0.0005449609571394327,0.003862309449593074,-0.007764504666365041,0.0003717815400460081,0.003879343728882145,-0.0030761955349399646,-0.0007424029746689256,0.0015689082153357379,-0.00018493237952791922,-0.00036659357848098953,0.001865480331798502,-0.0006241283855672741,0.003864339595386127,0.002674393689075492,-0.0003588506376076211,-1.1730877012392783e-06,-8.797158678633198e-05,-0.0004066982028840011,0.00040720538408923915,0.0006298410634368324,-0.0001260456809002145,-0.0007590585704032089,0.000255350418323423,0.0009048207748828492,-8.030959952131723e-05,0.00035353041935628295,0.00023365541616175904,-0.0012067370835443022,-9.63877960060924e-05,-3.2438358570142485e-06,0.0005295692598125737,-0.00010286514466575062,0.00026954883458352955,0.0006624574641661487,-0.0025846839078182637,-0.0005253247955580346,-0.0010814067184222891,0.00034273010110840417,-0.001713330588440226,-0.0004158319557484644,0.00029021372265071455,-0.000509712624328442,0.0007313472212992319,-0.00039324918211090527,9.966563444651106e-05,-1.1148938223112324e-05,0.00011724571194089305,-0.00046587769699310517,6.731182714226586e-05,-0.00014154383343121043,-0.0006363702526029284,0.00015392083105564757,-0.00032343053877863763,6.499477157164408e-05,-4.461630009981305e-05,-0.0002731705935776088,2.1988284199714462e-05,1.4117443318615469e-05,1.5593564812477883e-06,0.00013052554275843177,-0.00011155375218705164,0.000322163403566777,-0.0002362205103755186,8.032211043163283e-05,7.494380513179269e-05,2.9612462923516906e-05,4.796167927359507e-05,1.8780903527514352e-05,6.686660992122418e-05,6.550934805117379e-05,-6.26138959915476e-05,2.4168507992304244e-05,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5p/B5-B5bk-B5a,1459806,-0.03873126656110214,-0.0404842568925335,0.008356681831591802,-0.0004750900006169938,0.0020347630951382317,-0.005540770564031139,0.0002988170806388046,0.0034533079279234205,-0.003057664283081665,-0.0008003350667537184,0.0046708386262701565,0.0014256520773085542,-0.0006337240017356694,0.00044625601815102356,-0.0004125248935175314,-0.0007290875290380097,-0.00033145746127722834,-9.608303319511732e-05,-1.9164085527142903e-06,-4.803758272433655e-05,-0.00042137197304218776,0.0002626868330531078,-9.494213396561744e-06,0.00010892977182418796,0.0003543127985143373,-6.398735279738263e-05,0.005012035672968361,-9.850461228154302e-05,0.00041534299733063867,0.00037351812969603075,0.00015587296318426134,0.0009117225342638866,7.51946765854983e-05,-0.006427539058135495,0.0003604813682245923,-0.00032915907463879334,-0.0004104001962283866,0.0005646331640238503,-0.00013613918697454803,-0.0007019776082815428,0.000776708156131899,-0.002728961450070708,-6.809602554350959e-05,0.00044109100756303457,-0.0001255110462255285,-9.73552364850169e-06,-0.00043383374527600227,-0.00034307263210452615,0.0004943857058729232,-0.00024659089375757477,0.0005635830030138556,1.3457818012756846e-05,0.0005566875091721013,0.0015842618560832891,-3.117620640722101e-05,0.00039657827212670493,6.27242060965512e-05,-0.0001120447570867669,0.0003192349649362602,-0.00011185947391997157,-4.5077083502363046e-05,0.00024009180387736916,-0.00018895024961354854,-3.958447626260816e-05,-3.1384239561399946e-06,-6.797239814764227e-06,-5.3730410343173234e-05,-5.920579414937292e-06,-1.3183287897667798e-05,-3.184767723485259e-06,-9.012415207300705e-06,-4.4427327980608714e-07,-8.710675377271379e-07,1.5178632522763322e-07,5.69952004939016e-08,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
