sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133
B5-B5a-B5b-B5e-B5f-B5d-B5c,1459712,-0.07774381627282048,-0.08484718227225245,0.02127389019670711,-0.02810139302703591,0.0009063179595879554,-0.0012007114194315554,0.0014297851260671895,-0.0005771702339189978,-0.0004199141725047802,-0.00030444410510986554,-0.00022409978124834343,-0.0003891682931131955,-0.001498979123055447,-0.003197966840802885,-0.002781384984133111,0.0028033487837326346,-0.00223840161413375,0.010294237128321579,0.009663690964505107,0.0037355528442156493,0.000835409015238181,0.002482640937778035,-0.00015948325757132346,-0.0009158352198192083,-0.0015967634522564052,-0.0024221777176730527,0.000510194822467693,-0.0016292809311907075,0.0002884314681210782,0.001189703490643237,-0.004498184863019329,0.004263446384391561,-0.002709146945545611,8.994703882476926e-05,0.0006686102713037053,-0.005441713722711058,-2.9983677148331172e-05,6.934386259931547e-05,-7.482720288256487e-05,0.001023682912489885,-0.0005443339886782727,0.0062069089309132585,-0.0027596808588173346,0.000960617688328367,0.00010299531900688227,-6.244086953609061e-05,-0.00010602967388802897,-0.0001950169985142304,0.00037266171975881596,0.00018722895151832987,-0.00043551411198231233,-0.0007198067811855823,-0.0014398516639119164,0.0032638990227303114,0.0025066650148819515,0.000264803087866335,0.0005602521696818089,-0.0005282618435024375,0.0002546784183452241,1.1320939575862077e-05,7.277088444477842e-05,-0.00018927741535764117,-0.0006913244951195755,0.000480647431767058,-2.780831302649968e-05,3.3873320805113056e-06,-0.00012329918758968323,4.4370272413732005e-07,-0.0002629230578339303,5.987982678078348e-06,4.385563571110452e-05,3.781006879788228e-09,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5a-B5b-B5d-B5c,1459713,-0.08466460868007745,-0.09126210332410606,0.02440439738494692,-0.03569328029585612,-0.00025752222578124054,0.0002731988763345418,0.003418563565851842,-0.001589871890494135,-0.0018091517597178435,-0.0001868908756402846,-0.0004497341595265645,-0.0015386470033105157,0.005689839346955453,0.00047819568194640315,-0.0018600401685496088,0.002526425291280914,-0.0043804663426750415,-0.0012924975046359212,0.0011324966823630152,0.0021898101007837567,0.00033874666900786447,-0.0010501870688868359,-5.087361123189801e-06,0.00015085795774461968,4.136018890890695e-05,0.0005844255123155193,-0.00045001808211907846,0.0019811424910104796,-0.0006270081919682851,0.004815189689187098,0.001074067880214362,-0.001777840342729524,-0.001759874047587286,0.0016767939670772906,0.0001452155010706609,-0.0012816679251967447,9.895184583558902e-05,-4.773664064272452e-05,0.0005640092390432026,-0.00034833803649986055,-0.00030472423287842095,0.003958731034012175,-0.0019164110164144837,0.000918412375074642,0.00019329312677410194,2.1883860644697e-05,-0.0002913569481676035,0.00561431941864043,-0.0009315537332232505,-0.00022827155321110043,0.00031405861761351446,0.000372063622023405,0.0008939990117783715,-0.0019185295349640047,-0.0016677370058030415,-0.00012346125260322957,-0.00038674227504899246,0.0008964969368737332,0.0023325890461759697,-8.953291323754915e-06,-0.00046075916060603236,0.00020506865389277376,8.028461099797275e-05,-0.0012814772256061766,1.3223783570728176e-05,-2.9766369684709402e-05,7.72968530735382e-05,1.9568642987387702e-05,4.25152733349582e-05,1.0427971146936735e-05,8.326257526524359e-05,4.064391076745317e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5a-B5b,1460267,-0.08472209472409122,-0.08881840884272327,0.023118292271279522,-0.03288157467549144,-0.0007294982294769844,0.000889931654192707,0.003777451576938124,-0.0018389551624674156,-0.002443593288725896,1.1396069728500468e-06,-0.000498012293096246,-0.002172595135632133,0.01269134802939112,0.008360632962794337,0.006243724029755333,-0.007180068995397582,0.015213685501535562,-0.006750230716321158,-0.014338969371077365,-0.018377959589668133,-0.0040687744911874525,-0.011498877961437021,-0.0022811821534742933,-0.0014773703955021304,-0.0015206507946795328,-0.0011149904651202402,-0.0001164371380211379,0.0007503939565042762,-0.0002619922755337801,0.0016274339058893249,0.0016989460015317027,-0.0025939276895560297,0.0007265710218733101,0.0013700413068494564,-0.0005681096742958604,0.0054916148706926245,0.00022039865217603663,-0.00046828356321174667,0.001232835483132956,-0.001196650918087436,-0.0004645015860865197,-0.0028062480259327415,0.0017014882785626525,-0.0008357754642139665,-0.0006071097483280204,-0.0001200267777027899,-0.00031043697635152316,0.0034314083756022823,-0.0003709973575409319,2.6143196009034023e-05,-0.00017742862873887155,-0.00021262721929420856,-0.0006034018687643606,0.0012645916312492584,0.0010707236038065262,7.982751270569732e-05,0.00019658139109503467,-0.0002509953571752543,-0.00019400891183879746,3.19667372342266e-06,-7.472519792782805e-06,-3.481357925493712e-05,-0.000220188168356339,-7.743758817094272e-05,-1.0884734930492907e-05,-1.0130753823136568e-05,9.437718283079433e-06,-8.064176954305005e-07,8.660420461174404e-06,3.583188621800608e-07,2.8626550984048797e-06,1.2541321618430258e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1/B5de-B5,1460291,-0.01663358838179604,-0.022079422162517667,-0.010807221341036816,0.004687911754175119,0.007932872881905775,-0.010201687134257205,-0.014177507473219959,0.00649798741581539,0.005607102773208491,0.00105033854183682,0.001700531103332506,0.00501478100895015,-0.006832773860919061,0.016291618788001932,0.005546984398497942,-0.005295736671317736,0.014112479866293446,-0.00915955066716221,-0.0010125286636817063,0.01992629895685429,0.004004704394817052,-9.553884033165668e-05,0.0004540749640475357,0.007354234708707726,-0.0017974255704203232,0.0003795717285220742,-0.0027128937876505464,0.004863995642147005,-0.0011252143407454532,-0.001895771758771755,-0.006496752261777221,-0.0010789822117771982,-0.0007648835165827974,0.0003177779729199971,-0.00040391724221927773,-0.0007756825255637829,-0.0004919086078778677,-0.0022799257463285696,0.0015983966756054008,-0.00027991493728173647,-0.0023211886578973387,0.0012136396937186124,0.0010999111224127586,-0.0029754419866830422,-0.002821198278001232,-0.0007349891517051939,-0.0009550961070834805,0.00034847447259473845,0.00026261477637319527,-8.088401466457476e-06,0.00034893521041061437,0.0007283836937780173,-0.0006632395630222745,0.0003587625528694188,0.00017289800995527954,4.184369151883305e-05,9.127754640772416e-05,0.00041274500419412666,1.3808893649651406e-05,-1.7759714139646176e-06,-0.000797481862413638,0.0002603529785309901,5.486443339938774e-05,6.595743098355072e-05,0.00011866328430098965,-0.00017164523549578103,1.1777113623060697e-06,-3.3098082076640895e-05,-6.335835364084198e-06,1.4476867691215507e-05,5.41535248963827e-06,-7.337556646260112e-09,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5/B5a/B5p/B5ae-B5m,1459789,-0.04291482818341774,-0.05166041846674123,0.005508801983427242,0.007213873373766525,0.005493789143153937,-0.007035655488402396,-0.006419604055281725,0.0030385112906440187,0.00386445363328403,0.0003083731229032337,0.0008469513353332669,0.0024424569745847124,-0.010676148055947663,-0.0038194467948860417,-0.0001976126518732184,-0.00014110101533250618,-0.0018761313841545006,-0.005105035966560687,-0.005953472112161828,-0.005676260573814814,-0.0012191423888211817,-0.002550337824164983,-0.000625470996911721,-0.0009718672804674039,-0.0007320200327418214,-0.0017236991501715137,0.0009315033991764714,-0.004138843082462341,0.001414517900579711,-0.01353102705368485,0.001896115680956362,-0.00126008621327645,0.004747809609910415,-0.0013220182721457247,0.00019860131227387605,-0.0027209089120634657,6.419831009260925e-06,-0.00020094111366264958,4.2091557049138886e-05,7.16541453459347e-05,-0.00028268879803730146,0.0016867019046884547,-0.0007027743677686291,0.00010087177105574537,-0.0001130927001208074,-4.2422675078645926e-05,-0.00019424856102083238,0.0029060312952029735,-0.0004582737639074017,-4.5218949703077864e-05,-5.593763381832365e-05,-2.04731449875392e-05,-0.0003519091776055242,0.0006880228573227683,0.000883604589902691,3.974332866669087e-05,0.00021947397971140432,-0.0006568441588913386,-0.0019121256847210116,5.794170928726077e-06,0.00028168686732881094,-0.00012753306029462063,-9.415185179661343e-05,0.0007918483853880704,-4.647773251276637e-06,3.1530953733090555e-05,-0.00025383598361328034,1.4379789636272587e-05,-0.0006372248527138975,3.462792979349169e-05,0.0002713406906279977,8.76661385229552e-08,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5a-B5d-B5ae-B5v-B5g,1459791,-0.0761683500388443,-0.08219378415352653,0.019905208854326437,-0.02470237652590932,0.0012080232144830914,-0.0015758305330193854,0.0007029746015229552,-0.00020006410606571078,0.00012234662498522263,-0.0003244137348183472,-0.00012125917348490961,6.298327463435298e-05,-0.004245104387448749,-0.005651508903358633,-0.006079676845576338,0.007359811041622524,-0.014486089781061138,0.0019775574824946345,0.009651615300015388,0.01402182300889488,0.0028982470342436223,0.005396704264207759,0.0015743371614986123,0.001303336234810003,0.001798458567943155,0.0020281769167449404,-0.00014140052303274593,5.015274720701475e-05,0.00021439225951449728,-0.0054512991105966834,0.0045507750466812266,-0.003929083958396564,0.0042187726704281895,-0.0008012939177982402,-0.001167512157411308,0.010516937665552064,7.525093984721953e-05,-0.00027226094478124583,0.0003651537887564586,-0.0011423553402508204,0.00027349818141208653,-0.007707921470800901,0.0037479511537761388,-0.0015544076483333604,-0.0004987232261644811,-3.552336473604547e-05,-1.9273817601826435e-06,0.0002243033501258356,-0.00018689492897058197,-4.579487122394094e-05,0.00011446517306896345,0.0002956100500919689,0.00042705825479979044,-0.0010788647025810271,-0.0007229592076305255,-0.00011666627205232904,-0.00020199964526334367,3.441253715714361e-05,-0.0008214539334865057,-4.929077047252313e-06,1.5934265384476154e-05,0.00010028029142342777,0.0004297118792004055,-0.00025060015049513867,2.4336343490742484e-05,5.208043792189798e-06,4.528223907303621e-05,8.718313170443945e-06,8.39916342161701e-05,-1.5377700333572679e-06,-1.2123297409526618e-05,-1.4867230211647642e-09,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5ay,1460306,-0.032465791922845405,-0.030410911866402327,-0.01806251285820348,0.006931179957272047,0.009936978620215753,-0.012334461395889151,-0.006642242302263787,0.002780041999058408,0.00413383577418798,0.0007519327403236991,0.00030625567814916466,-0.0011318440207134036,0.0005571713108034175,-0.013079900638862562,0.011763490175385674,-0.009485380133863738,0.00648061163979882,-0.00235819303506027,0.00015149287378645707,0.0013009703684148575,-6.840404672806706e-05,-0.0006048301828229921,0.009144556813931821,0.005972981234304944,0.012943496042541148,0.013530020182455998,0.0008399614467674351,-0.0005169471464988526,0.000714836894996218,-0.00036911541169102897,0.004533287085415279,0.006234079401639249,-0.0032523519756566103,-0.006978457870414449,0.0009593095234289827,-0.0002711251325942183,-1.4525394561363537e-06,0.0022371273999508973,-0.004414292235565185,-0.000667472497239867,0.0007693582939591565,0.00045562313238762457,0.0004413038195863695,-0.0011109761528841796,0.00018897804501851387,-0.00025040600227084866,-0.0006703009812358916,-0.00042350763710552496,-0.00027660975308798686,2.93206540966252e-05,0.0010530219258492134,0.00042478129951216176,0.0003128467554659187,-0.0007167124799490384,-8.76019479844636e-07,0.0001643817509242587,0.0006209527056200069,-0.0004697834210054029,-9.163177662722499e-06,-5.704445888701732e-06,0.00011893053036247746,-0.0002696803240042047,-5.4884790868932726e-05,6.148637111464757e-05,-0.00032740828846507627,-0.00019392228633316043,-1.3046768209935301e-05,-9.869245273273744e-05,8.643021453242383e-06,-2.4955337506263693e-06,-6.604298443106269e-06,-8.468844203694024e-09,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5-B5a-B5bm-B5bl,1459797,-0.05927553625224322,-0.05906201712512494,0.0076354703632418065,0.007740689954431885,0.004530433322574947,-0.0057403771560727325,-0.007979351576535116,0.004295255834853656,0.006590181197024227,-0.0005537560072278328,0.0011477548837663335,0.006149150554125198,-0.03689035028058942,-0.019149937418500223,-0.006293505916370338,0.005306803833394587,-0.016705048042992655,-0.01633477873256156,-0.013928835664290888,-0.00781470508438487,-0.0014516428360494067,-0.0028280699250601703,-0.0012594593290689703,0.00011407428822068975,-0.0012405325034826947,-0.00026957867049270365,-0.0006953797241265904,0.003395508082363486,-0.0012984289604568797,0.014776053100238802,-0.00500663845987403,0.004079709378551535,-0.003676338004345455,0.00022923574073295538,-0.00031148408408021084,0.003691188560330589,-4.377297209031889e-06,-0.00012275156589939423,-6.266126186458476e-05,0.0001732143150813547,-0.00018359817850355134,0.0006749080494860978,-0.0002405868610461211,-0.0001240671910772022,-0.00013941293979339686,-2.981585036226315e-05,-0.00011461311137774075,0.0018564491090081801,-0.0003669088860306699,-4.9507903722905035e-05,1.2392422949527875e-05,0.00012441353169589267,-4.4207027383876314e-05,-2.6028349332294532e-05,0.00028244493441682595,-2.4670017592609873e-05,6.67062970076866e-05,-0.00045722161640522147,-0.0017227308391467178,1.953891812103627e-06,0.0002015993838510637,-5.569081821649805e-05,-2.0546137637131004e-06,0.0002893371041993985,-1.609450819264774e-05,-8.977750400537322e-06,6.709012609975386e-05,-1.759806921055927e-05,0.00018986368576877225,-9.101523720068277e-06,-6.931056016017566e-05,-2.334698443830138e-08,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5,1460315,-0.026241939109000342,-0.04171241277888831,0.001793000165215936,0.011790012096208473,0.006861318228240804,-0.00881941690857443,-0.006423017102484759,0.002706382400522088,0.0027147704225676567,0.000858987587540723,0.00076796302734642,0.0005600683219636026,0.002925680415310168,0.0035236112498007958,0.001708851081072383,-0.0013451378441588857,0.002557495556336434,0.002446187047028337,0.0020100675988467915,0.0006554174431463264,5.4917506824377344e-05,0.0006690637978429557,0.00034739838229376333,-0.0005692993960843189,0.0003099227504503189,-1.408862513757871e-05,2.2530009788232e-05,0.00015138846530573667,-0.0001202039101362528,0.0014626064596516537,0.00023540487166628606,-0.00038007501784840885,-0.004626035033497546,0.0020464390246886003,0.00012763658767829894,0.0003936827455909794,4.0183802789789334e-05,0.0004515162688952834,0.00040093012166790467,-0.00027683740372560887,0.0003053909374123943,-0.001397185696837677,0.0005766693049913915,0.00043203133511148694,0.0002734238163784589,2.6242273664135715e-05,-6.777199505422096e-05,0.001990787724653533,-0.00029392152952915446,-0.0001135816756178966,0.00018896930178863427,8.936793436580469e-05,0.0003489887087102469,-0.0006395596343117133,-0.0005082738697147823,-2.732300047681073e-05,-6.536915154900528e-05,4.8401215524993556e-05,-0.0003231046138171602,3.7595938741089403e-06,-4.086299494533114e-05,9.147230613850366e-05,0.0002887758087032164,-0.0003917243763328774,-1.456191024371207e-05,-9.286677391423989e-05,5.5092004985080694e-05,-2.4093357793366957e-05,5.599591180115805e-05,1.204028458517055e-06,7.066167892766114e-05,7.200529329739815e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5p/B5-B5bk-B5a,1459806,-0.035770671063559835,-0.047069732874205565,0.0037093032444799473,0.009846558083361961,0.00610738006646768,-0.007831307814012803,-0.006603498109907626,0.003005168325662079,0.0035583725117611024,0.0005067272298271765,0.0008404436997147051,0.0018702944398989402,-0.006395031230788167,-0.001513348216594185,0.00039924944342593536,-0.0005304890578306706,-0.00047713214626779774,-0.0027883755130599904,-0.0035321880208513665,-0.003721305178097677,-0.0008165693873941999,-0.00157769940548023,-0.0003681438012427204,-0.000707837785767136,-0.0006461874048660985,-0.0010794868033423167,0.0001864663878912241,-0.0003050142369814781,-0.00011216651834786746,0.0040079794097384385,-0.003497970584298249,0.003572376248411265,-0.0036398175070548456,0.00014638225838795306,-0.0003747168993805189,0.005189100709733232,-5.719816290694841e-05,0.00031768305206089024,-0.0003355903646553226,0.0006144232464055969,0.00037213407207073456,-0.00026823949480132673,-4.393614874312792e-05,0.0003291577361304313,0.0003675083509863945,9.158298237733049e-05,0.0003286738615883521,-0.004342580537439331,0.0005947352428884383,5.5687068419283645e-06,0.0002470162602649495,0.0003445953862608101,0.0010788928461233757,-0.0023469054833927055,-0.0022194677650801044,-0.00020576626484547963,-0.0005464010833142729,0.0006813796949631526,0.00010959378710967898,-1.2292307791568827e-05,7.41536644211707e-05,0.0002485336053861985,0.001688516818356358,0.0005687672781757707,0.00014848616355470735,0.00013469286481439832,-0.00034993457937025483,6.933993810664293e-05,-0.0007332692614544724,1.625201129429797e-05,0.00011494089691506963,2.5382490712805693e-08,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
