sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
C1-C1c-C1b-C1ao-C1am-C1an,1461277,0.5909687118961002,0.10424225513580584,0.022619137444525476,-0.003165203753133658,-0.013218732968792167,-0.0627741493802902,-0.0009923268668811998,-0.0424090259049054,0.02305272201118358,-0.018419855541246966,-0.0029804148981277773,0.0013822426111744892,0.007405592805642513,-0.011285012298574542,0.0019294633415021852,-0.03574722181779467,-0.003935077507428649,-0.03537630705573257,0.05843608288063572,-0.000202646234636993,0.006549378805736912,-0.009878212465209037,-0.008869633193908268,-0.002330739418445495,0.0017909130251640916,-0.0007099323356037691,-0.00035332012405266507,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21-C3-C3an-C3bb-C3ack-C3rc,1463850,-0.1936840412516509,-0.08084163853965934,-0.4816556828118365,-0.007303817296354106,-0.20490028701308227,-0.036773281299995166,0.11605016553694682,0.037794899096875244,0.0942624284663557,0.14259414225875963,0.017404798923788916,0.02217961448172552,-0.01592885347134812,-0.0024330954463921556,0.00021047801622412109,-0.007720049598225841,0.0008561677199217973,0.007708614955512298,0.004034249611495794,-4.548022687879222e-06,-0.0005671366419163268,-0.0007190954526350338,-0.0017878938941305632,0.00041624528444603485,-0.0009608662537029505,-0.0010246105904095305,-0.00079066358058611,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21ef,1464290,0.10064765877793648,-0.2889130996367613,-0.07246553018016846,0.7483409175514223,0.06279225795868171,0.06738009762014181,-0.012840839258284562,-0.007960415859641579,0.0009251307502880476,-0.0004256984691588697,0.0005775117479035337,-0.002045799473969479,0.0010704973789336454,0.000801096816516047,-0.0002814657888397161,0.0010837553367399628,0.00014347391026297277,0.00023171933729932147,0.0006311632079179589,2.4000801671541912e-05,-9.294193328174188e-05,0.00048718937550702447,0.000526844534842992,0.00017500312431969247,-2.5980371873932928e-05,1.7956886986443348e-05,-2.6997525480420254e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c-C1al-C1b-C42.2,1461239,0.5925539077481351,0.10669237117421321,0.02153649037210182,-0.006814843695387585,-0.007675448485255894,-0.03616924054664673,-0.0026563783066605486,-0.04930252892843776,0.04027719867988761,-0.020268048472340604,-0.0008772051745309741,-0.001086379010010373,0.007145016727139152,-0.012089212629924243,0.0028932099257594495,-0.051280345324521574,0.0035240780059990146,0.014592475157122656,-0.01275876229846006,2.255383969304008e-05,0.0076288560138129905,-0.007074612315466283,0.005035702423286599,0.0011516309464391062,-0.010838442083754842,0.002342328572776541,0.0022322347572714864,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c-C1al-C1b,1460842,0.5905425027688166,0.10395518337674403,0.02256958877253592,-0.0030512777810120925,-0.01295005630444968,-0.06151807063989757,-0.001435906075025933,-0.035159584253271564,0.05023513564635847,-0.03832715508376996,-0.003792442315253301,0.0015430090589203234,0.010506429876827018,-0.016578072384849273,0.0031884282210341837,-0.05803200297550148,0.0026104107957153747,0.01812276503044688,-0.02765014344408771,8.500851272906383e-05,-0.0013138428259959229,-0.0039313266527721494,0.004892709691768176,0.000772734107741788,0.009909735173821948,-0.00169808001064933,-0.0018581618937194037,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3ag-C1bp,1463968,-0.3706738935081345,0.07903048458540483,0.1996971387651295,0.017197019728075587,-0.0020732035843200273,0.025826703272774684,0.023897035166723545,-0.006984743550254761,-0.006657671323598673,-0.0036885195136534313,-0.07020567173684988,0.14238646096098503,-0.009009733188857843,-0.03275730630527963,-0.0010361824361148771,0.009853445691705282,0.012653021717125425,-0.005257077990607258,-0.002197818431380076,1.553575779263942e-06,-0.005949618891260507,-0.0010608607696522675,0.001970217831098102,-0.004027703733585713,0.0002462865017785486,-0.0010213969341234975,0.00036232636998262895,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C3an/C21-C3bb-C3de-C3s,1463474,-0.34770476169541087,0.028007059242085516,-0.25073186828999194,-0.03302828528651848,-0.1337412308599413,-0.004335094529454515,-0.0362223421793376,-0.020639256422324035,-0.05760036498633309,-0.09405230530375842,-0.016205655750251048,0.009685365876082543,-0.023433436918155436,-0.014460877294980894,-0.0009771142851070604,0.007921266730633283,0.0021291188848854585,0.03356262109890771,0.018726391788525584,-3.336702490654206e-05,-0.00991415603018153,-0.004741828550650699,-0.0017734900510731927,0.004139619017155868,-0.0034053657209644904,-0.0009597920851009208,-0.0008473954439509697,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3an/C3-C21-C3bb,1460916,-0.21742932259869457,-0.05743277895847664,-0.4162329589680866,-0.01011735222501185,-0.31095190248965443,0.07868603999998644,0.004863206459521199,-0.026461134250808212,-0.0629479997712658,-0.09484823696921858,-0.0010333346149000895,-0.011747184767216113,0.017906800660108933,0.007407091311030641,0.000223478801385627,0.002220353480374589,-0.0024659376863114214,-0.022764624546980576,-0.012867325287607319,2.207851337822758e-05,0.005269855671989881,0.0026662018612520384,0.002000179079736009,-0.002132166017051298,0.0023004090940452315,0.001131315342091867,0.000807319601905367,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c/C3-C1b-C72k,1462971,0.551584975676036,0.12927643054045992,0.009228079319148066,-0.019919600002584862,-0.0189042618915212,-0.05782409213436585,0.008738126994151189,-0.0346204352079378,-0.01205682003221945,0.014965174756889249,-0.00011300195893952716,0.0064079165475503545,-0.0024241147208486683,0.003540692190176983,-0.0018321384862367027,0.026431557054886787,-0.004962434514582325,-0.017250850354536183,-0.0018387781971823647,0.00014703647643276148,-0.014704794988697556,0.024828444863611097,0.0049175544773169995,0.0012950373102100356,0.009959531574287172,-0.0021179625414748993,-0.0023487608869158134,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1b,1460413,0.5618988277981525,0.08686791522919109,0.016806373247272403,0.0019847911715988064,-0.002914398062599267,-0.005303680522804347,-0.002578587742097782,0.24897099918818705,0.015860315370188203,-0.06824456533563589,-0.0059335895834438015,0.0022245395045162506,-0.00406541758673653,-0.006108371063450635,0.0006314848125399353,-0.016244507619886762,-0.0011692715263735879,-0.005216938359109547,0.0017327797920186855,3.817915818638787e-05,-0.003124643725869556,0.007164124411393035,-0.00024694105774751075,0.00015376757287215132,-0.0010158413273083577,0.00016558029766097093,8.761312521674084e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
