sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
C1-C1c-C1b-C1ao-C1am-C1an,1461277,0.5678789015693865,0.08916245229668354,-0.007185246074778514,-0.00041661732899039573,-0.07891613226497134,-0.0469195488785305,0.08608879574739577,-0.005112739741458466,-0.018585353085327324,0.0033305045495819505,-0.0218387003092775,-0.09487976136662397,-0.004902778317159239,-0.024223498901295465,-0.07074545404092704,0.16953875933213453,-9.2971968041816e-05,-0.020077113715567488,0.006675525028404056,-8.979227348662023e-05,0.012656031027986483,-0.007527521832457361,-0.013733560971910624,-0.0005127634787454247,0.00060953377508492,0.0008632054010265744,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21-C3-C3an-C3bb-C3ack-C3rc,1463850,-0.27376850579026185,-0.007830134490802833,0.3332078408834413,-0.0012921415600744667,-0.1863667917427582,0.16939336499350788,0.0033363328195308087,0.1537737507266874,0.06754552316672069,-0.07344260199845702,-0.026077980535902896,0.008909929380408915,0.03220080781932188,-0.05617562489910566,0.08052644072231052,0.02868811856248793,0.0001991767168502283,0.0555183997158205,-0.02311360355506426,0.00018492927870101657,-0.011159638964383836,-0.025764282560685508,0.008531014474244836,-0.009258481207820623,-0.003017592421303823,0.004471059880346234,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21ef,1464290,0.09535495238510698,-0.28186954098023176,0.01955149167619591,0.749411789125402,0.0539751891163586,0.05633424088979588,0.03723935432264991,-0.018522896939572524,0.00888712236954799,0.003967795999334938,0.003768490844606659,-0.000742462645125183,-0.0034129388402848447,0.004420977036821894,-0.0054248793019001495,-0.0017410538747478863,-0.0001899746651319544,-0.00038266044042522954,0.00036138507474428626,9.586681000308036e-05,-0.004011766781291311,-0.0011251567060506357,0.0033417066986030776,-2.436888052673717e-06,-0.00013673655223008006,-0.00017505599855737884,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c-C1al-C1b-C42.2,1461239,0.5879694483665605,0.1064964647715543,-0.007867565868677272,-0.016337371357580083,-0.010477148268616178,0.005037704517625481,0.08104030200882605,-0.00710878299141593,0.0026282459734293146,0.002798316762922799,-0.004051273439410629,-0.06946351786823719,-0.014303290529743851,-0.030464175841372558,-0.04203072173116475,-0.0637329158031905,0.0006526035288582925,0.06928985258353096,-0.007209875104227869,-5.7213891518742574e-05,0.015759708081027588,-0.008672210136895385,-0.012380308135414662,-0.003458900023129996,-0.001432843820453441,-0.002119039470156371,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c-C1al-C1b,1460842,0.5855834889716263,0.09822631485804513,-0.007977810997123871,-0.0016287159031952159,-0.0979962731758257,-0.06063788521690073,0.04618411560057993,-0.005045102000832682,-0.018242319460078153,0.0037119334164395735,-0.013450280069823885,-0.05263867053886718,-0.0024337961781263715,-0.04098060932320643,-0.04738729297241259,-0.0722952809182493,0.0004261913738365808,0.046548689016442005,-0.008021099785273534,-1.528551802332982e-05,0.00901639120899511,0.027997114405500418,0.011677395593028033,0.004249377150295416,0.0007080939449490146,0.0008414023376657403,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3ag-C1bp,1463968,-0.30055726092398094,0.05279258058225147,-0.2905277155484092,0.022001019956803706,0.10734397901155479,-0.06844356296314784,-0.00045966029484628083,0.07164983584606066,-0.12156857727752486,-0.013349409777246109,-0.23750851841381795,0.04166987893299707,-0.053896730065848,-0.007717015168932487,0.015338519290941866,0.0007678697974744255,-4.896289782487661e-06,-0.0011622679021481635,-0.015430124960370866,5.336328464816665e-05,-0.008069910047713876,0.005514150246869434,-0.001626218474108569,-0.0002212796352466054,-0.004906916361850099,0.0016421216809006753,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C3an/C21-C3bb-C3de-C3s,1463474,-0.36262437387556773,0.051119002845157566,0.2324143875344964,-0.027452380474488267,-0.0548655283742908,0.03670252036694603,-0.001772526932347118,0.03249539398139851,0.0026006923532101807,-0.00272925174436822,-0.028572743730041282,-0.001422588437295091,0.0013762965402485023,0.07470378281907972,-0.07189004846829376,-0.02622061423298825,-8.847911729407042e-05,-0.03559022081683234,-0.006357659879812649,-7.800634810299048e-05,0.05739521475842046,-0.018304691893644115,0.024671688158674588,-0.016902620112607465,-0.014517143578972994,0.004257289682235038,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3an/C3-C21-C3bb,1460916,-0.31634306176167726,0.027598630820925858,0.2571678869526425,-0.021026652413359388,-0.1176932940292703,0.19942299389137058,-0.009061103996251804,0.0948291851666989,0.05145947494402226,-0.05561159643643733,-0.051213462426248524,-0.017515669009525173,0.02678954112139911,0.049347133769391836,-0.07815885246664744,-0.025755835492160217,-0.0002111025641040182,-0.05452962346152524,0.020502511912690164,-0.00014775180580560397,-0.019293686679541563,0.03729006569181281,-0.01186754850647198,0.016852171224711672,0.009241552098979417,-0.004962273535323193,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c/C3-C1b-C72k,1462971,0.48470529202759066,0.15944196958488852,0.008981473332371034,-0.03955733245700153,-0.06294361678027299,-0.051663682284208076,0.04320392352595657,0.013219419228777753,-0.020564625092909825,-0.004827728051911805,-0.014837270439623133,0.0043858973131083315,0.016127001314378487,-0.009348935017800195,0.04098998441431776,-0.007816081633076327,-0.0009151127671319785,-0.06285058479026999,0.001871770257729468,0.0002902237571731789,-0.051442307824533455,-0.005498398639564046,0.026539967098624034,0.0018291952155989354,0.0014323493696844609,0.002330934781995074,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1b,1460413,0.5400601329457828,0.06904497111900162,-0.00650766089842917,0.018620614602034385,-0.05234870101001365,-0.03847269461258397,-0.2291976448033295,0.0029938878598920874,0.0036050333735041084,-0.0003287368103985991,0.02105900950532892,0.18969217888407439,0.035008010069120375,-0.07379411564799776,-0.09730797978688813,0.010540337623357229,8.26022484098571e-05,0.010383460225418764,-0.0001547976140315094,-7.759263500061819e-06,0.0012773215150367514,-0.0046961250416128,-0.005992483045564875,-0.0002830673193569424,0.0006456380566967634,0.0008903844265755111,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
