sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
C1-C1c-C1b-C1ao-C1am-C1an,1461277,-0.0534622945733476,-0.015104449153612068,-0.033259937261884004,0.00401047932788354,-0.0009272952224095159,-0.005752843691784804,0.0005399039941188328,0.0012932214865190577,-0.00022997402209284633,-0.00026628930141669543,-2.0195308177352834e-05,0.0001615802998896939,-7.555131433130465e-05,-5.144335591618374e-08,-3.9041584699274763e-05,6.976387028058718e-06,-7.171393417349432e-06,-8.511373748950136e-06,-4.077726116769609e-06,3.998965546816451e-07,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c-C1al-C1b-C42.2,1461239,-0.041839981996858754,-0.02692504917315029,0.0015207905414763667,0.004097280218321072,0.001926445893503027,0.0016453347265796203,-0.0004017841645375999,-0.0006334949305375488,-0.001075925591351988,0.0001631416829996848,0.0033333533565597464,0.0008627257669133495,4.509160754421946e-05,-4.843323068762139e-07,0.0011427250747106498,2.2417083487569657e-05,5.954192752945081e-06,0.00028709587719740945,0.000538761707305532,-0.00010509914000042845,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c-C1al-C1b,1460842,-0.042055337323798916,-0.026935244846029046,0.0013180888788659046,0.005733046651996474,0.003004984936297611,0.0022537525269615377,-0.0007068289705095067,-0.0006798392592543874,-0.0006763068097060339,0.00026308511990090207,0.004316357660249826,0.0004202267124929346,8.498821342898796e-05,3.290676078195422e-08,0.00028530606357904343,-3.3773167226927e-05,-4.933076608514807e-07,-0.00021483342616901267,-0.00041425003502416435,0.0001438125236697858,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c/C3-C1b-C72k,1462971,-0.03676265031158312,-0.023921855306311336,0.00033336632954979726,0.003465403842413446,0.0012217789941212898,0.00032711742038791635,0.00011336476479398078,0.00040309060182868426,4.107174793340704e-05,-0.00023723539160895127,-0.0017551345727345065,0.0027685691963501083,0.0005354035654346204,7.598410163922262e-07,-0.001544893604316961,-1.1211093306397974e-05,2.462238135403473e-05,-0.00017197257779674431,-0.0003786619043121046,-2.9398157739569445e-05,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1b,1460413,-0.032342531152536255,-0.02127134794079715,0.0012745549210696656,0.0011301502982212024,-3.542567928942655e-05,0.00028410383282222006,0.00047402515216633253,0.0002573772602245236,0.0013641920543044732,7.793910293740419e-05,0.0014056741620532137,-0.0021429037921215006,-0.00045521765217010845,-1.779013896299481e-07,0.00017967893951769128,1.6537999387866382e-05,-1.594208638011882e-05,-3.0165734944284803e-05,-3.4980139646846476e-05,2.422300767284183e-06,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1,1464065,-0.03234262865511503,-0.021271692285321463,0.0012728797261498503,0.0011347318061168666,-3.2848861374242964e-05,0.0002847701840556544,0.00047323240457532444,0.00025699700249411973,0.0013596206039883318,7.768320756380633e-05,0.0014063315346880042,-0.002138305295230849,-0.00045447727374533413,-1.7562801828474056e-07,0.00017044574614932345,1.6995734731133897e-05,-1.5674421508374173e-05,-2.6594927857478804e-05,-2.7457200845166824e-05,-1.355274946959513e-07,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C42.2/C3,1461527,-0.03243288539899023,-0.015941239830349205,0.007448056243978832,-0.01832099275069179,-0.009676628806010187,-0.003558765714390419,0.0019385361633460145,0.002029648890650859,0.010771736416968688,6.739451053287297e-05,0.00033391871841366655,0.0004077192721010819,0.0001017791560091606,3.8032674291428524e-08,-5.547375996545141e-05,-6.781031468609998e-06,3.990016673711557e-06,2.885076017796492e-06,-4.965159231517501e-07,-5.300389145670587e-06,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3-C42.2-C3gl-C3gm-C1dl,1461547,-0.024264367838288798,-0.007391383505262729,0.009013069249793447,-0.022981055826169074,-0.010758551063540072,-0.0036827316830307702,-4.6577258490038346e-05,-0.0014079114838483587,-0.009563145802350329,-0.0001536022388141688,0.0008605575564064922,-2.0174963325372056e-06,-0.00012497024429458818,-3.562847230564027e-08,-0.00022320071030192923,1.0559868087711252e-05,-3.4963988933701515e-06,-4.2649179600093476e-05,-8.189855160503196e-05,1.4582188601798178e-06,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1-C1c-C1b-C72k,1460535,-0.038237822741462195,-0.024828500007482514,0.0007942285335072601,0.004112617215234747,0.0017467990490485352,0.001057188979260627,-9.862934234228357e-05,-4.285607871835155e-05,-9.888708166216179e-05,-3.288271274947571e-05,-0.0011291019633430733,-0.0005682020289638882,-6.237667686698343e-05,2.198631094680482e-07,-0.0006019746669788528,-2.291288047889344e-06,-1.8195543201715675e-05,-6.677906818333916e-05,-5.637651494827378e-05,0.00011606617956101419,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1-C1c-C1b-C42.2-C1bh-C72k-C1br-C1cb,1461579,-0.04118455757594267,-0.026454156558503406,0.002741862686259681,0.0012457011011359578,0.00034035087705732516,0.0014070068187937036,2.8303452055979265e-05,-0.0009089615717426716,-0.0010528364991093271,9.906738229458643e-05,-0.004979275713846562,-0.002463045812727399,-0.0001902587431367673,-2.8437736774260124e-07,0.0012777748039679287,-7.050788553093769e-05,-2.1811932005289244e-05,-0.00019046431284880323,-0.0003208178962757688,-4.325961710559639e-05,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1-C1c-C1b-C3-C42.2-C1bh,1460686,-0.03723584950074458,-0.02419225250988339,0.001011746364616085,0.001174277372010848,-0.0001331157877588077,-0.0001694425039233471,0.00039849577139895585,0.0002514718807602018,-0.0005425399991828948,-0.00027636589049066687,-0.002219358966591183,0.0033365861469731844,0.0005171308502581154,-2.178585714221327e-07,0.0017348426967500508,-8.877690041957173e-06,-7.404509711890643e-06,2.4535335866183018e-05,7.541713655773453e-05,2.2069905686791953e-05,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1-C1c-C1al-C1b-C72k,1461161,-0.04059752683538433,-0.02619106285420023,0.0009343830668596293,0.005226399595999125,0.0025290037990940845,0.0016736712237429888,-0.0004394767523920389,-0.00037010191523487553,-0.0005708862843134491,9.231604285398082e-05,0.0010273276722096172,-0.00029089140456924935,-1.0923335574122808e-05,3.009648753713393e-07,-0.001234198926889945,-1.2791346556552158e-05,7.703776408585804e-06,-7.74045056529598e-05,-0.00017763101312789721,-0.00017736347630054988,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
