sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
C1-C1c-C1b-C1ao-C1am-C1an,1461277,-0.07708714821908,0.0005696236157596366,-0.06173072475261372,0.008269363979291783,0.001584010991222686,0.0017378272301756912,-0.0012611487524099635,-0.00036798339885150066,0.0014807151480465525,-0.001314112187768387,0.001182753936535921,0.00014343090863057714,0.00019067364719606834,9.926350015700047e-05,4.079448143649406e-06,0.00021672219314910373,-6.601695449733069e-05,-7.956355338377547e-06,7.935899955400494e-05,2.402151467399206e-06,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c-C1al-C1b-C42.2,1461239,-0.04090384195611407,-0.04170465999486901,0.0015038764139338298,-0.001788117494228066,0.0027975334960412867,-0.0011049404207876376,0.0002924813179509315,0.00029681996533467144,-0.004150443426124057,-0.00589378324879002,-0.0014512206255195797,-0.00013976734458945005,-0.0037557075916224173,-1.4666470515617675e-05,-1.8750492725348035e-06,-0.00036294014585614196,0.00011532151329019608,0.0002003653524996571,-0.0009791104175866086,-8.051255095317015e-05,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c-C1al-C1b,1460842,-0.03946091391785639,-0.03995040213215938,0.000265562594550366,-0.0014474317540261199,0.00809496428915602,-0.00590763626297423,2.611480478302924e-05,-0.0003723724394169368,-0.00421882617167095,-0.0075103317415742,-0.0011410261336022246,-0.0002323066937844685,-0.002425248003593574,7.546273667625195e-05,4.119461497691077e-06,0.00023562141468780616,-8.234815349070499e-05,-0.00017254187712991196,0.0010838718818532264,9.673008941273941e-05,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c/C3-C1b-C72k,1462971,-0.03311115697036174,-0.03409077456198259,-0.0038279249241701097,-0.00115548243105066,0.004979303094982127,-0.002237101855372474,-0.0005178367137711166,-0.0004857876268352363,0.004412736103816843,0.0005631983268213881,0.008329990159896234,-0.00147600697813983,0.002499089477272544,-0.0004223514142662526,-1.591073175343993e-05,-0.0006537512797403956,0.00019202710947640583,-7.075469836226108e-05,-0.0001272708485753386,-3.1959214893004473e-06,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1b,1460413,-0.025971638679325282,-0.028210893875387385,-0.001137897096782527,-0.00271505406091221,0.0016331848002982226,-0.0003348277462090574,0.000504274278764101,-0.00045611914795337487,-0.001089540407703756,-0.000580031548417626,-0.005060165818581106,0.0012968259499209446,0.0011948985233962654,0.00045323260272312214,1.8729668307140825e-05,0.000751752592722584,-0.00022181032859213098,-2.97642209254e-05,0.00029884145875673745,1.1692494951477814e-05,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1,1464065,-0.025971324427212044,-0.028210257547821777,-0.0011368948180029072,-0.0027151112236416136,0.001635887549185975,-0.00033794354145450764,0.0005043060036921379,-0.00045656244122612555,-0.0010940873657717279,-0.0005833969683236706,-0.005058310219306313,0.001297028029931481,0.0012040009858863983,0.000452835046521159,1.871248362118313e-05,0.0007513310584975485,-0.00022185853867860364,-2.9678485758483428e-05,0.0003037642210678992,1.2930772125938283e-05,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C42.2/C3,1461527,-0.025906003955554275,-0.024671140313130228,0.00157975542318589,-0.0016713918939175352,-0.01585673810175332,0.013031444793285149,-0.0002268258890853906,8.093326916566607e-05,0.01179535726594034,-0.005609092723718535,-0.0051829508214647334,-0.0008941254563866433,0.0010933857868813573,-0.0004932681756777876,-2.0435704479735845e-05,-0.0006072201735903188,0.00017862546329288248,-1.8976185237365776e-05,-0.00014231555040636226,-2.8378899514570078e-06,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3-C42.2-C3gl-C3gm-C1dl,1461547,-0.021435490982660795,-0.0168048792728363,0.009316089528532138,-0.0017488076067299566,-0.027961548230433907,0.01858807706965221,0.00022052947108773446,0.0006486904017545461,-0.009120280511693222,-4.3417568346980435e-05,0.003917556424726981,0.0007319540521032714,0.0010690448443294112,0.00026581988460502826,1.0506595592934312e-05,0.0003777959546871835,-0.00012318489568294448,-1.352046863795916e-05,0.00019496321814853638,1.0329317774831606e-05,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1-C1c-C1b-C72k,1460535,-0.03730510764613838,-0.03820086653250561,-0.001181822441054307,-0.0014660474019621212,0.0072049914386620156,-0.004609001224333933,-1.1333188339639597e-05,-0.0002496864530229767,0.00020302652771610942,0.0016399824043049319,0.0015485915507959063,0.0003005086559016012,0.003500983154466106,5.9474916719841144e-05,2.6854583467060806e-06,0.0005637974903477604,-0.00025160403388361667,-7.396162884772784e-05,0.0013384722185978768,0.00010672599680230666,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1-C1c-C1b-C42.2-C1bh-C72k-C1br-C1cb,1461579,-0.042688842918188016,-0.04339496344354759,0.005544004950324475,-0.0025073211390428535,-3.585922056669576e-05,0.0006423764750690578,0.0011285578209616993,0.0012117846271069352,0.0007655097206934162,0.013216804091432742,-0.004584831054271448,0.0008825813339260719,-0.002693691616488847,0.00026896781346592207,1.0950522519279842e-05,0.0003481724754023119,-3.007978655076982e-05,-8.274696625275955e-05,-9.834886337889922e-05,-1.304569625223433e-05,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
