sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
D1-D4-D1n-D4c,1464833,-0.06310786453262576,0.07583562860380477,-0.022530526064106098,0.08846349521226347,0.02300628018080102,0.016105906825484132,0.050727553341006947,0.010344466467317973,-0.023623402867525234,0.021472779584502014,0.008185210222115158,-0.0024511222139875608,0.0003657812422472073,-0.00021352921000949236,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D6-D1c-D4f,1464844,-0.030551614674017045,0.12068946102534607,-0.03103616093287174,0.0677357417736436,-0.01545010623740094,0.01952599915058218,-0.023094063685995966,-0.023160502815414097,0.02878711640241987,0.0068172849495628405,-0.011201805257874765,0.00411683183468285,0.0005448473354941227,0.0011296742288684977,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D1fw,1465387,-0.034244474237979716,-0.014171588619114996,-0.028987071133788993,-0.01942246636688897,-0.02312238435956931,-0.00595708374379168,0.0006050199803376582,-0.013196394718798108,-0.0001570884868437748,0.01038692467252002,0.003906656988653168,0.004214213237676064,0.011541234470074194,-0.003009314363189679,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1hg-D4c-D1c-D5ad-D1ju,1465313,-0.027115505184670805,0.029078981657506598,-0.041220080379050394,-0.08191212633099465,0.08643491135297257,-0.03140373637352784,-0.002507234341329384,-0.018569761193977914,-0.0009555751201891641,0.008360266274215445,-0.00010246014988894482,0.0017227637115884763,-0.00047386683886400737,-6.549487802099698e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D17d-D1r,1464917,-0.03243931478965532,-0.009702337373693741,0.003937236591440724,-0.034229592590704655,-0.017606778789756566,-0.0003586956899876914,-0.0016128530567535145,-0.007472653809929805,-0.002050893853383575,0.01579768632129093,0.0029187918958067374,-0.006868356319433525,0.0032531606901993436,0.004747120245590609,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4f-D1c,1464815,-0.014651354122262936,0.10140993016637016,-0.033552001309910894,-0.07193360161760987,-0.05742908124008292,0.0008966404592723237,0.03064960191381128,0.02176898535931852,-0.010357682604880023,-0.02619230280390498,-0.0037607068690244474,0.0033326942577542812,-9.733325551683962e-05,-0.00028603545487584535,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D1k-D2,1464450,-0.03141514919510062,0.010619402102719501,-0.03586776773274059,-0.02918521450608063,-0.013126557774921267,-0.012893763374717869,0.014308531432980118,0.030288811115329356,0.03380765692869573,-0.001045083105067917,0.008814950691911847,-0.0028820698765059977,-0.0008384044001022135,0.0006453291313866327,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D2-D4c-D1c,1464454,-0.030686024857461663,-0.006536990791818586,-0.029036587676262295,-0.012875491432157986,-0.025489480458400233,-0.006263914246719855,0.008502263315277014,-0.008677083290320943,-0.008515414214361514,0.003867593961992776,-0.00036801382920598566,0.007061685693897626,-0.0024248623614589577,0.005023159243525187,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4-D17d-D2-D1r-D17c-D17e,1464481,-0.05374980860659917,0.027673886243321608,0.17087075734589632,0.028725577234082207,-0.08371934259086185,-0.03498829673528242,-0.00670022418385302,0.0030356515743972874,-0.009249904050754721,-0.00035176768846208157,-4.027118766212427e-05,-0.0005693314041722929,-7.049662656111577e-05,-0.0003933487290331697,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1c,1465505,0.9276363682939431,-0.010913310545754323,0.0038603521793719336,0.009598215318642243,0.0037205430623332343,-0.00018966411344254635,-0.0007178783417565393,0.0016957218955064618,-0.002101327417788815,-0.00034525243253665503,-8.137109870749378e-05,-0.0001413443265680048,-3.750325382201402e-07,-5.997001342871126e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
