sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
D1-D4-D1n-D4c,1464833,-0.08753457873446784,-0.10725381264782048,0.04637548778562947,-0.027384578550468,0.17643167894787307,0.03269729333481165,-0.04336062394496088,-0.040322100103918894,0.017809754457469202,0.02381875469691765,0.012848653941869938,0.008371528916219463,0.00237082055565906,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D6-D1c-D4f,1464844,0.0018850941535561209,-0.11313273848708665,0.12087649002259788,-0.0233950789846502,0.013414004519714657,-0.09374279541248405,0.020902790160587423,0.0026272780083176116,-0.03778361959017316,0.015197489392686482,-0.029639259164551783,-0.003011773097037039,-0.0031911965242214517,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D1fw,1465387,-0.015327652686705351,-0.056448275676671905,-0.054992112350015075,-0.027388470383683302,-0.03905880796569173,0.007328264681917189,-0.007717509410052338,-0.03218723929919356,-0.008978635964948535,0.016029888916223683,0.018187240973488398,-0.008395822266328163,-0.030925586743389338,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1hg-D4c-D1c-D5ad-D1ju,1465313,0.005857920138350544,-0.07783557249162337,0.10152914033796195,0.15926407357941894,-0.07432772660317952,0.08183063767943992,-0.05872592464737925,-0.009885951463934433,-0.015625744865523174,-0.007931554970016536,-0.003174549250511826,-0.002352015002649218,0.00015050951490966043,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D17d-D1r,1464917,-0.024629632767414207,0.05452972577220553,-0.015594311267989398,-0.02732912248317581,-0.060981748928484944,0.00799951179389323,-0.011326252550129748,-0.02275107221028923,0.006805447870367298,-0.0015093041889400712,0.01045349571528404,0.014703117543345091,0.0021306962709209,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4f-D1c,1464815,0.070279465312289,-0.12968626584246368,0.14376766532423005,-0.1846375130295543,-0.0009474261123853132,0.0629507244251324,-0.009080789891286092,0.04965592094061783,-0.010953971857785131,-0.014109697974544866,-0.003888183236470451,-0.010331486368530313,-0.0007053212747388808,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D1k-D2,1464450,-0.011202636767009673,-0.06756684345954077,-0.053010990623780604,-0.017802406244035816,-0.02729716906014689,-0.005078416343416481,-0.046380453390577794,0.06052717024176843,-0.013753412908655484,-0.003981577675550674,0.024194367428539577,0.015743331448609118,0.004589768278601785,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D2-D4c-D1c,1464454,-0.007643616477190607,-0.0673294704828662,-0.04213798172733399,-0.042472901833679105,-0.008841602683856952,0.013116581817390744,-0.0028989204750549595,-0.016201644539604362,-0.013503596428618272,0.004104177394766422,0.00803971611624125,-0.026190696253464714,0.01576418031500026,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4-D17d-D2-D1r-D17c-D17e,1464481,-0.07685397589320436,0.30036645468191014,-0.00492854603243155,-0.0918797780775885,-0.009444764542058936,0.06849488022576919,0.07670629092878108,0.03818164752756507,-0.010707308981549462,0.007780243288515949,-0.0024223706084244767,0.0061873405083615555,-0.0012662402447825697,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1c,1465505,0.8787101823075045,0.052603826470361215,-0.05351021404396087,0.034985850841510575,0.030531630767070904,-0.0016383971589635012,0.010898922667398933,3.15952896128326e-05,0.005274466511487335,-0.0002831683791447511,0.0002184195314512124,0.0001308968577743224,-0.0001033417433422404,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
