sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
D1-D4-D1n-D4c,1464833,-0.03348680323593014,-0.026176294911900908,-0.025082575697281995,0.07782776744470919,-0.00648341448366034,0.015383611683707868,-0.023455093413832926,-0.004787903779312874,-0.009409228269379708,0.004067124613931298,0.002261951068848007,-0.0002420573035165335,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D6-D1c-D4f,1464844,-0.02719493490945072,-0.024798495494077685,-0.02094267563354222,0.025574091915721447,-0.014969752045903584,-0.03614050853634201,-0.010865405244326103,-0.013035507168438662,0.0020872595045436614,-0.003021261396441174,-0.0022607080725649755,0.00031033748446814496,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D1fw,1465387,-0.04364087857340514,0.010395015793362666,-0.00022884043521495046,0.0014682300020283988,-0.000364391444271904,0.008352957779961112,-0.004654695902668823,-0.000729237780331813,0.002227564661265727,0.009737977235405289,-0.008059629619946196,0.002879596408971453,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1hg-D4c-D1c-D5ad-D1ju,1465313,-0.06533762335666429,-0.06268880738428474,-0.10501243426730991,-0.06054277795117569,0.0029158334728920632,0.028125563218208773,0.0014676044319631143,-0.0041305951144835,-0.007034389765977208,0.003711344256697119,0.00013190879834249736,-0.00022993242611633798,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D17d-D1r,1464917,0.00651172723015267,0.020111863655089008,-0.0009209815164988046,-0.008379836354061065,0.006667805490125966,0.014665878291843197,0.016158193254166668,0.010691357917340945,0.006335093546424813,0.0023695735333658574,0.0009338922986368765,-0.0015954511925261657,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4f-D1c,1464815,-0.05991774161742434,-0.041893987591573596,0.0986706597268836,-0.058986199188928466,-0.005789928849016992,-0.00617654736498025,-0.010398214413850703,-0.006553652029212993,-0.004633200009913818,0.0025137690713552493,0.0013446892224374973,-6.393156601143749e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D1k-D2,1464450,-0.034287594457700375,-0.003129486426933469,-0.006909856903460631,0.00019487190833217998,0.02534693632241298,-0.0003311808434047758,0.011537047399968081,0.013725079978031223,-0.005557926784510083,-0.007600849850484529,0.0016940176198105585,0.0025187066403118876,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D2-D4c-D1c,1464454,-0.04181489591801463,0.010949125776155054,-0.0003600945768062504,0.0051331555270912824,-0.002812044441029178,0.010463205160633284,-0.005869597257946312,-0.006306978262971537,0.00017095162111776296,0.002542466910320959,0.00779989626256255,0.0019666759521007496,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4-D17d-D2-D1r-D17c-D17e,1464481,0.2804108388058344,-0.055559983506617644,0.07239927608203357,-0.02006425509636352,-0.00230974060818832,0.005887600663813743,-0.0019738314971697005,-0.006449416138992496,0.0008529213929235677,-0.0012319722586684948,0.0009626102587216297,-7.972623171322441e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D2-D4c-D17d-D17c-D1r-D17e,1464522,0.06116309383932165,0.10520478118285335,0.035786884127881065,-0.027275376119202867,-0.0038500585125663678,0.01260092285405645,-0.016630320236796572,-0.002145669519845291,0.0021814743074116795,-0.0006701746760155792,0.00021257071863273937,0.0003026790611836838,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D6-D1c-D4f-D3b,1466114,-0.02877354502087096,-0.030197621636742746,-0.00853274417713561,-0.011150380540407807,-0.003863117928223515,-0.03546094547475562,0.019795082239924038,0.0022765382726415294,-0.018280582988726486,0.007785396468881138,0.00015400718061549774,-0.0009500626291190516,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4-D4c-D2-D6-D1c,1466112,-0.04765140981571649,0.007315992874174246,-0.00032918923031992597,-0.014939833354484134,-0.002405024763266491,-0.022987227615523385,-0.009927236368369879,0.017007231522529243,0.014450259387047849,0.008022014771188952,0.0020516955765327153,-0.0010328264958886237,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
