sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
D1-D4-D1n-D4c,1464833,-0.09445510206963373,-0.02466086359408448,0.009735599270404965,0.11803490808886484,0.023348606388677775,-0.046015059279421726,-0.062064801907773214,0.004472172588472739,0.001820124532892656,-0.007875828448418314,-0.0003269368202367965,-0.004889939887232263,0.00548517782599762,-0.003133562502014281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D6-D1c-D4f,1464844,-0.13577633719022866,0.03694029606113878,0.015605202281829092,-0.06029984225241818,0.009766022123012011,-0.0666458142862505,-0.02320279507672721,-0.018262574795671047,0.014437269100630094,0.004474200393508346,0.009804224008711188,-0.00011899105100043283,-0.004305374000724991,0.00228014696780244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D1fw,1465387,-0.08828445723171038,0.009556779483443615,0.012771309957028585,0.005593322066801982,-0.009582695837071472,0.0039421541489803045,0.0023666840183171564,-0.013279051893876216,-0.008337801208135218,0.03519067872923091,0.0032867189893083294,0.005429538522976267,0.006177000930561805,-0.005904473078829937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1hg-D4c-D1c-D5ad-D1ju,1465313,-0.16113641769897416,-0.2789915503478009,-0.008243799091292081,0.01577736589479107,-0.011498015869163304,0.039823620877787944,0.0059061337333619944,-0.013841743801068845,-0.026567598049207147,-0.002761922069069355,0.0006052308232843908,0.0008811236478245822,0.0002161904465117652,8.971736722191063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1c-D17d-D1r,1464917,0.06822631368889498,0.0014448601883381234,0.038748692643561324,-0.02062065161703138,-0.012898287272930579,0.015842882349481942,0.003263812938056495,0.018311940527235962,0.007818964575584971,-0.021888593627243793,0.009452208580372878,0.00996681809995311,0.0006851912593791236,-0.004352823524881571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4f-D1c,1464815,-0.1219562213739609,0.10886442263822797,-0.20545237705843297,-0.08190369448670719,-0.006715563485713879,0.021082869415798938,-0.01916782766434413,-0.005813928054518354,-0.014689034399247314,-0.006101774627599822,0.0013527133181044058,-0.0008751657204499288,0.002433888380276267,-0.0011480581017265267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D1k-D2,1464450,-0.08111424699465349,-0.003991241920126831,0.00689489831829436,0.01305124654948725,0.03511883839928496,0.028453905849886513,0.028859282064188915,0.012105687488251455,0.013949775715992437,-0.004894831082015546,0.02119202948673047,-0.006608549837140636,0.002689782788242715,-0.0005426516691602288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D2-D4c-D1c,1464454,-0.0841127348690923,0.011249127281813858,0.011015033086156902,0.00924499261693588,-0.011776764046711108,0.0036642052287809888,-0.005433315078530654,-0.000407841747750598,-0.026372751152834013,-0.004114078533870445,-0.004733327635445793,-0.007812379839215227,0.0022316197246299344,0.0070191128952724405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4-D17d-D2-D1r-D17c-D17e,1464481,0.537895147986261,0.036597957713915955,-0.16453908415913535,-0.03752608228663385,-0.02325915231573155,0.03287337916501763,-0.01746744422075987,0.001395582593325303,0.005330490722002185,-0.0030870050783964992,-0.00021890603295789812,-0.0011635054278397762,0.0019632465903720213,-0.00037017936347282074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D2-D4c-D17d-D17c-D1r-D17e,1464522,0.25171277003209014,0.0681517980036814,0.11683548900447356,-0.07468878265708559,-0.008728359971473636,0.025113284902682397,-0.0010477833643589786,-0.00579327656393071,0.0033646973805853005,0.009010047552029084,-0.006037435960250348,-0.007978499592403033,0.003029530493000432,0.00014348319725321097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D6-D1c-D4f-D3b,1466114,-0.12292265164688786,0.018205197424883624,-0.003775839430426092,-0.07448907891553577,0.019393230820425444,-0.08162544174360573,0.036289068126192085,-0.014921444560387085,-0.018296816103387493,-0.012169359126573078,0.0038595997402035074,0.0011427370300231192,0.0017332733954738698,-0.0017691699127543369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4-D4c-D2-D6-D1c,1466112,-0.1148313566924114,0.0188081818728655,0.00911002987901823,-0.05459396863618577,0.012924680739267348,-0.028426316093572324,0.00831068036272655,0.049935244730889033,-0.001974074928534063,0.010877767099920747,-0.01786499626635568,-8.824619838744416e-05,-0.0013801654377533297,0.0007062080497791055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1hg-D5ad-D6-D1ju,1466130,-0.19448340466788747,-0.23027928369136452,0.02304164069848293,-0.08848181103765432,-0.018419701274595354,0.005309317818755203,-0.014805731490835371,0.013884432169060336,0.023399466802024788,0.0009078807071833907,-0.0018217262025894735,-0.0014379523152776665,0.00020542712329753638,0.0002818596877183867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D2-D4c-D1c-D1h,1464637,-0.09130654684723033,0.012508272018673883,0.017862213488989732,0.02211000772151579,0.00021705722540905334,0.012549850231708026,-0.006230507303448011,-0.017956784407139856,0.01471650492425999,-0.005075407973704665,-0.024833283747498894,0.004427034432230675,-0.001337095700097112,9.181214420961075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
