ITS2 type profile UID		1459272	1459170	1459171	1458963	1459488	1459346	1459060	1466047	1459044	1458915	1459475	1458967	1459331	1458911	1458786	1458910	1458919	1458968	1459042	1458689	1459214	1459265	1459269	1459270	1459271	1459287	1458795	1459347	1458966	1459054	1459479	1459135	1458661	1459175	1458662	1459173	1459174	1460174	1459993	1460208	1460207	1466142	1460124	1460199	1460210	1466145	1459767	1460189	1460190	1460196	1459699	1460311	1459881	1466134	1459736	1459990	1460083	1460177	1460192	1460193	1460315	1459912	1460018	1460170	1460209	1459811	1460380	1460212	1460267	1459789	1459843	1459866	1459910	1459935	1460012	1460063	1460113	1460175	1460176	1460181	1460191	1460197	1459712	1459733	1459740	1459759	1459763	1459816	1460392	1459914	1459920	1459741	1459751	1459757	1460291	1460294	1459791	1460310	1459806	1459817	1459847	1459848	1459882	1459918	1459928	1459964	1459973	1460026	1460093	1460108	1460172	1460179	1460178	1460187	1459702	1460215	1459713	1460230	1459753	1460268	1459761	1459766	1460279	1460306	1459797	1460313	1460324	1460330	1460336	1459863	1459865	1459869	1460391	1459908	1459909	1459921	1459925	1459926	1459930	1459939	1459946	1459968	1459972	1459991	1459998	1466138	1460006	1460014	1460019	1460023	1460025	1466180	1466182	1460051	1460065	1460092	1460096	1460102	1460105	1460147	1460151	1460160	1460168	1460180	1460188	1460201	1460198	1459697	1459704	1459706	1461514	1463757	1463850	1462971	1463021	1460493	1461277	1463506	1463515	1463024	1462584	1462597	1463756	1461205	1464290	1461239	1460842	1463968	1463474	1460916	1460413	1463501	1464019	1463026	1464066	1464065	1461515	1461527	1461536	1461547	1460535	1462585	1461579	1461161	1463231	1460686	1460693	1464454	1465387	1464450	1464637	1464705	1466114	1464844	1466112	1464917	1464672	1465319	1465280	1465313	1464833	1464815	1464481	1465505	1464522	1466130	1464704	1464706	1464773	1465859	1465872	1465919
Clade		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	G	G	G
Majority ITS2 sequence		A13	A4	A3	A4	A13	A4	A3	A3	A3	A4	A4	A4	A13	A4	A4a	A4	A3	A4	A3	A4	A4	A13	A13	A13	A13	A13	A3	A4z	A4	A4	A4d	A3	A3	A4	A3	A13	A4	B1/B14d	B1/B14d	B1	B1/B14d/B14c	B1	B1	B1/B14d	B1	B1	B1	B1	B1	B5aj/B1do	B5	B1	B1	B1/B14c	B1	B1	B1	B1ht	B1hx	B1	B5	B1	B7	B1	B5	B5/B5p/B5a/B5ae	B7	B5	B5	B5/B5p	B1	B1	B1	B1	B5	B5/B5ai	B1	B1	B1	B2	B1	B1	B5	B1	B1	B19i/B6g	B1	B5p	B1ia	B1	B5de	B1	B1	B5aj	B1	B19	B5	B19au	B5p/B5	B5	B5aj	B1do	B1	B1	B1ei	B1	B1	B5/B5p	B1	B1	B5aj	B1	B1cg	B1	B5	B19i	B5	B1	B1	B1	B1	B1	B1	B5	B5	B2	B5e	B1g	B19z	B1	B1	B1	B1ht	B5p	B1	B14d	B1	B1	B1do	B1	B14d	B1	B1	B1	B1	B1	B1	B1do	B1	B1	B5aj	B5ae	B1t	B1	B1	B1	B1	B14c	B1	B1	B1	B1	B5	B2	B1hx	B1	B6g	B5	B5a	B1	C3	C3adm	C21	C1	C3	C3	C1	C3	C3	C3	C3	C3	C3adm	C3	C21ef	C1	C1	C3	C21	C3an	C1	C3	C3adm	C3	C3	C1	C3	C3	C3	C1	C1	C3	C1	C1	C3	C1	C1	D1	D1	D1	D1/D2	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1c	D1	D1	D1	D1	D1	G3b	G3b	G3b
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		24	20	16	12	11	9	9	8	6	4	4	4	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	36	25	24	22	14	13	13	12	10	9	9	9	9	9	8	8	8	7	7	7	7	7	7	6	6	6	6	6	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14	13	5	4	4	4	3	3	3	3	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	149	65	56	38	18	16	13	9	5	5	4	3	2	1	1	1	1	1	1	1	1	1	2	2	1
ITS2 profile abundance DB		175	64	92	98	74	10	16	58	95	27	89	39	20	11	7	8	4	4	13	61	20	15	8	11	10	19	48	13	13	57	2	6	11	9	2	2	5	61	76	24	23	119	27	37	12	91	53	23	19	20	73	179	19	498	17	36	101	14	14	15	35	101	17	16	6	111	25	11	8	66	33	132	24	38	31	10	18	8	8	8	8	17	36	51	8	38	25	20	6	21	14	4	54	31	7	54	45	9	3	24	30	20	6	84	6	3	4	15	92	90	6	4	13	4	2	12	1	28	14	10	11	7	2	7	28	40	5	31	4	17	516	2	2	11	17	1	35	2	2	29	30	25	2	2	1	103	14	37	13	13	1	7	8	11	16	114	2	3	2	1	5	2	3	2	2	2	2	3	1	30	50	26	11	835	92	28	8	41	9	20	79	97	4	473	8	59	11	2	27	13	64	56	2	13	162	167	19	31	18	4	11	132	2165	1081	7	68	45	1005	161	2929	1412	219	163	189	697	120	61	12	555	231	17	4	20	36	359	5	24	24	149	15	14	4
ITS2 type profile		A13-A1pu-A1pv	A4/A4.3-A4a-A4e-A4o-A4s-A4bg	A3-A3bi-A3au-A3av-A3cy-A3aw-A3cz	A4-A1il	A13	A4-A4a-A4.3-A4eq-A4s-A4e-A4o-A4ep	A3-A3at-A3bi	A3-A3at-A3bi-A3bu	A3/A3ac-A3ae	A4-A4.3-A4e-A4o-A4bg	A4	A4-A4.3-A4e-A4a-A4o-A4bg	A13/A4	A4-A4a-A4.3-A4s-A4e	A4a/A4-A4by	A4-A4.3-A4a-A4e	A3-A3bw	A4-A4.3-A4o-A4bg	A3/A4	A4/A4m	A4-A4a-A4ah	A13-A1pt	A13-A1pu	A13-A1py	A13-A13o	A13/A3	A3-A3s-A3q-A3r	A4z-A4cx	A4/A4a	A4-A4ct-A4cs-A4q	A4d	A3-A3bi-A3av-A3au-A3aw	A3-A3bi-A3av-A3au-A3cy	A4-A4j	A3-A3at	A13-A13q	A4-A4.3	B1/B14d-B1x-B14c-B1az-B1t-B1ae-B1ag	B1/B14d-B14b-B14c-B1co-B1x-B1ai-B1az	B1-B1ig-B1ih	B1/B14d/B14c-B14i-B14b-B1x	B1-B1x-B14d-B5dc-B1ao-B1cn-B1dn-B1l-B1fa	B1-B1by-B1bw-B1dm-B14h	B1/B14d-B1x-B5dc-B14c-B1co-B1ao-B14b	B1-B1ig-B1ih-B1bu	B1-B1x-B14d-B1t-B1ae-B1af-B1az-B1ag-B1fy	B1-B1as-B1cg-B1e	B1-B1by-B1hs	B1-B1bw-B1by-B1au-B1dm-B1hs	B5aj/B1do-B1-B1er	B5-B5b-B5a-B5c-B5d-B5f-B5g-B5e-B5l	B1	B1-B1bw-B1by-B14h-B1dm-B1au	B1/B14e/B14c-B1ai-B1x-B1j-B1ao-B14b-B1am-B1an	B1-B1x-B1t-B1az-B14b-B1ae-B1af-B1ag	B1-B14d-B1x-B5dc-B1ao-B14b-B1dn-B1co	B1-B1by-B1g-B1bw-B1dm-B1au-B1bz-B1s-B14h	B1ht-B1hv-B5eh-B1-B1hu-B1do	B1hx-B1-B1o-B1cg-B1hy-B1ie-B5ek	B1-B1ed-B1bw-B1au-B14h-B14b	B5	B1-B1by-B1bw-B1au-B14h-B1dm-B20b	B7-B7d	B1-B14c-B14b-B14d-B1x-B1co-B1ay-B5dy	B5-B1ic-B1fx-B5em-B5en	B5/B5p/B5a/B5ae-B5m-B5bu	B7	B5-B5ae-B5c-B5a-B5b	B5-B5a-B5b	B5/B5a/B5p/B5ae-B5m	B1/B2	B1-B1by-B1bw-B1dm-B14h-B1au-B1x	B1-B1dm-B14h-B1bw-B1by-B1x	B1-B1ed-B1ci-B1cj	B5-B5dr-B1fx-B5ds-B5cp	B5/B5ai-B1hc-B5ei	B1-B1gy	B1-B1x-B14d-B1az-B1t-B1ag-B14c	B1-B1by-B1hs-B10b	B2-B2f-B19bn-B2m-B2p-B2at-B2au-B2s	B1-B1by-B1hs-B10b-B1au	B1-B1x-B14d-B5dc-B14b-B1ao-B1co-B1cn	B5-B5a-B5b-B5e-B5f-B5d-B5c	B1-B1x-B1t-B14b-B1af-B1ag-B1ae-B1bh-B1be	B1-B14e-B14c-B1ai-B1x-B1ao-B1j-B1am	B19i/B6g-B6-B6a-B6b-B6i-B19as-B19af-B6h-B6c	B1-B14d-B1x-B1co-B1l-B14b-B1ao-B5dc	B5p/B5/B5cb-B5a-B5bk	B1ia	B1-B1g-B1be-B1bh-B1x-B14b-B1az-B1ft-B6m	B5de-B1-B1el-B1et-B1eu	B1-B14c-B14e-B1x-B1ai-B1ao-B1j-B1am-B1an	B1-B1br-B1g-B1dr-B1dq	B1ec/B5aj/B1do-B1-B5db	B1/B5de-B5	B19/B1	B5-B5a-B5d-B5ae-B5v-B5g	B19au/B19	B5p/B5-B5bk-B5a	B5-B5a-B5d-B5b-B5i-B5c-B5ac	B1do/B1ec/B5aj-B5db-B1ee	B1do-B1ei-B1eo-B1-B1ej-B1ep	B1-B1bw-B1au-B1dm-B14h	B1-B1x-B1ai-B14e-B1ao-B1j-B1am-B1eh-B14c	B1ei/B1-B1do-B1ej	B1-B1bw-B1au-B1by-B14h	B1-B1by-B14h-B1bw-B1au-B1x	B5/B5p/B5a-B5m-B5bk	B1-B1co-B1ai-B1x-B14d-B1t-B1az-B14c	B1-B1by-B1bw-B1dm-B1au-B14b	B5aj-B1do-B1-B5ej	B1-B1x-B1az-B1t-B14b-B14d-B1ae	B1/B1cg	B1-B1az	B5-B5a-B5d-B5ae-B5v	B19i/B6/B6e-B6b-B19af-B6a-B19as-B6g	B5-B5a-B5b-B5d-B5c	B1-B5de-B1br-B1dr-B1dq-B1ev	B1-B5cc	B1-B1ai-B1x	B1-B1x-B1af-B1ae-B14d-B1ag-B1t-B1az	B1-B1ed	B1-B10b-B1bw	B5-B5ay	B5-B5a-B5bm-B5bl	B2	B5e	B1g	B19z	B1-B1ef	B1-B1by-B1bw-B1dm-B1au-B14h-B1x-B1bx	B1-B1by-B1bw-B1dm	B1ht	B5p/B5-B5a	B1-B1br-B1g	B14d-B1-B5dc-B5dg-B1x-B1ao	B1-B1x-B14d-B1ao-B1co-B1l-B1j	B1-B1x-B14b-B14d-B14c-B1co	B1do-B1ei-B1-B1ej-B1eo	B1-B1x-B14d-B5dg-B5dc-B1ao-B1cn-B1dn	B1/B14d-B14b-B1x-B1co-B1ai-B14i-B1j	B1-B1by-B1dm-B1en-B1bw	B1-B1bw-B1au-B1dm-B1by	B1-B1br-B1dr	B1-B14d-B14c-B1x-B1t-B1az-B1ae	B1-B1x-B1ai-B1j-B1ao-B14e-B1am-B14c-B1eh-B14b	B1-B1fu-B1fv	B1do-B1-B1ei-B1fw-B1ej	B1-B1bu	B1/B1do	B5aj-B5db-B1ec-B1do	B5ae	B1t	B1-B1g-B1h-B1i	B1-B1as-B1ci	B1-B1br-B5dx-B5eb-B1gs-B1dq-B1g	B1-B1ai-B1x-B1az-B14d-B1co-B1t	B1/B14c-B14e-B1ai-B1x-B1ao-B1j	B1-B1co-B14d-B1t-B1ai-B1x	B1-B14d-B14c-B1t-B1x	B1/B14d	B1-B1x-B14b-B1ai-B1az-B1be	B5-B5dr-B5ds-B1id	B2-B2f-B19bn-B2m	B1hx-B1-B1cg-B1o-B1hy	B1-B14d-B1x-B1ao-B5el-B1co	B6g-B6-B19i-B6b-B6r-B19af-B19-B19bo	B5-B5c-B5a-B5b-B5i-B5g-B5f-B5l	B5a-B5-B5d	B1/B5	C3-C21-C3hj	C3adm-C3adn-C3ado-C3adp	C21-C3-C3an-C3bb-C3ack-C3rc	C1/C1c/C3-C1b-C72k	C3-C21-C3hj-C3an	C3/C21-C3b	C1-C1c-C1b-C1ao-C1am-C1an	C3-C3de-C3bb-C21ae-C3s-C3an-C21-C3cl-C3xx	C3-C21-C3cl-C3xx-C3xw	C3-C3xs-C21-C3zt-C3yu	C3/C3bb-C3de-C21ae-C3s-C21-C3an-C3dk	C3/C21-C3xx-C3cl-C3de-C3xw	C3adm-C3adn-C3adw	C3-C3fc-C21-C3an-C3b-C3fd-C3s-C3bb	C21ef	C1/C1c-C1al-C1b-C42.2	C1/C1c-C1al-C1b	C3-C3ag-C1bp	C3/C3an/C21-C3bb-C3de-C3s	C3an/C3-C21-C3bb	C1/C1b	C3-C21-C3xs-C3an-C3yu	C3adm-C3adn-C3adx	C3-C3hj-C21-C3xs	C3	C1	C3-C3hj-C21-C3yr	C1/C42.2/C3	C3-C3b-C3an-C21	C1/C3-C42.2-C3gl-C3gm-C1dl	C1-C1c-C1b-C72k	C3/C3bb-C3de-C21ae-C3s-C3an-C21-C3dk-C3abv	C1-C1c-C1b-C42.2-C1bh-C72k-C1br-C1cb	C1-C1c-C1al-C1b-C72k	C3-C3fc-C21-C3cl-C3an-C3b	C1-C1c-C1b-C3-C42.2-C1bh	C1-C1c-C1b-C72k-C42.2	D1/D4/D2-D4c-D1c	D1-D4-D4c-D2-D1c-D1fw	D1-D4-D4c-D1c-D1k-D2	D1/D4/D2-D4c-D1c-D1h	D1-D4-D4c-D2-D1c-D1ip	D1-D4-D4c-D6-D1c-D4f-D3b	D1-D4-D4c-D6-D1c-D4f	D1/D4-D4c-D2-D6-D1c	D1-D4-D4c-D2-D1c-D17d-D1r	D1-D4-D4c-D2-D1c-D17d	D1-D4-D2-D4c-D1k-D1h	D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j	D1-D4-D1hg-D4c-D1c-D5ad-D1ju	D1-D4-D1n-D4c	D1-D4-D4f-D1c	D1/D4-D17d-D2-D1r-D17c-D17e	D1c	D1/D4/D2-D4c-D17d-D17c-D1r-D17e	D1-D4-D4c-D1hg-D5ad-D6-D1ju	D1-D4-D4c-D2-D1ip	D1-D4-D4c-D2-D1k-D4i	D1/D4/D17e-D17d-D4c-D1r-D17c-D17j	G3b-G3al-G3ay-G3bs-G3bd-G3bu	G3b-G3al-G3ay-G3bv-G3bw-G3bs-G3bd	G3b-G3al-G3ay-G3fm-G3bv-G3bw
244184	DRTO24_SDS_77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2275.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
244040	DRTO24_SDS_204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
244013	DRTO24_SDS_180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2003.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
