ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
1459272	A	A13	None	24	175	A13-A1pu-A1pv	8181-3591788-2551016	0.950[0.022]-0.026[0.012]-0.024[0.012]
1459170	A	A4	None	20	64	A4/A4.3-A4a-A4e-A4o-A4s-A4bg	29206-40166-62749-43731-38165-45238-1265442	0.560[0.036]-0.147[0.054]-0.087[0.035]-0.068[0.031]-0.056[0.025]-0.045[0.025]-0.038[0.017]
1459171	A	A3	None	16	92	A3-A3bi-A3au-A3av-A3cy-A3aw-A3cz	22385-22403-35893-50832-50831-34696-50833	0.728[0.031]-0.092[0.014]-0.046[0.008]-0.044[0.008]-0.037[0.008]-0.030[0.009]-0.022[0.006]
1458963	A	A4	None	12	98	A4-A1il	29206-1157196	0.984[0.011]-0.016[0.011]
1459488	A	A13	None	11	74	A13	8181	1.000[0.000]
1459346	A	A4	None	9	10	A4-A4a-A4.3-A4eq-A4s-A4e-A4o-A4ep	29206-40166-62749-49838-45238-43731-38165-49835	0.405[0.085]-0.142[0.013]-0.106[0.026]-0.086[0.047]-0.077[0.024]-0.065[0.010]-0.062[0.019]-0.057[0.043]
1459060	A	A3	None	9	16	A3-A3at-A3bi	22385-22403-43946	0.840[0.087]-0.086[0.064]-0.074[0.031]
1466047	A	A3	None	8	58	A3-A3at-A3bi-A3bu	22385-22403-43946-43947	0.873[0.033]-0.061[0.016]-0.055[0.020]-0.011[0.004]
1459044	A	A3	None	6	95	A3/A3ac-A3ae	22385-364589-903836	0.847[0.039]-0.107[0.037]-0.046[0.005]
1458915	A	A4	None	4	27	A4-A4.3-A4e-A4o-A4bg	29206-62749-43731-38165-1265442	0.556[0.074]-0.194[0.081]-0.102[0.039]-0.085[0.014]-0.063[0.009]
1459475	A	A4	None	4	89	A4	29206	1.000[0.000]
1458967	A	A4	None	4	39	A4-A4.3-A4e-A4a-A4o-A4bg	29206-40166-43731-62749-38165-1265442	0.614[0.027]-0.112[0.040]-0.083[0.026]-0.080[0.020]-0.066[0.022]-0.046[0.016]
1459331	A	A13	None	3	20	A13/A4	8181-29206	0.956[0.038]-0.044[0.038]
