sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
A4-A4ct-A4cs-A4q,1437265,-0.3517474108705291,-0.15876076793267133,0.4057022252233769,0.02774282548374597,1.1562842322764718e-06,0.0016572695546715709,0.006259621640967378,-0.0005294852645866966,0.00047750238247283106,-0.003479160923344113,-0.0003083612011670641,-0.0,0.0
A4-A4j,1437377,-0.3858197064054577,-0.29855708877825177,-0.12005909329335933,-0.06986092103399737,0.15864607820702456,0.0009499906354246027,0.015511634815777494,0.0012017214313148992,-0.0005806159670288516,0.007197029341028574,-0.0001462118120720422,-0.0,0.0
A4-A4a-A4ah,1437416,-0.42591088223909374,-0.04328691899225079,-0.11916856132831757,0.2153637656879293,1.250652098316585e-06,-0.00012942666033817802,-0.030283312979647873,-0.004590442430231825,0.0030848878027558485,-0.03878795272533338,1.4765570982837424e-05,-0.0,0.0
A13-A1pt,1437467,0.5354086356068212,0.010995177485920913,-0.007860839503179931,0.0016481569798893233,2.3389618608162846e-07,0.06439200676515879,-0.005550265082374915,0.08399810353657591,0.03525353531397037,-0.0023324260319067705,-0.0002763260994915029,-0.0,0.0
A13-A1pu,1437471,0.540769310449184,0.011654766013429798,-0.008772726638839276,0.0020199531143151963,2.3517277359015092e-07,-0.032826348703289425,0.00798463197421637,-0.02858723686193196,0.015477986478312692,-0.0014256784028300244,-0.014310784812248848,-0.0,0.0
A13-A1py,1437472,0.5358778308981279,0.011057415531912525,-0.007955899820552512,0.0017079864666756602,2.4850525935658605e-07,0.06556747527614099,-0.0009239576423380069,-0.00561405587298426,-0.08519468072605231,-0.005018474734688861,0.00043491496975715067,-0.0,0.0
A13-A1pu-A1pv,1437474,0.5293218553703687,0.01018187385972207,-0.006597631371779025,0.000745693770597211,-9.768943224347221e-08,-0.1538223152213125,0.00046718259727234645,0.0135370055730094,-0.007870322109657144,-0.0015358292582995454,0.005873575063819516,-0.0,0.0
A13/A4,1437533,0.12141467504546992,-0.04696601110448122,0.03232572245556522,-0.004671553609780286,-1.9220235857638906e-06,-0.007363759677735897,-0.022184112405465584,0.0032493024587025945,-0.0022809047378590324,0.009594987979113298,0.0019197609987350282,-0.0,0.0
A4-A4.3-A4a-A4e,1437125,-0.43217029796060646,0.2117206099033674,-0.010071654802505227,-0.045053353461886936,-1.064579764811425e-06,-0.0008116815279419903,-0.08103672084390373,-0.0047814918715503914,-0.0006415581663366227,0.04671465175790004,-0.0010534965370437765,-0.0,0.0
A4-A4a-A4.3-A4s-A4e,1437126,-0.41292083259098655,0.28538238707123814,-0.03124042181759018,0.07494322888356986,2.2197947381538035e-06,0.0006179659310548204,0.07871828993700318,0.00858141739903458,-0.004248207057641693,0.03955295406841855,0.00024401973774381682,-0.0,0.0
A4,1437649,-0.3858206122068661,-0.2985553861021672,-0.12005694834544263,-0.0698559480190966,-0.15864733527360916,0.0009504363163796688,0.015513178652950186,0.0012017574660668183,-0.000580618486273181,0.007197272743508127,-0.00014624099702465398,-0.0,0.0
A13,1437661,0.5368781357752624,0.011191848687390989,-0.008163799401647015,0.0018389641929258808,2.76201517349957e-07,0.059723278819097725,0.007051050227019658,-0.06498553848441982,0.0434577056640123,0.005638158962279432,0.007307455153413818,-0.0,0.0
A4/A4.3-A4e-A4a-A4o-A4bg,1437180,-0.4052807008716964,0.29394209435684177,0.0019196286442696767,-0.13656879845488873,-1.2791474363841844e-06,0.0010951084926893325,0.008472779108524854,-0.0026810570790023196,0.0036452896093226396,-0.0633155327758435,0.00044692996460606597,-0.0,0.0
proportion_explained,0,0.7519079791251083,0.12294292615979778,0.06136750907192309,0.024319074410373825,0.014705643014114225,0.010754338452180793,0.004355910433777116,0.0036369429616988857,0.0031371213020276634,0.0027854520224610707,8.71030465371464e-05,0.0,0.0
