sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87
B1-B1as-B1ci,1438218,0.20349801726665234,0.1902243353432446,-0.018411701501248358,0.18622889548481444,0.06162636229277608,-0.024555366719672553,0.0005209846046005282,0.029034650450138078,0.005069167997489974,0.020656691754218047,0.0036958800015463728,-0.019151976175313907,-0.020859974968455448,0.007451205791270021,-0.03944218060788203,-0.008955880299564001,0.022688953424258487,0.03943170599638455,0.00765820907548278,0.03436429174556659,-0.011009403680327165,-0.012993481044128334,0.007795532414673472,-0.0028756736108065425,-0.010497134194725725,-0.02187041169033197,8.020711741882598e-05,-0.008992960589445629,-0.0007116983233964548,0.025053229903648305,-0.07919544003636263,0.15031869343547544,0.027219569561697583,-0.036499932403159914,-0.03586014195893211,-0.002131429696165325,-0.034555382758196085,-0.018140294555242544,-0.01932215158533535,-0.023228485595499386,-0.009553837887434935,-0.04322175063951849,-2.041063576657539e-14,-0.007955933153806206,-2.0335384094417575e-07,0.0378849890164544,0.00789033636859159,0.027417017545582734,0.00447754734460926,3.911841685587312e-15,-0.020912635227647264,7.391677566262935e-07,0.003197532022727466,0.005165610276853407,-0.014731789071608072,-0.008390092226444311,0.0052939631025483045,0.016139941746299367,-0.00030702459936151916,0.0028783189014467843,0.0010058668485937066,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1g-B1by-B1bw-B1dm-B1au-B1bz-B1s-B14h,1438237,0.13665147636191535,0.06712978367137815,0.00956660969985315,-0.35766566002878014,-0.09001909535058085,-0.006554192527449798,0.0020552927356894323,-0.07642782197269196,-0.07976112965005593,0.059084471148255414,-0.021041241314121373,0.07473826835874978,0.017124722082003368,0.040867397424168915,-0.02302003014549531,0.03964802968080769,0.011460000127456689,-0.023744467820607518,0.003852230533570291,0.02282414851142741,-0.01154787452525699,-0.04919543642515512,0.059518358442636726,-0.059010721135407694,0.09776950073299949,-0.023868026458100364,-0.0002819363485896791,-0.01757542615175028,0.013282903948836081,0.06365681054307125,0.04898899567716874,0.05037526083917556,0.0006848206283474766,0.0003817984855921789,-0.016024857535635182,0.0029189441485692534,0.0031703548315162554,-0.012666791726767929,0.02555452318741828,0.023224377052923295,-0.011800198766590535,0.015302727676047746,7.88500498054736e-15,0.026547567724022496,3.406154676048416e-07,-0.009357727068737354,-0.028475918481956457,-0.017302761910478043,-0.0031001123759343907,2.5130059717974205e-15,-0.008961120641001675,3.9483660844650313e-07,-0.01703540771493365,-0.015033939380209369,0.010268242714604576,-0.010907248962315229,0.002199610242325856,0.010526835558602477,0.00044344709161638676,0.006574478153351504,0.0007982803044993739,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1br-B5dx-B5eb-B1gs-B1dq-B1g,1438246,0.12036868688189518,0.04749228295114241,-0.00846405886488334,0.02581986771445752,0.03655802055607046,-0.013767260462881164,0.003153605455027637,-0.1469084171641486,-0.13404958855775914,-0.013165315786916128,0.005911692790205631,0.09463154045643817,0.055219965178959,-0.028057056867246244,0.0859567379368084,-0.11286839401052602,-0.04978446289946624,-0.2885281710023428,-0.026535918363215165,0.01667529481052953,-0.003260981793513938,-0.011235623948632796,0.012389622036891864,-0.01154134241540387,0.03897274710267748,0.02362469919031531,-0.000498406084903852,-0.09490605487779895,-0.01405514375891583,-0.036982224078283304,0.0651605734685592,0.04862123165856052,0.012789385689772392,-0.0681879732425515,-0.0020510234728346407,-0.017815205341474554,-0.00851910977106326,0.036992433983187786,-0.0642036068676014,-0.038586700621949924,0.04805228265898694,0.028392571027946237,1.498949577097294e-14,0.04249960746116994,7.925491128213654e-07,0.002218640393183241,-0.007536705712274894,0.00022714658693749807,-0.0001856078739126268,-6.776741845498241e-16,0.002302173238997905,-1.2533462074351978e-07,-0.00013568220543004855,0.017539409659452724,-0.002161246308863972,-0.0013649267881317266,0.0011821437172269444,-7.472041126187801e-06,0.00022381529759747524,-0.00046635735358176736,-0.00019429007589045883,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1co-B1ai-B1x-B14d-B1t-B1az-B14c,1438247,0.07789309913319038,-0.3899746735052402,0.09269167564433257,0.05604323490335022,-0.0017487882513728555,0.0005565097785832014,-0.0006193083786306525,0.029940819229225694,0.021895505339728515,0.022299402592162003,-0.006419282210222025,-0.0005376819132803369,-0.05746878825438149,-0.04194571406345067,0.09441065877296945,0.07614291401275168,-0.15514058012111767,0.048153241281297506,0.052612195733181585,0.04325665000922795,-0.015771314162457795,-0.04786687725250993,0.06599629765834895,-0.0584849128649982,0.029330536078472545,-0.0716382554774714,-0.0008214699567416648,0.020544179512439413,-0.01663831523238772,-0.04434452000145503,0.0032069692208579565,0.004562405941799622,-0.0027764462845887372,0.018493840821435865,0.015050265032503767,6.137585640431763e-05,0.005519348320743692,0.0008850952886059904,-0.027560432680310987,-0.019369175631769136,-0.022433986526241474,0.0012544574763670938,4.960244844290709e-16,0.004808572699293273,7.075028515335768e-08,0.0037114145826966298,-0.008612862148574736,0.004530780355312687,0.0008237437054279364,-2.6639974547949174e-15,0.015082069374117468,3.3527355565572403e-07,0.0018459159186692,-0.005752880315601023,-0.01134751181748763,-0.0029016785885208557,0.0024733047253032822,0.00354223348726659,0.00011406092619539343,0.0013272025730150193,0.00025756299944907436,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1ai-B1x-B1az-B14d-B1co-B1t,1438250,0.17749652147872322,-0.2325649618764022,0.09334865131885121,0.06446433822094136,0.005021115395668274,0.004416919868116554,-0.0009571578701592775,0.030738437386728094,0.028963941728577563,0.016508571049417626,-0.0035577376792332817,0.006551318276040739,-0.03173223324176295,-0.06320574545579723,0.11720102983541289,0.01851133063020288,-0.13251073328449997,0.016359694180598176,0.022980501675532432,0.019185345635801362,-0.00702189044399783,-0.018000147166993215,-0.0036484655140039445,-0.001306883004825917,0.0458320643695144,-0.013976941088592454,-0.00044838578751390097,-0.030794545440091848,-0.048552640782060646,-0.11220454302950185,-0.045426698931145884,-0.01718242713718678,0.0032221850442589635,-0.0244805204393285,-0.021663689177980176,-0.0016229201763877453,-0.04528144936237385,0.008319279426830112,0.05412651025027497,0.015349439398574303,0.018201759600329378,-0.00890042006312205,-4.784140250417775e-15,-0.013994960623036514,-1.499647112516279e-07,0.002274468183596951,0.009725199914296198,-0.0085155829600956,-0.001106770931191288,7.624994228829041e-16,-0.007845248572283893,3.778319172833867e-09,-0.010835384109277158,0.014554123053859,0.009204575118923228,0.017941929780623665,-0.0058265463047933435,-0.008993203963963988,-0.0013666008666486822,-0.0018775755501617153,-0.0004067922806106747,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1co-B14d-B1t-B1ai-B1x,1438259,0.19016702213627112,-0.19477222545200504,0.08901977462959791,0.08048890357907282,0.01065299850082948,0.005955351023819032,-0.0012850899213781403,0.04709196819854885,0.04956641603676808,0.011419165805599084,-0.0012351546671750678,-0.009160294537592567,-0.007126104489532191,-0.05718746962336938,0.1315994000585756,0.062444641333753104,-0.09472771986509293,-0.00026437641832126405,0.07092736741747421,0.006372886518149782,-0.002866802894550665,-0.012297105008753048,-0.007007342441526371,0.006412905185351748,-0.026882560000306397,-0.018423191185998732,-0.0009418038260256454,0.025633319357845876,-0.023298546904792626,-0.10504859164561735,0.06504023833138753,0.05523796830109001,-0.01807257858310814,0.06383783719113464,-0.00652868636540352,-0.001293850405316182,0.010611383788430028,-0.003325492644114711,-0.045749592901687355,-0.024922638914534865,-0.05114234639732247,0.011417437126387486,5.0617512892348984e-15,-0.0025917695208526885,-9.528393573653063e-08,-0.006312724535913712,-0.0018867952286688,0.0028257148736460106,0.00016023806209347686,8.78031032922101e-16,-0.0010889743065861596,-4.4291676906035415e-07,0.01363464240553977,-0.01661896800496783,0.0007748635999101161,-0.007374908036580873,0.002960009515399113,-0.00045805852378384405,7.230380449119808e-05,-0.0013744398649838628,4.3832147843324805e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1by-B1bw-B1dm-B1au-B14b,1438261,0.22291768014069255,0.1152669498526811,0.030509376198173205,-0.2515635008995045,-0.0751870714346908,0.007784246028416147,-0.000564570459808007,0.009710508139062875,0.008705512996083506,0.008557010752202197,-0.003687791356427968,0.006237688543405833,-0.021347915706095337,-0.005740827261474542,-0.02668640357788726,-0.06892898654321855,0.02682616207944295,0.016666274926913527,0.02575765693569878,-0.10281884708574618,0.03275586322669096,0.06915958557112638,0.023368377689278675,-0.012349712763258372,-0.03741647245417087,0.044479292313400906,7.016382797657626e-05,0.06787649333023281,0.0006140976029259609,-0.033456076289933884,0.014782206197647878,0.03701852679608248,0.0005559115547399468,0.006571686831441238,0.027132629850077094,-0.0015017762053348449,0.00039751677232638383,-0.002184227893270457,0.0047788255079960484,0.013350150565335636,0.023221061463749783,-0.007711613001351727,-2.8366061524100794e-15,0.02578890587604275,2.752785085773531e-07,0.015381069712852797,-0.015548330888241257,-0.0020965827318180515,-0.0007095105418298932,2.134132041211349e-15,-0.009184258070850305,-5.6317142054675765e-08,-0.004766088548918885,0.0036594725566757315,0.007090186919193793,-0.0017026554213510911,0.006627227360274454,0.0002191199289573824,-0.001209662922465375,0.0005144806985785413,-2.7536882153036852e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1gy,1438266,0.19051910268586725,0.1657480826174872,-0.012050042972200019,0.14659459478126097,0.05027233707134531,-0.01621083545335007,0.0003742653248245423,0.014637718780830443,0.003943556071054895,0.007748837062059395,0.0017675420386463225,-0.010852102877101163,-0.007473185351199489,0.001172681165732908,0.00624434988429348,0.00284021257622873,0.0016970242510890928,0.010533308187781667,-0.032770116616958986,-0.03943750143689176,0.01284353252111577,0.018498314523180733,-0.05872916295415012,0.04202494362930468,0.049615766472569434,-0.0704075671079315,0.0008884930046134058,0.09228486717530007,0.016420539658360513,0.01912743245381604,0.10213127977679747,-0.07476985594474998,0.18604654408572138,-0.008901659121792912,-0.03329166926413663,-0.007694450510914836,-0.07116068366731483,0.018073257842520053,-0.0011929826929667768,-0.03326366557116914,-0.0020211864302388974,-0.00354305826877008,-1.5467039766549587e-15,-0.01472552160789053,-8.361035446202176e-08,0.0011484899233710965,-0.0004824906829525563,-0.0031466871966353265,-0.0002865283039016635,8.689906545108852e-16,-0.002523199993057101,-3.020901282887176e-07,0.005551362402710502,-0.0014784876335849227,-0.001450805674432826,-0.0009562660977126527,0.0030976515358753136,0.004034644642260827,0.00024085910467127835,0.0008523030906352617,0.0001435826118932358,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1by-B1bw-B1dm-B14h,1438277,0.23049056241825683,0.18508005663488478,0.015148101923640552,-0.22338704910678217,-0.06435477090109104,0.005555115938287425,-0.0006772098175014236,0.024989723337865238,0.02593217000667752,0.005599207813582441,-0.0019756094253962106,-0.010851131780103105,0.0053971430047725965,8.532411223789075e-05,0.024419977259881133,0.048036489344079066,-0.010255687713522976,0.0051200346892828754,-0.02852487663841141,-0.02075761473663713,0.0063250702672727754,0.013968104026224643,0.0003907609114611796,0.0017918919479140273,-0.010337109277631387,0.006413977235596795,-0.00014236354622905768,-0.010560980850806083,-0.0022109680749074724,-0.007739382299605682,-0.00572692052627764,0.0048044896931564215,0.00206987741511643,0.002583948629856602,0.031464381946527016,-0.0011958833916905123,-0.007902738710831542,0.005108268428950977,-7.69390637737565e-05,-0.009337583825574546,-0.017295873260776296,-0.0028201865459947565,-1.8975237686073878e-15,-0.015851372428047895,-2.1971546388641552e-07,-0.04687751088728571,0.03402300899500213,-0.0029597638713302335,0.002243779796307095,-2.105345964511447e-15,-0.0003016161829273242,2.270576464467375e-06,-0.029451256372251888,0.006429101112466043,-0.025128667602132226,-0.023557460951840078,0.0061151727492603425,0.006955450108930736,-0.005512639568520541,-0.002861675644094279,0.00014713274212385818,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1bw,1438278,0.2298688702909313,0.2167116513153637,-0.009385031388998745,0.05888762492802217,0.019500529416734472,-0.02042910793903301,0.00013934345597541985,0.04122756468774426,0.013332636016793,0.030309275636183502,-0.0005510798195316045,-0.01905298580905104,-0.020555337066491,0.0076405828619531095,-0.041376935275790325,-0.02502596927385135,0.04296785538408287,0.05476268045822742,0.0521564023096952,0.0753598620508595,-0.024576614555428762,-0.04639666193818287,0.025899975466215825,-0.021978242135295218,0.015332476804159091,0.04489023869048339,0.00020519314804427275,0.03142094605756293,-0.0020682617991341977,-0.014563873736396532,-0.016602240695013985,-0.01810452427167327,-0.0039217312804570095,0.013199632017941094,0.002358154560893169,-0.001636693321728393,0.01817659703664075,0.030594645926125628,-0.025683626426951444,-0.01970071064872594,0.053227074361942045,0.06168375642117875,2.873906465355538e-14,-0.06655047735033424,-2.886445731551543e-07,0.06804892574215161,0.012036131403699812,0.022689651160416147,-0.00020668352102508173,-1.9989451258243367e-15,0.0077354413038044694,5.318421100090729e-07,-0.01602868726145844,0.0016327080807685148,-0.000520685637774236,-0.013895230928596493,-0.005720776946900485,0.000963550544101465,-0.0030735742921270694,-0.0006474246072089788,1.6070821668216668e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
