sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87
B1-B1as-B1ci,1438218,-0.007902559864891693,0.0037393415846203476,-0.0026763245640316893,-0.0014149166310401412,-0.0002948182521725984,0.002981647759320865,0.0057820410717229955,0.0023657482450737313,0.00042660427037330764,-0.0015548217982986614,0.0003673250567688757,0.0007218114923432677,-0.0029036284944283794,0.0004039466919504702,-0.003716557281981073,-0.0008596356716102298,-0.0008265348577465817,0.0019014999963163498,0.0010139906416635472,0.005120120695319441,0.0013394637654756709,-0.0019355053678067062,-0.003432422704047378,0.0014930838657203698,-0.0006519330598517116,-0.0005217259020660628,-0.0011942390628413668,-0.000540567600189518,0.0002510328999879347,0.0002688773046012518,-0.0008704694149738183,0.0003196774801438381,-7.086750345471838e-05,-0.0006877042057567027,0.00010993951445630424,0.000556414123862003,0.00017847440905669078,-4.933325370981672e-05,8.413572812275091e-06,0.0007708185589370376,8.964060003516114e-05,-0.0027587770591327664,0.000165664741803163,5.6207512144008564e-05,-6.734967795029141e-05,2.3466544988328875e-05,4.329023563928069e-05,2.21377239905898e-06,-1.3181027866862732e-06,3.426988726889497e-07,5.131742535488812e-07,-3.5326931513536835e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1g-B1by-B1bw-B1dm-B1au-B1bz-B1s-B14h,1438237,-0.05667197725270458,0.03298286285830707,-0.03000574793501355,-0.002626325559534715,-0.014304442561434993,-0.05398010807286411,-0.030535062255544893,0.006776311344238398,0.0012135155689905024,0.004877149907177284,0.004821416170231276,0.0025111064703920816,-0.0036113757410368053,0.011361060183430074,0.0010176768252581235,-0.012660840647123852,0.008041810231521604,-0.005224092293557082,0.006282079547495308,0.0016854171427515558,-0.004429115520525668,-0.003273757518146572,-0.0005840652661643817,0.0011314690516913443,0.0018463446650210003,0.002464528186637143,0.0014582063997419347,-0.00012388072816353656,-0.00019583568662300444,0.0001557894854544207,-0.0001266320362294071,-0.0004635164796307437,0.0003040174051221795,0.000727580357965631,0.00013704414828259544,-0.0001296818800348088,0.00030360410773268634,6.692021797375821e-05,-5.11632841754385e-06,-0.0004975387527072982,0.00019331935201245007,-0.00013381783543934476,2.9817809909549934e-05,3.9021339880286504e-05,-7.361977160643544e-05,5.179037126470471e-05,3.5744338017510554e-06,-2.5904893042754812e-05,-2.1498368786831463e-05,9.02803373496515e-06,2.0007577620009722e-07,-1.5395420912573986e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1br-B5dx-B5eb-B1gs-B1dq-B1g,1438246,-0.052470020824553126,0.046748627171883377,-0.03324163736097588,0.01317885588165091,-0.008436519010163136,0.0011729926933992116,0.003461660208034736,0.010218348477969536,0.018577079437660262,0.004391423218492073,-0.01943794979597909,-0.0030131084024893166,-0.01842450511223526,-0.006433635314153725,-0.01498517171033995,0.0055252433122724405,-0.006000301778065976,0.006592741550656962,-0.009047724203841834,-0.007779371066341195,-0.010201522117606021,-0.006992458801571987,-0.0035302489017090587,-0.0031326462795831706,-0.0011246552624019496,0.0014978955855624349,3.6386813103800744e-06,0.0003249942851681695,0.00025785515339074935,0.0007346010374471089,-0.000995542378055079,-0.0006728199278942015,0.0008913154551184575,-0.00025383407769491044,0.00026440919092055775,0.00013772043043298066,0.00010195983487951893,0.0012602036017922494,-8.523829479904288e-06,-0.0007762263101704709,-0.0001347370906368658,-0.000151670045377343,-1.2736489840777616e-06,0.00012720127167189228,4.015317076174034e-05,-0.00025438366103511164,0.00015263909730302126,2.974973432520739e-05,-2.2138782706003723e-05,-3.097870464544911e-05,-2.7710731159886533e-07,5.99877030297736e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1co-B1ai-B1x-B14d-B1t-B1az-B14c,1438247,-0.03673905179126221,-0.03294448746447023,0.0027588015165345633,0.02270950593298141,0.0008281200625250674,0.00946914599050796,-0.0009350102168586071,0.0031688161806321404,-0.00010610148198435078,0.000510607842141582,-0.0033442817862265844,-6.348339591208289e-05,0.0010229872870013154,-0.0023234455434209514,0.0021180747900553624,-0.0023144142017694504,0.001950615093084516,-0.005612293785514713,0.0033207432537122965,-0.0003606006950381937,0.006531240634620103,-0.007997791613767107,0.0031541410810802554,-0.004534035928479543,-0.00010412341133297531,0.001356484526615702,-0.00044853469740903975,4.117112816571001e-05,0.0003984948769918204,0.0012631238673443826,0.0015590059106888525,0.0009354242000453309,-0.0009420972267602782,0.0004610184969586623,0.00023865894722133432,-0.00024067686754286916,0.0007184903587584286,0.0014078609754663812,6.6258479587722576e-06,0.0005272563357352264,0.00034742428661058123,6.253659506046358e-05,1.6264150836124365e-05,-9.590384967344005e-05,-8.841574891883337e-05,0.0005304913728251573,-0.00030540066432492574,-7.289714771372777e-05,-1.1193502264559929e-05,4.812724958321814e-05,-2.2134876785017066e-08,-5.841550450071059e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1ai-B1x-B1az-B14d-B1co-B1t,1438250,-0.02761453643903544,-0.0213245636214851,0.0009274053665887155,0.01508201028016978,0.000360860300848323,0.006754282833066808,0.0008917463773392468,-0.005814188480280583,0.005778839782640111,0.00037893431679752234,-0.0028368027523929373,8.568634779023375e-06,0.0004137074609591344,-0.0029158754299647752,0.0010505378593277913,-0.005207634859911039,0.0020332978958875806,-0.003363284899245896,0.0033417056312305127,-0.0010310553311926062,0.0071560425966845235,-0.00578720095961272,0.0013532708587729245,-0.008490105912485259,-0.000147250230091935,0.0020064073972033323,-0.00014858421478625378,0.00013829351667952615,-4.483726976767846e-05,-0.0006911114438984738,-0.0019847917394646523,-0.0012068069908311172,0.0014576426139954791,-0.0005033536809867622,-0.0006923018616792848,0.0009686985675693555,-0.0028382459019936556,-0.005790049632919372,-1.8245190141835252e-05,-0.0014536329001214254,-0.0008671902660376771,-0.0002720155679641226,-5.277024941629292e-05,0.00022744218906038308,0.00025405789793660433,-0.0010083814022555193,0.00033417696506185,0.0001204692189422813,-2.0107412851234998e-06,-6.33067208502468e-05,-3.417506089370312e-07,1.0328912015805302e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1co-B14d-B1t-B1ai-B1x,1438259,-0.0278309249507529,-0.02303244150031257,0.0012253567370953114,0.017015288385660764,0.0005392405712448049,0.008348991373684209,0.0003195149145857475,-0.0004260108123066686,0.00201995854499233,0.0004459224481881374,-0.0004057082484856467,0.0005076409504777578,-0.0011920998490997715,-0.0024691760206274472,0.00015514261031821503,-0.0066555437373362215,0.0010566583829047286,-0.0007165420612613976,0.002257700490646152,-0.0005947385775659012,0.0006660114613844898,-0.001051627005243339,0.002848756968895134,0.0007962597249100885,-0.0010133751153425647,-0.00048334463397082346,-0.0032015019890474605,0.0007682843655786411,0.0022500628151431697,0.005978479697207922,0.000574810173669453,-0.00014280056784117857,-0.0006243055020403906,-0.0016225717192795953,-0.0020031206801814877,0.00077815442831822,-0.0012463959295559719,-0.0003029839179752646,3.9071906394270016e-05,0.003410720540465358,-0.002235554653435945,0.0012691529511306276,-2.9090683468680273e-05,-0.0007952099143936168,-0.00012162496828450432,0.0007543044474093685,-0.0002621481033190631,-0.0001410303958307986,2.6349506850322e-05,-3.7241990867561437e-07,3.9389214541507917e-07,-5.000064741739075e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1by-B1bw-B1dm-B1au-B14b,1438261,-0.015966726211708943,0.0014797240828524937,-0.004057162047376213,-0.006336517967310848,-0.002805606315568844,-0.01574232581736117,-0.007139032265893826,-5.1081891131145676e-05,-0.00510393742841035,0.0002922078610395022,0.0015091045539738046,-0.0002259697515185652,-7.67014861829091e-05,-0.00011764972267622805,-0.00027279049742758157,-0.0018732866534753362,-0.0010647799503409362,0.001677326060282927,-0.0007936115776259524,-0.001140511000476972,0.00020267051009804674,-0.0009697158395605241,-0.0003165211188360226,0.00056458869070197,-0.0013576417111598722,-0.0033083411695577435,0.000481801154655527,-0.001280124639507292,-0.000250867800253119,-0.0003372904492055994,0.0008518466878767192,0.0007886474182121673,0.00022407061338702023,0.00013443794217041206,0.0018263863810931244,0.000553686176751916,0.0013004949655987376,0.0005217016146878626,-3.049021878818428e-05,-0.0032939351432585053,-0.0005114040194296334,-0.0008461511838238652,6.954424673837003e-05,-0.0036774159751424194,0.00014581451286121953,0.00019720419117352192,-0.001039276823619833,-0.0001272188738650304,5.244708711889425e-05,7.508062173193179e-05,1.600319006674117e-06,-1.8161936538583595e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1gy,1438266,-0.014366790556184053,0.0021374980888725845,-0.0021398094290109642,-0.004335067274859166,-0.00021681400645957733,-3.2056877909885265e-06,0.0076489832306739555,0.0017455831729741725,0.00018365660770392164,-0.0022171008622156266,0.00033438440972489525,0.00035140210721076854,-0.0019382118933463763,0.00022705563365743505,-0.004593280062214537,-0.0003162801414926725,-0.0015336183488194822,0.0019375899758166562,0.00044004010856837277,0.002061053606676626,7.693856440847807e-05,0.0009583684116554079,0.005313762609878566,-0.0015375842366673513,0.0012749679482028787,-0.004883668350736852,0.016160056124149526,0.010107188536566702,0.00244832407740734,0.0015482166268857946,-0.002109660454142766,0.001281449518838523,-0.0001314044757896616,-0.0006712660078167726,0.0005664567597302786,-8.814231096671517e-06,-0.0004735388230997631,0.0003430269193959597,9.312137412080026e-06,0.0008388305958465007,-0.00046008824380255246,-2.0034333527304948e-05,-5.444022407056021e-05,-4.2513280266463484e-05,1.1533454547192967e-05,-2.926982789853251e-05,-2.3657665650046145e-05,-4.891035979732978e-06,-8.942083066537459e-07,-1.1823811516230674e-07,-3.005754821847213e-07,1.9826274023165154e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1by-B1bw-B1dm-B14h,1438277,-0.018082842394459165,0.0007589506715847513,-0.004061746698402229,-0.007626117284172685,-0.0030451725226274,-0.01836841486188219,-0.008402703896107826,-0.0005959427543473412,-0.0063086344053010805,0.0002468823889737345,0.0012729427261878043,-0.000641965924660658,0.0008112836856613844,-0.0016251573963144614,0.00011518760718093522,0.0010009574155497552,-0.0030280355092790197,0.002131717234750253,-0.002844309999297566,-0.0012599612719202099,0.0022958709236517117,1.9768631983401153e-05,-0.0005667621123154817,0.0011770679579729104,-0.001200266518141883,-0.00353017612706709,0.0010303881565420973,-0.0022703007990885226,-0.00026368860047219615,-0.0014562848457010684,-0.0006498476543766423,-0.0003373659215374489,-0.0010306693854174093,-0.0024468711592458355,-0.0016947823174474014,-0.004927895631789581,-0.0011284358885550322,0.00017792073629528318,-7.013815850363377e-06,-0.0006780756045028551,-0.00065221531190025,3.6700169848536315e-05,8.208830740979123e-05,0.0011412682735881454,-0.0005712050960520998,0.000985372087174037,0.0004119784391028885,-6.950213947137859e-05,-5.05064381870841e-05,-3.765986725144018e-05,2.1177512375430068e-07,-4.797493836207712e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1-B1bw,1438278,-0.0031798136303633714,0.004901933294840935,-0.0030324461717790036,0.000802638881770821,-0.0003392023350775885,0.005228366885998886,0.003872523652738741,0.0027160622952181984,0.0005758703540425669,-0.0005474860652723137,0.00031762850566871754,0.0011941865491234928,-0.0032239482117123438,0.0005299308907199037,-0.0016566666594321077,-0.0011199511407908333,0.0011267395325443832,1.2631706383022694e-05,0.0006757518195034591,-0.003081856799719873,0.0002872582942617119,0.0003560300543396287,0.00034475411883917755,0.0010952348750633454,-0.0005664562778709222,-0.0015858676537671822,-0.0012784744963439813,-0.0008235470105760665,0.00010760191965227361,0.00011490784004858835,-0.0003725226856466751,0.0002907640224964712,0.0003362840361321137,-0.0023303592702688947,-6.626768213797118e-05,0.0012738164730817384,0.0006537264709629511,-0.00033892040923858165,-2.866398123101722e-07,-0.00021897970577587842,0.0013084245794208352,-0.0001639372643632066,0.00024566158921500084,5.957258105063634e-05,-0.00018375809260189472,0.0001067280680142893,0.00014860180423982667,-1.6504656905621726e-05,7.203461825529472e-05,-8.499027412799343e-05,-4.944780953423179e-05,3.0415587595793002e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
