sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
C3-C3fc-C21-C3cl-C3an-C3b,1441313,0.10542422211443521,-0.21077876917249563,-0.0015605505242295517,0.17162863260052386,-0.0015378000071291941,0.03806960040423909,-0.006931805199679211,0.0006509083288597219,5.812129559525343e-08,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C21-C3hj-C3b,1443967,0.02897085524601978,0.014140319120367473,0.005584443125214878,-0.008252435304026836,-0.0009157494043878555,-0.007966976123782355,-0.004172700991854781,0.0010777743288344305,-1.148005683145369e-05,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3,1442047,0.028971873746952294,0.014147652490376965,0.005584331713211367,-0.008247727362237868,-0.0009187343719902535,-0.007980136009299506,-0.0041625169060772686,0.0010671307752167555,-1.1954101931713517e-05,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3-C21-C3xx-C3cl-C3xw,1441591,0.05347777111095661,-0.06075724615934984,0.005108933889013435,0.024612622437964044,-0.0027556487704198085,-0.026216186689794124,0.008493233252296367,0.008391967814779728,-2.769585443695693e-07,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3hj-C21-C3an,1441113,0.032313826630707976,0.004828365644468443,0.004850273992148596,-0.0008389243019088017,0.00018415191230365273,0.024840117763317668,0.02171121993578416,-0.0030481558871267656,2.3904023315678945e-07,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3-C3xs-C21-C3yu-C3zt,1441116,0.1248129947386298,-0.28412951794469793,0.012446987094047006,-0.11507316809401455,-0.001751528722590331,-0.023467002876645746,-0.013128559584178792,0.0007264797913154957,3.363274353601764e-08,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3hj-C21-C3xs,1441118,0.033434842664162176,0.0006441554805159065,0.005871702018048628,-0.027598292917859854,0.00016726397066209382,-0.0004068185042652837,-0.010958315106899584,-0.00559113293294869,2.9264534357289867e-08,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3-C3xs-C21-C3yu-C3zt-C3an,1441120,0.11709501359730458,-0.2591112869239185,0.012170245514951217,-0.09759692453029212,-0.0006209738297144716,0.0359023670590847,0.014275722827748158,-0.00035289114710924106,-9.402206740344219e-09,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C21-C3b,1438597,0.028985576129571828,0.01414388705728288,0.005583930202863779,-0.008236462513664616,-0.0009141545039288055,-0.007967069461013271,-0.004194546783782569,0.000996388274985681,-1.0870676806781327e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C42.2/C3,1439628,-0.35525706877245056,0.08087231095526291,-0.1276507648423584,-0.010856118339293588,-0.09562410005639872,0.001982912464838613,-0.00010594556433072435,-7.804319377718286e-05,-1.4314561473794732e-08,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3-C21-C3b-C3an,1439637,0.0366592841055865,-0.005115650820985501,0.002458170880819321,0.0179344668131221,0.0024832450015801625,0.0514111013481654,-0.009101445799032472,0.00019703557874966476,-1.965221088392389e-07,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3/C1-C42.2-C3gl-C3gm-C1dl,1439648,-0.24668239553543983,0.05374769355531082,-0.17726411617313442,-0.008607701418011812,0.08779702014240746,-0.003235608421171539,0.0003539216946411976,0.00011800705376046306,2.0567280916386895e-08,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C21-C3xx-C3cl-C3de-C3xw,1440694,0.08411744627984565,-0.1508935497772235,0.0020651691254755205,0.08901623594083741,-0.004074863895771126,-0.06997045285468988,0.007249472588265426,-0.004498957441190247,5.232108345259556e-08,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3adm-C3adn,1442015,0.3675531490964142,0.2910531621453861,0.006554383760805279,-0.008390815018378524,-0.0016211163083142968,-0.0014781015577712666,7.892844944575758e-05,0.00010019358544115566,0.000704533162891752,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C3adm-C3adn-C3ado-C3adp,1441787,0.3849051645623882,0.30523321077947774,0.006594425417462307,-0.008399174819306061,-0.0016571147796571718,-0.0011455227131638508,0.0003023629476164679,4.667878252959633e-05,-0.0006701889280746943,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c-C1al-C1b,1438946,-0.454222889263428,0.10265794203416509,0.14810797486073568,0.001990820231046687,0.02504582446505503,-0.0003568117335123273,-8.852589183011487e-05,-0.00021902270392077926,-1.0391657498771565e-07,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
C1/C1b,1438517,-0.3705596664516563,0.08931732153605539,0.083494459944928,-0.0030850334045019316,-0.0032857208417070194,-0.0020154120945345567,0.00037950013186500807,0.00041563899162758123,1.2876758389694632e-07,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.5934892892392785,0.2899790621579,0.05264828499895164,0.04254404571610711,0.0119573646455843,0.008418561756797198,0.0008700862545284778,9.26601812605706e-05,6.450495922219429e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
