sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
D1-D4-D4c-D2-D1c-D17d-D1r,1442884,0.011722387691570257,0.02316490740574472,-0.007065979160508145,0.012732907765703202,0.013895126685690725,-0.0009049787145357936,0.016712342973680655,-0.008898854676623092,-0.007056874747059599,0.002360840609829907,0.002568070106107245,-0.00011144749351730126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D1k-D2,1442416,-0.02563653188829012,-0.0002784347044927781,0.005825316141161685,0.0003378168266932606,0.004454402182058841,-0.0013698642894404396,-0.008088865372068021,-0.010794224112460025,-0.011677950915948327,0.01073907537979072,-0.0074176526091794415,-0.00012176146726234732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D2-D4c-D1c,1442420,-0.033567157841984,0.012760726340674398,-0.002339350014066421,-0.008461931047591431,0.01044085720326126,0.0032101662742975022,-0.0012455047470842217,-0.0003232456857981571,-0.004698136525485479,-0.009874997138198303,-0.001830136537793943,0.000876496811197829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D6,1442463,-0.01783811893730155,-0.009823408616617157,0.011725578559140921,0.0012689216414840756,-0.010048076579572572,-0.0038214541996753667,-0.015589280059777274,-0.018818405655397878,0.006106205856140697,-0.006802347041029543,0.003727982188838228,8.747970249255052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D6-D4c-D4f,1442471,-0.040832077246536695,-0.007166467336379792,0.0178540697527213,0.027775827603573666,-0.05569733897634732,-0.001766932575098231,0.0026900270475681744,-0.006749500172172504,-0.009630544738475976,0.002145014554924516,0.004508698704613077,0.0001328085389751388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D6-D4c-D4f-D1h,1444023,-0.03572957738391557,-0.011084641367301636,0.016118634398806377,0.022929147924699522,-0.04809527355045135,-0.002170127439669232,0.00254264754056425,-0.0014487704552221732,0.010919281181482433,-0.0026158637864015077,-0.005899399832103815,-0.00020965030703498487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D4f-D1c-D17d,1444025,0.023157683248234386,-0.005231115814034223,-0.00880478461246468,0.007733433974354104,-0.009673934680587066,0.0018232504612528198,0.02244732769437776,0.021884620034005355,0.006216586487578696,0.005670019397893785,0.0019353606234420396,7.183945450169916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D1c-D4f,1442511,-0.0018986416781876486,-0.02689273081368626,-0.0046931815533609745,-0.008468353224631154,-0.006207940664468644,0.0016925045546569806,-0.025415646779437837,0.022562071391392317,0.0013780581309968017,0.003732623961968175,0.0014870714176720755,8.999866859629531e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D4c-D2-D1ox,1443023,-0.10463561936235599,0.07469197256129784,-0.01911796752099717,-0.0018800362469434402,0.013048264091830306,0.04710075788277642,-0.008125661089634705,-0.0046023632896815365,0.0062937918021818305,0.003995036494747407,0.000947271601310206,0.00015369495047518064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4-D4c-D2-D1c-D1h,1442603,-0.0379314716121563,0.017733416672121347,-0.003105793395916214,-0.011725406618536468,0.009365840257084947,0.002455385950141001,-0.0021726176565210337,-0.003192206387055661,0.0014003122563793005,-0.0023950776965870222,0.002135176695761697,-0.001294235113559495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
