sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38
R297,238927,0.733442820630554,0.13340528878571709,-0.03020818870005772,0.29950324008853163,-0.0004661728993752664,-0.0007779571943778355,0.00440679041388532,5.386238757980084e-05,-0.002912408513167015,-0.000561413127725022,0.002558034067178392,-1.0093121734588149e-05,-5.790085030036267e-05,-0.00025442766090146457,8.00359928174276e-05,-5.5334847510276696e-05,9.74997376518709e-06,-8.971729411207398e-06,2.85785084135716e-05,2.27205814939944e-05,-1.1654591722146833e-06,-1.771749926110209e-05,2.914510755805089e-07,1.3177659249162008e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R303,238933,-0.20422054138919932,-0.00022979031445344886,0.0007054603629337434,-0.0004133692162216031,-0.05219277763467839,0.00157884070952664,0.0003516305021357146,0.032309241241505124,-0.0002648293763451907,-1.5226262311428691e-05,2.4260044633368902e-05,0.02215131704484475,-0.0003856173908688627,0.0052960024668534484,-0.012155885387457122,0.0040434223975285965,0.003419032104837993,0.0008238174816749206,0.002178889904844898,-0.00014569627462164396,-0.000716975100085106,-0.0003965492257012499,-0.0008943973613703219,8.617823943443834e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R308,238938,-0.2014198963103643,-0.00015719538928457173,0.00032984034473520834,-0.00013447097584934372,0.005272216743527852,0.04538957236717079,0.0028445524496774096,0.07527459879352219,-0.0006681879398282032,-0.00011300696671388385,9.255557363489867e-05,0.04047518465884749,-0.00425766960722733,-0.0020415350524734988,0.005955821621772487,-0.002112552598192719,-0.0008347470897767352,-2.5488659158511965e-06,-0.0008952555110112252,0.0001245263436121828,0.00021040352230285766,0.00029909547363136767,0.0003714327706529006,-4.215442836017709e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R317,238947,-0.20477203877058162,-0.00023077969290882932,0.0006203219180213232,-0.0003470216333592007,0.05310704772271406,-0.0006479534501185488,0.00043357937094823867,-0.005417678128180348,0.0005360535875459556,0.0003891475712781889,-0.00029974650621066636,0.001902580814581847,0.001146013981085974,-0.006826412682488493,-0.0018858795176980806,0.0028126042308854425,-0.0016902458056175216,0.0014444298849089553,0.0004966783004820337,0.0013402442304924944,0.0004707089706373907,-0.0017330768644699469,0.00218401906364131,-0.0006689672460344495,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R318,238948,-0.19853565215275684,-0.00011705516379071426,0.00013260224423020052,-8.62309596611141e-05,-0.005564656403225617,-0.021172717430311593,-0.0015755350512525552,-0.002732131383794775,-0.000638869882106649,-0.0005449411560415649,0.0004534778498047373,-0.0017702460475854805,-0.003220459462150603,0.02255241278077031,0.0029602032886561196,-0.002940076335878057,0.0030808621170041756,-0.0013703410272120759,0.0016915270474303459,0.0006427802089965863,-0.0024081696699622852,0.00033252010294421245,0.0008859803886595044,3.550846833999484e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R319,238949,-0.20488962479300454,-0.00023320397422722924,0.0006305760975022771,-0.00035372960928277744,0.051886218054858504,0.0018073240466685348,0.000598677561472395,0.002153450075542933,0.0004455865387558041,0.0003555428444922536,-0.00027473904069652647,-0.002084029871122933,0.0071592220292382895,-0.0026239814208094824,0.010298895705509388,-0.0058899117148086206,0.0014820441965580156,-0.0012057045209465775,-0.005186490435617056,-0.0026134898621647143,-0.00041155406097815857,-0.00041560923807431287,0.00027491422478792554,4.715590177447628e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R320,238950,-0.20518944608690662,-0.00024959029119058765,0.0007806354377185228,-0.0004676439621102805,-0.04447743662854365,-0.011285572172369506,-0.0004253518767622796,0.003281068087847737,3.917046608743969e-05,5.898906096001469e-05,-5.9509293925176165e-05,-0.00347270402698723,-0.002463308297794857,-0.008302651998020908,-0.0063328031365593625,-0.0001138546265608198,-0.0020710923070461676,-0.006536348053900165,-0.004563056872043215,0.0023310751784787185,-0.0009821323631937391,0.0023727763884691627,0.00021519154836274835,-4.6564174092755745e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R321,238951,-0.20595856974848206,-0.0002628046298933861,0.0008053462681607814,-0.0004834354829343655,-0.006423962713406397,-0.012157448635703002,-0.00031228431299918833,0.005503750494288494,0.00010307879247447782,8.337720703375637e-05,-4.1027751722895044e-05,-0.005531051767497939,0.012906765201241137,0.008795762138555341,0.013902167112629153,-0.004105304174512321,5.278175599210083e-05,0.005579632519762305,-0.004075634551362632,0.000961920069761818,-9.063066250092588e-05,-0.0010191930780606858,-2.5526702809032596e-05,8.56736750858797e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R323,238953,-0.20122863006356484,-0.00017079347048593152,0.00039762130638168176,-0.0002422113730124601,-0.02719317475998958,-0.013154800144452338,-0.0008870055897999817,0.004922948892316719,-0.000433995114277869,-0.0003385388896938853,0.0002818736724906229,-0.004620848080735863,0.004104464420036904,0.013385242070815762,0.008944809346274181,0.004668708537124703,-0.002807523491941152,-0.008366196633473483,0.00040772116309258663,-0.0004638523159491055,0.0025632598687723054,-0.0005858872146942556,-0.0007926951478390496,-3.88529726040657e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R324,238954,-0.20552848739905663,-0.0002494314854008452,0.0007153004657203275,-0.0004164505580922341,0.03507119021856731,-0.00722449844004831,6.0746315667031154e-05,-0.0037768102961660385,0.0004414113521719478,0.00032381342284916925,-0.00024626266814573575,0.0005192205829613254,0.007850024152509546,-0.006910519161451539,0.0013898221544687613,-0.003858793681698584,-0.0011638646344467722,0.0022276529800862943,0.0023928397614819946,0.002325108793772275,-0.003024521285499139,-0.00012059037108257119,-0.0026441436688288875,2.8072460517270207e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
