sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38
R303,238933,-0.09160357616090596,-0.0002668022124175027,-0.004389405328402339,-0.00011087171113391004,1.765165793335096e-05,-0.00011271322532208035,-0.0006419637019731463,-2.8019107926057367e-05,-0.0014095276711982986,-8.086139962742774e-05,-0.005103636598393381,0.0005331916676381864,8.624604219651554e-05,-0.00011420125839813175,-4.1480188029523235e-06,-0.00019286786720920635,-1.6201400113609362e-05,9.021956386380501e-05,1.1638901699960723e-05,-2.2794863993035416e-05,-4.484120167095472e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R333,238963,-0.09193237626262493,-0.0003371252710389934,-0.00735929590807902,-0.00025403509805028073,-3.055725767839908e-05,-0.0032968698269329024,0.003311828377947802,4.4668686402201035e-05,6.865966644229551e-06,1.3510422222786259e-05,0.0006959449346257946,0.00018992804863326122,0.0005871750823888868,-0.0005811218918496401,0.00019011485232477,0.0005609314793217379,-0.00034355983879106916,-0.00044585971777769064,0.0001617128901266545,0.00015204136095346176,-6.3821713237676184e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R334,238964,-0.08188943189545717,-4.0654744153039544e-05,-0.0022067457884608756,-2.369751378101226e-05,-4.704732148259993e-06,-0.0033007825112010684,0.0029304718572140255,0.00013766158615007194,-0.0019798507876823824,4.6727684676474663e-05,0.0009252258946954784,0.0014504132113638507,-0.000718921226274322,0.00010256190379608202,-0.00027682917361323243,-0.0004966884138333378,0.000316437421473311,0.0002297027491899485,-9.762399167339779e-06,1.9021136174381067e-05,-4.5440311556139217e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R337,238967,-0.0950033121753708,-0.00042871031633746534,-0.00933645080211163,-0.0003408918577383704,-2.084065098679238e-05,-0.002442759923444663,0.003986849912295365,2.475920782702433e-05,2.5243056214366822e-05,-1.1536707964255085e-05,0.00035155299770691067,-0.00041290839921888026,0.000629171873585504,-0.0003716799512914923,9.789726450323197e-05,-1.0780215015382506e-05,-0.0002923083256053784,0.0005062360945310587,-0.000362958095410083,-0.00015159712864984632,-2.280818448960731e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R338,238968,-0.07076292783047577,0.0002920134671172581,0.0034477584844605875,0.0002156680452226934,3.8983932674767505e-05,-0.00140587197659982,0.005789087172336321,4.168376498014628e-05,8.82329426363469e-05,-3.024689004209935e-05,0.0007556459732060076,-0.0006279106728291384,0.0013550665231093586,0.00028076964026916933,0.00013166817660489972,0.0005305552880588226,0.0005523169599526985,6.85529995806065e-05,-5.8597159473435645e-05,-3.511182154791654e-05,-3.7001927845436435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R343,238973,-0.09656476085139597,-0.0004258508666512497,-0.008166035033573708,-0.0002695073453362024,3.549457338905654e-05,0.0009111434873564168,-0.0003246880128191562,-2.9398188780224057e-05,0.002264805928947488,-6.614631086983688e-05,-0.0012115735567799718,-0.0005375071651546233,-0.0020116275555707858,-0.00012099753224773122,0.0007900803496866039,0.0007661490700233696,-0.00020749905985857216,-0.00010487142317392256,-0.00015122066607422174,6.665768981985446e-05,1.8839289031786539e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R346,238976,-0.08496643279965466,-9.54643583050138e-05,-0.0016586039157624928,6.381330951687138e-06,5.765583144024568e-07,-0.0015413054431953556,-0.001888262643378639,3.0004197086510065e-05,0.0005907705856156898,2.1628006366225998e-05,0.0001711098164019738,0.0005680051553227475,0.00010401586046802433,0.00018590513624590355,0.00045029401388470194,9.257276851519097e-05,3.985063893058041e-05,0.0003936844478166188,0.00038569639987276,2.4103261516084442e-05,-7.108040616926442e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R350,238980,-0.08236915584129068,-2.2316101166744067e-05,-0.0005128482105802253,5.488522567665543e-05,5.556592519897021e-06,-0.001524875527752228,-0.0016340911963291889,4.609726397002024e-05,0.00046431655071177316,1.8438019882561216e-05,0.0002116677002550251,0.0007411854916025038,-0.0003734036331696962,0.0007296610313672304,0.0001855353682237294,0.00029821339673177897,5.860455355143505e-05,-7.527994773036646e-05,3.090685332871596e-05,-0.0002564826445812759,0.00012037278080652618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R351,238981,-0.10439477395074491,-0.0006792885228109554,-0.014179754118480733,-0.0005772576401562737,6.686590192836642e-05,0.008008571506483255,-0.003726763066099789,-0.0003195149035123711,0.0021105250469463698,7.399892162350626e-05,0.002012926879596476,0.000588461526184479,0.0012772753594145665,0.0008220814570312896,-7.625394665896743e-05,1.0308180759841247e-05,2.7429906877526055e-05,3.138067883452281e-05,-6.669474733983965e-06,1.7762631687542192e-06,-1.777251639729398e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R355,238984,-0.08053673049300329,3.2540013661666074e-05,0.00017811828255391012,8.360556360256675e-05,2.920307741542458e-05,-1.593441186162089e-05,-0.0015507220219334664,-2.1287148837853834e-05,-0.00010409660072141326,6.476609602063794e-05,0.0006872995780829919,0.001478769072937301,-0.00023090297615610712,0.00019786619287801114,0.0005785979358732389,-0.0009301324415845326,0.0005174432328215874,-0.00012852661485751214,-0.00026439285685692353,0.00010809208188593245,4.5084153227456865e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R356,238985,-0.08315263733475656,-4.687508099434722e-05,-0.0009861176189860476,3.5204475240063825e-05,1.3050872003562404e-06,-0.001904358043987165,-0.0014800951935433663,8.34308350292869e-05,0.0003908533199812166,-3.966695482209393e-06,2.571803550609965e-06,0.0003918235617071796,-0.0007074812080426878,0.0009251404655795426,-0.00044292282157937956,0.00048078516169927177,-8.832422782614252e-05,-0.00018605938002849758,-0.00028379157591171787,0.00010307304231922636,-4.839338728161841e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R357,238986,-0.07906955277823091,6.754567961464716e-05,0.00030788274940507645,9.127331957940888e-05,3.9163900141658535e-05,-0.0001457648566175734,-0.000507038685211581,4.4201793329984834e-05,0.00019274432733818662,-5.864674076795686e-06,-0.00035783357892885337,0.0005902507807891772,-0.0016161512300711931,0.00032972101414823493,0.00027775892851745153,-0.0001772208812930772,-0.0001258368256468523,0.00020304522520726351,0.0001251137819714259,7.605347202705897e-05,-5.624689083371792e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
