sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51
R306,238936,-0.2206810565425551,0.10831689169635236,0.3709871086789578,0.04282048689113786,-0.05382736460824319,-0.10572649561483626,0.04939339081285027,-0.008211499183451864,0.02588974288599469,0.001553776521867493,-0.016963163365353785,-0.009197998667676694,0.0024048926268128382,-0.015426461695290149,0.0012776799971340068,-0.00304887559200933,0.0008768187529823089,0.009837084262147865,-0.0020719024973553583,0.001490698733737183,0.0016060176050857835,-0.0011314723991616693,-0.002119101001005643,0.003929257235130686,-0.0008548972828097537,0.0017300772589085667,0.0032168914974332902,0.0002069776861236501,0.0017051860747104893,0.00020455816214190814,9.52980611910386e-05,-0.0004080856780827499,-0.00062529258893328,-4.800565367408242e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R412,239012,0.19559984635427582,0.834773777693632,-0.08747343894259628,0.025000660855415267,-0.0022476110708266944,-0.0001386797464105141,0.000344799334876015,-0.003560215631139317,-0.0039807655506385155,-0.006046880212748603,0.0025005535011948196,0.0006819617670438748,0.0032409172636791795,0.0005425194270659288,0.0003990035755573532,-0.00020655186169648147,-0.0003921474735325673,-0.0007891739507112311,-7.442132206228027e-05,-0.00030168238233418564,-0.00032797731323537413,-0.0002057393190281889,0.00014775006336171782,-0.00024152243218300126,-9.901583474047324e-05,-0.00018064274208067968,-0.0002279033776108753,-0.00013249792520195704,-0.00017165498632531264,-2.160716815237696e-05,8.158412969610226e-05,-7.74767195472128e-05,-2.6488961327523932e-06,-1.9183725868529884e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_OFAV_001,239028,-0.3063341629656712,-0.00909771658170716,0.01766167834244829,0.020729671364902023,0.04365645824864119,0.09871188461693185,0.09350378929517747,0.0008874630182535392,-0.04781075732223444,0.012005769900978321,-0.023088457930107064,-0.010971197669562328,0.0018426097619027141,-0.03740177921263945,0.005877646034520653,-0.01119301436362363,-0.0064547023045927136,0.020332383289112462,-0.009374252927028199,-0.018732681724787467,0.0004620778333602967,0.0015601036593970666,0.009521036034160935,0.0022966108693550126,-0.0004998346950203877,0.0019576096529338,-0.0006676929151232585,-0.00014705718655843097,-0.00150454048071732,-0.00120560124218709,-7.469423542571443e-05,0.00035995087308300655,-0.00019052147827091555,-0.0005187510724005059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_OFAV_004,239029,-0.3174031756567684,-0.016090999411482974,-0.0023139736348693984,-0.005099274210736033,-0.018785349905837162,-0.04181079909405876,-0.019042958257233053,-0.00182016694574005,0.028406938081203453,-0.004244972548971474,-0.01577623665583292,-0.013294649893407279,0.007489122687029552,0.019730279988209063,-0.002426065994326002,0.01027627165183337,0.0043027248463746075,0.0026015612753315627,-0.0014380563082544394,0.01800263816725018,-0.005250688165943229,-0.02807977575374883,0.0012257283913331264,-0.006389280559728234,-0.002139000369318464,0.002277255250113201,0.0017090241153805395,-0.0003774511310789926,-0.004041914963366361,-0.00594656338437056,-0.0020664491154866868,-0.0015977712562554973,0.0006538004763122674,9.261218177756899e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_OFAV_007,239030,-0.3190695473940394,-0.017518562014445755,-0.005277571147562347,-0.0022454635373089318,-0.009548949640458401,-0.024050957694758648,-0.016210673391857684,-0.0011524939405424632,-0.0034856258894935396,-0.001884749837270504,0.002015196676959659,0.00013426973413716538,0.0005116419360283686,-0.002844386284290187,0.0012165046017053615,-0.0032825093928945124,-0.004068269242955763,-0.013866710999871816,0.004842156509413874,0.00027737939207523145,0.0007806484154440098,-0.0009808556284251278,0.015364744746126742,0.006040701092142184,-0.002244462533080783,0.006752151213323096,0.005508838925276996,-0.0010148458874963053,-0.009301989687498556,0.0012646748338011906,-0.0032028201873133297,-0.0033979348465495818,0.0020215563559181273,-0.0020267809055330207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_OFAV_001,239034,-0.3184630810894056,-0.016772911178106923,-0.0014473192429948962,-0.003990273832544959,-0.016757547614349992,-0.03529055242373194,0.002320313623366491,-0.002972652022116444,0.010762915535002868,-0.005914401826312028,0.00847390208889311,0.0030647924096735934,0.00012064519044364614,-0.005754133170674812,0.0025116797354641264,-0.0039747265550073956,-0.006171582906944944,-0.020988683405408572,0.007247002505128589,0.004967079060344403,0.0003152566848891301,-0.016512568654520426,-0.002689500493230357,0.000735056112148873,-0.002671831884317725,0.006830987455308496,-0.012326805379631498,0.0011500605597874007,0.010926754878805402,0.0012833829661032731,0.001927718994366621,0.0018127809785555213,-0.0007158294193774661,-0.0013557352635129346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37_OFAV_001,239041,-0.31844528918756343,-0.01959851834341456,-0.032543919398449674,-0.011545846807922316,-0.0061487389784863926,-0.008185686935638009,-0.007799508618450101,0.0005242897149520841,-0.004381570411600976,0.0030268268213670953,-0.012346271034591749,-0.007527198963637181,0.002814783455800351,0.0022757851937790256,-0.0007636899547910368,-0.015843435900037776,-0.007213900317555371,-0.014068305548837048,0.006253390778116074,0.0212973756602172,-0.002145926440722073,-0.012540418985171269,-0.000914321321674619,-0.0034258331619328396,-0.0008950710734407279,-0.003228897678938027,0.011242578895465245,-0.00038028187152928055,-0.004972361954487012,0.006944038472068488,0.0028632401370405625,0.00039375242486805744,-0.001590059335418128,0.0020997831280439904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37_OFAV_002,239042,-0.3188169585485235,-0.018451675039865875,-0.017116977834051254,-0.005520206537424984,-0.006948342581999529,-0.017643808748349116,-0.026192009093585863,0.00028542352172927657,-0.004210060841363681,0.0003495380345524019,-0.001622810317774733,-0.0012276042230046462,0.0003999157085721331,-0.004099378812091279,0.0004968752382813034,-0.012903264802493248,-0.0063671768539683956,-0.0001156005287320676,-0.0009570760312840931,-0.00953595081685217,0.00034922225496197064,-0.004830267315623887,0.013284884596966843,-0.004844079901557993,-0.002314481787866043,9.527600300291557e-05,0.0003518570582569629,-0.000517025191636886,-0.006772180521195072,-0.005576279344043346,-0.001178430322619184,0.01044308197098597,-0.005698106378182131,0.0011486938161855817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38_OFAV_004,239051,-0.3180605004669152,-0.019132081588564064,-0.029594646617607363,-0.010888861332650709,-0.009149498345580247,-0.019017672124212022,-0.02795404481197681,0.0007219896591622446,-0.0031209223440340256,0.0019376044144981171,-0.00881421304957069,-0.005600019839787511,0.002298426124918406,0.01175796649530271,-0.0027954952375267962,-0.00765499610931724,-0.0012069881341233491,0.007388958673670644,-0.00319179737019854,-0.01425264482926889,0.0014393817479929935,-0.004038443438440068,0.009419182489614184,-0.0007326243744364111,0.006300745878688501,-0.01950181103652981,0.003598676624539664,0.0005555575637471548,0.004745654790999473,0.005675934545697407,-0.00249826601994557,-0.006106187142742112,0.0039903543671862,0.0016302496865739679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38_OFAV_020a,239052,-0.3183299198268261,-0.019143556725950306,-0.027986961304022114,-0.009904909336327424,-0.007793803630146034,-0.016238960028014317,-0.025790090936053413,0.0007855445894456046,0.00034124865809594774,0.001219784780133251,-0.006397140743253715,-0.004086325303379652,0.0015029464445427236,-0.0020858252998175878,-0.00015571201189114133,-0.02297053986234826,-0.010150582955248682,6.994956685550266e-05,-0.0009031484675188322,0.0036476593041850284,-0.0025966837844068444,-0.0067154758730705675,0.001041248706806797,-0.0040720071973962884,0.005680893085577613,-0.0156373009003669,-0.00861533137924888,0.0008800341819087202,0.007615803248194915,0.0017859699023644914,-0.0033600703662603855,0.0014938281854462744,-0.002151672074305664,-0.0013981864154167108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
