sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51
R306,238936,-0.4547247481668142,0.6522254468409695,0.1519799905578632,0.0719911630795896,0.059113211673549985,-0.005381682842547134,-0.11847208266998359,-0.01609827945130307,0.09425731821453272,-0.0290428775871031,0.004009682497278452,-0.00047988999581966116,-0.007668448056103627,0.01037719262618162,-0.014750217359309186,0.010294270638980139,0.015279864677642013,0.005554693345815077,-0.010937386027588206,0.0037997418576723274,-0.007322793840072593,-0.016600229530425867,0.014322695647281912,-0.0006585144809764402,-0.003319551009605189,0.0008979421229477045,-0.0010833595656818535,0.0015916339029516256,0.0009011925858587562,-0.0004459011056200554,-0.0002779041019862437,9.776623820072112e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_OFAV_007,239030,-0.18626030132934135,0.18492746772007115,0.037124684061646936,0.008848007604827754,-0.0297614508988273,0.0014261691154846229,0.01721591251385289,0.003928891262254401,-0.07339187567084782,-0.003926974372314638,-0.003294828950303615,0.00018320060860643796,-0.024696179728925963,-0.01852320125636229,0.02190558711170925,-0.010379022353097839,-0.022199787947086345,0.013828669089288434,0.004368058008158697,-0.0012522262414456317,0.0028299996113849125,-0.016775666914230956,0.026160229374322698,7.274982110364754e-06,-0.0024015739660019617,-0.001825163976966536,0.0037197612615462927,0.0003122335569388096,0.002539125444826677,-7.417712236328283e-05,-0.000978675342474139,-0.00019236836845546227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37_OFAV_001,239041,-0.3388215405330486,-0.29574044815534767,0.041432474551089817,0.02259738113887343,-0.022778239279121634,0.00021773480862883135,-0.0009213218792973529,0.01458299210725661,-0.052857747740206615,-0.11791147652706169,-0.015368034220570948,0.003546494138181112,0.016488636195144027,0.0004241444592410634,0.005037983770567403,-0.009509593671506823,-0.024798085196051766,0.006341330939575673,0.007414773162573549,-0.0023858787179642754,0.004741688873203116,0.01387522343863831,-0.010244463014842395,0.004915698152657758,0.025106928522029164,0.0040426752361851625,-0.0016693838491661048,0.002896391743589404,0.0014728666294264495,-0.002215187275806488,0.00013156333554708403,-0.0010839368047393177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37_OFAV_002,239042,-0.0946844980030139,0.026484529430415345,-0.05202698186588647,-0.013060214395863988,0.011474262843477738,0.0022538587226910477,-0.06306605049919703,-0.010454306728089825,0.009741279761369119,0.002468126975912606,0.0029259409778249713,0.000610931813862852,-0.017378733314585535,-0.008136325102878,-0.007944153455752124,-0.001361836756831233,0.009679178189374056,-0.00792437811031775,-0.0039690744143933265,0.01102148342973602,-0.02715993764959051,-0.01528621615164999,-0.003726663161784105,-0.0021091674520949174,-0.01231385488039643,-0.0008474861839798892,0.011453461702308435,0.021771066528698046,0.0020465982120395814,0.001194169218151267,-0.00108422723527901,-0.0011279476693424853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38_OFAV_004,239051,-0.14947624993044123,-0.09102603420254395,-0.03371019559102559,0.0007827986273340578,-0.01899427577157367,-0.0006303684099716681,0.06045446240155589,0.015510536315071728,0.005912453941883082,0.0011287591081665402,0.0045403287760381215,-3.5206448231316318e-06,0.07985029333944625,0.06322420353525049,-0.061504926753033075,0.02311235597171729,0.013847314899066689,-0.025725252098356077,0.018081022692956354,-0.008406824010169579,0.020411357748220067,0.0032519616199864097,0.011447636817797499,-0.00019704517654533683,0.0030466060377062573,-0.0010756417264241168,0.0014977764778171293,-0.001817259178590231,0.00026811934657880503,0.0005437470797456641,0.00011582945498011533,0.00020403373961535312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38_OFAV_020a,239052,-0.18393570359977515,-0.08138112403546877,-0.018990081480876463,-0.005087229231565878,0.003173889687933115,0.002684126414845599,-0.04049970920071097,-0.0016194740939852001,-0.04896653201555312,-0.018569861711414858,-0.0025291685943567,0.002192843388764676,0.05504378437594302,0.041085731225204696,-0.06832433952186069,0.021062394937897636,0.01959806669832273,-0.01894314642568968,0.0035866476900174313,0.0033096835312370087,-0.010272808358685229,0.004129848051783663,-0.01992124631898961,-0.0017709966624375494,-0.003908327778649251,0.004789419440496515,-0.007716311572158527,0.007691181523213427,-0.00048667379934381707,0.0007689711653422618,-0.000468047824357211,-1.0195467356559406e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_OFAV_007,239065,-0.29052661845481065,-0.24311394767216282,0.03461973432652902,0.0297508912567023,-0.02494972666917833,-0.0010097382741067547,0.02109520480604494,0.005189697331769452,-0.02322103574148981,-0.01689619726249822,-0.0003671748831116247,-0.0001401285618379337,-0.019144409565187346,-0.003516719835031841,-0.007105116800008421,-0.005051006100051475,-0.01013374702214618,0.0037248550644771554,0.0020761139566401474,0.00300111872987871,-0.009188696393938867,0.0029377269591148217,-0.022860137973648758,-0.004516689414795582,-0.024769903430159154,-0.007563079796130705,0.011422854854883927,-0.01196970326868247,0.018053194749738818,-0.0005403854571656675,-7.157624702116335e-05,0.001553503599967065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43_OFAV_011,239071,-0.29572067220715287,-0.25058297703698545,0.03252904530715305,0.027100803727351592,-0.023563146247799916,-0.0008156240555823379,0.012428679978908962,0.007168192101695871,-0.02192951755877201,-0.044505023802684146,-0.0037790290112157845,0.0006862299651667647,-0.014617612845094243,-0.006698628269775444,0.007857303177404388,-0.008615025710171842,-0.012740936425648344,0.006150011266323994,0.0012098218728355567,0.0025936431519119384,-0.006793154347629471,-0.0028736961684008655,-0.004292929756807362,-0.0012758418738042874,-0.004371392862995281,0.0003040293499855619,0.0001855288675966002,0.009550536391633726,-0.017362339452983863,0.0018349060521982551,-9.726331494390049e-05,0.0007680328470300278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_OFAV_001,239077,-0.07595773623403716,0.02832292429656717,-0.06091029469100853,-0.007355223935572589,-0.008729145480797972,-0.00011436646060122018,0.0038619468740125474,0.00523894998731565,0.0579307059328473,-0.0128398877539917,0.007151605398572615,-0.000979143846631931,-0.022025612979857213,0.0029062955790686994,-0.008754391886270134,-0.009595439370309052,-0.016137914390125366,0.0059135325275014965,0.004919206877588499,-0.0029251672562902,0.006708173609716717,0.0033575831399264896,0.0013440756666651221,-0.0019174169690071134,0.0021250119133802326,0.0033489403515383374,-0.00879790821079228,0.0017741084515684176,0.006861765571861334,0.018999494505741742,0.003094486030124883,-0.0008094754417903239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABE_OFAV_003,239085,-0.06965486543947882,0.02692014593080808,-0.056182840123906425,0.001072829190878504,-0.014281301619026392,-0.0006218808013239851,0.012914993479046538,0.0046756071888670115,0.05397707185286798,-0.0036534246315714147,0.007888019096510443,-0.001293862730894387,-0.016969890451535335,0.004941090675571148,-0.0028184320474552134,-0.00857486308006504,-0.012578630719585104,-0.004600479637753309,0.010793068250172108,-0.002112793648171517,0.005309568176866564,0.0041256587225996545,-0.006442171751767013,-0.0015979631853188661,-0.0022890958462348826,0.0010217232805295091,-0.003736963401144637,-0.0025233941467125835,-0.0026391056310167645,-0.008878089235707797,-0.000561671848894147,0.00266393766353266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
