ITS2 type profile UID		868131	868171	868319	868128	868130	868129	868342	868255	868443	868016	868127	868014	867878	867888	867896	868430	868221	868318	868870	868869	868931	868866	868764	868865	868918	868873	868659	868803	868830	868874	868917	868943	868993	868607	868625	868863	868872	868895	868909	868971	868675	868691	868748	868768	868806	868819	868875	868908	868655	868767	868825	868831	868857	868903	868935	868614	868658	868661	868701	868713	868717	868792	868822	868824	868843	868846	868858	868864	868868	868887	868911	868925	868929	868930	868961	869002	869003	868603	868619	868621	868645	868646	868649	868686	868705	868706	868769	868774	868800	868809	868815	868816	868859	868861	871563	870119	869786	871440	869474	870080	869982	870531	872084	871072	869099	871767	869878	871435	871438	871552	871064	871067	871071	869025	873137	870082	869064	869067	871645	870110	870137	869147	869148	871209	871724	871737	871740	871743	871234	871752	871765	871766	871779	871782	872101	872265	872097	872625	872334	872515	872095	872110	872623	872144	872711	872742	872299	872304	872327	872392	872429	873035	873021	873036	873048
Clade		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	G	G	G	G
Majority ITS2 sequence		A4/A4.3	A4	A3	A4	A4	A4	A3	A3	A13	A3	A4	A3	A4	A3	A1	A4	A3ac	A3	B1do	B5	B1	B1	B1	B6/B6e/B19af	B1/B19	B1	B1ec/B1do	B1	B1	B1/B1do	B5/B1	B19	B19au	B5	B1	B5aj/B1do	B7	B6e	B10	B1do	B1	B5p/B5	B1do/B1ec	B1	B1	B1	B1do/B1ec	B1	B1	B1	B1	B1cg	B1	B1cg	B5	B5/B1	B1	B19i	B5/B5p	B5/B5p	B5p/B5	B2	B1	B1	B1	B1	B1	B6	B1do	B1	B5	B5	B5	B1ec	B2a	B6e	B7	B1	B5	B5	B1	B1	B1	B1	B5	B5	B1	B1	B1	B1	B1	B1	B1	B1	C16	C16	C3	C3	C1d	C3	C3	C3	C11	C41	C3	C3	C42.2	C3	C3	C1	C3	C3	C3	C3	C42.2	C3	C42.2	C3b	C3	C1	C1	C3	C10	C46	C44	C41	C41	C7	C3xs	C10	C41	C1	C50a	C39	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	G3b	G3b	G3b	G3b
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		18	17	14	9	8	7	7	6	3	3	3	2	1	1	1	1	1	1	29	23	23	12	11	9	8	6	6	6	6	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	4	4	3	3	3	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29	20	12	4	2	1	1	1	1	1	1	1	1	1	1	1	1	8	3	2	2
ITS2 profile abundance DB		24	39	69	15	10	7	10	73	23	9	3	45	59	3	21	154	1	1	33	26	106	13	67	9	41	6	20	40	40	8	6	19	9	62	27	5	5	4	4	6	10	66	18	12	14	24	3	10	14	3	19	9	5	3	25	17	14	26	8	101	19	31	18	42	5	21	8	5	1	9	2	2	1	1	13	1	1	11	16	5	4	53	2	40	9	22	2	22	8	65	21	12	2	6	11	16	220	29	13	18	3	32	2	139	15	127	6	43	15	90	87	3	5	20	24	39	107	15	8	2	160	24	5	23	6	17	38	42	5	1	32	146	21	45	605	1101	1050	57	145	10	60	3	11	140	1	11	16	75	46	312	2	11	15	6	22
ITS2 type profile		A4/A4.3-A4e-A4o-A4bg	A4/A4.3-A4a-A4e-A4o-A4bg	A3-A3bi-A3au-A3av-A3cy-A3aw	A4-A4a-A4.3-A4s-A4e	A4-A4.3-A4e-A4o	A4-A4.3-A4e	A3-A3bi-A3cy-A3au	A3-A3at-A3bi	A13	A3/A3bi	A4-A4.3-A4a-A4e	A3-A3s-A3q-A3r	A4-A4b-A4c	A3-A3at	A1/A1h	A4	A3ac-A3	A3-A3bi-A3au-A3av-A3aw	B1do-B1-B1fw-B1ei-B1ej	B5-B5dr-B1fx-B5ds-B5cp	B1	B1-B1fu-B1fv	B1-B1by-B1bw-B14h-B1x-B1dm-B1au	B6/B6e/B19af-B6b-B19i-B6a-B6g-B19ag	B1/B19	B1-B14b-B1x-B1bh-B1be-B1g-B6n	B1ec/B1do/B5aj-B1-B5db	B1-B1by-B1bw-B1au-B14h-B1dm-B20b	B1-B14d-B14b-B1co-B1x-B1ai-B1j-B14i	B1/B1do	B5/B1-B1do	B19	B19au	B5-B5b-B5a-B5d-B5c-B5f-B5g-B5l-B5e	B1-B1g	B5aj/B1do	B7-B7d	B6e-B6o-B6p-B19i-B6	B10-B10a-B1	B1do	B1/B1au	B5a/B5/B5p/B5ae-B5m	B1do/B1ec-B5aj-B1ee-B5db	B1-B1by	B1-B1x-B14d-B1ao-B14b-B5dc-B1co-B1eq	B1-B1eg-B1ew	B1do/B1ec-B5aj-B1	B1-B1br-B1dq	B1-B5cc	B1-B1by-B1dm-B1bw	B1-B5de-B1br-B1dr-B1dq	B1cg/B1-B1fc-B5dj	B1-B14b-B1x-B14d-B1co-B1ai-B14i	B1/B1cg-B1fc	B5	B1/B5	B1-B1dl-B1r	B19i/B6g-B6-B6a-B6i-B6b-B19af-B6h-B19as-B6c	B5/B5a/B5p-B5m	B5/B5p/B5a/B5ae-B5m-B5bu	B5p/B5/B5cb-B5a-B5bk	B2-B2f-B2m	B1-B1dl-B1eg	B1-B1x-B14d-B5dc-B1ao-B5dg-B1cn-B1dn	B1-B1by-B1dm-B1x-B1bw-B1bx	B1-B1au-B1by-B1bw-B14h-B1dm-B1fo	B1-B1br-B1dr	B6/B19i-B6b-B19af-B6a-B6e-B6g	B1do-B1-B1fw-B1ei	B1-B1br-B1dr-B1by-B1bw-B1dq	B5-B1fx-B5ds	B5/B5p	B5-B5dr	B1ec-B1	B2a	B6e	B7	B1-B1a	B5-B5c-B5a-B5e-B5h-B5b	B5-B5e-B5g-B5a-B5c	B1-B14e-B1ai-B1ao-B1x-B1am-B14c-B1j	B1/B14e-B1x-B1ai-B1ao-B14c-B1j-B1am-B1an	B1-B14e-B1x-B1ai-B1ao-B1am-B1j	B1-B1g-B1s-B1bz	B5-B5p-B5bn-B5bk-B5bq	B5/B19-B5p-B5bn-B5bk-B19ac-B5a-B1	B1-B1by-B1dm	B1-B1x-B1ao-B1ai-B14e-B1j-B1am-B14b	B1-B1x-B1dm-B14h-B1by-B1bw	B1-B1x-B1ai-B14e-B1j-B1ao-B1am-B1eh-B14c	B1-B14d-B1x-B1ao-B1l-B1co-B1j	B1-B1br-B1ev-B1dr-B1dq	B1-B1dm-B14h-B1x	B1-B1x-B1ai-B1ao-B14e-B1j	C16-C16b-C16d	C16/C3-C16b	C3-C3fc-C21-C3an-C3b-C3fd-C3bb-C3s	C3-C3hj-C21-C3xs-C3yu	C1d-C42.2-C1-C3cg-C1b-C115k	C3-C21-C3hj	C3-C3ga	C1/C3/C1b	C11	C41/C1-C41b-C1b-C41g-C39	C3/C21-C3b	C3	C42.2/C1/C1d-C1b-C1j-C3cg	C3-C21-C3hj-C3an	C3-C3xs-C3yu-C21-C3zt	C1/C83a-C1dl-C1b-C1ds-C42.2	C3-C3de-C3bb-C21ae-C3an-C3s-C21-C3dk	C3-C3fc-C21-C3an-C3b-C3bb-C3s	C3-C21-C3xx-C3cl	C1b/C1/C3-C1u	C42a/C1d/C42.2-C1mt-C1-C1b-C3cg-C1au	C21/C3	C42.2-C120b-C120c-C120d-C42c-C42d	C3b-C3-C21-C3ag-C3bb	C3/C41-C1-C41b	C3/C1-C42.2-C3gl-C3gm-C1dl	C1-C1c-C1b-C72k-C42.2-C1br-C1cb	C3-C1-C6a-C3y	C10/C42f	C46/C3	C44/C47/C42.2	C41-C41b	C41/C1b	C1/C7	C3xs-C1nw	C10-C10a	C41	C1	C50a	C39	D1/D2-D4-D4c-D1c	D1/D4-D4c-D2-D1c-D1h	D1-D4-D4c-D1c-D1k-D2	D1-D4-D4c-D1hg-D1c-D2	D1-D4-D4c-D2-D1c-D1ip	D1-D4-D1hg-D4c-D1ju	D1-D4-D4c-D1c	D1-D1c	D1-D4-D4c-D1c-D17d-D17j	D1-D4-D4c-D1c-D6	D1-D1as-D6-D1bb-D4	D1-D1as	D1/D17d-D4-D1r-D17e-D17j-D17c-D17l	D1-D4-D4c-D1c-D2-D17d	D1-D4-D4c-D2-D5	D1-D4-D4c-D1c-D17d-D1r-D17c-D17e	D1-D4-D4f-D1c	G3b-G3al-G3ay-G3bs-G3bd	G3b-G3al-G3ay-G3bs-G3bd-G3bu	G3b/G3al-G3ay-G3bs	G3b
201504	KL-CP-45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22546.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201517	KL-CP-58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18215.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201476	KL-CP-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19770.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
