ITS2 type profile UID		1437474	1437661	1437533	1437180	1437265	1437377	1437416	1437467	1437471	1437472	1437125	1437126	1437649	1437918	1443964	1438153	1438149	1438277	1438329	1437893	1438158	1438039	1438327	1438326	1438420	1437924	1438237	1438320	1438321	1438328	1438069	1438175	1438323	1438424	1438489	1438170	1437890	1438094	1438132	1438261	1438332	1437916	1437970	1438004	1438071	1438077	1438102	1438247	1438322	1437857	1437863	1438403	1437948	1438008	1438007	1438024	1438075	1438083	1438086	1438099	1438124	1438133	1438162	1438218	1438246	1438250	1438259	1438266	1438278	1438303	1438345	1438378	1438413	1438417	1437910	1438422	1437914	1438431	1437923	1438439	1438500	1438022	1438023	1438027	1438036	1438040	1438065	1438066	1438067	1438068	1438084	1438088	1438090	1438128	1438150	1438160	1438166	1438171	1438179	1438205	1443967	1441787	1441113	1442015	1441591	1441120	1441313	1438946	1442047	1438517	1441116	1441118	1438597	1439628	1439637	1439648	1440694	1442420	1442672	1442603	1442463	1442416	1443229	1442471	1444023	1442640	1443262	1442884	1443434	1444025	1443023	1442511	1442671	1442741	1442784	1442802	1443771	1443784	1443825
Clade		A	A	A	A	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	G	G	G
Majority ITS2 sequence		A13	A13	A13	A4	A4	A4	A4	A13	A13	A13	A4	A4	A4	B1	B1	B1	B1	B1	B5aj/B1do	B1	B1	B1	B1	B1hx	B1	B1	B1	B1	B1ht	B1	B1	B7	B2	B5	B7	B5	B1	B1	B1	B1	B19i/B6g	B19i/B6g	B5/B5p	B1	B1	B5de	B1	B1	B1cg	B5	B1	B19	B5/B5p	B1do	B5aj	B1	B1	B1	B1ei	B1	B1	B1	B1	B1	B1	B1	B1	B1	B1	B1	B1	B1	B1	B5	B1	B2	B5aj	B19	B1	B1g	B1ht	B1	B1	B1	B1	B1	B5p	B1	B1	B1	B1	B1do	B1	B1	B1	B1	B1	B1do	B1	B1	C3	C3adm	C3	C3adm	C3	C3	C3	C1	C3	C1	C3	C3	C3	C3	C3	C1	C3	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1c	D1	D1	D1	D1	D1	D1	D1	G3b	G3b	G3b
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		18	7	2	2	1	1	1	1	1	1	1	1	1	22	21	18	14	12	11	11	11	10	9	8	8	8	7	7	7	7	6	6	5	5	5	5	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17	13	4	3	3	3	1	1	1	1	1	1	1	1	1	1	1	68	13	12	10	4	3	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1
ITS2 profile abundance DB		151	52	18	53	56	8	19	14	7	9	6	18	174	99	147	61	43	14	15	17	11	15	14	8	151	44	94	7	7	8	96	11	5	30	20	31	49	34	4	92	11	35	106	25	18	11	3	90	10	64	23	45	68	18	28	128	140	28	4	15	2	2	2	15	111	1	1	8	4	8	27	9	11	6	17	56	29	24	6	28	1	19	513	1	1	4	10	13	16	1	1	1	25	24	3	1	14	36	12	10	66	13	53	3	6	174	6	135	159	64	7	6	9	28	3	3	94	989	212	1482	229	2864	547	45	87	69	229	119	35	64	7	67	24	144	3	16	13	12	3
ITS2 type profile		A13-A1pu-A1pv	A13	A13/A4	A4/A4.3-A4e-A4a-A4o-A4bg	A4-A4ct-A4cs-A4q	A4-A4j	A4-A4a-A4ah	A13-A1pt	A13-A1pu	A13-A1py	A4-A4.3-A4a-A4e	A4-A4a-A4.3-A4s-A4e	A4	B1-B1x-B14d-B1t-B1ae-B1af-B1az-B1ag	B1-B1x-B14d-B5dc-B1ao-B1dn-B1cn-B14b-B1cm	B1-B14b-B14d-B1co-B1x-B14c-B1ai-B1az	B1-B14d-B1x-B1co-B5dc-B1ao-B14b-B1dn	B1-B1by-B1bw-B1dm-B14h	B5aj/B1do-B1-B1er	B1-B1x-B1t-B1az-B1ae-B14b-B1ag-B1af	B1-B1x-B14c-B14d-B1az-B1t-B1ae	B1-B1by-B1bw-B1au-B1dm-B14h	B1-B1by-B1hs	B1hx-B1-B1o-B1cg-B1hy	B1	B1-B1as-B1cg-B1e	B1-B1g-B1by-B1bw-B1dm-B1au-B1bz-B1s-B14h	B1-B1by-B1hs-B10b	B1ht-B1hv-B5eh-B1-B1hu-B1do	B1-B1ed-B1bw-B14h-B1au-B14b	B1-B1by-B1bw-B1au-B14h-B1dm-B20b	B7-B7d	B2-B2f-B19bn-B2m	B5	B7	B5-B5dr-B1fx-B5ds-B5cp	B1-B1x-B1t-B14b-B1af-B1ae-B1ag-B1bh-B1be	B1-B1ed-B1ci-B1cj	B1-B1bw-B1dm-B1au-B1by	B1-B1by-B1bw-B1dm-B1au-B14b	B6/B19i/B6e/B6g-B6b-B19af-B6a-B19as	B19i/B6g-B6-B6a-B6i-B6b-B19as-B19af-B6h-B6c	B5/B5p/B5a/B5ae-B5m-B5bu	B2/B1	B1-B1g-B1be-B1bh-B1x-B14b-B1az-B1ft-B6m	B5de-B1-B1el-B1et-B1eu	B1-B1x-B14d-B1az-B1t-B1ag	B1-B1co-B1ai-B1x-B14d-B1t-B1az-B14c	B1/B1cg	B5-B5b-B5a-B5d-B5c-B5f-B5g-B5l-B5e	B1/B5	B19/B1	B5/B5a/B5p/B5ae-B5m	B1do-B1ei-B1eo-B1-B1ej-B1ep	B1do/B1ec/B5aj-B5db-B1ee	B1-B1by-B1bw-B1dm-B1au-B14h-B1x	B1-B1x-B1ai-B1j-B1ao-B14e-B1am-B1eh-B14c	B1-B1x-B14d-B1co-B1j-B1ao-B1l	B1ei/B1-B1do-B1ej	B1-B1x-B5dc-B14d-B5dg-B1ao-B1cn-B1dn	B1-B1by-B1bw-B1au-B14h	B1-B1by-B14h-B1bw-B1au-B1x	B1-B1x-B14c-B14d-B14b-B1ay-B1co	B1-B1as-B1ci	B1-B1br-B5dx-B5eb-B1gs-B1dq-B1g	B1-B1ai-B1x-B1az-B14d-B1co-B1t	B1-B1co-B14d-B1t-B1ai-B1x	B1-B1gy	B1-B1bw	B1/B14d	B1-B5de-B1br-B1dr-B1dq-B1ev	B1-B1ai-B1x	B5de/B1	B5-B5ay	B1-B5cc	B2	B1ec/B5aj/B1do-B1-B5db	B19	B1-B1ed	B1g	B1ht	B1-B1ef	B1-B1by-B1bw-B1dm-B1au-B14h-B1x-B1bx	B1-B1by-B1bw-B1dm	B1-B14b-B1x-B1j-B1ai-B1ao	B1-B1au-B1bw-B1dm-B14h	B5p/B5-B5a	B1-B1g-B1br	B1-B1dm-B1x-B14h-B1by-B1bw	B1-B14d-B1x-B1l	B1-B1x-B14b-B14d-B14c-B1co	B1do-B1ei-B1-B1ej-B1eo	B1-B1dl-B1ek	B1-B1by-B1dm-B1en-B1bw	B1-B1br-B1dr	B1-B1x-B5dc-B1cn-B1ao-B1dn-B1fa-B14d	B1-B1fu-B1fv	B1do-B1-B1fw-B1ei-B1ej	B1/B1do	B1-B1g-B1h-B1i	C3-C21-C3hj-C3b	C3adm-C3adn-C3ado-C3adp	C3-C3hj-C21-C3an	C3adm-C3adn	C3-C21-C3xx-C3cl-C3xw	C3-C3xs-C21-C3yu-C3zt-C3an	C3-C3fc-C21-C3cl-C3an-C3b	C1/C1c-C1al-C1b	C3	C1/C1b	C3-C3xs-C21-C3yu-C3zt	C3-C3hj-C21-C3xs	C3/C21-C3b	C1/C42.2/C3	C3-C21-C3b-C3an	C3/C1-C42.2-C3gl-C3gm-C1dl	C3/C21-C3xx-C3cl-C3de-C3xw	D1/D4/D2-D4c-D1c	D1-D4-D4c-D2-D1c-D1ip	D1/D4-D4c-D2-D1c-D1h	D1-D4-D4c-D1c-D6	D1-D4-D4c-D1c-D1k-D2	D1-D4-D4c-D17d-D1c-D1r-D17c-D17e-D17j	D1-D4-D6-D4c-D4f	D1-D4-D6-D4c-D4f-D1h	D1-D4-D4c-D2-D1c-D17d	D1-D4-D1hg-D4c-D1c-D5ad-D1ju	D1-D4-D4c-D2-D1c-D17d-D1r	D1c	D1-D4-D4c-D4f-D1c-D17d	D1-D4-D4c-D2-D1ox	D1-D4-D4c-D1c-D4f	D1-D4-D4c-D2-D1ip	D1/D4/D17e-D17d-D4c-D1r-D17c-D17j	D1-D4-D4f-D1c	D1-D4-D1n-D4c	G3b-G3al-G3ay-G3bs-G3bd-G3bu	G3b-G3al-G3ay-G3bv-G3bw-G3bs-G3bd	G3b-G3al-G3fm-G3ay-G3bv-G3bw
238998	R369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6067.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
238971	R341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10421.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239000	R391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11757.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
