"","sample_name","collection_date","collection_site","collection_latitude","collection_longitude","species_code"
"1","KL-CP-14",20201012,"Cheeca",24.90399933,-80.61685944,"AAGA"
"2","KL-PR-8",20201012,"Pickles",24.98698044,-80.41486359,"AAGA"
"3","KL-CP-25",20201012,"Cheeca",24.90399933,-80.61685944,"CNAT"
"4","Tri-24",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"CNAT"
"5","Tri-25",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"CNAT"
"6","Tri-52",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"CNAT"
"7","Tri-47",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"CNAT"
"8","Tri-48",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"CNAT"
"9","Tri-49",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"CNAT"
"10","Tr-4",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"CNAT"
"11","Tri-56",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"CNAT"
"12","Tr-1",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"CNAT"
"13","Tr-21",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"CNAT"
"14","CR-3",20210702,"Conch",24.94844437,-80.46238708,"DLAB"
"15","Tr-31-A",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"DLAB"
"16","Tr-31-B",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"DLAB"
"17","Tr-32",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"DLAB"
"18","CR-16",20210702,"Conch",24.94844437,-80.46238708,"DLAB"
"19","CR-19",20210702,"Conch",24.94844437,-80.46238708,"DLAB"
"20","CR-21",20210702,"Conch",24.94844437,-80.46238708,"DLAB"
"21","KL-CP-1",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"22","KL-CP-11",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"23","KL-CP-12",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"24","KL-CP-4",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"25","KL-CP-7",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"26","KL-CP-9",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"27","KL-CP-16",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"28","KL-CP-36",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"29","KL-CP-26",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"30","KL-CP-31",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"31","KL-CP-33",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"32","KL-CP-38",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"33","KL-CP-39",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"34","KL-CP-45",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"35","KL-CP-46",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"36","KL-CP-52",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"37","KL-CP-58",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"38","KL-CP-64",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"39","KL-CP-68",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"40","KL-CP-85",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"41","KL-CP-76",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"42","KL-CP-80",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"43","KL-CP-87",20201012,"Cheeca",24.90399933,-80.61685944,"DLAB"
"44","Tri-2",20210702,"Triangles",25.00873947,-80.44978333,"DLAB"
"45","Tri-5",20210702,"Triangles",25.00873947,-80.44978333,"DLAB"
"46","Tri-13",20210702,"Triangles",25.00873947,-80.44978333,"DLAB"
"47","Tri-28",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"DLAB"
"48","Tri-20",20210702,"Triangles",25.00873947,-80.44978333,"DLAB"
"49","Tri-39",20210702,"Triangles",25.00873947,-80.44978333,"DLAB"
"50","Tri-30",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"DLAB"
"51","Tri-43",20210702,"Triangles",25.00873947,-80.44978333,"DLAB"
"52","Tri-46",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"DLAB"
"53","Tri-53",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"DLAB"
"54","Tri-58",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"DLAB"
"55","Tr-16",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"DLAB"
"56","Tr-19",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"DLAB"
"57","Tr-23",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"DLAB"
"58","KL-CP-54",20201012,"Cheeca",24.90399933,-80.61685944,"DSTO"
"59","KL-PR-9",20201012,"Pickles",24.98698044,-80.41486359,"DSTO"
"60","Tri-15",20210702,"Triangles",25.00873947,-80.44978333,"DSTO"
"61","Tri-8",20210702,"Triangles",25.00873947,-80.44978333,"DSTO"
"62","Tri-12",20210702,"Triangles",25.00873947,-80.44978333,"DSTO"
"63","Tri-26",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"DSTO"
"64","Tri-23",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"DSTO"
"65","Tri-45",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"DSTO"
"66","CR-27",20210702,"Conch",24.94844437,-80.46238708,"EFAS"
"67","Tri-57",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"MALI"
"68","Tri-59",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"MALI"
"69","KL-CP-81",20201012,"Cheeca",24.90399933,-80.61685944,"MANG"
"70","KL-CP-88",20201012,"Cheeca",24.90399933,-80.61685944,"MANG"
"71","Tri-29",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"MANG"
"72","CR-9",20210702,"Conch",24.94844437,-80.46238708,"MCAV"
"73","CR-20",20210702,"Conch",24.94844437,-80.46238708,"MCAV"
"74","CR-43",20210702,"Conch",24.94844437,-80.46238708,"MCAV"
"75","CR-36",20210702,"Conch",24.94844437,-80.46238708,"MCAV"
"76","CR-54",20210702,"Conch",24.94844437,-80.46238708,"MCAV"
"77","CR-50",20210702,"Conch",24.94844437,-80.46238708,"MCAV"
"78","KL-CP-44",20201012,"Cheeca",24.90399933,-80.61685944,"MCAV"
"79","KL-PR-10",20201012,"Pickles",24.98698044,-80.41486359,"MCOM"
"80","CR-12",20210702,"Conch",24.94844437,-80.46238708,"MDEC"
"81","CR-13",20210702,"Conch",24.94844437,-80.46238708,"MDEC"
"82","KL-PR-1",20201012,"Pickles",24.98698044,-80.41486359,"MDEC"
"83","KL-CP-24",20201012,"Cheeca",24.90399933,-80.61685944,"OANN"
"84","KL-CP-27",20201012,"Cheeca",24.90399933,-80.61685944,"OANN"
"85","Tri-51",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"OANN"
"86","Tr-30",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"OFAV"
"87","Tr-33",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"OFAV"
"88","Tr-35",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"OFAV"
"89","CR-14",20210702,"Conch",24.94844437,-80.46238708,"OFAV"
"90","CR-15",20210702,"Conch",24.94844437,-80.46238708,"OFAV"
