"","year","era","OTU","Sample","Abundance","sample_name","collection_date","collection_site","collection_latitude","collection_longitude","species_code","associated_species","clade","its2_profile_abundance_db","its2_profile_abundance_local","its2_type_profile","majority_its2_sequence"
"1","2001","historical","868319","KL-70",36067,"KL-70","20010621","Outer Reef","25.11186","-80.28583","SINT","None","A","69","14","A3-A3bi-A3au-A3av-A3cy-A3aw","A3"
"2","2001","historical","868875","KL-015",30217,"KL-015","20010621","Little Grecian","25.11901","-80.30083","DLAB","None","B","3","3","B1do/B1ec-B5aj-B1","B1do/B1ec"
"3","2001","historical","868875","KL-27",28768,"KL-27","20010621","Little Grecian","25.11901","-80.30083","DLAB","None","B","3","3","B1do/B1ec-B5aj-B1","B1do/B1ec"
"4","2001","historical","868319","KL-61",28452,"KL-61","20010621","Outer Reef","25.11186","-80.28583","SINT","None","A","69","14","A3-A3bi-A3au-A3av-A3cy-A3aw","A3"
"5","2001","historical","868319","KL-103",27883,"KL-103","20010622","Conch","24.94844","-80.46239","SINT","None","A","69","14","A3-A3bi-A3au-A3av-A3cy-A3aw","A3"
"6","2001","historical","868659","KL-29",25939,"KL-29","20010621","Little Grecian","25.11901","-80.30083","DLAB","None","B","20","6","B1ec/B1do/B5aj-B1-B5db","B1ec/B1do"
"7","2001","historical","868857","KL-37",24759,"KL-37","20010621","Little Grecian","25.11901","-80.30083","PSTR","None","B","5","3","B1-B14b-B1x-B14d-B1co-B1ai-B14i","B1"
"8","2001","historical","868843","KL-173",24591,"KL-173","20010622","Triangles","25.00874","-80.44978","OFAV","None","B","5","2","B1-B1by-B1dm-B1x-B1bw-B1bx","B1"
"9","2001","historical","868931","KL-41",22938,"KL-41","20010621","Outer Reef","25.11186","-80.28583","SBOU","None","B","106","23","B1","B1"
"10","2001","historical","868713","KL-73",22598,"KL-73","20010621","Outer Reef","25.11186","-80.28583","SINT","None","B","101","2","B5/B5p/B5a/B5ae-B5m-B5bu","B5/B5p"
"11","2001","historical","868319","KL-72",22585,"KL-72","20010621","Outer Reef","25.11186","-80.28583","SINT","None","A","69","14","A3-A3bi-A3au-A3av-A3cy-A3aw","A3"
"12","2001","historical","868691","KL-240",21894,"KL-240","20010623","Tavernier Rocks","24.93535","-80.54961","SRAD","None","B","66","4","B5a/B5/B5p/B5ae-B5m","B5p/B5"
