sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,species_name,collection_latitude,collection_longitude,collection_date,collection_depth,collection_site,collection_batch
KL-CP-14,KL-CP-14_S110_L001_R1_001.fastq.gz,KL-CP-14_S110_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Agaricia,agaricites,A.agaricites,24.90399933,-80.61685944,20201012,13,Cheeca,contemporary
KL-PR-8,KL-PR-8_S275_L001_R1_001.fastq.gz,KL-PR-8_S275_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Agaricia,agaricites,A.agaricites,24.98698044,-80.41486359,20201012,20,Pickles,contemporary
Tri-57,Tri-57_S445_L001_R1_001.fastq.gz,Tri-57_S445_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Mycetophyllia,aliciae,M.aliciae,24.93535233,-80.54960632,20210702,17,Tavernier Rocks,contemporary
Tri-59,Tri-59_S447_L001_R1_001.fastq.gz,Tri-59_S447_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Mycetophyllia,aliciae,M.aliciae,24.93535233,-80.54960632,20210702,13,Tavernier Rocks,contemporary
KL-CP-81,KL-CP-81_S175_L001_R1_001.fastq.gz,KL-CP-81_S175_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Mussa,angulosa,M.angulosa,24.90399933,-80.61685944,20201012,12,Cheeca,contemporary
KL-CP-88,KL-CP-88_S181_L001_R1_001.fastq.gz,KL-CP-88_S181_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Mussa,angulosa,M.angulosa,24.90399933,-80.61685944,20201012,13,Cheeca,contemporary
KL-710,KL-710_S257_L001_R1_001.fastq.gz,KL-710_S257_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Mussa,angulosa,M.angulosa,24.90399933,-80.61685944,20030930,13,Cheeca,historical
Tri-29,Tri-29_S414_L001_R1_001.fastq.gz,Tri-29_S414_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Faviidae,Mussa,angulosa,M.angulosa,24.93535233,-80.54960632,20210702,19,Tavernier Rocks,contemporary
KL-CP-24,KL-CP-24_S109_L001_R1_001.fastq.gz,KL-CP-24_S109_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,annularis,O.annularis,24.90399933,-80.61685944,20201012,9,Cheeca,contemporary
KL-CP-27,KL-CP-27_S123_L001_R1_001.fastq.gz,KL-CP-27_S123_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,annularis,O.annularis,24.90399933,-80.61685944,20201012,9,Cheeca,contemporary
Tri-51,Tri-51_S428_L001_R1_001.fastq.gz,Tri-51_S428_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Orbicella,annularis,O.annularis,24.93535233,-80.54960632,20210702,16,Tavernier Rocks,contemporary
KL-258,KL-258_S213_L001_R1_001.fastq.gz,KL-258_S213_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Cladocoridae,Cladocora,arbuscula,C.arbuscula,24.93535233,-80.54960632,20010623,2.7,Tavernier Rocks,historical
KL-260,KL-260_S225_L001_R1_001.fastq.gz,KL-260_S225_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Cladocoridae,Cladocora,arbuscula,C.arbuscula,24.93535233,-80.54960632,20010623,3.7,Tavernier Rocks,historical
CR-5-A,CR-5-A_S4_L001_R1_001.fastq.gz,CR-5-A_S4_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20210702,54,Conch,contemporary
Tr-34,Tr-34_S10_L001_R1_001.fastq.gz,Tr-34_S10_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.93535233,-80.54960632,20210702,8,Tavernier Rocks,contemporary
